User,Reter,Comment,Votes,Time
@陪着小橘loooong,,哼╯^╰！ http://t.cn/AinWJWQk,1930,2019-09-26 16:51
@zhouyiyi1218,,他是真的非常可爱的人， http://t.cn/AinWiz2z,1686,2019-09-26 16:52
@KelseyKZ,,他好可爱呀,1015,2019-09-26 16:51
@晒月亮的鱼贰月,,哈哈哈哈哈哈哈哈哈哈哈快看朱一龙看到葛优大爷真的是笑开了花哈哈哈太好笑了！！！！ 评论配图,226,2019-09-26 16:53
@剥橘砸,,朱一龙太可爱了,205,2019-09-26 16:53
@ShinyStar1201,,这个怎么跑出来了哈哈哈哈哈哈,130,2019-09-26 16:51
@郑启萌DaTu,,我哥又上沙雕热搜了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,128,2019-09-26 16:55
@萌萌欣zn,,不世故，干净，这种气质真的很吸引人啊,118,2019-09-26 16:55
@-橘SOBER,,我家先生,105,2019-09-26 16:53
@我想喝奶盖-,,不是他的粉，但是觉得这孩子挺帅好有趣,105,2019-09-26 17:09
@陪着小橘loooong,,你不能看我可爱就欺负我鸭？！！！ 评论配图,106,2019-09-26 16:54
@坐在墙头上看风景,,开香槟那个，我当时笑了好久,77,2019-09-26 16:56
@橘小九_99,,爱辽爱辽 评论配图,80,2019-09-26 16:52
@冷心市民苏苏,,沙雕出圈的小朱,66,2019-09-26 16:53
@朱一龙家的十一小朋友,,图片评论 评论配图,56,2019-09-26 17:02
@萌萌欣zn,,哈哈哈哈哈哈我哥不要面子的嘛,43,2019-09-26 16:51
@叶落知秋Xiang,,原来我已经陪他经历那么多沙雕热搜了？？,44,2019-09-26 17:24
@陈家小麦子,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈朱一龙不要面子的吗？ 评论配图,44,2019-09-26 17:07
@mummunich,,有趣的人啥都是有趣的 评论配图,40,2019-09-26 16:53
@朱先生的火锅妹妹,,帅锅跟我走吧 评论配图,36,2019-09-26 17:13
@是张卿暮啊,,芭莎星榜样采访的那个狗狗就是把蓝忘机吓到的狗狗。都几年了还在呢,20,2019-09-26 16:55
@小刀祝朱一龙0416生日快乐,,还有在助理身上弹琴,37,2019-09-26 19:06
@---蓓--,,成熟男人朱一龙,31,2019-09-26 16:52
@baby-x我在你后面,,前两天被电影频道调戏,29,2019-09-26 16:59
@橘家小飞鱼,,哈哈哈哈 评论配图,21,2019-09-26 17:02
@朱一铛,,哈哈哈哈哈哈哈哈嗝！没抢到话筒的动图我看一次笑一百次,26,2019-09-26 17:01
@孟隺堂L,,这是粉龙哥第9年了，真的觉得龙龙让我越来越喜欢，也越来越可爱了,20,2019-09-26 18:14
@知知不知_,,,17,2019-09-26 18:00
@流浪的回贝,,@朱一龙   快出来解释,12,2019-09-26 16:52
@朱一龙的小盆友,,#朱一龙# 2018年8月18日，朱一龙一句 “仁义”硬生生把我逼成了他兄弟,14,2019-09-26 17:35
@一只砂糖居,,谁做的合集！！大哥不要面子吗！,8,2019-09-26 18:37
@蜜桃皮皮,,哈哈哈哈哈哈哈哈哈朱一龙不搞笑和他很好笑冲突吗？,8,2019-09-26 17:23
@逆天的温柔,,原来朱一龙有这么多沙雕热搜呢，谢谢up主总结，我要艾特给拢龙@朱一龙,8,2019-09-26 18:15
@南山等在等暴富的那一天,,最后一个动图绝了，想要,7,2019-09-26 17:03
@月萌龙y,,拢龙加油 咱们永远做热搜里的泥石流,3,2019-09-26 20:39
@陈一鸣的大廚房,,好可爱,6,2019-09-26 19:52
@_覌覌·橘啾,,我的妈,9,2019-09-26 17:14
@难臾,,话筒的故事可不止一个,4,2019-09-26 20:09
@朱一龙的小盆友,,2018年8月19日，朱一龙一句&quot;仁义&quot;硬生生把我逼成了他兄弟,5,2019-09-26 17:33
@PINK_OLIVIA,,可爱又成熟,6,2019-09-26 17:02
@谋生亦谋爱的小易呀,,朱一龙超级可爱和他是一个成熟男人并不冲突,4,2019-09-26 18:01
@想念式蔓延,,龙哥是自带笑点的人啦,5,2019-09-26 17:36
@甜橘家的小盆友,,啊啊啊啊啊啊，是帅气又可爱的朱一龙先生~ mua,1,2019-09-26 21:25
@fighting居,,你好烦啊抢热门发的又不是热搜相关,1,2019-09-26 16:52
@火锅味少女_J,,哈哈哈哈哈哈前两天还有个热搜 朱一龙确认话筒哈哈哈哈哈被土味情话调戏,4,2019-09-26 19:01
@追龙赤子心,,全程嘴角上扬，,0,2019-09-26 19:01
@清茶一杯爱居居,,朱一龙太呆萌了,5,2019-09-26 18:37
@zZylooong的小尾巴,,不搞笑 但是很好笑,4,2019-09-26 18:05
@元宝叉会儿腰,,还有那个拍照自己,4,2019-09-26 17:08
@囿于银河--,,上广场了 看看我们成熟男人朱一龙 评论配图,3,2019-09-26 16:55
@zylong的80后支援,,拢龙的热搜一直都很清奇，很沙雕！可他自己也不想,2,2019-09-27 13:14
@居家彤彤,,朱一龙不搞笑和他本人真的好笑一点也不冲突,2,2019-09-27 10:54
@Tiya2019,,哈哈，最后一个镜头，真相了，不想承认,2,2019-09-26 19:30
@小草帽啾,,朱一龙超级无敌可爱呀！！！！！！！！,2,2019-09-26 19:07
@鲱鱼味的鞋,,又双叒叕爱上一次,2,2019-09-26 19:05
@爱橘不是两三天,,#朱一龙看葛优的眼神# 哈哈哈哈哈哈哈哈哈哥哥真的dbq你太搞笑了,2,2019-09-26 18:49
@Rubyone,,他好好笑,2,2019-09-26 18:48
@岚枫d44,,好可爱啊哈哈哈,3,2019-09-26 17:51
@红烧味小星球,,爱死我们宝贝了！,3,2019-09-26 17:43
@沈一棠,,哈哈哈哈哈哈哈哈哈哈哈嘎嘎嘎嘎嘎嘎嘎@朱一龙 哥她们又笑你！！！！ 评论配图,4,2019-09-26 17:36
@神仙美貌橘1龙,,哥哥好可爱# 评论配图,3,2019-09-26 17:14
@简图accountant,,这个真的好玩,3,2019-09-26 17:14
@今天也要努力活着吖喵,,哈哈哈哈真的不搞笑 但他真的好好笑,3,2019-09-26 17:11
@朱一龙家的十一小朋友,,,4,2019-09-26 17:04
@傻傻一笑的龙包锁了,,因为朱一龙太可爱了啊啊啊啊@朱一龙 评论配图,4,2019-09-26 16:54
@小鬼王的糖纸,,视频该加新料啦！又有好几个沙雕热搜啦,1,2019-09-29 22:10
@bLue-myT,,#杜江搂朱一龙的动作#  ,1,2019-09-29 20:27
@朱联玉合y,,,1,2019-09-28 00:05
@太原美食达人,,,1,2019-09-27 13:28
@橘味奶糖泡泡,,哈哈哈哈哈哈哈哈,1,2019-09-27 12:48
