User,Reter,Comment,Votes,Time,Count
@Timmyoo,,不见不散,254,2019-09-26 10:20,1
@Akanishi_M,,超级期待,228,2019-09-26 10:20,1
@欧小剑的老婆,,啊啊啊啊啊啊啊啊啊许魏洲,90,2019-09-26 10:20,1
@撸出鱼鱼鱼,,我来了来了啊啊啊啊啊,81,2019-09-26 10:21,1
@Dreamingcat小南,,好不好嘛 查看动图,61,2019-09-26 10:21,2
@yuuu_TJ,,好耶！！！,72,2019-09-26 10:20,1
@柠檬精徐铁美,,卧槽，我男人邀请我，我觉得我不去对不起他,51,2019-09-26 10:21,1
@_喵Zz_,,期待,45,2019-09-26 10:21,2
@是我的洲喵,,好啊好啊,40,2019-09-26 10:20,1
@笑笑914,,宝贝崽崽，等着麻麻来陪你过生日,33,2019-09-26 11:41,3
@醒着做梦的猪糊糊,,好哒，不见不散哦,35,2019-09-26 10:20,1
@晨小熹Timmy,,#许魏洲白色时区2019演唱会# 1020北京见,34,2019-09-26 10:22,2
@怜城zz,,期待,27,2019-09-26 10:22,1
@洲洲喵喵呜,,,26,2019-09-26 10:21,3
@1020天秤Z不能再吃了,,期待！不错过你的每一次，依然不见不散,22,2019-09-26 10:22,1
@伦现宇zhou,,,22,2019-09-26 10:21,2
@就是要笑看一路风景,,1020北京见！@许魏洲ZZ ,18,2019-09-26 10:22,1
@洲洲喵喵呜,,不见不散,18,2019-09-26 10:21,3
@Dreamingcat小南,,开心转圈 查看动图,20,2019-09-26 10:21,2
@清澈奇怪河流,,终于！25岁的许魏洲我来啦！@许魏洲ZZ,21,2019-09-26 10:21,1
@熙洛鸢尾,,超级期待许魏洲@许魏洲ZZ,20,2019-09-26 10:21,1
@_森系女孩_,,,15,2019-09-26 10:21,1
@__一直支持你,,超级期待演唱会！@许魏洲ZZ,5,2019-09-26 10:23,1
@黄瑜瑜今天喝粥了吗,,,9,2019-09-26 10:21,1
@晨小熹Timmy,,,4,2019-09-26 10:22,2
@焦焦jiaoyj,,宝贝！不见不散！,4,2019-09-26 10:21,1
@洲喵画报,,白色时区，纯洁、少壮、超脱的时区,3,2019-09-26 10:30,1
@TIFFANY绿蓝绿蓝绿,,#许魏洲1020生日快乐# 白粥赴白色时区演唱会,3,2019-09-26 10:29,1
