User,Reter,Comment,Votes,Time
@肥肥的8涛,,想买给父母,7876,2019-09-26 17:25
@Surface_Pro,,我的20还可以再用两年,2349,2019-09-26 17:00
@superjosiesir,,一开始我吐槽苹果的浴霸好丑，不会再买，看了华为的滚筒洗衣机觉得更丑,2187,2019-09-26 17:35
@古古木风,,买买买，全面秒杀iPhone的手机，为什么不买,1201,2019-09-26 17:00
@Truffee,,继续抱紧我的Mate10,1152,2019-09-26 17:37
@OreoOfPooh,,想买，真的便宜，但是没有换手机的理由哈，ip8还好好的,494,2019-09-26 18:19
@memory仙森,,不想买，用海狗经常说的一句话就是：性能过剩,373,2019-09-26 17:50
@脱单群高个群,,华为强在信号，拍照，续航，苹果强在处理器，系统，摄影，一个手机而已，喜欢哪个买哪。我选择两个都买,236,2019-09-26 18:51
@R1SE夏之光X麻麻,,我哭  我觉得这个手机好好看,226,2019-09-26 18:35
@梁健炽,,手持m20p感觉再战一年,152,2019-09-26 17:26
@郑先森829,,价格定的不是很美丽，如果每台报价都低500的话，今年iPhone真的就凉凉了，但是工艺和技术水平下，苹果还是远超华为的，个人观点，不喜勿喷,98,2019-09-26 18:16
@小米雷车,,谁他妈不买智商机,93,2019-09-26 16:59
@Jesam-Lin,,一个5G多1000块钱，真他么恶心，,68,2019-09-26 18:23
@弓长少大可,,讲道理，不考虑5G，我感觉双十一的时候mate20Pro一定很香,63,2019-09-26 20:14
@独享孤寂,,Mate9用户表示：完全可以坚持到5G套餐降价,50,2019-09-26 19:37
@嗨想要变甜,,现在口袋里都有点钱爱买什么买什么，6000rmb谁拿不出只分舍得和不舍得，都喜欢都买就是了。测评也好外观也罢见仁见智有什么好吵的，无语,49,2019-09-26 20:39
@西瓜主义,,比欧洲的便宜太多了,40,2019-09-26 20:05
@丶雨香茄子,,P30 PRO用了几个月，我觉得还行吧，暂时没必要换,47,2019-09-26 18:03
@弥生丶丶,,放大您的智慧,25,2019-09-26 19:38
@難教,,还是iPhone香,34,2019-09-26 18:55
@Jesam-Lin,,这价格，还是加点钱买苹果吧，苹果真香,26,2019-09-26 18:24
@葵秋已玖,,P30p哭泣,40,2019-09-26 18:00
@无枉星轨,,我的p30还能再用几年,32,2019-09-26 17:23
@猪猪_Julian,,我觉得我的mate10还能再战5年,24,2019-09-26 19:29
@古道西风瘦腿,,看到京东卖苹果的评论很多黑苹果的，苹果做错了什么？虽然苹果还有很多不足，给他时间让他变好 而不是只是指责，不然和怨妇有什么区别？,16,2019-09-26 20:01
@唯物自然平衡理论,,我刚买了新华为，想买，但也不能太败家，就算败，也要败在折叠屏上！嘿嘿。。。,22,2019-09-26 19:05
@我家有yee个喵咪控,,我的荣耀9还在用，三年了,9,2019-09-26 19:32
@微凉晨光里Seven,,iPhone11还没拆 坐等价格啊 纠结要不要退了换mate啊 给点建议呀,9,2019-09-26 17:02
@加油阳阳a,,我觉得我的p20Pro还能用两年,4,2019-09-26 23:36
@明宇先生,,,16,2019-09-26 22:31
@是潮南区陈店镇人,,3999？,5,2019-09-26 17:22
@呀是光,,？,7,2019-09-26 16:57
@Clear丶朗月,,说实话，挺香,14,2019-09-26 20:29
@simpleoot,,最早用华为的时候还是mate7  当时苹果是5s还是6的  真的就没法比  后来换成荣耀8  苹果好像出到6s  差距就觉得没那么大了  估计现在差距虽然还有  但也是每一代之间在逐渐减小吧,6,2019-09-26 22:40
@L-Lawliettt,,如果不是劉海屏 我會買,3,2019-09-26 17:02
@花酒社,,荣耀九用户路过,8,2019-09-26 20:05
@Yxhqz-,,我选择note10+,4,2019-09-26 20:03
@地瓜永远稳过,,过年买，7p再撑几个月就给它换掉，7p没什么问题，换下来给我爷爷看视频看新闻用用,3,2019-09-26 19:28
@魏阿越,,说外形不好看的麻烦去实体店看看真机行不行，说是本年度最酷炫的外观一点不夸张，对比某11简直不能再好看了好吗,10,2019-09-26 20:47
@结束了不是吗,,我买还不行吗，我不买我就不爱国，每天看到微博，新闻，朋友圈。数不清多少次了。天天华为，虽然我没有，但是已经成为我生活的一部分了。别说了。我买,6,2019-09-26 23:54
@看风景的人只是生了一场病,,这价格真的诚意满满了！,5,2019-09-27 00:31
@是你大珊,,买，一定买，买一个看林俊杰演唱会拍照,7,2019-09-26 21:27
@于阳ii,,mate20，6799买的，妈的,5,2019-09-26 19:42
@你喜欢吃牛肉么么,,明年会更好,7,2019-09-26 17:26
@热心市民miss梁,,,5,2019-09-26 20:20
@于欢耶,,华为滚筒洗衣机？,3,2019-09-27 00:15
@TJ_ian,,评论一群果蛆开始出来挪动，恶心别人了。真是丑态百出,8,2019-09-26 21:59
@夏小波KD,,Mate10接着用，主要没钱,4,2019-09-26 18:00
@爱做白日梦的bug,,20pro表示还可以坚持,3,2019-09-27 01:59
@始于颜值忠于才华的小迷妹,,用了两年多的mate10 暂时没有抛弃他的打算,3,2019-09-26 20:30
@太白快去学习,,雷军说的果然没错，4g变5g成本加1000,5,2019-09-26 20:00
@菇耐_DRY,,我觉得价格真的很亲民了!,2,2019-09-27 05:34
