User,Reter,Comment,Votes,Time
@张棱棱super张,,是我岁数大了吗看个预告片都能流眼泪,11820,2019-09-27 10:25
@Sadnes葉,,祝福祖国，期待国庆献礼片，期待白昼流星 http://t.cn/AinHV31i,439,2019-09-27 10:22
@Alkaid西娘,,我的天哪，上课看一个预告看的眼泪汪汪的,407,2019-09-27 10:31
@-春豪糖桃-,,#欧豪我和我的祖国# 每个人有每个人的使命，我们或许平凡，我们或许普通，但我们积极向上，我们友爱互助，我们在深爱的土地上，沐浴着阳光，为这人生奔走！每到重要历史时刻，我们参与，我们见证！祝福我的国！ http://t.cn/AinHVGfM,338,2019-09-27 10:20
@认真的你不懂得明辉,,很多人讲中国人没有信仰，或者说信仰金钱，但是我想说我们的信仰是那种刻在骨子里的听到国歌，看到国旗就热泪盈眶那种民族自豪感，归属感，是有些有信仰的的人永远都不会懂的感情,359,2019-09-27 10:45
@大年初一唐探3,,上课呢，看预告看泪奔了,233,2019-09-27 10:42
@大年初一唐探3,,期待《我和我的祖国》9.30影院等你,223,2019-09-27 10:31
@小柴爱吃甜豆包,,祝福祖国，期待电影我和我的祖国，期待演员刘昊然的精彩演绎,127,2019-09-27 10:30
@1_XWX_1,,期待张译老师的演绎！！ 评论配图,117,2019-09-27 10:22
@丶GRACE哦,,最想看回归那段，预告看的鸡皮疙瘩都起来了，让海风吹拂了五千年,104,2019-09-27 11:48
@朱_静静呀,,超级期待电影,72,2019-09-27 10:19
@界之尧玉,,98年洪水，我小学。03年非典，我高中。08年汶川地震，我参加工作。一路上虽磕磕绊绊，我和我的祖国一起成长，希望祖国繁荣昌盛！！,64,2019-09-27 12:54
@--贝克--,,#电影我和我的祖国# 明天去看点映！期待《我和我的祖国》，祝祖国繁荣昌盛！与青年演员刘昊然一起，共贺华诞,51,2019-09-27 11:22
@_九酒酱_,,期待#电影我和我的祖国# ，9.30电影院见！也期待刘演员的精彩表现,31,2019-09-27 10:55
@zheng郑宁,,为什么我们会被感动，因为我们爱这片土地,46,2019-09-27 11:30
@深深的心肝宝贝蜜饯儿,,看个预告给我看哭了,35,2019-09-27 11:29
@Une辣椒LJ,,因为我们爱这片土地,19,2019-09-27 11:09
@麻匪六筒,,男生啊 对爱情片可能无感但 就容易被家国情怀感动,10,2019-09-27 12:10
@辣府,,我们都是中国人！看个预告就流泪系列,18,2019-09-27 11:05
@元气少女诸葛铁铁,,天哪，又是一次泪崩,6,2019-09-27 11:02
@小韩同学今天爬墙了吗,,我的祖国炒鸡棒！！！,13,2019-09-27 10:25
@郭郭郭郭yeah,,必须去看！我的这颗中国心！,8,2019-09-27 10:17
@初阡创始人麦芽,,鼻子一酸，看得泪奔了！,3,2019-09-27 12:03
@Frod_Z,,光我们热泪盈眶还不够，我们要教育我们自己的孩子，告诉孩子我们的祖国经历了多少的磨难，我们的人民挨过多少的疾苦，我们永远不会被打败，每一个中国人要努力为国家为民族奋斗。,1,2019-09-27 22:49
@咩咩羊的小甜菜,,为祖国妈妈喝彩！,2,2019-09-27 13:08
@斑布贝迪,,看个预告片都哭了  去影院要准备一包纸,3,2019-09-27 13:08
@我是小瓶瓶子,,看的要落泪了，不知道是年纪大了还是怎么回事，现在看这些总会控制不住自己,1,2019-09-27 13:07
@GAO_Y_QYOONA,,为什么总会被这样的声音打动？因为我爱这片土地爱得深沉！,1,2019-09-27 13:07
