User,Reter,Comment,Votes,Time
@Amaaaaaaanda,,想看中国明星朗读恶毒微博哈哈哈,5617,2019-09-26 14:32
@霍格沃兹七年级年级长,,香蕉姐的反击好解气哈哈哈,2321,2019-09-26 14:40
@梦想锦鲤,,麦茜那么可爱，哪里像老太太！！！,1352,2019-09-26 14:53
@走到哪里都是队草,,古大请指引我去看前11期的方向，谢谢,410,2019-09-26 15:53
@RichArz,,Zendaya好slay,1610,2019-09-26 14:31
@Rule192zz,,我有个爱吃洋葱圈的朋友想跟赞姐了解一下成功的味道,276,2019-09-26 15:45
@紅茶味海水,,感觉外国骂的都不算狠毒，看看亚洲的，简直可怕,273,2019-09-26 21:14
@刘北山欠我一次,,卡戴珊这个发型好好看,129,2019-09-26 14:35
@shkong,,想含一口 hot dog water 呢,80,2019-09-26 15:17
@olee720,,没想到香蕉姐性如烈火,82,2019-09-26 15:12
@海上纯牛奶,,我觉得这种，国内会公开回怼还怼的挺给力的我能想到的，高天鹤,59,2019-09-27 11:25
@妮尼熊,,卡戴珊的温柔杀绝了,78,2019-09-26 23:50
@所以所有名字都被占了,,为啥哪里都有那么多喷子啊……感觉他们只是为了黑而黑，并不是因为品格或者是任何其他的应该被指责的地方而黑这些明星。,80,2019-09-26 14:34
@想把萧敬腾嘿嘿嘿,,赞姐slay,30,2019-09-26 14:33
@月满V天心,,二丫每次衣品真的太差了·如果有团队的话·团队真的要批评·我怕每次都是妈妈给的意见~·每次出席正式场合搞的跟中年女人一样···反而私下穿衣服还年轻化~~哈哈哈哈哈··,23,2019-09-26 17:35
@谁说直男不能喜欢甜茶,,好喜欢Tiffany Haddish！！！！她一笑我直接一天就灿烂了！,27,2019-09-26 15:20
@嘎了个蹦脆,,委屈的二丫,18,2019-09-26 14:41
@MOLYTHH,,卡戴珊好美好温柔！,20,2019-09-27 09:03
@小小细腿a,,赞达亚：这是成功的味道。哈哈好解气,14,2019-09-27 13:00
@耐不住寒,,我get到了赞达亚的美，声音也好听好有个性,12,2019-09-27 11:11
@学强习国,,她们真的是言论自由啊,10,2019-09-27 09:01
@大脸猫并不会唱歌,,赞姐优雅回击，香蕉姐霸气回怼,9,2019-09-27 10:16
@海上纯牛奶,,哈哈,5,2019-09-27 11:02
@独角兽兽兽兽兽兽兽,,赞姐is an icon！,7,2019-09-27 08:50
@污喱ZhuZhu,,键盘侠不分国界哈哈哈,10,2019-09-27 09:23
@Twist33,,,7,2019-09-27 10:09
@啊秘密呀喂,,贊達亞酷斃了,4,2019-09-27 08:39
@我已经一年没有性生活了,,哇哇哇  最爱看这个！,3,2019-09-26 14:29
@巨饱彭,,@對RACHEL微笑YIP,2,2019-09-27 08:42
@Bs_Evan,,@城市慷慨亮整夜光__,1,2019-09-26 21:51
@yyyoa-,,@作济 哈哈哈哈哈哈哈哈快来,1,2019-09-27 14:24
@整座岛全是光,,@季叽馥疾己 ,0,2019-11-27 01:38
@你的小仙童_,,香蕉姐是要笑死我吗哈哈哈哈哈哈哈哈哈哈哈哈哈,1,2019-09-28 22:17
@不甜马提尼,,卡戴珊的dothat真不赖,0,2019-09-27 15:01
@白羊座的静丫头,,香蕉姐 哈哈哈哈哈 6666,1,2019-09-27 12:58
@覃克妮,,@思Zi_,0,2019-09-27 12:41
@觉少,,@DETACH9MENT 好刚啊哈哈哈哈,0,2019-09-27 10:53
@天紫轩,,,0,2019-09-27 10:47
@见本宫为何不跪,,666,0,2019-09-27 10:19
@欢乐海豚骑士,,转发微博,0,2019-09-27 10:02
@阿纯真的很严格,,,0,2019-09-27 09:55
@KinderZ,,@海盗会飞不,0,2019-09-27 09:54
@华尔街之小强,,有完整全集吗？,2,2019-09-27 09:26
@一只柠橙,,前面的11期在哪儿？！,1,2019-09-26 22:23
@等我想到好名字再改,,都12期啦,0,2019-09-26 15:27
@失眠困扰in,,赞达亚好会讲,1,2019-09-26 14:58
@苏脆脆是太阳女神,,@_张旺,0,2019-12-23 10:53
@称昵写填请4-30个字符,,长大后1、2都很好看,0,2019-12-03 11:58
@月女王_,,@ODLEILEIO,0,2019-11-17 13:32
@李大了了,,@乐乐乐乐的可乐,0,2019-10-12 13:03
@瞄左打右居然会,,前十一期去哪看鸭,0,2019-10-10 21:09
@林山山彡,,哈哈哈哈哈哈哈哈嘿咻的绝了,0,2019-09-27 20:10
@壳中小鸟,,赞达亚比蜘蛛侠里好看啊,0,2019-09-27 19:02
@就是BossYoung,,@PIK_W,0,2019-09-27 15:20
@溪岛_游游,,求问这节目名叫啥？,0,2019-09-27 14:52
@王册册是我,,转发微博,0,2019-09-27 14:08
@是夏黎文,,@肥的溜球,0,2019-09-27 13:56
@各位记得催我去学习,,卡戴珊和二丫好美,0,2019-09-27 13:43
@爱你的雨2010,,莎拉保罗森说motherfucker真好听,0,2019-09-27 13:10
@xxxba19,,@小京子___,0,2019-09-27 12:44
@sushdbuwus,,yoda那个哈哈哈哈哈哈哈哈,0,2019-09-27 12:21
@晚知君,,@傅多,0,2019-09-27 12:05
@新手机壳klh,,smells like success to me,0,2019-09-27 11:44
@神一样的金角大王,,@今天可乐被拉出黑名单了吗,0,2019-09-27 11:26
@荔宝最乖,,我勒个去，我居然看到了我家王一博穿得超帅的同款衬衫，我一定是太喜欢王一博所以幻视了。,0,2019-09-27 11:22
@盐妹Y,,@泡汤了团团 笑死 我越来越爱这个圈子了哈哈哈哈,0,2019-09-27 11:09
@努力努力努力再努力再再努力,,转发微博,0,2019-09-27 10:23
@橘橘煲,,麦西很可爱好嘛！！,0,2019-09-27 10:04
@橘橘煲,,太喜欢香蕉姐了！,1,2019-09-27 10:04
@我去买几个橘子,,@咕哒子妹抖,0,2019-09-27 09:53
@香橙麦芬,,@埃尔歌德性,0,2019-09-27 09:46
@_XXXLENE,,推特网友确实恶毒又傻* 没有微博网友一半的一半可爱又沙雕,0,2019-09-27 09:42
@歌歌歌歌呀,,哈哈哈哈哈香蕉姐,1,2019-09-27 09:34
@本豆一点也不甜甜圈,,香蕉赛高233333,1,2019-09-27 09:31
@百年老冰棍_还是选盾冬,,转发微博,0,2019-09-27 09:29
@小井小井甜蜜陷阱,,smell like success,0,2019-09-27 09:02
@阿金巴卜,,哈哈哈，二丫好可爱。,0,2019-09-27 08:55
@人生有限公司小猴子,,@Grace_Ch,0,2019-09-27 08:52
@考研的KKKylin,,好爽,0,2019-09-27 08:45
@又改名了不行嘛啊,,怎么12期啦，感觉没看几期,0,2019-09-26 23:21
@我永远喜欢矢泽妮可,,CK变模样了,0,2019-09-26 22:53
@FrozenDoomsayer,,他们的英语口语真好,0,2019-09-26 21:48
@七月沙伦,,MH是我的快乐源泉,0,2019-09-26 21:20
@黑炭魷魚,,把贊妹的JIO給我，我來！！！,0,2019-09-26 20:34
@Elise_Wasserman,,赞达亚,0,2019-09-26 17:53
@小卖部副部长V,,@夜正凉子,0,2019-09-26 17:53
@zzllljjj,,来了,0,2019-09-26 16:48
@糊里糊塗檬茶茶,,@由不得你小姐,0,2019-09-26 16:12
@supernuan,,@Allan_TY,0,2019-09-26 16:01
@大燕子啊,,女星读的有好多骂人的话。,0,2019-09-26 16:00
@捞仔一,,@Ww_kkkm,0,2019-09-26 16:00
@Nicolepitt,,回答都好机智,0,2019-09-26 15:50
@左宝林KevinZuo,,//@大懒糖: 欣赏这种态度,0,2019-09-26 15:43
@Mad·Hat,,高布伦那个真的,0,2019-09-26 15:23
@阿谭啊谭,,@阿蓉啊蓉 有点喜欢赞达亚了,0,2019-09-26 15:22
@Z章小米,,@AJ爱德华,0,2019-09-26 15:17
@小狐狸亼,,@大盗沈小毛,0,2019-09-26 15:16
@阿萨姆奶茶ss,,@无奈烟花易冷 哈哈哈哈,0,2019-09-26 14:35
@逃二源,,哈哈哈哈,1,2019-09-26 14:33
@热带暮,,最后一位好可爱,0,2019-09-26 14:32
@彼此损塞科恩,,二丫.....,0,2019-11-19 14:34
@静花花世界,,,0,2019-10-28 17:26
@WANGWENBIN1,,@妮妮憨妮,0,2019-10-28 16:47
@香喷喷的魏阿姨,,@超级卷卷儿,0,2019-09-27 17:37
@一个不耐烦的人,,二丫那个说的挺……确实有点那个意思,20,2019-09-26 14:29
@洛城市民刘先生,,BGM是啥,0,2019-09-26 14:54
@汝不至,,最后一位是不是出现在老友记上面跟乔伊有一集教乔伊演戏的剧情？,0,2019-09-27 09:23
@_Zheng-Z,,香蕉姐A爆了哈哈哈哈,0,2019-12-23 00:43
@黄扣歪,,@一坨菓,0,2019-11-28 20:45
