User,Reter,Comment,Votes,Time,Count
@你好-yuki小姐,,我觉得挺好啊，不是每座山都能建扶梯的，有条件的人坐扶梯，觉得没必要的就自己登，又不是没了山路，还可以上山看沿途风景又能省时间！,2065,2019-09-26 20:40,1
@H微雨燕双飞H,,我闻到了醋缸的味道。如果说，扶梯多余的话，那索道和盘山公路怎么没人喷？,935,2019-09-26 20:46,1
@你今天头发乱了哦,,扶梯是给那些不想爬但想观看美景的人或者老年人用起来更方便，你说这是爬山吗  你不想坐就爬楼梯或者野山啊   又没有强迫你坐  有些人真的是不知道酸什么酸,795,2019-09-27 11:43,1
@可能不太乖,,我就喜欢这种，让我这种爬不动山的也可以去看山上的美景。那些说少了爬山过程的？？你也可以选择不坐电梯，去爬山啊。这只是多一种选择而已。,339,2019-09-27 11:45,1
@孤芳自赏zsc,,没有灵魂的爬山,180,2019-09-26 20:08,1
@冷面T_T,,有了扶梯，幼儿老人行动不便的人都能去，我觉得挺好，满足了更多人的需求，就是满足不了杠精呢。,195,2019-09-27 11:55,1
@别吻我臭流氓,,老实说观赏风景很不错，应该也不会累。但是我严重恐高，会直接腿软。要是我喜欢的女孩子强迫我去，她这辈子得不到我的少男心,186,2019-09-27 11:00,6
@余生41062,,这么多杠精。人家建人家的扶梯。不想坐你去爬。碍着你什么事了。,119,2019-09-27 11:40,1
@我是柠檬我酸了qx,,喜欢 爷爷奶奶想去爬山也可以了 老一辈人没怎么出去过  原来还担心 爬不上去怎么办呢,69,2019-09-27 12:29,1
@Yang杨杨7613,,我倒觉得很人性化，有了这电梯不方便的人和老人也都可以多看看了，花那么多钱造的收费也应该理解啊，又不是说强迫性必须要坐电梯才能上去,76,2019-09-27 11:41,1
@孙洪岩2012,,就喜欢这样的景点，门票贵点也没事,41,2019-09-27 09:38,1
@mhcc18,,太好了，可以带着奶奶去爬山了,28,2019-09-27 12:31,1
@自在骁尧,,这样爬山是没有灵魂的,2,2019-09-27 13:32,1
@_Saadiya-,,今天刚在张家界坐了穿山扶梯,3,2019-09-27 13:15,1
@本尼缺的小迷妹,,哈哈哈哈哈我以前的想象居然真的实现了,3,2019-09-27 13:07,1
@涂山苏苏1016,,好适合我啊，我就是想看看风景又不想动,2,2019-09-27 12:50,1
@凌晨3点萨克斯,,还是喜欢我们四川的九曲黄河第一湾,1,2019-09-27 12:07,1
@老刘今天不吃饭,,愿意爬山就自己爬，不想爬山的但是想去看风景的坐电梯  吵个鸡毛  显得自己有思想？,3,2019-09-27 11:50,1
@迎面而来的冷空气,,喜欢 想去！,1,2019-09-27 12:55,1
@豌豆儿星,,半个小时就能爬到山顶的山真有必要做电梯吗,1,2019-09-27 13:38,1
@呀他怕可怜叫啥考虑,,新密话真亲切,3,2019-09-27 12:17,1
@博乐先升,,爬山的变成了坐电梯，少了爬山的过程，少了很多乐趣,4,2019-09-26 20:46,1
@-魏先生-,,没意思,1,2019-09-26 20:11,1
@夷陵老祖的工作室,,这个电梯要是一个人摔倒全部都滚下去？？？,0,2019-09-27 13:54,1
@无道-kwon,,这……,0,2019-09-27 13:48,1
@暮雨初雪2011,,适合我这种又懒又想爬山的人，而且老人小孩更方便了,3,2019-09-27 13:13,1
@蒂姆宝宝宝,,这山平时多人吗？这玩意不要到时就是个摆设舍不得开。,3,2019-09-26 23:17,1
@三峡冰石,,能不能让大家好好爬个山，锻炼锻炼身体？,3,2019-09-26 22:35,1
@同意-请鼓掌,,意义何在？？？哗众取宠！！！,3,2019-09-26 21:33,1
