User,Reter,Comment,Votes,Time
@动漫头像,,喜欢动漫的小可爱可以关注我啊，每天分享许多好看的动漫头像,8,2019-09-27 16:31
@月向雏田,,宁次自来也鼬神+111111,338,2019-09-27 16:28
@Lidecici,,别问！问就是银！我每年都要哭一次！,264,2019-09-27 16:29
@洛娅缇,,小福贵走了，小飞蝶也走了。,232,2019-09-27 16:30
@我也想喝可乐了,,日向宁次,186,2019-09-27 16:30
@最嫌弃你,,桔梗,153,2019-09-27 16:28
@钢铁嘟噜噜,,艾斯 冯克雷 ！,62,2019-09-27 16:33
@米娅的笔记,,大鱼海棠   必须拥有姓名,87,2019-09-27 16:30
@想吃东西不想胖,,萤火之森，，看一遍哭一次，,70,2019-09-27 16:31
@赵莳莘,,吸血鬼骑士！！！！对于所有人的结局都不能接受,36,2019-09-27 16:35
@很能吃的崽,,狐妖小红娘的淮竹麻麻!,49,2019-09-27 16:31
@朱十点半,,四月是你说的谎！,36,2019-09-27 16:31
@你好我是图奇,,自来也,49,2019-09-27 16:29
@卡比一一一,,宇智波鼬,45,2019-09-27 16:29
@余笙温良,,未闻花名,28,2019-09-27 16:30
@安子妈y别来无恙,,《火影忍者》日向宁次！！！！,21,2019-09-27 16:35
@碗转曲尘花Artemis,,虹猫蓝兔系列《勇者归来》未完结。我不相信我的少侠一直武功尽失，受人欺凌。我不相信我的宫主一直失去记忆，忘记初心。他们本该长虹冰魄，长相厮守，闯荡江湖，守护大地。我不相信其他五侠一直处于幼年，无法正常。我会一直等，哪怕下一个十年，我也愿意等着七侠归来。cr:@画画的袖袖 评论配图,11,2019-09-27 16:40
@小彭同学Kawai,,塔兹米和赤瞳，塔兹米最后还是死了,14,2019-09-27 16:31
@六一村的小葵丝,,自来也！,18,2019-09-27 16:33
@无肉不欢君御宇,,彩云国物语，刘辉送走了几乎所有人，秀丽死了，大家都死了，空荡荡的皇位就剩一个他,10,2019-09-27 16:33
@守夜人sjsx,,死神!!!,4,2019-09-27 16:36
@周放的小情人,,银是我的遗憾啊,9,2019-09-27 16:33
@W恣睢W,,周防尊,11,2019-09-27 16:34
@路飞快去找他吧,,死亡笔记 L,6,2019-09-27 17:27
@是美蛋啊,,神厨小福贵！！！！,6,2019-09-27 16:35
@麻不辣哦,,Nana,4,2019-09-27 16:34
@昀的的的私人小仙女儿,,千与千寻,13,2019-09-27 16:29
@四分之一个芒果,,环保剑！！！！！！！,4,2019-09-27 16:37
@林粉姐姐,,秒速五厘米,9,2019-09-27 16:29
@lyf是我家哒,,银是我的意难平,6,2019-09-27 16:31
@银色天然卷毛,,银,1,2019-09-27 16:51
@吃猫猫的你,,桔梗死的那时候我哭了一晚上,5,2019-09-27 16:33
@黄子弘凡_Heart,,银真的哭死我了,1,2019-10-01 15:28
@V昊719,,我的阿银呐,0,2019-09-27 19:17
@_你没见过的烂好人,,jojo第三部里的阿布德尔和伊奇,3,2019-09-27 16:55
@玉玉的锦鲤麻麻,,【你认为最让人感到可惜的动漫角色是谁】，我投给了“《萤火之森》的银”这个选项，你也快来表态吧~银啊啊啊啊,1,2019-09-27 16:59
@夹子居居ii,,艾斯！！！从他和白胡子死后我看海贼王的动力灭了一大半，缓了半个月才继续追的,3,2019-09-27 16:49
@麻球Athena,,终结的炽天使没人说吗 很心疼米迦小天使和克鲁鲁,3,2019-09-27 16:36
@Ch奇Qi,,犬夜叉的也想投！还有自来也,4,2019-09-27 16:30
@古三通,,自来也,3,2019-09-27 17:15
@寄奴ll,,怎么没有自来也和宁次,3,2019-09-27 16:43
@麻球Athena,,未闻花名啊，最后的时候哭死辽,2,2019-09-27 16:34
@一只离ya,,艾拉 结局哭死我了[淚][淚],3,2019-09-27 16:32
@OO最刚啦,,优吉欧,1,2019-09-27 18:01
@筱鱼叔影集,,十二位黄金圣斗士,1,2019-09-27 17:25
@烧烧烧烧烧烧肉粽,,萤火之森 我看的第一个日漫(算日漫吗)反正超好看超推荐,1,2019-09-27 17:16
@一只rua,,乌尔奇奥拉,0,2019-10-07 14:46
@还是困阿,,我想吃掉你的胰脏里面的樱良啊！,0,2019-10-01 01:21
@薛宇的幸福生活,,斯雷因.特洛耶特！,0,2019-09-29 16:06
@喜欢茶兀,,紫罗兰永恒花园的少佐,0,2019-09-29 01:10
@湮酒_,,团长,1,2019-09-28 19:12
@热牛奶和芒果,,四月是你的谎言 宫园薰×有马公生,0,2019-09-28 00:03
@Ashier-,,寻找满月。。。,0,2019-09-27 23:43
@糖很甜97756,,我想吃掉你的胰脏,0,2019-09-27 21:52
@Tang_Jioo,,鬼灭之刃锖兔,0,2019-09-27 21:14
@除草的京八桥,,柯南里面的库拉索，宫野明美，松田.,0,2019-09-27 19:33
@碓美咲冰,,只看过萤火之森，所以选银，我当时真的哭的停不下来,0,2019-09-27 19:25
@塵世雲深,,未闻花名,0,2019-09-27 18:10
@逗豆是猪头怪的宝贝,,艾斯,0,2019-09-27 17:42
@一名正经的微博用户,,我觉得是柯拉松，柯拉松死的时候我要哭死了，每次看都哭,0,2019-09-27 17:30
@好好做个医学生,,银真的让我哭了好久,0,2019-09-27 17:19
@鱼虎养殖地oO,,渚薰!!!!我是为了遇见你才诞生于世的,0,2019-09-27 16:54
@Hair-TT,,秒速一厘米,0,2019-09-27 16:51
@是小王子吗是的,,朽木露琪亚，我是一露党,3,2019-09-27 16:35
@故人归-20150817,,宇智波鼬啊,1,2019-09-27 17:47
@Refuse2nostalgia_V,,angel beats！,1,2019-09-27 16:36
@请称呼我为钱钱,,萤火之森应该要有姓名。,0,2019-09-29 15:11
@-是林志颖啊,,桔梗没啥可惜的,0,2019-09-28 15:06
@IKi一格,,宁次 都快打完了次奥,0,2019-09-27 23:27
@弗濑mingo_,,文豪野犬 织田作,0,2019-09-27 23:12
@再吃就把我火化了,,hybrid child,1,2019-09-27 18:42
@我给你一棒槌,,栗山未来,1,2019-09-27 18:02
@我可以摸你尖尖吗,,银,0,2019-09-27 17:24
@Yen_Ru,,大鱼海棠的湫，我真的哭死,0,2019-09-27 17:22
@浪哩个郎-,,绘梨衣,0,2019-09-27 17:21
@苏锗yo,,四月谎,0,2019-09-27 17:20
@TerribleW,,夜袭里的所有成员…,0,2019-09-27 17:18
@赴人间风月,,都可惜,0,2019-09-27 17:18
@圈圈圆圆小妞妞,,桔梗是心头的朱砂痣,0,2019-09-27 17:18
