User,Reter,Comment,Votes,Time,Count
@一杯橙汁儿·,,我来说 孟美岐粉丝恶臭,17074,2019-09-27 11:02,2
@纸间的蓝,,感谢张老师对山支的照顾,3301,2019-09-27 11:02,1
@姬近分子,,别瞎按头 孟美岐粉丝专注孟美岐 美就完事了 评论配图,2394,2019-09-27 11:03,2
@千黛汐Rebecca,,张嘉倪本来就年轻啊 很美,2995,2019-09-27 11:01,4
@LinkinL5678,,美岐试下注意保暖啊，自己还重感冒着呢 评论配图,2041,2019-09-27 11:02,1
@五月的fish,,都好看啊，为啥要拉踩比美，孟美岐跟谁同框看秀都要被拉踩，粉丝夸爱豆也要被嘲，孟美岐和粉丝实惨了 评论配图,1990,2019-09-27 11:03,1
@一心一意毛毛球,,这跟孟美岐并没有什么关系吧？真不至于什么都带着，孟美岐粉丝祝他们一直幸福下去,1556,2019-09-27 11:04,1
@·喜乐,,不懂就问 夸年轻跟孟美岐有什么关系？？为什么要带孟美岐出来？？,1456,2019-09-27 11:04,2
@-七仴七艾七栀-,,您可别带孟美岐了 我们啥也不知道,1068,2019-09-27 11:03,2
@台悦音,,美岐好看,906,2019-09-27 11:02,4
@岐吧看书姐姐,,孟美岐粉丝昨天都在集体开心我们宝贝新认识了一位漂亮姐姐，谁知道。。哎咱也不敢说咱也不敢问,868,2019-09-27 11:02,2
@長林失眠了,,感谢姐姐对美岐的照顾 评论配图,723,2019-09-27 11:05,3
@盐颜有点甜,,都好看啦！plmm还加了好友呢！ 评论配图,650,2019-09-27 11:05,1
@智先生-,,孟美岐粉丝很开心孟美岐第五次去时装周，第七次受邀看秀，也很开心第二次出席chloe的大秀，秀超级好看，C字包值得入手，也很开心偶像认识新朋友。部分粉丝个人积怨，不必占用公共资源，祝大家生活愉快。,473,2019-09-27 11:04,1
@啊啊啊啊啊阿岐,,孟美岐好美 评论配图,421,2019-09-27 11:04,1
@限定女殺手,,谢谢姐姐 孟美岐照顾好自己哦,371,2019-09-27 11:05,1
@九街十二巷邮局,,张嘉倪真的好好看,278,2019-09-27 11:01,1
@左右江南,,哇！！！张嘉倪姐姐好美，美岐也好美，谢谢你对美岐的照顾，友谊99,245,2019-09-27 11:01,3
@犟的boom,,孟美岐 评论配图,217,2019-09-27 11:05,2
@野涧芦田,,孟美岐粉丝又不是神经病 个别粉丝言论不要说整个粉丝群体有病了可以不 粉丝现在夸也不敢夸 话都不敢说 然后看到路人骂人也不能回骂 没有这个道理啊,199,2019-09-27 11:03,1
@研q专员嘟嘟嘟,,那孟美岐粉丝祝她们幸福,160,2019-09-27 11:05,2
@皮卡丘咕噜猫,,管孟美岐啥事  你这个微博文案我就看不懂了啊,119,2019-09-27 11:05,1
@岐吧看书姐姐,,#张嘉倪 孟美岐粉丝# 单纯的小粉丝们哪里知道人家微博底下会空降一个阴阳怪气比美的热评，紧接着楼中楼拼命谩骂孟美岐，导致个别粉丝生气还嘴，对方就火速删了评论以至于我们都没有想到去截图。然后这点事情就热搜了？？看来孟美岐值得大家氪金，孟美岐粉丝同样值得花钱热搜哈,134,2019-09-27 11:01,2
@犟的boom,,孟美岐真好看 评论配图,95,2019-09-27 11:06,2
@萌妹岐甜软奶香酥,,别带孟美岐,82,2019-09-27 11:04,2
@搞球选手,,孟美岐粉丝祝两位一直幸福，可以不带孟美岐了吗,64,2019-09-27 11:08,1
@Youngmoney88168,,不关孟美岐的事吧……她最近有点惨…,77,2019-09-27 11:05,1
@reallyreally小张,,都很好了 对不住有孟美岐对家粉扮粉丝黑，请大家不要在意。,70,2019-09-27 11:01,1
@皛白白很白,,孟美岐给张嘉倪加油啦 http://t.cn/AinHOEBy,67,2019-09-27 11:07,1
@阿姆斯特丹的牧羊人,,联合炒作搞孟美岐？,51,2019-09-27 11:03,1
@-七仴七艾七栀-,,祝您们幸福啊 ,49,2019-09-27 11:07,2
@YourSier,,山支粉丝也觉得张嘉倪小姐姐很漂亮！看到美岐结交新朋友很开心！两个plmm还合影了，看来看秀看得很开心,37,2019-09-27 11:05,1
@孟美岐是我滴小宝贝,,别带孟美岐啦，孟美岐粉丝瑟瑟发抖,35,2019-09-27 11:05,3
@热带雨林的心灵守护驿站,,,43,2019-09-27 11:26,1
@来一份忘羡,,完了 买超要被屠了,30,2019-09-27 11:02,1
@Frenji_,,美岐也好看诶,34,2019-09-27 11:05,1
@GarfieldaLaker,,粉丝自己作现在在这儿空瓶叫别带mmq，真的笑了粉丝行为偶像买单这么简单的道理不懂么,37,2019-09-27 11:19,1
@姬近分子,,孟美岐粉丝祝两位幸福 就别带美女出场了 评论配图,28,2019-09-27 11:06,2
@孟美岐是我滴小宝贝,,你们怎么这么坏，放过孟美岐吧，别带我的宝贝啦,29,2019-09-27 11:06,3
@season小2,,孟美岐好好看,27,2019-09-27 11:06,1
@七月未萌,,mmq粉丝这都要空瓶？？？？？？,44,2019-09-27 11:27,1
@阿毛是只潜力股,,祝张老师一家幸福。别带孟美岐了。谢谢,22,2019-09-27 11:07,1
@有好好长大_,,人家夫妻情调跟孟美岐有啥关系，求求别带孟美岐了,21,2019-09-27 11:09,1
@片切友一,,张嘉倪颜值赢了！,22,2019-09-27 11:01,1
@今日宝藏,,根本就没什么事情，被这样不断夸大发散，孟美岐粉丝明明都在为美岐去时装周结交新朋友开心，也一直在说都很好看，但就总是有故意挑事或者踩一捧一的。尊重是基本，女性也不是天天用来比较的，这本来就是不尊重。没人说你不可以表达欣赏，可以夸你喜欢的，但不要比较别人，换位思考一下吧,18,2019-09-27 13:14,31
@SWONGKO,,感谢前辈对美岐的照顾,17,2019-09-27 11:05,1
@岐迹之夏,,我只看得到孟美岐，别来按头。,16,2019-09-27 11:05,1
@YOKI减肥小仙女,,哈哈哈哈哈哈张佳妮好年轻啊,12,2019-09-27 11:01,1
@做个努力的小笼包_,,哪儿TM都有mmq粉丝,23,2019-09-27 11:54,1
@我是你家小纯洁呀,,这不必带孟美岐吧，孟美岐和孟美岐粉丝高攀不起,13,2019-09-27 11:14,1
@孟美岐是我滴小宝贝,,放过孟美岐吧,13,2019-09-27 11:05,3
@此号专属毛毛球,,孟美岐粉丝不敢说话，别带了,14,2019-09-27 11:06,1
@ReallyLikeCat,,张嘉倪确实好看多了,15,2019-09-27 11:02,1
@朴花花丿,,骂完 然后再装可怜 mmq粉丝好棒啊,20,2019-09-27 12:24,1
@衣衣-May,,张嘉倪是真的很好看！前几年看她那个天师钟馗，和欧阳震华一起演的那个，真的是美得冒泡,10,2019-09-27 11:05,1
@春日出租,,张嘉倪确实就是气质好而且美啊,9,2019-09-27 11:04,1
@心笙情话,,都当妈妈了，还满满的少女感,6,2019-09-27 11:03,1
@环游一周的行星,,mmq粉真阴阳怪气 路人说张好看 被网暴 现在这事被拉出来说了又开始卖惨 指责张 ,21,2019-09-27 13:14,1
@文琪琪DoDo,,真的碾压,15,2019-09-27 11:20,1
@孟婆汤掺了水,,美岐粉丝祝嘉倪家庭幸福美满，开心美岐交了个新朋友,9,2019-09-27 11:10,2
@闹闹米的小盒子,,"粉丝不吹mmq的颜值会每次都被说吗,实力ok但是别颜值别吹过了",13,2019-09-27 12:52,1
@香蕉你个老西瓜,,评论里粉丝还在阴阳怪气的说话,15,2019-09-27 11:56,1
@北有西池,,我以为底下评论会是关于张嘉倪的，结果拉下去全是孟美岐,16,2019-09-27 13:42,1
@仰望彼岸的我,,确实，人家生了孩子的都比旁边那位好看,12,2019-09-27 11:55,1
@AllForMengMeiQi,,可以了停,5,2019-09-27 11:04,1
@万琉哈·哲哲,,张嘉倪本来就好看啊,11,2019-09-27 11:04,1
@海浪拥护的少年,,张嘉倪真的好好看，好喜欢她,6,2019-09-27 11:03,1
@追剧桃子bot,,买超是张嘉倪最大的粉头,4,2019-09-27 11:29,1
@校长这个名字已经被抢了,,哈哈哈买超的意思是说再生一个么,7,2019-09-27 11:10,1
@保护安琪拉的di仁杰_,,张嘉倪好优越,7,2019-09-27 11:05,1
@点外卖的王先生,,张嘉倪好漂亮蒸煮回应啦,5,2019-09-27 11:02,1
@现总的好吃的甜点,,都是大美女,5,2019-09-27 11:01,1
