User,Reter,Comment,Votes,Time
@肖宁,,我24岁的时候我爸47岁,972,2019-09-28 08:31
@喝杯奶茶又不会胖,,果然啊 都喜欢年轻的女孩子,636,2019-09-28 08:29
@性科普bot,,恭喜啊，终于等到利达结婚了，哈哈,223,2019-09-28 08:29
@花前沽酒,,恭喜利达，把今年的结婚名额占了,195,2019-09-28 08:55
@IlIIlIII,,果然男人都喜欢年轻的，,127,2019-09-28 08:33
@温柔种茧,,恭喜啊，终于等到利达结婚了，哈哈,76,2019-09-28 08:29
@小宝捣蛋狐狸,,对老夫少妻真的没啥好感,88,2019-09-28 09:07
@Jerry的无声演奏,,都能当她爸了呀,72,2019-09-28 08:31
@赵老宽呀,,图四乍一看有点像黄海波，就是黑了点,20,2019-09-28 08:31
@一串不知所谓的乱码,,其实挺有夫妻相的，就是岁数差了一轮都可以当父女了,31,2019-09-28 08:41
@柠檬琉璃夏AK,,哇，终于～恭喜城岛利达！,23,2019-09-28 08:31
@搬砖少女r,,我今年24，我爸48,11,2019-09-28 09:02
@敞开胸怀看世界79,,和他丈人是不是一样大,18,2019-09-28 09:40
@茜宝中个一千万,,恭喜了,8,2019-09-28 08:30
@夕瑶yuk,,日本男生真的老婆都好看,3,2019-09-28 08:30
@美人酱,,赞一个,2,2019-09-28 09:08
@僧人修行,,不由自主的卧槽！果然全世界的真理都一样呢,4,2019-09-28 09:05
@兔哓零,,长得还挺有夫妻相的,3,2019-09-28 08:53
@Ain_Beauty君,,晚婚,1,2019-09-28 08:30
@杨幂魏大勋官宣没有,,恭喜恭喜！一步到位，直接当爸,2,2019-09-28 08:30
@Mr小熊饼,,这两个人见父母，男的叫兄弟，女的叫爷爷,3,2019-09-28 09:31
@光芒万丈的雪兔,,今年流行组团结婚?,2,2019-09-28 08:44
@HolyLight_1995,,什么时候能看到V6leader结婚的消息？,3,2019-09-28 10:40
@追星小小卒,,哈哈，只要你足够优秀，足够有钱，年龄都不是问题，当然如果你没有那两个条件，只能看看别人了,1,2019-09-28 10:30
@beautiful_blossom,,年轻的时候也是美少年，现在老了,1,2019-09-28 16:43
@啊嘎嘎嘎妹呀,,我现在22岁我爹地47岁,1,2019-09-28 16:25
@你找不到我啊啊,,我现在24刚好我爸妈比我大两轮48,1,2019-09-28 11:58
@我也很想快乐的,,差两轮……,2,2019-09-28 09:51
