User,Reter,Comment,Votes,Time,Count
@仙子的仙女糖,,我也很爱很爱你,1053,2019-10-11 22:31,1
@不完美旅程-,,期待明天初舞台！！！,881,2019-10-11 22:29,1
@廷仔的糖,,期待明天的初舞台,860,2019-10-11 22:36,1
@永久难过,,我也特别爱你，希望你一切都好。,721,2019-10-11 22:29,1
@双鱼仙子最好命,,宝贝 啊啊啊啊你来了 爱你哦 啾咪,627,2019-10-11 22:29,2
@喵呜一口甜奶盖,,我爱你,594,2019-10-11 22:29,1
@太阳被羊驼叼走了了了,,宝宝我爱你,533,2019-10-11 22:29,1
@Viviencky,,啊啊啊啊啊啊啊宝贝我爱你！,477,2019-10-11 22:29,2
@166颗蚌壳廷,,宝贝期待你明天的舞台,432,2019-10-11 22:29,1
@EatMe030,,我爱你哥哥,402,2019-10-11 22:29,1
@今天又卑微,,啊啊啊啊啊啊啊啊啊啊宝贝我在,210,2019-10-11 22:29,1
@每天都把心放在正正那里,,妈妈爱你 一直在 明天演出顺利 毕业快乐,180,2019-10-11 22:29,1
@敲卡爱,,我一直都在,175,2019-10-11 23:23,1
@就爱我头像,,我们都特别爱你的,158,2019-10-11 22:29,2
@你的葡萄,,5555宝宝你最好了,143,2019-10-11 22:29,1
@温柔的泥谭,,你值得被温柔以待,131,2019-10-11 22:29,1
@听听的薄荷-,,啊啊啊啊宝贝,121,2019-10-11 22:29,1
@朱正廷的现代舞,,爱你,96,2019-10-11 22:29,1
@SweetBilberry,,哥哥！！,96,2019-10-11 22:29,1
@初恋桃气包_,,你一直这么好,83,2019-10-11 22:29,1
@神官仙气,,宝贝我们一直都在,59,2019-10-11 22:29,1
@谢三岁今天瘦了吗,,我们一直都在,57,2019-10-11 22:29,1
@RENXINMENGMENG,,爱你,38,2019-10-11 22:29,2
@正在挖矿的小樱桃_TING,,期待明天啊,28,2019-10-11 22:30,1
@Razliubit_V,,妈妈来了,26,2019-10-11 22:29,1
@追命七月-,,若能避开猛烈的欢喜 自然也不会有悲痛的来袭 可你从人潮中走来 这狂喜 避无可避@THEO-朱正廷,25,2019-10-11 22:29,1
@故人谱,,我也爱你 我也是你的家人 尊重你爱你理解你,16,2019-10-11 22:29,1
@零下三壹八度,,宝贝我爱你！,16,2019-10-11 22:29,2
@RENXINMENGMENG,,我们也是家人,16,2019-10-11 22:29,2
@听听幼儿园园长,,呜呜呜呜呜哥哥你最棒啦！！,17,2019-10-11 22:29,1
@就爱我头像,,特别爱你,10,2019-10-11 22:32,2
@Kevia婧小婧,,你是最棒的，永远爱你,10,2019-10-11 22:30,1
@翠花·朱·布朗,,爱你啊宝贝,8,2019-10-11 22:29,1
@judy麻麻521,,宝贝爱你,9,2019-10-11 22:29,1
@是你的天使儿,,宝贝我爱你,7,2019-10-11 22:29,2
@双向箭头超甜,,宝贝我爱你,7,2019-10-11 22:29,1
@超甜珍珠糖,,也感谢有你 让我平淡的生活变得绚丽多彩,8,2019-10-11 22:30,1
@THEO-阿黎,,我爱你！希望你一切都好！,6,2019-10-11 22:29,1
@冰摇柠檬不要茶,,是一如既往暖心 贴心 重感情的你啊,5,2019-10-11 22:29,1
@芋泥啵啵去冰少糖,,宝贝,8,2019-10-11 22:29,1
@Beabaekk,,谢谢你 我爱你@THEO-朱正廷,3,2019-10-11 22:33,1
@啾咪正宝-,,珍珠糖一直陪着你的   哥哥,3,2019-10-11 22:32,1
@兔叽糖里misa酱,,每天给我新鲜感我知道！,6,2019-10-11 22:29,2
@仙子正的仙女欣,,爱你,4,2019-10-11 22:29,1
@chrischen_THEO,,我们很爱你啊,4,2019-10-11 22:29,1
@今天也是修仙的董小姐,,辛苦了宝贝,4,2019-10-11 22:29,2
@看到请叫我不要熬夜-,,爱你呀 一直都在,4,2019-10-11 22:29,1
@国子祭酒-,,哥哥,4,2019-10-11 22:29,1
@·阿辣,,宝贝我爱你！！！,4,2019-10-11 22:29,1
@你-说话注意一点儿,,#朱正廷重感情# 爱你,4,2019-10-11 22:29,1
@囧囧伊米哒,,爱你  贝贝,4,2019-10-11 22:29,1
@哈哈鹅鹅鹅-,,我也很庆幸可以遇见你 是那种 如果退回第一天还是会愿意喜欢你,0,2019-10-11 23:12,1
@THEO-婷婷,,你值得，因为你，我也在努力让自己更优秀！@THEO-朱正廷,0,2019-10-11 22:56,1
@森琉玥,,爱你哦,0,2019-10-11 22:56,1
@真的在换id,,超感谢遇到你，知道吗宝贝,0,2019-10-11 22:38,1
@懶癌末期患者_Mo,,愛你[親親][親親][親親]寶貝,0,2019-10-11 22:33,1
@Accompanyzzt,,期待宝贝明天的舞台，超喜欢你,0,2019-10-11 22:32,1
@kiisye,,,0,2019-10-11 22:30,1
@今天刘也发舞蹈视频了吗,,我爱你,1,2019-10-11 22:30,1
@烦烦不烦z听听,,期待你啊宝贝，明天加油,1,2019-10-11 22:30,2
@双鱼仙子最好命,,宝贝,0,2019-10-11 22:30,2
@抱住贝贝_,,我来啦,1,2019-10-11 22:30,1
@-Yingzzzz,,期待明天的演唱会哦,1,2019-10-11 22:30,1
@·四月吱兔·,,,1,2019-10-11 22:29,2
@七个崽崽的老母亲_,,爱你！！！！,2,2019-10-11 22:29,1
@再睡六分鐘-,,哥哥！！,2,2019-10-11 22:29,1
@柠檬好酸你也是,,宝宝我爱你,2,2019-10-11 22:29,1
@Fondofzzt,,啵啵啵爱你！,2,2019-10-11 22:29,1
@-不能再喝奶茶了,,宝贝爱你！,2,2019-10-11 22:29,1
@貝貝的琳琳,,爱你么么哒,2,2019-10-11 22:29,1
@两罐糖够不够甜,,再来夸夸绝美mv(￣ε(#￣)宝贝明天加油 工作辛苦啦,2,2019-10-11 22:29,1
@·四月吱兔·,,爱你 期待明天哥哥哦,3,2019-10-11 22:29,2
@糯米大福团,,宝贝！！！！,2,2019-10-11 22:29,1
@窝在小廷怀里-,,宝贝爱你,2,2019-10-11 22:29,1
@每天给你新鲜感0318,,爱你哦,2,2019-10-11 22:29,1
@Joker-珍珠糖zzt,,我也感谢遇见你！！！！期待明天的舞台！！！,5,2019-10-11 22:31,1
@不可以吃吱吱兔,,永远爱你,3,2019-10-11 22:29,1
@仙子24179,,爱你,0,2019-10-11 22:40,1
@酒意少女,,卸下包袱轻装上阵一路前行,4,2019-10-11 22:30,1
@小火锅本锅ccc,,爱你宝贝！,4,2019-10-11 22:29,2
@小火锅本锅ccc,,宝贝好棒！,4,2019-10-11 22:29,2
@YAQIAnnnn_,,填这个,2,2019-10-15 19:18,1
@轩轩的小天使0318,,我也特别爱你，希望你一切都好。,0,2019-10-11 22:31,1
@星辰大海初破晓,,若逢新雪初霁，满月当空，下面平铺着皓影，上面流转着亮银。而你带笑地向我走来，月色和雪色之间，你是第三种绝色。,2,2019-10-11 22:57,2
@我认真在听,,爱你~,2,2019-10-11 22:35,1
@Wh-Sheep,,期待明天的舞台 飞饼买来！,3,2019-10-11 22:29,2
@Sally-梦琪,,宝贝 我爱你,3,2019-10-11 22:29,2
@嗜甜成瘾,,mv很好看 爱你,2,2019-10-11 22:29,1
@ZzYylx,,也希望你一切安好我的宝贝.,2,2019-10-11 22:29,1
@奴婢给您请安了_,,爱你 感谢有你,2,2019-10-11 22:29,1
@摘下星星给阿廷_,,新歌特别好听哦 mv太好看了啊,2,2019-10-11 22:29,2
@Sally-梦琪,,爱你爱你 宝贝 ,3,2019-10-11 22:29,2
@BEI贝贝啦,,我爱你哥哥,1,2019-10-11 22:29,2
@KPCYM,,前排,1,2019-10-11 22:29,1
@月下奔赴星海,,我爱你哥哥,2,2019-10-11 22:29,1
@柒味潆酒,,很幸运遇到你宝贝,1,2019-10-11 22:29,1
@一只兔子啃鸭脖,,晚安,2,2019-10-11 22:29,1
@是朱正廷的梆子nei,,啊啊啊啊啊啊宝贝,2,2019-10-11 22:29,1
@今天我获得快乐了吗,,爱你宝贝,2,2019-10-11 22:29,1
@摘下星星给阿廷_,,我爱你哥哥,1,2019-10-11 22:29,2
@Zzt和马宝最可爱,,,2,2019-10-24 22:30,1
@Dontworry_Zt,,,1,2019-10-13 03:53,2
@Dontworry_Zt,,,1,2019-10-13 03:43,2
@转个运er,,,1,2019-10-13 03:00,2
@学游泳的青蛙ama,,,1,2019-10-12 23:25,1
@来自南极星球的奶葵,,哈哈，陈强我朋友,1,2019-10-12 17:37,1
@川间有风,,好滴,1,2019-10-12 16:28,1
@YcathyWcathyH,,期待,1,2019-10-12 12:56,1
@THEO-瀟湘雪,,2017年最好的运气就是见到你，认识你， 2018年最开心的就是 了解你，喜欢你， 2019年最幸福的就是 陪着你，相信你， 以后的路我也不会缺席，珍珠糖一直在！ @THEO-朱正廷,1,2019-10-12 08:44,1
@THEO-朱糖,,贝贝，我一直一直永远永远都很爱你,1,2019-10-12 08:22,1
@全宇宙最幸福的奶茶,,我很爱你,1,2019-10-12 07:18,1
@想想开心的好好生活,,真诚待人重感情的好男孩#朱正廷重感情#,1,2019-10-12 07:02,4
@想想开心的好好生活,,重感情的人在交往上也会付出比较多吧爱你爱你,1,2019-10-12 07:01,4
@冰菡柔,,期待[加油],1,2019-10-12 05:43,1
@转个运er,,,1,2019-10-12 02:33,2
@-卷卷云,,爱你,1,2019-10-12 01:36,3
@THEO-zzt潼,,宝贝超棒！马上就要见到你啦！开心！,1,2019-10-12 01:12,1
@梦里咏诗,,演唱会顺利,1,2019-10-12 01:06,3
@梦里咏诗,,愿你永远快乐,1,2019-10-12 01:06,3
@梦里咏诗,,我爱你贝贝,1,2019-10-12 01:06,3
@夏末凉城空余心__,,看了这节目才认识你，你真的很暖很棒,1,2019-10-12 00:43,1
@小胡小胡天天都胡,,宝贝 爱你哦 今晚见,1,2019-10-12 00:26,1
@HHHJling,,很爱很爱你,1,2019-10-12 00:17,1
@娇兔er,,朱正廷 朱正廷,1,2019-10-12 00:15,21
@娇兔er,,朱正廷,1,2019-10-12 00:15,21
@娇兔er,,朱正廷 朱正廷,1,2019-10-12 00:15,21
@娇兔er,,朱正廷,1,2019-10-12 00:15,21
@娇兔er,,朱正廷 朱正廷,1,2019-10-12 00:15,21
@娇兔er,,朱正廷,1,2019-10-12 00:15,21
@娇兔er,,朱正廷 朱正廷,1,2019-10-12 00:15,21
@娇兔er,,朱正廷,1,2019-10-12 00:15,21
@娇兔er,,朱正廷 朱正廷,1,2019-10-12 00:15,21
@娇兔er,,朱正廷,1,2019-10-12 00:15,21
@Zzt斯小烨,,我也有因为有你而更好啊,1,2019-10-12 00:12,2
@粉海珍珠落入心中,,我们也很庆幸有你,1,2019-10-12 00:01,1
@麻烦的小生物,,从恋爱吧开始到结束，我明知道每次你都会发博，可是每次我都忘,1,2019-10-11 23:58,1
@z雨z山z,,真心换真心，一直都在爱你,1,2019-10-11 23:52,1
@娇兔er,,朱正廷 朱正廷,1,2019-10-11 23:44,21
@娇兔er,,朱正廷 朱正廷,1,2019-10-11 23:44,21
@娇兔er,,朱正廷,1,2019-10-11 23:44,21
@娇兔er,,朱正廷,1,2019-10-11 23:44,21
@哄自己开心呢,,陪伴你的每一个当下都让我觉得很幸福！所以希望我们可以一直互相陪伴，一路走下去,1,2019-10-11 23:44,1
@娇兔er,,朱正廷 朱正廷,1,2019-10-11 23:44,21
@娇兔er,,朱正廷,1,2019-10-11 23:44,21
@娇兔er,,朱正廷 朱正廷,1,2019-10-11 23:44,21
@娇兔er,,朱正廷,1,2019-10-11 23:44,21
@娇兔er,,朱正廷 朱正廷,1,2019-10-11 23:44,21
@娇兔er,,朱正廷,1,2019-10-11 23:44,21
@茱葭的糖,,我很爱你，我一直都在,1,2019-10-11 23:41,1
@小麦超xi蔡,,期待明天舞台,1,2019-10-11 23:35,2
@廷崽的喵喵,,很爱你,1,2019-10-11 23:32,6
@最甜的糖-zzt,,明天的舞台,1,2019-10-11 23:19,4
@最甜的糖-zzt,,跟你一起成为更好的自己,1,2019-10-11 23:19,4
@最甜的糖-zzt,,超级超级爱你,1,2019-10-11 23:19,4
@最甜的糖-zzt,,廷哥很好,1,2019-10-11 23:19,4
@联系人发来一条短信,,我们超级爱你,1,2019-10-11 23:18,1
@醉奶仙子,,宝贝 爱你,1,2019-10-11 23:14,1
@Z-橘色半夏-Z,,爱你啊,1,2019-10-11 23:12,1
@天官赐福totheo,,每条道路，都有他的精彩，亦有他的艰辛，可以忍得这些辛苦，才有资格拥有那些精彩，谁又没有过苦痛和困境呢，他说:“我只是比较能忍而已” @THEO-朱正廷，你所承受的一切，都在使你变得更强。,1,2019-10-11 23:04,13
@天官赐福totheo,,@THEO-朱正廷 坚强独立，锻造不认输不服输的性格，在专业上能力拔尖，专业第一，勇敢为梦转型,1,2019-10-11 23:04,13
@天官赐福totheo,,@THEO-朱正廷 从小在外独自为了梦想拼搏，世界教他真诚善良，用坚韧换来成果，他便用温柔回馈世界,1,2019-10-11 23:04,13
@天官赐福totheo,,朱正廷作为新星艺人，不仅业务能力极强，还是个暖心大男孩。不管是巡演后收拾饮料瓶，还是自身对公益，小动物的热衷，都是体现着满满的正能量。,1,2019-10-11 23:04,13
@天官赐福totheo,,他从来都是爱到极致，不管是舞蹈还是公益，淋漓尽致地发挥着生命的余热。朱正廷自出道以来，始终身体力行地为公益献力，用满满的正能量为粉丝树立榜样。助养9个不同种类的濒危动物，向公益图书馆捐书。从自然到人文，我们从不止步。,1,2019-10-11 23:04,13
@天官赐福totheo,,追星从来不是无脑盲目，作为粉丝群体，珍珠糖和朱正廷先生一起，为山区孩子送去图书玩偶，为退伍老兵递交温暖，为灾区尽份绵薄之力。从爱豆那里学到爱人之能，体会世界之美，珍珠糖真的很棒啦！,1,2019-10-11 23:04,13
@天官赐福totheo,,从小在外求学，想念爸妈却总报喜不报忧，累的东西，都不敢让爸妈知道，儿行千里母担忧，可出门在外的游子，不想让父母担忧的心情，也是一样的啊，父母在，不远游，游必有方，@THEO-朱正廷，你付出的所有努力，终于在绽放光芒,1,2019-10-11 23:04,13
@天官赐福totheo,,从专业的舞者到爱豆，@THEO-朱正廷 这种从头来过的选择何尝不是一种带着孤勇的坚强——坚强地直对挑战，坚定地追寻梦想。少年志在青云，终归发光发热。,1,2019-10-11 23:04,13
@天官赐福totheo,,除了上大学没有独自出过远门的我，难以想象一个九岁的孩子独自在外学舞，需要多大的勇气和能量，也真是因为从小在外求学，连寒暑假都不放松都拼搏，才成就如今的朱正廷，游刃有余，一身正气。@THEO-朱正廷,1,2019-10-11 23:04,13
