User,Reter,Comment,Votes,Time,Count
@鸡皮疙瘩收集册,,对中老年人请宽容些，毕竟头一回见 http://t.cn/AinR9pwP,3478,2019-09-27 20:02,1
@小小yi的drem,,说实话越来越觉得吴京很可爱了，从来没有见过这样的一面。,818,2019-09-27 20:01,1
@懵懵懵懂V,,笑死哈哈哈哈！两人也太可爱了，下次粉丝真的会送春联的吧 评论配图,49,2019-09-27 20:07,1
@让你快乐呀,,这两个人感觉现实中就是一对活宝 评论配图,46,2019-09-27 20:02,2
@我这个猪脑,,我真喜欢张译啊,43,2019-09-28 08:21,1
@justtheyears_,,@什么时候才能养狗呀 张译好帅,14,2019-09-28 09:48,1
@未来的李小暖,,张译很逗呀，哈哈哈，,22,2019-09-28 08:15,1
@格林童话二分之一,,张译怎么越看越帅,21,2019-09-28 08:19,1
@花少爷家的大胖鸟,,哈哈哈哈被吴京笑死了，还有张译是哪年的，为啥也这么呆,14,2019-09-27 21:23,1
@是你的不会走的,,两个人在一起真是没毛病 我们看不到的搞笑可能更多 坐等看了 评论配图,9,2019-09-27 20:04,1
@摘星女孩XX,,他们两个的关系肯定很好吧，哈哈哈哈他们也太搞笑了 评论配图,6,2019-09-27 20:01,2
@夜黑风高玩耍,,这两位中年人在一起也是没谁了。 评论配图,2,2019-09-27 20:07,1
@木子喵酱,,恕我直言，这是呷浦呷浦的广告吧，今天去那里吃饭还有攀登者的盲盒 查看图片,3,2019-09-28 16:32,1
@专属合八字小梨2014,,译哥下次也给你带手幅,5,2019-09-28 09:16,1
@胡耘豪今天更博没,,语出京人,5,2019-09-28 07:39,2
@巨美巨美的居居女孩,,他俩的关系一定超级铁了！羡慕这样的友情，也祝攀登者票房大卖 评论配图,4,2019-09-27 20:10,1
@猪小屁,,呷哺呷哺上车了，差一位差一位～,1,2019-09-28 10:48,3
@双子嫣然一笑-958,,这俩人 估计是一家人吧  竟然没有人说对 粉丝这个送的值了,3,2019-09-27 20:11,1
@Mob緋,,转发微博,1,2019-09-28 12:17,2
@风衣它裹起了怕,,要是哪个小鲜肉说错就被骂没文化了,1,2019-09-28 08:38,3
@哥_呀,,是老铁儿,0,2019-09-27 20:18,2
@我賊擅长打脸,,有   亲了章子怡,1,2019-09-28 17:31,2
@柠妒Cosecant,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我头呢,0,2019-09-28 09:00,2
@迷妹的日常lqq,,京不京喜，译不译外,4,2019-09-28 08:50,1
@胤禛雍正,,为什么上海，来长沙的点映啊，当年战狼2长沙宣传没见着,2,2019-09-28 08:36,1
@非油炸老仲,,哈哈哈哈哈哈哈哈！！！,1,2019-09-28 08:23,1
@潇洒流潋紫,,怎么这么逗呢 不过看在你是第一次看的份子上 不计较了,1,2019-09-27 20:09,1
@杨爱阳baly,,太有意思了,0,2019-10-27 01:23,3
@清澈还如初吗w,,太喜欢吴京了,0,2019-10-09 08:37,3
@白兔妹ye,,太可爱了哈哈哈哈哈,0,2019-10-08 10:37,3
@努力努力再努力-小仙女,,哈哈哈 szd,0,2019-10-05 18:57,3
@北北北北北林南,,张译，支持～,0,2019-10-05 15:17,3
@丯页尽欢,,杰布和五洲的吻戏吗？,0,2019-09-28 19:04,1
@迅立123321,,马上就去看,0,2019-09-28 14:30,1
@二青青呀,,3点多的票，准备起床了,0,2019-09-28 09:38,1
@一口吃掉a,,,0,2019-09-28 09:03,1
@JXJ征服_678,,一对CP,0,2019-09-28 09:00,1
@潜水料产品业务员,,好,0,2019-09-28 08:59,1
@红股君,,战狼红海男一联手,2,2019-09-28 08:52,1
@小林吖O_o,,@猫吃鱼二,0,2019-09-28 08:46,1
@阶梯阿脚丫,,觉得有一点暖味,0,2019-09-28 08:28,1
@74746一,,第四张吴京旁边站的是刘小锋不？？就是沉香他爹，蓝色档案里的教官，哇咔咔,0,2019-09-28 08:13,1
@硏硏乖乖被我kkkkk,,哈啊哈很有可能,0,2019-09-27 20:18,1
@sunny4034,,两个人都喜欢,0,2019-09-27 20:18,1
@遮掩_空bai,,真的 要是我的话 我会把这个说成横幅 也不知道对不对,0,2019-09-27 20:04,1
@猪猪记得开心哦,,第一次见吴京还有这样一面啊太可爱了吧好喜欢,0,2019-09-27 20:04,2
@笑什么小建,,吴京一直是属于很努力很阳光的那种男孩子，真的很喜欢他,0,2019-09-27 20:02,1
@包装袋装,,喜欢吴京好多年了，一如既往支持他,0,2019-09-27 20:01,1
@陪大叔走花路,,俩人俩人的互动非常有趣,1,2019-09-28 08:46,1
@湖水池瞳,,第三张怎么跟我想一块儿去了。小太爷和团座关系也很好。,1,2019-09-28 08:44,1
@Pink7-Band,,别译京译乍的，,2,2019-09-28 07:51,1
@南兔不识路,,我认同图三那位 要是把老段加上去 三个人绝了 骚气冲天,3,2019-09-28 07:39,1
@方小冷,,加油  默默的支持你,1,2019-09-27 20:19,1
@小狐狸的梨涡小王子,,可爱死了~,0,2019-10-02 15:10,3
@Jane慧_沫,,@SnowWhite在China,0,2019-09-28 15:08,3
@慌学,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-28 15:01,2
@白蛋子我想你了,,我正在影院！！！！！开始期待了！！！！,0,2019-09-28 14:51,1
@魏森莫拉莫美拉莫美,,是不是吃多了火锅上头了,0,2019-09-28 11:31,1
@猪小屁,,你俩咋能这么好玩呢，好逗呀,0,2019-09-28 10:49,3
@pxwd伊,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-28 10:37,1
@Vin-范范,,哈哈哈,0,2019-09-28 10:25,1
@搭配的日常,,吴京：刚正想着吃呷哺呷哺呢,0,2019-09-28 10:01,5
@QuentinTArantino·,,何琳好美,0,2019-09-28 10:00,1
@眼袋猿,,人才啊,0,2019-09-28 09:55,1
@Wilnna,,主持人发音不准,0,2019-09-28 09:47,1
@Joker丿喵星,,可以 组个相声组合了 ，烦了也是超级搞笑的,0,2019-09-28 09:44,1
@月冷夜暗yu,,666,0,2019-09-28 09:42,2
@Dreamy7777,,哈哈哈，京哥萌啊,0,2019-09-28 09:35,1
@恨给我剪阿姨头的那个哈比,,中年人吻戏不容易，且看且珍惜,0,2019-09-28 09:34,1
@一颗倔强的仙人球,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-28 09:33,1
@吃定彩虹D,,,0,2019-09-28 09:32,1
@热爱红帽子的奶盖芋婷,,不行我要站京喜译外了！锁死！啊哈哈哈哈哈哈哈,0,2019-09-28 09:26,1
@若你是深海i,,爱慕拆尼子,0,2019-09-28 09:21,1
@弥心魔,,,0,2019-09-28 09:18,1
@wayhug,,哈哈哈,0,2019-09-28 09:04,1
@小娜小小,,,0,2019-09-28 09:04,1
@逸逸cy,,吴京牛,0,2019-09-28 09:03,1
@天福的妈,,很帅,0,2019-09-28 09:00,1
@jennylee613,,哈哈～挺可爱,0,2019-09-28 09:00,1
@诗诗and罗晋是寺四,,,0,2019-09-28 09:00,1
@潮流依旧,,原来老觉得吴京张扬得瑟，但现在觉得如果有张扬和嘚瑟的资本，那张扬也是可以原谅的,2,2019-09-28 08:58,9
@八字看婚姻事业,,哈哈哈哈京师傅好逗,1,2019-09-28 08:55,6
@月似悬黎,,啊，哈哈哈哈哈，我今天早上看了多少段子啊，哈哈哈哈哈,0,2019-09-28 08:51,1
@六个杠杠,,太可爱了,0,2019-09-28 08:41,1
@青瞳木Harry,,呜呜呜我也有这个春联,0,2019-09-28 08:24,1
@UNIQ-王一博的初恋,,好可爱哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-28 08:24,1
@胡迪迦,,神特么春联哈哈哈哈哈,1,2019-09-28 08:24,1
@糟心的事儿别和77说,,吴京太可爱了hhhhhhhh,0,2019-09-28 08:21,1
@是凛子呀,,@一棵叫杏子的小白菜 哈哈哈哈哈哈好好啸,0,2019-09-28 07:58,1
@微糖去冰Cc,,哈哈哈真的好可爱这俩人,1,2019-09-28 07:52,1
@来生愿做你的猫,,哈哈哈哈哈哈哈,0,2019-09-28 07:46,1
@唐什么朝,,@饭且炒淡 他们两个太逗了,0,2019-09-28 07:42,1
@阿欣LJ,,不亏大叔,0,2019-09-27 20:19,1
@阿钰要开心阿,,很不错,0,2019-09-27 20:19,1
@数学爱马荣军,,春联挺有意思的,0,2019-09-27 20:18,1
@病女1314520,,来来来,0,2019-09-27 20:18,5
@行在新远方,,两个人关系肯定特别好呀，毕竟有这么多的合作。 评论配图,0,2019-09-27 20:08,1
@安逸的时,,那没有办法的事情，要不然就没有人拿。 评论配图,0,2019-09-27 20:07,1
@不是脚到达的地方,,吴京出品，必属精品。 评论配图,0,2019-09-27 20:06,1
@大马猴吖啊,,越来越期待这个电影了，赶快上映吧。 评论配图,0,2019-09-27 20:06,1
@Roaeayean,,这两铁哥们也真的太搞笑了，这对话我也是服了 评论配图,0,2019-09-27 20:05,2
@没什么不可以的,,吴京真的很努力，最近几部电影拍得真心好 评论配图,0,2019-09-27 20:04,2
@李现的猪,,哈哈哈,0,2019-09-27 19:58,2
@心有猛虎怒刨大坑,,从战狼2以后，国产电影也可以让我放心的走进电影院了，以前从来不看国产片，要么青春疼痛要么文艺小资要么含沙射影夹带各种私货，烦死。战狼2开启了我对国产电影的信心，PTSD患者不要喷我,3,2019-09-28 16:30,2
@有没有用的名字,,这就是实力演员，什么流量明星差远了…实力演员当职业，流量明星靠脸蛋,2,2019-09-28 08:24,2
@蛋君小绿,,95后我也第一次知道手幅,2,2019-09-28 08:16,1
@半妖倾城臭咪,,吴京和张译关系肯定很好,2,2019-09-27 19:59,1
@turbo章鱼小丸子,,哈哈哈哈哈哈吴京大哥太搞笑啦,1,2019-09-28 16:21,1
@宗宗酱不是猪Zzzzz,,好阔爱,1,2019-09-28 15:14,1
@和你一样我有痛苦和压力,,女演员好看,1,2019-09-28 11:16,2
@叹息之牙kiva,,人家只是不懂饭圈那一套而已,1,2019-09-28 09:56,2
@呷哺呷哺,,呷哺呷哺前来报道，京哥辛苦了，来顿美味火锅恢复一下@吴京,1,2019-09-28 09:22,2
@潇湘黛影plus,,他们俩太可爱了吧！我从两个大叔身上看到了时代的代沟,1,2019-09-28 09:15,1
@谁人那花开成雪1,,国庆去看京喜译外组合 攀登者走一波,1,2019-09-28 09:13,1
@幸福的猫大咪,,好兄弟不译外，有京喜！,1,2019-09-28 09:09,1
@我要变好看_625,,我好像也是第一次听到手幅这个名称,1,2019-09-28 08:05,2
@找个地方来说理,,我第一次知道手幅，我昨天刚过的30岁,1,2019-09-28 08:05,1
@草莓甜心巧克力吖,,何琳好美,0,2019-09-28 20:34,1
@椰椰w,,转发微博,0,2019-09-28 19:28,1
@向日葵染指阳光盛开微笑,,我胡电影都不带脱单的,0,2019-09-28 17:41,2
@曾经的你来过1998,,张译帅死了,0,2019-09-28 17:39,1
@想改名字哦,,吴老师的吻戏是最后亲化石的那段吗,0,2019-09-28 17:36,1
@BetterT,,有的,0,2019-09-28 17:34,1
@静水流年Jalynn,,沉香他爸发福了,0,2019-09-28 17:31,1
@我叫亦舒那你呢,,为我的译哥哥打call,0,2019-09-28 17:30,1
@想借几撮撮头发,,正在看  我他妈吹爆,0,2019-09-28 17:30,2
@IC64839,,刚刚看完电影，很不错，很好看，有感动和振奋人心的时刻，国庆假期适合观看。,0,2019-09-28 17:28,1
@M蓶美,,刚看完，我证明有wen戏,0,2019-09-28 17:26,3
@卩闻舟渡我,,刚哭完出来,0,2019-09-28 17:17,1
@他的洛,,点映了，真心不错，推荐,0,2019-09-28 17:16,1
@乌鱼子硅,,有哦,0,2019-09-28 17:15,1
@肖兔子和小狐狸0628,,哈哈哈，正在看攀登者,0,2019-09-28 17:13,1
@囍樂6,,有哈哈哈,0,2019-09-28 17:08,1
@AaronYang_,,拿国旗肯定又有一堆ptsd过来了,0,2019-09-28 17:04,1
@想借几撮撮头发,,张译演技也太好了吧,0,2019-09-28 16:54,2
@周五阿,,边上是慕容复吗？,0,2019-09-28 16:53,1
@你曾有双清澈双睛,,正在看中,0,2019-09-28 16:44,1
@尘恋1314520,,,0,2019-09-28 16:37,1
@Koreyoshi_陌,,为什么我之前看着是30首映，今天看就首映了？,0,2019-09-28 16:28,1
@篱落灯明1201,,一个月前 我买的30号的票  怎么又提前了啊,0,2019-09-28 16:28,1
@cash元芳,,《中国机长》最好看,0,2019-09-28 16:22,4
@廖思乔了了,,票已经买好了,0,2019-09-28 16:20,1
@会变色的废菜,,@余烬-0 哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-28 16:03,1
@海火极,,攀登者要看！,0,2019-09-28 15:53,3
@我要在薄荷绿的春天去见你,,吴京挠头哈哈哈,0,2019-09-28 15:38,1
@梁冲0411,,刚去看了本地的影片上映时间表，很想看,0,2019-09-28 15:34,1
@海滩上种花的草草,,译鸣京人,0,2019-09-28 15:29,1
@换个口吻说话,,哈哈,0,2019-09-28 15:21,1
@三界六道轮回,,转发微博,0,2019-09-28 15:16,1
@月落筼筜,,张译就是喜欢一本正经的搞笑,0,2019-09-28 14:51,1
@罗嘉怡LEGEND,,点映吧？,0,2019-09-28 14:09,1
@元元beenle,,喜欢吴京,0,2019-09-28 14:05,1
@想当猫咪的狗纸,,转发微博,0,2019-09-28 14:03,1
@UNIQ王鸭脖,,我已经在路上了,0,2019-09-28 13:57,1
@夸呗,,转发微博,0,2019-09-28 13:53,1
@黑眼球豆豆,,最左面的是总演抗日剧的什么晓峰吗？怎么这么胖啦？,0,2019-09-28 13:50,1
@同是猴子,,京哥，你要不要怎么搞笑呢,0,2019-09-28 13:47,1
@我是灰灰笑,,张译这说话的语气和姿态活脱脱的孟烦了,0,2019-09-28 13:43,1
@立志_Hill,,支持,0,2019-09-28 13:37,1
@DoubleCheeseBurger-,,哈哈哈哈唉怎么那么搞笑,0,2019-09-28 13:27,1
@阿利Ellmo,,中间那位女性是？？？,0,2019-09-28 13:25,2
@青春已奔三,,京哥，你还记得大明湖畔的太极宗师吗？你还记得小李飞刀里的阿飞吗？快把苗子捡起来揣好！听话。。。,0,2019-09-28 13:21,1
@Natural海洋,,转发微博,0,2019-09-28 13:18,1
@101177惠,,吴京的电影我是每部都看,0,2019-09-28 13:18,1
@丶Aspiring丶,,那美女是谁,0,2019-09-28 13:14,2
@翎零儿,,小时候就是看他的咏春拳长大的，本人没想到这么逗！,0,2019-09-28 13:10,1
@古月同行m,,喜欢张译，胡歌，吴京,0,2019-09-28 13:09,1
@Mrs丁小布,,这女演员很久没见到了，演过啥来着,0,2019-09-28 13:02,1
@就叫我Sophie吧,,白裙子是谁啊…？,0,2019-09-28 12:59,1
@有匪君子i如切如磋,,吴京好可爱,0,2019-09-28 12:52,1
@一天一渔一鱼,,,0,2019-09-28 12:51,1
@记忆浅淡微笑,,那我很期待吴京的吻戏呦,0,2019-09-28 12:50,2
@夏威夷果fight,,译哥，好喜欢,0,2019-09-28 12:45,1
@向日葵染指阳光盛开微笑,,你一票、我一票、京译求精要出道！,0,2019-09-28 12:41,2
@北北的白小喵,,哈哈哈哈吻戏，我想起来了,0,2019-09-28 12:41,1
@智齿女孩儿,,哈哈哈哈，京译求精,0,2019-09-28 12:28,1
@yirujiwang666,,这女的是谁啊,0,2019-09-28 12:24,1
@农农的糖纸小朋友,,所以说，到底有没有吻戏啊,0,2019-09-28 12:22,1
@-M醉猫O-,,张译翻译好快啊 一下化解两面的尴尬,0,2019-09-28 12:20,1
@大卡卡H,,那个女的是谁？,0,2019-09-28 12:17,1
@muse_92742,,好期待哦,0,2019-09-28 12:16,1
@静宝是萱妈,,我喜欢张译,0,2019-09-28 12:11,1
@OMGRD,,哈哈哈哈,0,2019-09-28 12:10,1
@澜也,,超可爱！！,0,2019-09-28 12:03,1
@大大大大S2,,@赵明小粉丝 ,0,2019-09-28 12:02,1
@我想喝冰汽水,,哈哈哈都好可爱,0,2019-09-28 12:01,2
@如梦棒棒的,,看来电影票是买对了，很期待胡歌的新作品。。。,0,2019-09-28 11:59,1
@甜甜蜜饯,,哈哈哈我想想不出吻戏的场面,0,2019-09-28 11:57,1
@飞渔灞灞,,是有刘琳吗？,0,2019-09-28 11:56,1
@whyme1986,,吴京,0,2019-09-28 11:47,1
@JX-四季,,这个组合，哈哈哈哈哈,0,2019-09-28 11:43,1
@南瓜嘿,,这女的叫啥来着，忘了,0,2019-09-28 11:37,1
@七千_789,,挠头可爱哈哈哈哈，我男神太棒了,0,2019-09-28 11:30,1
@大陈陈121,,张泽可以考虑一下吴京战狼3,0,2019-09-28 11:28,1
@小阳叔叔,,才刚知道竟然有何琳，喜欢哎。,0,2019-09-28 11:25,1
@徐伟东Zzz,,女的是谁,0,2019-09-28 11:25,1
@素娥千队雪成围,,为什么大家都有小国旗我没有,0,2019-09-28 11:25,1
@今年还是不知道该叫什么,,汉语拼音博大精深,0,2019-09-28 11:16,1
@Ms_OuYang,,昨天我也在现场听到这段，笑死啦,0,2019-09-28 11:12,1
@一个欧气满满的名字,,首页战队已经2.9w进队 百度抢国货 今晚8点开抢全部奖品  昨天已经抢到电离子吹风机,0,2019-09-28 11:05,1
@兔兔图图了啦咯,,吴京，你千万别出轨，别玩一夜情，别酒驾，现在对你的崇拜让我根本不能承受你犯那些错误！,0,2019-09-28 11:00,1
@种花家的白牙兔,,何琳还是那么美。,0,2019-09-28 10:55,1
@当然爱莹莹啊,,这个女演员谁啊,0,2019-09-28 10:55,1
@WONGHOKBIN,,那个女的是哪位,0,2019-09-28 10:43,1
@一烔-L,,这个女的是谁哦,0,2019-09-28 10:42,1
@顾北城伦幂热一尹清澈,,白裙子女星是谁啊 看着好像何琳,0,2019-09-28 10:42,1
@CC梦微凉,,那女的是不是何琳？,0,2019-09-28 10:33,1
@-城外渔火寒山-,,最后那下挠头也太可爱惹！！,0,2019-09-28 10:30,1
@刘荣亚19090,,转发微博,0,2019-09-28 10:25,1
@2018水草,,@函胡 你家民工老可爱了，而且好像越来越帅了怎么回事？,0,2019-09-28 10:24,1
@番谷谷不咕咕,,哈哈哈哈哈哈太可爱了,0,2019-09-28 10:23,1
@壁花少年很少见,,译哥很有梗啊,0,2019-09-28 10:19,1
@虞虞虞虞_,,哈哈哈张译一脸正经,0,2019-09-28 10:16,1
@疤魅儿,,,0,2019-09-28 10:14,1
@民以食为天一顿不吃饿得慌,,打，来，打。太好看了,0,2019-09-28 10:13,2
@王正Chinese,,那个是砍桂花树的吴刚吗,0,2019-09-28 10:13,1
@好人小米汤,,旁边这女的是谁？看着真让人不喜欢,0,2019-09-28 10:13,1
@zzzzzz卜小周,,主持人吐字，我听着也是文戏啊,0,2019-09-28 10:11,1
@两个地豆子,,求精？？,0,2019-09-28 09:59,1
@躺在文海里的钟小书,,中国第一票王吴京,0,2019-09-28 09:56,1
@晚安子夜,,预估票房不会超过十五亿,0,2019-09-28 09:51,2
@哈利洛维奇今天首发了嗎,,这位女演员厉害了，何琳，第一位获得艾美奖电影类女主的华人女演员。,0,2019-09-28 09:51,1
@你们这么好看不是吃米长大的吗,,张译真的超帅嗷嗷嗷嗷嗷嗷,0,2019-09-28 09:51,1
@Skiptrace_余生多指教,,那女的是谁,0,2019-09-28 09:49,1
@春风得意于一丁,,梳小辫的是刘晓峰吗？,0,2019-09-28 09:48,1
@小博爱婷,,喜欢张译，喜欢吴京，译鸣京人,0,2019-09-28 09:46,1
@iversonmqq,,烦啦小太爷,0,2019-09-28 09:45,1
@阿bi哥哥,,吴京真是太不容易了 刚出道就很厉害了,0,2019-09-28 09:45,1
@知乎之父,,中间的娘们叫什么看着不错,0,2019-09-28 09:45,1
@蓝色VJYY,,可爱,0,2019-09-28 09:43,1
@六元滴崽,,啊我欣欣太可爱了,0,2019-09-28 09:42,1
@一方小水凼,,班长好帅,0,2019-09-28 09:36,1
@_瑶瑶同学_,,哈哈哈哈可爱,0,2019-09-28 09:34,1
@雾淡晨曦,,旁边女演员是谁啊,0,2019-09-28 09:33,1
@_shippo,,张译很会说话啊,0,2019-09-28 09:32,1
@是李大仁不是李大人,,这个女的腿好长,0,2019-09-28 09:31,1
@山涧水影,,旁边那个女演员是谁？,0,2019-09-28 09:30,1
@午马陆月,,就差个横批了，下次搞全乎了,0,2019-09-28 09:26,1
@-DX杂货店-,,哈哈哈哈哈这两人笑死我了,0,2019-09-28 09:25,1
@霍小燕儿,,哈哈哈  应援手幅,0,2019-09-28 09:24,1
@阿萍水相逢201702,,,1,2019-09-28 09:24,1
@抹茶笼包,,超喜欢张译哈哈哈哈,0,2019-09-28 09:23,1
@心有猛虎怒刨大坑,,哈哈哈哈哈哈哈哈，两个中老年不容易,0,2019-09-28 09:23,2
@泡沫lavender,,@金色向日葵呦 阿哈哈哈哈哈哈,0,2019-09-28 09:23,1
@天天天晴0313,,吴京是个注意演技的人,0,2019-09-28 09:22,1
@X_用爱发电,,@low君热剧 快来，你拥有姓名了,0,2019-09-28 09:20,1
@jtzdsjrzjc,,,0,2019-09-28 09:20,1
@蕾拉带我去玩啊,,我第一次见也不知道叫手幅,0,2019-09-28 09:12,1
@小可爱的Doraemon,,"这条热搜,哔哩哔哩成了最大赢家",0,2019-09-28 09:10,1
