User,Reter,Comment,Votes,Time
@黎子姗,,最后面14个人都上去打了一下，真的是太泪目了，郎平指导后台采访哭了，真的辛苦了。,1338,2019-09-29 15:56
@湖人心理咨询师,,图片评论 评论配图,1138,2019-09-29 15:49
@导演张小刚,,你们别在这弄那些花里胡哨的了，国家直接发奖金吧，队员一人一千万，郎指导五千万，工作人员一百万。,1111,2019-09-29 16:00
@想有一只小猴子呀,,没有错过每一场直播，第一次直播看球赛，特别爽,22,2019-09-29 15:48
@花心少女在线墙头蹦迪,,#中国女排十一连胜#  十一连胜庆十一！ 女排姑娘们好样的！,10,2019-09-29 15:51
@萧光辉岁月77,,中国女排，我为你歌唱，我为你自豪！,9,2019-09-29 16:02
@小婕ya_,,,3,2019-09-29 15:55
@大内高手锦衣卫,,女排威武！为伟大祖国70周年华诞献礼！,9,2019-09-29 15:59
@我是小林子1988,,女排杠杠的,0,2019-10-01 06:03
@一只默默地小透明,,中国老厉害了感觉，,0,2019-10-01 01:38
@房闲闲Flora,,升国旗！奏国歌！@中国女排,0,2019-09-29 22:55
@大天才刘小美,,我们爱女排，不仅仅是因为她们一次次带给我们骄傲，一次次让五星红旗在异国他乡升起。更是因为在过去几十年里，她们在顺境时保持谦虚的作风，在逆境中也从不轻言放弃。赢，赢得精彩；输，输得有骨气。这是女排最可爱，可敬的地方。,3,2019-09-29 19:28
@蔻蔻小姐姐,,女排姑娘们好样的！朗导辛苦了！,0,2019-09-29 18:47
@草啊氏,,太棒了，中国女排！！！！！,1,2019-09-29 15:46
@清茶888世界,,,0,2019-09-29 15:42
@郭荣强888,,表示还没看够呢,2,2019-09-29 16:08
@微甜的柠檬精,,泪目了，,0,2019-09-29 20:00
@爱不完_38451,,转发微博,0,2019-09-29 19:31
@小煤球r,,购物车清空清空,0,2019-09-29 16:52
@忘密码撞昵称,,cool,0,2019-09-29 15:49
@隔壁吃辣条的蜘蛛侠,,优秀优秀,0,2019-09-29 15:48
@爱一博808,,恭喜女排，为你们骄傲,0,2019-09-29 15:46
@千千寻寻han,,厉害了，姑娘们,0,2019-09-29 15:43
@是奶亭吖,,恭喜！！中国女排厉害！,0,2019-10-01 00:45
@Yanaibi,,,0,2019-09-30 22:42
@一笙悠悠,,棒,0,2019-09-30 20:49
@LightHouseTT,,恭喜恭喜！,0,2019-09-30 19:58
@跑路了,,辛苦辛苦,0,2019-09-29 22:40
@超爱许甜甜的貓野菜君,,草草草女排真棒！！！！！！,0,2019-09-29 22:25
@我是洛杉机回来的,,太酷了,0,2019-09-29 22:13
@luna露娜__,,[加油][加油][加油][加油][加油][加油],0,2019-09-29 22:11
@初见WYB,,菇凉们开心的像个三岁的孩子，还是看的泪眼汪汪,0,2019-09-29 22:01
@要不然请你喝啤酒,,,0,2019-09-29 21:29
@甜橙蛋奶酥,,好应景啊,0,2019-09-29 20:35
@_我用手指了指彩虹結果发烧了,,,0,2019-09-29 20:35
@王嘉尔的順毛,,,0,2019-09-29 20:31
@宜昌凯文在渔村,,第一次世界冠军是81年。女排是中国的！,0,2019-09-29 20:29
@Wendy_云,,#中国女排世界杯十一场全胜收官# ,0,2019-09-29 19:47
@只吃肉不吐骨头,,就好像在看一本没有悬念的连续剧！,0,2019-09-29 18:45
@下120下120下120啊啊啊,,转发微博,0,2019-09-29 18:42
@jiejieroy,,我从小排球打的最差了，真的很佩服啊！不仅仅是骄傲，辛苦了！,0,2019-09-29 18:42
@vivia莫奈,,哇塞,0,2019-09-29 18:39
@德鲁纳桃子加冰,,女排绝了！ 现在看到女排就想起来冬冬，冬冬太难了 #我和我的祖国#,0,2019-09-29 18:30
@o_mi_yallliiliojt_gang,,中国女排太牛逼了,0,2019-09-29 18:15
@秋天的天蓝色,,,0,2019-09-29 18:09
@千陈CHEN,,,0,2019-09-29 18:02
@在綠海中的趙帥呀,,转发微博,0,2019-09-29 17:50
@天秤座飞燕沐尘,,女排姑娘十一连胜牛,0,2019-09-29 17:48
@赵秉程,,太厉害了,0,2019-09-29 17:47
@-胡梦婷-,,还有谁！,0,2019-09-29 17:47
@皮肤美容医生王冠,,太牛了！为女排姑娘们点赞！,0,2019-09-29 17:45
@抬头见喜小甜橘,,转发微博,0,2019-09-29 17:45
@今天也还是拖延症冠军鸭,,,0,2019-09-29 17:44
@DREWbro,,直接把男足男篮的钱给女排,0,2019-09-29 17:44
@鲂哩个方,,恭喜中国女排,0,2019-09-29 17:25
@阿阿阿请子,,中国女排真的,0,2019-09-29 17:24
@至今没被骑的蚬子,,"证明了在荣誉面前，人人都可以爆发出200%的力量。。。emmm,编辑一下，国足除外",0,2019-09-29 17:19
@-董仔Baba,,哭辽哭辽！姑娘们也太棒了吧！！！,0,2019-09-29 17:16
@旧微时,,冠军是中国的！,0,2019-09-29 17:14
@洁橙儿,,#女排十一连胜庆十一# 中国女排好样的！,0,2019-09-29 16:51
@兔兔兔小基,,转发微博,0,2019-09-29 16:28
@overlord-怡,,多么想在国庆花车上看到她们,0,2019-09-29 16:24
@假如想到此為止的話,,势如破竹 无敌啊,0,2019-09-29 16:15
@是小争啊,,升国旗，奏国歌，女排姑娘们棒棒棒！,0,2019-09-29 16:14
@文羽YV,,恭喜中国女排,0,2019-09-29 16:14
@弄玉Bella,,中国女排十一连胜庆十一！,0,2019-09-29 16:14
@水一99,,中国女排  所向无敌！！！,0,2019-09-29 16:10
@我是西西不是嘻嘻的哇,,女排牛逼！！！！！！！,0,2019-09-29 16:05
@蓝白格子3507,,太牛了！！！！！,0,2019-09-29 16:04
@zhouzhou而复始,,优秀如你们，最好的献国礼,0,2019-09-29 16:02
@妙恋果粒多Sml,,姑娘们都太棒了！激动的热泪盈眶！,0,2019-09-29 16:00
@Dear-小狐狸,,激动人心。升国旗，奏国歌，恭喜中国女排,0,2019-09-29 15:56
@谣稚,,解说最后说，再不上场就没分了,0,2019-09-29 15:48
@平常心and阳光,,男篮男足过来瞅瞅，尴尬不？？？,1,2019-09-29 15:52
@将_禾,,阿根廷：打球就打球 怎么还拿人练手的,1,2019-09-29 15:52
@_4444x_千玺,,这组图看的想哭,0,2019-10-01 09:20
@疯狂的哥88,,是为国争光争气的英雄就要让他们受到所有中华儿女敬仰！那些甘当狗熊的，也要让他们受到所有人唾弃！！,0,2019-10-01 08:26
@C海棠朵朵,,恭喜中国女排,0,2019-10-01 08:18
@Fortitude-CPT,,哈登的篮球鞋,0,2019-10-01 07:38
@树下看雨1,,,0,2019-10-01 01:23
@椰子参议员,,女排！,0,2019-10-01 00:28
@夜航船空想,,,0,2019-10-01 00:11
@养动物就请善待动物,,国家该管管了，男篮男足有一部分喝酒泡妞混日子还拿着高工资没有去争夺冠军的心，而女排拿着运动员最普遍而又低的工资拿到冠军还不如男篮男足一个月的工资,0,2019-10-01 00:02
@a-奺啊-,,这大概是献给祖国最好的生日礼物了吧,0,2019-09-30 21:26
