User,Reter,Comment,Votes,Time
@眼泪,,当然是杀生丸！！！！！？[淚][淚][淚][淚][淚],568,2019-09-29 11:31
@画画画画画眉,,不二周助！幸村精市！白石藏之介！手冢国光！,374,2019-09-29 14:06
@温柔收件人,,我爱基德大人！！！,266,2019-09-29 11:35
@想睡利威尔,,我永远爱兵长！！！,189,2019-09-29 11:24
@Slytherin三七x,,最喜欢中原中也！,160,2019-09-29 11:57
@BlueSea_L,,罗罗诺亚·索隆 ！文斯莫克·山治！,177,2019-09-29 11:28
@SudAMaSaKK,,贝吉塔,45,2019-09-29 11:47
@ddddamx,,我的周防尊,42,2019-09-29 14:18
@jio着还行,,爆豪胜己天下第一,22,2019-09-29 14:44
@可爱迷人的废物东西,,折原临也赛高！！！,38,2019-09-29 11:34
@考完研再改名x,,不二周助！！！！！！！！,42,2019-09-29 14:54
@生生_zzy,,云雀恭弥! 日番谷冬狮郎! ! !我爱罗啊啊啊! !,24,2019-09-29 14:34
@酒酒Liz,,鼬神,29,2019-09-29 14:04
@年纪轻轻头发都白了,,卡卡西卡卡西！,18,2019-09-29 14:19
@茶一个茶茶,,单选 我一定给不二周助！！！ 评论配图,34,2019-09-29 14:08
@Navelwort_,,我可以说是兵长吗,19,2019-09-29 14:26
@烟台McQueen英语工作室_Vanessa,,仙道,17,2019-09-29 14:06
@冬耳L,,安室透/降谷零/波本，我想把他推荐给全世界，这么优秀的男生不多见了,15,2019-09-29 14:13
@李弄的腿,,武当王也拜见老天师,6,2019-09-29 14:59
@月野兔Tsukino,,我我我喜欢瑞希小可爱,5,2019-09-29 15:19
@一个注定浪一生的人,,二叔卫庄,9,2019-09-29 15:00
@酥芋,,必须是我基德大大,12,2019-09-29 11:58
@即使天无雨-,,杀殿！！！杀殿！！！杀殿！！！重要的事情说三遍,9,2019-09-29 13:37
@没有女人陪,,加持良治,2,2019-09-29 12:48
@最好的橙子G,,高野政宗,1,2019-09-29 13:46
@白妻歌鱼,,基德他是主角呀,1,2019-09-29 15:23
@泰国表哥,,不二周助，巴卫，西索,11,2019-09-29 14:22
@我老婆擅长跑路,,好像那种冷酷爱装逼长得好声音撩的我都爱,13,2019-09-29 11:42
@橘柑仔,,夏目、金木、巴卫,2,2019-09-29 16:18
@小唐小唐兜里有糖y,,索隆！！！！！！,3,2019-09-29 15:45
@咸鱼和喵酱,,我瑞希必须拥有姓名！ 评论配图,3,2019-09-29 15:25
@塞巴斯酱吖,,王权富贵,7,2019-09-29 15:24
@苏烊0321,,温宁,2,2019-09-29 14:04
@人间有味是清欢545,,咋没有我索隆,0,2019-09-29 16:14
@一只猪小囡,,杀生丸啊啊啊啊啊啊啊！！！吹爆！！,4,2019-09-29 14:27
@金闪闪萌币胖次君,,杀生丸,4,2019-09-29 11:31
@一度沉星,,黄少天！！！！,2,2019-09-29 15:30
@酸汤泡辣椒,,我爱兵长！！！！,3,2019-09-29 14:45
@想陪阿源长大,,永远的杀殿,0,2019-10-01 22:47
@WangLeehki,,鼬,4,2019-09-29 15:14
@娜娜的无限可爱,,都喜欢不行吗？哈！,3,2019-09-29 14:31
@脩先森_,,基德啊！！！最爱的男人,5,2019-09-29 14:12
@K_JJ晶,,肯定殺生丸啊[並不簡單][並不簡單],3,2019-09-29 13:32
@TIFFANY没有秘密,,杀生丸大人给我冲！！！ 评论配图,2,2019-09-29 16:01
@GantleBB,,水户洋平啊,3,2019-09-29 15:17
@幸福小区七号楼居民,,秀一！,2,2019-09-29 14:58
@脱逃风由-,,鼬神！！！,1,2019-09-30 23:39
@沐目沐目儿-,,安室透啊啊啊啊啊啊,1,2019-09-30 11:30
@miumiuhouse猫咪咖啡,,怎能没有普通上班族吉良吉影,1,2019-09-29 15:43
@狗贼爱喝的可乐啊,,这没法选啊,1,2019-09-29 12:50
@LAUcy麻酱蒜妮,,为一米六献上心脏,3,2019-09-29 12:43
@·iKITE,,利威尔兵长给我冲！！,3,2019-09-29 11:43
@谟谕,,鲁鲁修,0,2019-10-11 15:29
@給小市邮顆草莓_,,基德sama冲啊！！！,0,2019-10-04 18:08
@铁钉夫人,,神艾尼路,0,2019-10-03 22:00
@钟点点点点点,,安室透,0,2019-10-02 15:30
@楊絨羊_,,奇犽,0,2019-10-02 14:22
@桃矢--,,都喜欢!,0,2019-10-02 01:14
@YY很nice,,金木研金木研,0,2019-09-30 21:27
@爱闹痴丫头_drh,,夏目,0,2019-09-30 07:45
@青RX_7,,@王_雪倩 你选谁,0,2019-09-29 21:47
@Asd璀璨,,兵长没牌面？？？,1,2019-09-29 13:44
@李光洙会武功,,乔巴,0,2019-09-29 12:06
@胖凯妹妹吖,,多费,0,2019-09-29 11:32
@姕妜,,怪盗基德！！！！！！！,1,2019-09-29 11:27
@穆爻yu,,江澄！！！我的澄澄，晚吟！！！,1,2019-09-29 19:33
@知更鸟_我在花坛杀个圆圈,,太难了，都喜欢,1,2019-09-29 16:37
@夜柒共存_离墨,,幸村精市 迹部景吾 云雀恭弥 六道骸 杀网和大家教要有姓名,2,2019-09-29 16:26
@沙呜沙呜沙里瓦,,为什么利威尔票这么少，后颈不要了吗？,2,2019-09-29 16:20
@GOT7的南极星,,轰焦冻啊！！！ 评论配图,2,2019-09-29 15:48
@湖影浸山青,,云雀恭弥!  !  !,1,2019-09-29 15:48
@一枚00后秃头少女,,金凌,1,2019-09-29 15:23
@小芦睡不醒,,一方通行！服部平次！,1,2019-09-29 15:13
@芒果不忙ab,,不二 评论配图,1,2019-09-29 15:07
@西柚味的小柚子,,赤羽业！,2,2019-09-29 15:04
@keikokee,,艾斯ok？？？？？？？！？！？！,1,2019-09-29 14:59
@木子鱼总,,幸村精市！,1,2019-09-29 14:16
@_Yaanla,,索隆!,0,2019-10-04 10:40
@狗粮吃不下,,二柱子和白哉,0,2019-10-02 17:30
@happy卡蘭_80370,,杀生丸！冲,0,2019-10-02 14:27
@怪我嘴笨,,艾斯,0,2019-09-30 10:57
@kakachi33,,日向宁次！,0,2019-09-30 00:16
@烈日炎火-冷月寒冰,,从遇到那一刻开始到现在 我喜欢杀殿已经八年了 他的沉默寡言却又心细如丝 他的高傲冷漠却又慈悲之心 他从不表达 每当遇到危险的时候 他都是第一时间赶到他守护的人身边 我爱杀生丸  我参与了@动漫头像 发起的投票【你最喜欢的动漫男配角是谁？】 我投给了“杀生丸”这个选项 你也快来表态吧～,0,2019-09-29 23:14
@青染的美好生活,,索隆，三刀流，狮子歌歌,0,2019-09-29 22:03
@笑意盈盈Ella,,朽木白哉，不二周助，卡卡西，索隆，大佐，沙加，一辉，三井寿，洋平，太多了~就想起这些了~#人气爆棚的动漫男配角#,0,2019-09-29 21:56
@爱吃面条的辣椒,,不二周助，杀生丸大人，月城雪兔,0,2019-09-29 20:28
@黑羽快斗的小甜豆,,怪盗基德给我冲鸭！！！！！！！！,1,2019-09-29 19:20
@买菜市民阿宇,,dio哒,0,2019-09-29 19:16
@黑口黑面_,,我投渚薰一票！ 评论配图,0,2019-09-29 17:52
@梦行云,,我们杀殿 查看图片,0,2019-09-29 16:49
@梓盈容与,,不二周助，怪盗基德,0,2019-09-29 16:28
@西瓜味儿的小猴子,,锥生零,0,2019-09-29 16:28
@MX梦雪雪雪雪雪,,费娘,0,2019-09-29 16:25
@Zy_nothing,,杀生丸是二次元里我第一个想嫁的男人,0,2019-09-29 16:20
@WindsorMasurium,,飞段角都佩恩小南蝎迪达拉鬼鲛鼬，我最喜欢晓,0,2019-09-29 16:19
@酒贰幺,,王也、瑞希、桃矢,0,2019-09-29 16:18
@我的我的小小小世界,,永远爱杀生丸！！,0,2019-09-29 16:11
@睁眼午睡的猫,,为什么没有朽木白哉,1,2019-09-29 16:06
@是你的宝藏女孩啦啦,,当然是我杀殿！！！！！,0,2019-09-29 16:04
@余生万里皆是你,,喻文州啊,0,2019-09-29 16:02
@慢慢要快快地跑,,基德和杀生丸不分伯仲,0,2019-09-29 16:02
@浮世清浅,,西索,0,2019-09-29 15:57
@猫的尾巴我的他,,杀殿！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,0,2019-09-29 15:55
@JingleFudge,,基德本身也是主角啊！！！,0,2019-09-29 15:48
@喻文州未公开圈外女友何洲-mio,,杀生丸给我冲冲冲,0,2019-09-29 15:47
@你这个死鬼zZ,,杀生丸，绝了！,0,2019-09-29 15:44
@旗木圜畅_青黄一生推,,卡卡西,0,2019-09-29 15:41
@胖达要吃甜甜圈,,西索,0,2019-09-29 15:37
@卧荻花月如_霜,,基德大人,1,2019-09-29 15:35
@我要少吃甜品了,,金闪闪吉尔伽美什可以拥有姓名吗,0,2019-09-29 15:33
@WF_Jirai,,自来也,0,2019-09-29 15:31
@大世界里的一小粒沙,,灌篮里的藤真,0,2019-09-29 15:29
@一个放优惠卷的,,杀生丸，啊啊啊啊啊啊啊啊！杀生丸,0,2019-09-29 15:27
@奈奈糖sama,,云雀恭弥,0,2019-09-29 15:25
@刚哥那么刚_,,我参与了@动漫头像 发起的投票【你最喜欢的动漫男配角是谁？】，我投给了“利威尔”这个选项，你也快来表态吧~兵短才这么点票？？？,0,2019-09-29 15:19
@橙橙就是丞丞不是臣臣,,我参与了@动漫头像 发起的投票【你最喜欢的动漫男配角是谁？】，我投给了“杀生丸”这个选项，你也快来表态吧~,0,2019-09-29 15:18
@M-eeeuip,,贝吉塔,0,2019-09-29 15:11
@雍正主义至上者,,赤司征十郎！！！！,0,2019-09-29 15:10
@爱拢龙的summer,,鹿丸  水户洋平,0,2019-09-29 14:59
@-izumi-Q,,水户洋平！,0,2019-09-29 14:58
@等我联系到母星你们就死定了,,杀生丸啊啊啊啊,0,2019-09-29 14:57
@佛系追星族ldt,,杀生丸，宇智波鼬，基德,0,2019-09-29 14:57
@青诗若葵135,,侯卿 尤川 李茂贞,0,2019-09-29 14:55
