User,Reter,Comment,Votes,Time
@杨和苏KeyFC,,英雄就要像追星一样对待,7022,2019-09-29 14:15
@好Q小白兔,,今天要进京，刘sir发型都整理了一个多小时,4253,2019-09-29 14:15
@吉吉无敌小蘑菇,,我家大门常打开，开放怀抱等你,1938,2019-09-29 14:15
@黛桃隽兒,,哈哈刘Ｓir被夸奖帅气、都害羞了,1671,2019-09-29 14:16
@枸杞泡泡水,,这位女士是谁呀！好气质,994,2019-09-29 14:14
@渣浪真是浪,,十位硬核港警，欢迎,898,2019-09-29 14:15
@E心缘,,我有个建议：希望有能力的人让香港主要街道的电视大屏幕在10月1日播放阅兵直播！,764,2019-09-29 14:29
@CC不是大朋友,,刘sir以后就是HK警队代言人了 哈哈哈啊,498,2019-09-29 14:15
@十万个为什么研究所,,欢迎阿sir,363,2019-09-29 14:14
@围城里的小卒,,十位英雄，代表了数万尽职恪守的香港警察！赞！,323,2019-09-29 14:17
@卡布奇诺_甜,,北京欢迎您 祖国需要你 人民需要你,254,2019-09-29 14:15
@矮虎酱,,刘sir好可爱呀 快轮到他握手了 手在裤子上擦了擦,232,2019-09-29 14:19
@塔普丨,,何生已经爬完长城了，sir要赶紧啊，趁着人还少,236,2019-09-29 14:15
@阿港l,,带我哥喝豆汁去,132,2019-09-29 14:15
@普大大超级fans,,千呼万唤的人民英雄终于来了,117,2019-09-29 14:15
@热短句bot,,欢迎我的老弟,80,2019-09-29 14:14
@恋恋红尘0308,,北京欢迎你,15,2019-09-29 14:15
@Air是Wang喵喵,,感觉最近和过年一样热闹,19,2019-09-29 14:33
@群十七,,看到刘Sir是双手握手，就像看到了好久不见的家人一样,8,2019-09-29 14:57
@骑驴磨腚骑驴腚骑腚还磨腚,,上次看到有个评论:秃头警长……下面回复:人家是光头！秃头是被动的，光头是主动的！哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,5,2019-09-29 15:27
@Sharonwisme,,感觉阿sir们有点拘束啊，哈哈……,5,2019-09-29 14:31
@大悦儿爱吃小果果儿,,刘sir好可爱啊,10,2019-09-29 14:18
@懒癌高先生,,这个阿姨 是在去拿lv包吗,5,2019-09-29 14:16
@涟漪雪柳,,港警风采！,5,2019-09-29 14:18
