User,Reter,Comment,Votes,Time
@饭圈安利鹅,,哈哈哈哈哈哈哈粉丝是怎么能忍住不笑的,6286,2019-09-29 15:17
@晴天Emily95011,,难道哈林老师就是个笑话儿吗,4197,2019-09-29 15:21
@忽闻此间有斯人,,应援口号是大家一起哈哈哈吗？,3278,2019-09-29 15:27
@larmyv,,啊哈哈哈哈哈不行这个太好笑了,1573,2019-09-29 15:24
@Higekiri,,哈林看到了是怎么忍住不笑的,1417,2019-09-29 15:30
@瓜组兔区鹅,,人工弹幕？,842,2019-09-29 15:49
@123321123变,,Comment with pics 评论配图,313,2019-09-29 15:29
@Ching叭叭叭叭叭,,突然我都无法直视这个灯牌了哈哈哈哈哈  但是我们也有很多可爱的灯牌哦,261,2019-09-29 16:21
@吃鱼不吃肉er,,哈哈哈哈哈哈哈（我在应援,110,2019-09-29 16:19
@现实版的苏大强,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好可可,151,2019-09-29 15:18
@JI_T1,,@way小杨同学,0,2019-09-29 16:16
@温柔拥抱最重要的小事,,@爱吃垃圾的小兔子 哈哈哈哈哈哈,0,2019-09-29 16:10
@请您吃炒饼,,@-檸喔,0,2019-09-29 16:07
@我是AB的妹妹AC,,@QiBaofu-7,1,2019-09-29 15:57
@芋圆啵啵奶茶_,,@wannapeeeace,0,2019-09-29 15:53
@限定蜜桃气泡红茶丶,,@sufov @希歪恩Crystal,0,2019-09-29 15:46
@-SunlightPrism-,,@今天我学会甜言蜜语了吗 哈哈哈哈哈哈啊哈,0,2019-09-29 15:44
@R3nyuanao,,@0roll @Aprilzh- 哈哈哈哈哈哈,0,2019-09-29 15:33
@汪帅_Vincent,,都给我哈！！！！ 评论配图,6,2019-09-29 17:23
@袖口月光-,,@一颗橙子turbo 哈哈哈哈哈哈哈,0,2019-09-29 16:06
@NT追星小号,,应援一起哈哈哈哈哈哈哈哈,1,2019-09-29 17:46
@酷宋盖子平,,@yi-类似爱情 哈哈哈哈,1,2019-09-29 16:34
@时桉ch,,@Epilogue_77,1,2019-09-29 16:09
@wjjw没有糊bot,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈这个笑到我了,1,2019-09-29 15:51
@蛋黄酥美少女,,哈哈哈有意思,1,2019-09-29 15:19
@爷爷说神说要有光呀,,哈哈哈哈哈哈,1,2019-09-29 15:18
@静静寄几玩-,,嘎嘎嘎嘎就哈哈哈哈哈哈好@吴世勋正牌,0,2019-10-11 15:46
@RedamancyXx,,哈哈哈哈哈哈哈哈哈,0,2019-10-01 22:59
@边爱丽草莓园,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 20:30
@景小喵_KIKI,,@Deer麋,0,2019-09-29 20:20
@流错年,,@砚砚叉会儿腰 艹哈哈哈哈哈,0,2019-09-29 19:22
@nee是我的万千星辰,,这灯牌有毒，哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 18:56
@十一饱儿,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 18:29
@雾伴江南,,@夹心·,0,2019-09-29 18:03
@NT追星小号,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 17:46
@嗯罗咯,,@不是美少女的美 忍不住跟到一起笑,0,2019-09-29 17:38
@一阙温柔,,@影和诗,0,2019-09-29 16:50
@人青er_,,哈哈哈哈哈哈哈哈哈我奇怪的笑点,0,2019-09-29 16:40
@是可爱酱哦,,@江理源子,0,2019-09-29 16:31
@田肚子甄有土,,我tm笑吐了哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 16:30
@尘事如潮人如水RS,,@大文er儿,0,2019-09-29 16:04
@是小狐狸林林林,,@十二小姐_ @等我穿上袜子踢死你这个婊砸 @包zizizizi 哈哈哈哈哈哈哈哈,0,2019-09-29 15:52
@銀柏空港,,@王一涵yu 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈你快来看,0,2019-09-29 15:51
@雾纪乌龙,,@我是M酱喂QvQ 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我笑得翻来覆去,0,2019-09-29 15:51
@朝阳群众臭噜噜,,@Goooiy 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 15:48
@明天吃面包,,@仙草加椰果 哈哈哈哈哈哈哈哈,0,2019-09-29 15:43
@我是肖肖肖like,,哈林:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 15:41
@潔西卡呀,,哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 15:36
@DearMissZhao,,@姚佰佰万事如意顺顺顺 看这个，笑死我了,0,2019-09-29 15:24
@苏神还是酥神,,哈哈哈哈哈哈哈哈,0,2019-09-29 15:19
@汀汀牌泡泡机,,哈哈哈,0,2019-09-29 15:18
@啵啵xixi,,原来我每天在wb都是在帮哈林老师应援？？,2,2019-09-30 00:24
@是本無夢,,这个真的过于好笑哈哈哈哈哈哈哈哈 评论配图,2,2019-09-29 15:31
@Leonardo724,,@feiphy 哈哈哈哈哈哈哈哈这应援,1,2019-09-30 00:44
@讲废话的365天,,哈哈哈哈哈哈哈哈哈,1,2019-09-29 23:49
@by48都是我的,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1,2019-09-29 21:17
@欣欣hh哈,,我哈这波不好么，撑腰怎么样,1,2019-09-29 20:10
@waxberrJay_,,主持人：哈林老师，今天来了这么多粉丝，能给我们念念他们的灯牌吗？ 哈林：卒。,1,2019-09-29 19:59
@田婷湉儿,,一打开笑死我啦,1,2019-09-29 19:25
@燕破岳·,,哈哈哈哈哈哈哈哈哈哈哈哈哈,1,2019-09-29 18:27
@摇尸,,哈哈哈哈哈哈哈,1,2019-09-29 18:27
@lavendellll,,忽然想唱歌“哈哈 哈哈 哈哈哈，哈哈 哈哈哈”,1,2019-09-29 17:14
@AyLinBx,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1,2019-09-29 17:10
@老干妈ooo,,今日最好笑！！！！,1,2019-09-29 16:53
@Clearlove丿诺言,,哈哈哈哈哈哈哈哈哈,1,2019-09-29 16:28
@响铃静音振动,,,1,2019-09-29 15:18
@Minoz__520,,@BLGDY 哈哈哈哈哈,0,2019-10-03 20:55
@超无敌美少女是我没错,,哈哈哈哈哈哈哈哈,0,2019-10-01 14:30
@玉兔化鹤归,,哈哈哈哈哈哈哈哈哈,0,2019-10-01 11:05
@时光嘀嗒嘀嗒风和日丽,,哈哈哈哈哈,0,2019-09-30 11:09
@PC-PANJIN,,哈哈哈哈,0,2019-09-30 00:42
@哦豆开开开,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，看着就好开心啊！！！！！,0,2019-09-29 20:54
@南门外的大货车,,@今年改名机会已用,0,2019-09-29 19:32
@525小队长,,妈呀笑死我了,0,2019-09-29 19:29
@小盖小盖盖世无双,,哈哈哈哈哈哈哈哈哈  神之应援,0,2019-09-29 19:12
@chillicheese,,@joy顿时大喜,0,2019-09-29 18:49
@没上岸就不改名,,哈哈哈哈哈哈哈哈哈感觉好沙雕,0,2019-09-29 18:42
@Loaskm,,哈哈哈哈哈哈忍不住笑了,0,2019-09-29 18:29
@网名被占用了吗,,哈哈哈笑死了,0,2019-09-29 18:28
@仍难换取你感动,,哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 18:25
@一条铲屎女孩,,@仦珊珊珊,0,2019-09-29 18:20
@这下总该可以了吧,,哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 18:15
@罗志祥的娟哥,,@C唐頸鹿君,0,2019-09-29 18:07
@A周雨1920,,哈哈哈哈，笑死我了,0,2019-09-29 17:58
@二六阿-,,@木又士心龙夫人 笑死,0,2019-09-29 17:52
@熊猫LOVELIVELIFE,,@喂猪的人  哈哈哈哈哈哈哈哈,0,2019-09-29 17:47
@winzyyyy,,我操哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈啊哈哈哈,0,2019-09-29 17:30
@执为兴迷,,@严小娜is吴泽甜KarRoy 哈哈哈哈哈,0,2019-09-29 17:27
@sophin_耽,,@ikguplki 哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 17:22
@去给我买奶茶了嘛,,@是毛毛酱a 啊哈哈哈哈哈哈哈哈,0,2019-09-29 17:18
@其实我很疼你的,,哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 17:10
@程家大夕,,@几个阿橙 进来笑。今夜我们都是哈林老师的粉丝，哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 17:01
@棒棒儿啊,,哈哈哈，好欢乐的场面,0,2019-09-29 16:56
@一个勇敢的蚌壳精,,哈哈哈哈 好逗,0,2019-09-29 16:33
@bigdogxx,,@我是瘦瘦瘦子,0,2019-09-29 16:31
@I_am_李小壮,,@千千呀_ ,0,2019-09-29 16:23
@烏拉那拉喬,,@aLIEzooz,0,2019-09-29 16:11
@閒人日常,,@Kora小阿皮 @Kora小阿皮 @Donghaesky,0,2019-09-29 16:11
@爱嬅august,,哈哈哈哈，看着都很开心,0,2019-09-29 16:08
@一个行走的感叹号,,@淇大帅0_0 哈哈哈哈哈哈哈,0,2019-09-29 16:05
@糖果铺子不甜,,粉丝也是人才,0,2019-09-29 16:05
@小笨鸡蛋,,@可爱威w龙,0,2019-09-29 16:04
@cilialiang,,哈哈哈哈，还挺好笑的,0,2019-09-29 16:04
@喜欢哈尔的苏菲娅,,哈哈哈哈 好沙雕,0,2019-09-29 16:00
@棒棒儿啊,,哈哈哈哈，好喜庆啊,0,2019-09-29 15:58
@一颗柚子zzz,,@喜欢喝西米露的茜茜,0,2019-09-29 15:51
@珍惜美好时光啊,,怎么那么搞笑,0,2019-09-29 15:47
