User,Reter,Comment,Votes,Time
@快到我的腿上来丶,,这才是女大十八变吧,1746,2019-09-29 15:01
@我在万里阳光号,,到现在也不敢想相信李咏走了,1924,2019-09-29 15:03
@帝都都督,,cool girl,319,2019-09-29 15:00
@小可爱扑捉一只,,感觉挺漂亮的呀~长大了也好看了哎,246,2019-09-29 15:01
@HepcatVVV,,漂亮 有点像许玮甯,215,2019-09-29 15:02
@热短句bot,,好看诶,70,2019-09-29 15:00
@-脏脏黑糖奶盖茶-,,p8太美了吧,39,2019-09-29 15:01
@apophynieea,,挺好看的，比较舒服的长相,12,2019-09-29 15:02
@小孩子babyqq1203,,为什么人家都瘦瘦的,10,2019-09-29 15:05
@扛把子铁铁,,真好看呀,7,2019-09-29 15:00
@春日出租,,好漂亮,4,2019-09-29 15:03
@Real鹏城人,,好好的一个天朝中国人，起啥外国名、、,13,2019-09-29 15:35
@Mun·,,女大十八变，越变越漂亮,7,2019-09-29 15:00
@金主哥,,挺好看的,2,2019-09-29 15:16
@白猫师尊2019,,清真美女,11,2019-09-29 15:02
@拥有自己的星空,,咋变着好看呢 小时候的照片是有人恶意p的吧 ,3,2019-09-29 15:04
@怪你的头太圆,,第一眼以为是张梓琳 太像了吧,7,2019-09-29 15:37
@甜甜小汤圆V,,她女儿的名字好特别，她妈妈姓哈，爸爸姓李，她可以自己姓法吗？是少数民族的名字吗？觉得好好听,3,2019-09-29 17:14
@我的小树袋熊出没啦,,中国人跟老外的差别就是中国只有美女和大爷才出门穿吊带露脐装，老外不管自己啥身材喜欢就穿也没人嘲笑……,5,2019-09-29 16:07
@oo发条澄oo,,好漂亮的女孩儿,2,2019-09-29 17:02
@朴xinMCR7,,有一种种多喜姐姐感觉？,1,2019-09-29 15:28
@爱吃想吃蛋挞的喵,,很酷的女孩！真的很棒！,0,2019-09-29 15:39
@cxccci040718-2xx2,,18活的不容易,1,2019-10-01 00:55
@世界孤独Z,,好漂亮,0,2019-09-30 07:33
@-ssrsuresure,,人家的十七岁,0,2019-09-30 00:11
@wwww西,,有点像许玮甯诶,0,2019-09-29 23:52
@-NICo婷仔,,作为同样在青春年华里失去父亲的人，希望她活的精彩，与我父前后脚,0,2019-09-29 22:23
@莉莉_xl,,唉 只可惜李咏去世了,0,2019-09-29 22:08
@Youaremyuniquerose,,很漂亮,0,2019-09-29 21:40
@太阳花的悲伤1993,,真的好好看,0,2019-09-29 19:09
@唐晓夜,,好看！,0,2019-09-29 19:00
@老妖X3,,长的好漂亮啊！身材好棒！一点都没有爸爸的影子,0,2019-09-29 18:49
@瘦成精致_小肥妞,,这就是女大十八变,0,2019-09-29 18:30
@池恩和爱木安,,适合选美,0,2019-09-29 18:16
@大海鲨鱼_,,P9项链好好看,0,2019-09-29 18:08
@Positive_pessimist,,好看,0,2019-09-29 17:44
@我就是我yaner,,这样穿会不会有点暴露 有些危险,0,2019-09-29 17:40
@天真灿烂·尘世游慢,,很漂亮诶,0,2019-09-29 17:35
@米兔爱放空,,好看耶,0,2019-09-29 17:29
@阿就酱子,,好看,0,2019-09-29 17:25
@气质人设已可丢,,好好看,0,2019-09-29 17:01
@忘了我是谁603,,这是真的女大十八变,0,2019-09-29 16:50
@粘不拉叽抖啥包,,很酷很性感,0,2019-09-29 16:35
@努力努力再努力kevll,,有点像爱新觉罗媚,0,2019-09-29 16:26
@張哑哑francis,,长得太好了吧,0,2019-09-29 16:10
@哥斯达黎加的太阳,,漂亮妹妹,0,2019-09-29 16:04
@小兰兰2288,,好漂亮,0,2019-09-29 15:58
@KatherineFans,,和小时候完全不一样哎,0,2019-09-29 15:53
@Karen茜茜,,很漂亮,0,2019-09-29 15:48
