User,Reter,Comment,Votes,Time,Count
@_痴线低低B,,好听在哪？,16369,2019-09-29 00:27,1
@易窗含西岭,,…不至于不至于，咬字不清唱功也一般吧，可憋吹了,12667,2019-09-29 01:21,1
@甜甜崽o,,好听吗……？,9230,2019-09-29 00:54,1
@氟西汀神,,这声音听上去为什么不那么自然？,4706,2019-09-29 00:44,2
@要养家糊口的粗糙猪猪女孩,,为啥我听得我很着急,3796,2019-09-29 00:35,1
@少伯与夷光,,侧脸有点丑啊……,2646,2019-09-29 07:42,1
@PoBoMu,,真的挺干净空灵的…梦回早年的陈绮贞！,1481,2019-09-28 22:28,1
@单眼皮皮皮皮小妹,,吐词不清。。我怀疑有人把她的嘴粘起来了,1665,2019-09-29 01:08,1
@cswbzjz,,又甜又干净！喜欢！,1206,2019-09-28 22:20,1
@香港脚不臭,,一般般，全都用假声唱的…,1147,2019-09-29 00:40,1
@o0o0o·,,声音好甜！！！ 评论配图,568,2019-09-28 22:29,2
@zkd是小学生,,#欧阳娜娜改编天天想你# 作为一位新人歌手，欧阳娜娜的唱功真的肉眼可见的在进步！期待未来她的更多舞台和更多作品～,471,2019-09-28 22:29,1
@是陈镜镜镜呀,,又买热搜,549,2019-09-29 00:55,1
@家是我最想回到的地方,,。。。。好听在哪？感觉有点故作甜甜的声音，压着嗓子唱,452,2019-09-29 08:25,1
@我喜欢小兔紙耶,,妹妹唱歌太甜了 评论配图,317,2019-09-29 00:14,1
@拉普_-,,好听,236,2019-09-28 22:15,7
@_操睿是个狗,,？？？？？？？？？？？？？？,349,2019-09-29 00:24,1
@凤梨妹小朋友,,期待期待 评论配图,222,2019-09-28 22:23,1
@夜猫子不怕熬夜,,啊……不是吧，我觉得唱得很一般啊，咬字不清听着有点难受,296,2019-09-29 01:25,1
@小琳子要中大奖,,不是所有的歌都适合改编，这改的太刻意了,232,2019-09-29 00:22,1
@小葵牌鱼肉松031122,,天天想你@歐陽娜娜Nana 我的小甜甜宝贝,166,2019-09-28 22:22,1
@欧阳娜娜洛璃冲冲冲,,#欧阳娜娜改编天天想你# 宝贝唱的太好听了,151,2019-09-28 22:38,1
@人傻钱多研究所,,给我魂都勾走了 宝宝唱的很好听,144,2019-09-28 22:26,2
@刘刘啊ang,,甜甜的味道,72,2019-09-28 22:32,1
@fFAngZy,,没听完就退出的水平→_→,102,2019-09-29 08:06,1
@嘻哈嘻哈大疯子,,希望有一天从伯克利毕业后欧阳娜娜成为创作小甜歌的歌手，太适合她啊……,51,2019-09-29 00:51,1
@绿萝41969,,好听,45,2019-09-28 22:32,1
@爱上Babay小文,,甜甜的感觉,42,2019-09-28 22:24,2
@发表大意见人士,,声音真的好奶啊！蛮甜的,42,2019-09-28 22:38,1
@可口可乐鸡翅汉堡,,少女的甜，清新，幼，奶萌，纯净。,35,2019-09-29 01:26,1
@爱上Babay小文,,纯净,37,2019-09-28 22:24,2
@Milky15770,,哇，多才多艺哦,36,2019-09-28 22:31,2
@云溪Crystal,,what？？？,57,2019-09-29 08:12,1
@奶泡小姐妹,,治愈！！！,26,2019-09-29 00:22,1
@ferrygirl吼吼吼,,萝卜青菜各有所爱没错了，她的声音一听就觉得很无力，就像一口气提起来要说话却没说完的感觉，有人说像陈绮贞，陈绮贞的声音空灵却有力度,51,2019-09-29 08:11,1
@debasmd,,好听就完事儿,21,2019-09-29 06:48,1
@小超人不起飞,,没感觉，假音，模糊,50,2019-09-29 08:13,1
@拟你尼呢,,只要不演戏就是一个完美女神,14,2019-09-28 22:25,2
@铜雀春深锁娜比,,把我最好的爱留给你,23,2019-09-29 00:40,1
@逗比颜狗颜值高,,把我最好的爱留给你,22,2019-09-28 22:32,1
@葵姐的Avocado,,宝贝太棒了,21,2019-09-28 23:02,3
@人傻钱多研究所,,？？？现在路人都这么厉害了吗 都是些专业音乐人啊 我觉得唱的是好听的 为什么那么多恶言相向 ,21,2019-09-29 09:14,2
@YanAaron,,尴尬，捏着嗓子，转音也很尴尬,36,2019-09-29 08:25,1
@汀竹汀竹呀,,评论292上热搜？,21,2019-09-29 02:54,1
@青莲一荷,,她不是去上学了么？,16,2019-09-28 23:08,1
@葵姐的Avocado,,宝贝声音好甜呀！,15,2019-09-28 23:02,3
@许是人间的路不好走,,隔两天上热搜真的很败好感，放过他吧,20,2019-09-29 08:26,1
@黄瓜薯片儿,,就…还好,25,2019-09-29 00:31,1
@UUUwLG,,娜比的音色真的超超超爱 很甜很少女很有这个年纪的味道,11,2019-09-29 08:19,2
@DoNG_Yuu,,听过她之前唱的还可以 但这首不太好听 中肯 别尬吹,22,2019-09-29 01:10,1
@love少时99,,学大提琴的就是不一样 感觉弹吉他的时候 指位摁的很轻松 也很准确啊,10,2019-09-29 08:50,2
@森林中的一块岩石,,好听,6,2019-09-29 03:57,1
@你是居咩swag,,娜比真的很多才多艺，会弹唱会改编，唱的也很甜呀！就问你还有什么不会的,12,2019-09-28 22:45,1
@Serengetiii饱满大梨,,为啥每天都是这一首歌。。。,17,2019-09-28 23:38,1
@Vam_pire912,,娜比好听！,4,2019-09-29 11:17,1
@92年的老阿姨KaKa,,我作为纯路人，我觉得还算好听的吧，大家就别尬了,9,2019-09-29 09:31,1
@桃子喝可乐,,作为一个欧阳娜娜的粉丝，我喜欢她唱歌不是因为唱功怎么样，而且觉得她声音很干净,9,2019-09-29 08:20,1
@Na2_迷姐,,听着舒服的歌声，安抚心，喜欢,8,2019-09-29 00:35,1
