User,Reter,Comment,Votes,Time,Count
@性科普bot,,能梦的话是否代表会思考？,1002,2019-09-29 20:16,6
@Elen小粒是个魔头啊,,章鱼会很多，还会赌球,1047,2019-09-29 20:43,1
@山石水寿乐悠悠,,它又不会说话，你想咋说都行,750,2019-09-29 20:45,1
@枫枫的心肝宝贝疙瘩面,,梦到海绵宝宝了,628,2019-09-29 21:14,2
@蔚蓝新海Vincent_1998,,"一直怀疑章鱼,鱿鱼,水母之类的属于外星生物…",206,2019-09-29 21:39,2
@赤晓520,,子非鱼，安知鱼之乐,160,2019-09-29 21:22,1
@哲秀·,,章鱼智商贼高的,89,2019-09-29 20:26,1
@性科普bot,,好神奇……想起变种人,81,2019-09-29 20:17,6
@我是寧寧寧ning,,梦到了铁板跟油锅,88,2019-09-29 21:45,1
@明月旧时欢,,那。。。怎么说明梦到的是螃蟹啊,78,2019-09-29 20:21,1
@没有一颗旺鸡蛋可以逃出我的魔爪,,装睡的章鱼内心：这人烦不烦啊，一天到晚盯着我睡觉，想把他像抓螃蟹一样 躲起来吃掉,56,2019-09-29 21:37,1
@朕就是这样的奇女子,,为什么只有人会做梦，别的动物就不会做梦吗？,35,2019-09-29 20:21,1
@鳌拜远方亲戚熬夜,,它会不会梦到了比基尼海滩,20,2019-09-29 22:30,1
@我叫零零一,,章鱼哥梦到了蟹老板,15,2019-09-29 20:33,1
@江西-吴文辉,,能梦的话是否代表会思考？,5,2019-09-29 21:45,1
@吃藕不忘wow人,,@章鱼哥,3,2019-09-29 20:24,1
@阿脸的反击,,我想说这个口语好听,2,2019-09-29 21:34,1
@_fzk,,原来章鱼会吃螃蟹，孤陋寡闻了,4,2019-09-29 20:20,1
@佑子不是柚子呦,,我觉得你能读懂它的梦你也不简单,1,2019-09-30 00:18,2
@赵烨磊的小宝贝,,原来章鱼这么神奇,2,2019-09-29 20:20,2
@米小兰先森,,章鱼:海绵宝宝！你能安静一点吗！我在吹竖笛呢！,3,2019-09-29 23:53,1
@初沫盛夏流年,,,2,2019-09-29 23:00,1
@鱼头小怪biu,,你怎么知道他是在做梦   为什么不是单纯的变色,2,2019-09-29 21:31,1
@陈润佳字长错,,一直记得章鱼好像有九个大脑，也不知道是不是以前看的洋葱新闻。。。,1,2019-09-30 02:52,1
@是个宝贝甜甜Ti,,问下魇兽就好了,1,2019-09-29 22:37,1
@Meiko梅子,,@早喵子丶SANAEKO,0,2019-09-29 22:07,1
@Daisy1004ls,,因为太想念大海想回家了吧,1,2019-09-29 21:46,1
@·蒜蓉法棍·,,这样像红绿灯一样变色不会吸引捕食者吗？,0,2019-09-30 08:43,3
@Queenie_L1213,,@都不要打扰我睡觉 看得我毛骨悚然,0,2019-09-30 04:40,1
@哥哥终点站见,,可能还会梦游，所以不要在有危险的地方睡觉呀。,0,2019-09-30 01:20,2
@Damon_要好起来呀,,,0,2019-09-29 22:59,4
@曺亞婷-,,@小嘴症,0,2019-09-29 22:39,1
@Fallout_realm,,一只,0,2019-09-29 22:38,1
