User,Reter,Comment,Votes,Time
@我从不骂人,,不喜欢把秒回信息当做是爱你的表现的人,46,2019-09-29 11:57
@我是啊蘇啊蘇啊,,不用秒回，但有什麼事希望說一聲,46,2019-09-29 13:28
@小福哥哥哥哥,,那干脆别聊了。聊一句半天不见人影，又冷不丁的来一句，非常不尊重人。有事忙说一句，没有那么难，哪怕是随便编一个理由，这样也就不会再一直等消息了。如果在现实生活中聊天，半天不理别人，想想人家会怎么想。,34,2019-09-29 13:57
@豆倩啊啊啊啊啊,,投秒回票，因为我太希望别人能秒回我，我每次都会给别人秒回，然而，别人给我都是轮回,8,2019-09-30 08:37
@-小性子-,,siri不秒回都会退出，凭什么你不秒回我还要继续等,10,2019-09-29 16:08
@Merrick同学,,难道人一天什么都不干，就盯着手机等你来消息？闲下来看到就回，忙的时候在做事情怎么知道你来消息了，还tm忙的时候也回一下，你干脆粘他身上得了,11,2019-09-29 16:14
@被快乐绑架的小余,,看到肯定会回的啊 除非根本就不想回你,4,2019-09-29 17:24
@Merrick同学,,不聊天b事没有,6,2019-09-29 16:12
@右耳和你合妳,,我觉得有时间可以秒回  是一种尊重 实在没时间等有时间回复消息也不错的 可以向对方说说自己做了什么,7,2019-09-29 14:17
@-LeslieShA-,,秒回的人不用工作上班做其他事吗,0,2019-10-05 10:18
@鲸鱼爱喝酸奶吖,,每个人都有自己的事，不是时刻守着手机的,7,2019-09-29 13:27
@阿胡胡胡的,,不必秒回  但是要回  要想到别人在等你回消息  干等真的很难受,3,2019-09-29 16:23
@西东东西魔牙,,秒不秒回吧不重要，起码看见了就应该立刻回,4,2019-09-29 14:43
@当微风吹来轻抚你的脸颊,,首先呢，怎么说，既然这里都说到要不要秒回，那肯定是看到了，看到了有时间肯定要秒回的，难道要可以停几分钟半小时。装一下矜持再回吗？如果看不到。或者忙的不顾得回，那就另当别论了。,5,2019-09-29 14:12
@金夫人f,,看情况吧！如果刚好在玩手机，应该马上回,5,2019-09-29 13:10
@提着猪头找庙门-,,我参与了@亓子哥哥 发起的投票【男女朋友网上聊天应该秒回吗】，我投给了“应该”这个选项，你也快来表态吧~@我是马男Bojack 难道还要聊个骚再回不成,0,2019-10-03 02:58
@听不见的光,,能秒回的都是AI,2,2019-09-29 14:10
@最帅TINY,,看心情慧,1,2019-09-29 17:09
@核桃吃桃核,,无论是不是对象，可以不秒回，但是看到应该要回一下吧，除非压根不想回,1,2019-09-29 16:50
