User,Reter,Comment,Votes,Time
@晨艺,,这样纯粹的舞台，我一定好好珍惜! 这一场风暴，由舞者掀起! #舞蹈风暴#,5207,2019-09-29 15:43
@芒果洪涛,,舞者值得被看见…… 从此，新时代的偶像属于舞者！,1498,2019-09-29 00:48
@张钊玮丶,,整挺好,49,2019-09-29 01:16
@珠宝圈儿,,晨艺的表现太棒了！！！没有花哨的技巧，一切从心而发，情感细腻又富有张力，完美！看你的舞蹈，能读到故事，感同身受！,7,2019-10-08 20:03
@易纸永生支持千玺的千纸鹤,,晨艺你真的好棒啊啊啊//@晨艺:这样纯粹的舞台，我一定好好珍惜! 这一场风暴，由舞者掀起! #舞蹈风暴#,5,2019-10-08 20:37
@失控的小星星,,我真的很期待呀//@晨艺:这样纯粹的舞台，我一定好好珍惜! 这一场风暴，由舞者掀起! #舞蹈风暴#,2,2019-10-08 20:37
@我在这一直很安静,,加油//@晨艺:这样纯粹的舞台，我一定好好珍惜! 这一场风暴，由舞者掀起! #舞蹈风暴#,3,2019-10-08 18:08
@嘟luDu噜lu,,我预感要爆～～,1,2019-10-13 14:23
@饿了出去野,,时间都知道//@晨艺:这样纯粹的舞台，我一定好好珍惜! 这一场风暴，由舞者掀起! #舞蹈风暴#,1,2019-10-13 03:32
@c灬小柒灬,,期待舞者王晨艺@晨艺 评论配图,1,2019-10-11 08:43
@Yana96_Henry,,好棒啊！！@刘宪华Henry-Lau ,1,2019-10-10 08:44
@真是让人头大呀may,,加油,1,2019-10-08 23:51
@丹壮是个小说控,,王晨艺的舞蹈给我看哭了,1,2019-10-08 23:42
@喜欢穿衬衣的Wong衬衣,,超好看,1,2019-10-08 23:19
@Zyongli永丽,,期待晨艺的表现，祝舞蹈风暴收视长虹,2,2019-10-08 20:55
@会biubiubiu的熊孩子,,这个节目真的会给人涅槃重生的希望,0,2019-10-08 01:08
@黑人小贝,,彭彭!,1,2019-10-18 18:28
@哦哈呦sama,,这就是一个很了不起的节目,1,2019-10-17 21:19
@猫咪老师1234567,,太喜欢这个圆形舞台了,1,2019-10-13 22:36
@澄儿澄,,晨艺加油,1,2019-10-13 20:42
@Ie张办1_,,#晨艺回归舞者# [給你小心心] 全情释放吧少年～ 恣意飞扬的舞蹈，倾注热血的表达 你只管放肆奔跑，努力自会遇到美好 我们一同见证王晨艺的风暴成长。 @晨艺,1,2019-10-10 22:57
@ya丫子,,@晨艺 ，《舞蹈风暴》是属于你们舞者的，尽情享受吧！,2,2019-10-08 21:01
@为晨艺执着,,好看,0,2019-10-29 21:19
@从来都不会落雨的街ZyCC,,期待每周六的舞蹈风暴。,0,2019-10-09 22:26
@WYC我爱你18,,一直在！//@晨艺:这样纯粹的舞台，我一定好好珍惜! 这一场风暴，由舞者掀起! #舞蹈风暴#,1,2019-10-08 23:46
@晨艺的老母亲,,灵魂摆渡人王晨艺@晨艺,0,2019-10-26 13:58
@晨藝一朵朵VK,,全情释放吧少年～ 恣意飞扬的舞蹈，倾注热血的表达 你只管放肆奔跑，努力自会遇到美好 我们一同见证王晨艺的风暴成长。 @晨艺,1,2019-10-15 12:35
@晨辰辰辰0523,,加油//@晨艺:这样纯粹的舞台，我一定好好珍惜! 这一场风暴，由舞者掀起! #舞蹈风暴#,1,2019-10-13 20:54
@CHEN橙橙icon,,看完第一期，过程中给我的感觉太震撼了，大家都很厉害，尤其喜欢风暴时刻这个创意特别棒360展现美，值得追下去#舞蹈风暴#,0,2019-10-09 16:18
@谁在说谎869,,加油哦//@晨艺:这样纯粹的舞台，我一定好好珍惜! 这一场风暴，由舞者掀起! #舞蹈风暴#,0,2019-10-09 10:43
@小野兽的阿姨,,晨艺,1,2019-10-08 21:12
@boom咔咔cucy,,,0,2019-10-08 20:45
@永远的守护a,,好想参加呀，祝活动成功。,0,2019-10-08 19:47
@Dawn_dn,,很喜欢看王晨艺跳舞,0,2019-10-09 21:54
@羊小婷婷婷,,#元气爱豆的日常# #爱豆v力量#@晨艺 加油,1,2019-10-14 23:52
@yangting86370,,#元气爱豆的日常# #爱豆v力量#@晨艺 加油[加油][加油][加油],1,2019-10-14 23:17
@郁闷小周,,@湖南卫视舞蹈风暴 #舞蹈风暴# 湖南卫视又放大招了！艺术无论何种形式，情感传达总是直击内心！舞蹈我是门外汉，但不妨碍我被那些优秀的舞蹈所震撼。 让我印象最深刻的前几名（排名不分先后） @舞者李响 《行者》 @刘迦 《Layers》 @我叫张翰《醉忆生声》 @王占峰Ballet @敖定雯 《九儿》,1,2019-10-14 22:26
@lixiang53964,,晨晨，又是喜欢你的一天，今天天气很好啊@晨艺 #元气爱豆的日常# # 晨艺回归舞者#,1,2019-10-13 10:55
@lixiang53964,,晨艺今天又是努力的一天呀，大家都加油呀@晨艺 #元气爱豆的日常# #爱豆v力量#,1,2019-10-12 16:23
@lixiang53964,,加油晨艺@晨艺 #元气爱豆的日常##爱豆v力量#,1,2019-10-10 13:02
@ZUIJIU玲珑心,,期待周六晨艺的《舞蹈风暴》，晨晨加油。 评论配图,0,2019-10-09 08:26
@lixiang53964,,跳纯粹的舞，做纯粹的人，加油@晨艺,2,2019-10-08 10:31
@白死你2,,真的很好看。我每星期五晚上必看,0,2019-12-20 21:26
@为晨艺执着,,好看,0,2019-10-29 21:19
@晨艺的老母亲,,灵魂摆渡人王晨艺@晨艺,0,2019-10-26 13:58
@只钟意晨艺,,要不一天也行你无需开口，我和天地万物便通通奔向你。我竟想着要把我的前半生拍成电影给你看，@湖南卫视舞蹈风暴 @晨艺,0,2019-10-23 23:51
@华东文浚,,田曦雅我的粉她这次无缘了,0,2019-10-23 05:49
@白死你2,,真的很好看。我每星期五晚上必看,0,2019-12-20 21:26
@为晨艺执着,,好看,0,2019-10-29 21:19
@晨艺的老母亲,,灵魂摆渡人王晨艺@晨艺,0,2019-10-26 13:58
@只钟意晨艺,,要不一天也行你无需开口，我和天地万物便通通奔向你。我竟想着要把我的前半生拍成电影给你看，@湖南卫视舞蹈风暴 @晨艺,0,2019-10-23 23:51
@华东文浚,,田曦雅我的粉她这次无缘了,0,2019-10-23 05:49
@黑人小贝,,彭彭!,1,2019-10-18 18:28
@哦哈呦sama,,这就是一个很了不起的节目,1,2019-10-17 21:19
