User,Reter,Comment,Votes,Time,Count
@热短句bot,,一路走好,23406,2019-09-30 11:31,9
@幽灵·暴龙兽,,老将军慢行，请老将军给我们的先辈们带句话：如今山河仍在，国泰民安，盛世中华，思之未远，虽前路坎坷，然初心不改，中华复兴，指日可待，万望心安！,19910,2019-09-30 11:48,1
@今日宝藏,,一路走好，老将军,6906,2019-09-30 11:31,13
@性科普bot,,又少了一颗将星 愿将军一路走好,5646,2019-09-30 11:32,15
@懒淡淡de喜樂,,就差1天70年国庆啊,730,2019-09-30 11:32,2
@猎梦原野,,老将军走的时候心里应该有答案的了，在他内心里，一个全新的大国已经冉冉升起，有很多东西不用眼睛也能看到，心能感觉。,548,2019-09-30 14:30,1
@Sylvia-TL-,,我求你再等等，再等一下。还没来检阅我们呢……,473,2019-09-30 14:00,2
@我好想好想fly,,,268,2019-09-30 12:00,1
@胡蕊蕊hr,,将军，一路走好,197,2019-09-30 11:32,1
@諾柒夏,,英雄一路走好,101,2019-09-30 11:32,4
@諾柒夏,,老将军一路走好,92,2019-09-30 11:32,4
@桐溪毓秀,,,71,2019-09-30 11:37,1
@陌上初安沁,,一路走好，老将军,39,2019-09-30 13:58,1
@扣子Aiw,,老将军为啥不多再等几天，这样您就可以看到国庆阅兵了,42,2019-09-30 13:59,1
@Saybye72581,,代表巴中青少年向您表示致敬,34,2019-09-30 14:45,1
@梓秋季,,我们巴中人民的骄傲。将军一路走好。,51,2019-09-30 14:05,1
@清清清xxyy,,老将军一路走好,35,2019-09-30 11:39,1
@一大抽小笼包,,倘若再多给他一天该多好,32,2019-09-30 14:13,4
@小璠璠呀,,这盛世，有你的一份，老将军走好，我们会为你继续守护祖国。,22,2019-09-30 14:01,1
@澄迈楠哥,,就差一天就能看70周年大庆了,13,2019-09-30 15:06,1
@喜你zylby,,老将军慢行，请老将军给我们的先辈们带句话：如今山河仍在，国泰民安，盛世中华，思之未远，虽前路坎坷，然初心不改，中华复兴，指日可待，万望心安！,26,2019-09-30 14:36,1
@小兔子乖乖-mm,,老将军一路走好，如今中华盛世，国泰民安，万望安心,25,2019-09-30 14:06,1
@real_yangbinghan,,参谋部 是打错了吗。。,18,2019-09-30 12:34,1
@薄荷加冰唯我心凉C,,古来征战几人还，路上慢点老爷爷,11,2019-09-30 14:43,1
@林墨可爱粉,,再等一等，,12,2019-09-30 13:55,1
@瓜瓜49492,,多么希望他能去北京看看阅兵  看看这盛世   既然走了  麻烦老将军给周总理带去一句话  咋们飞机不用再飞两遍了,11,2019-09-30 16:40,1
@金欧巴的缸,,巴中籍是什么意思？,6,2019-09-30 15:08,1
@他的慈父,,不想以这种方式认识你，不想在这个时候认识你,8,2019-09-30 14:59,3
@原来是肖战xz啊,,愿老将军一路走好,2,2019-09-30 18:35,1
@这盛世如我们所愿,,致敬英雄，将军一路走好,3,2019-09-30 14:53,3
@我一定是锦鲤啊,,明天就是国庆了，您看不到大阅兵了，不过，您在天有灵，会看到的，一路走好，谢谢您的贡献,6,2019-09-30 14:52,1
@llzz66小青龙,,就差一天就国庆70周年大阅兵,6,2019-09-30 14:20,1
@EunHyuk_Mino,,,1,2019-09-30 15:55,4
@喝水Vicky___,,,6,2019-09-30 14:11,1
@小脚印啊,,一路走好很遗憾老将军看到国庆70周年了,5,2019-09-30 13:57,1
@QISIZHANGSIQI,,一路走好,5,2019-09-30 15:05,1
@果花树下果和我,,没能赶上啊...在天上也能看到的吧,1,2019-09-30 15:02,1
@维他uuuuv,,Respect 老将军 一路走好,1,2019-09-30 14:57,1
@大爱海迷,,一路走好,1,2019-10-02 21:43,1
@与我结缘吧,,祖国70岁 您101岁,1,2019-10-01 09:36,1
