User,Reter,Comment,Votes,Time,Count
@郑启萌DaTu,,天！我怎么没听到什么宣传啊,599,2019-09-29 20:35,3
@千黛汐Rebecca,,啊？？？怎么之前一点消息没看到？？？,376,2019-09-29 20:37,8
@列宁斯基,,一声不响干大事？我咋不知道这个动画的？,370,2019-09-29 20:36,2
@很能吃的崽,,给我火起来!,189,2019-09-29 20:34,1
@人间至乐,,超级期待！这个国庆眼泪真的要流尽了！,162,2019-09-29 20:37,2
@嫑闹事,,攀登者电影有很重要的历史背景，而登山队员成功登顶就是一个信念：对国家的忠诚和对毛主席的敬仰，于是扔掉一切只背一尊毛主席像和五星红旗上了珠峰，绝不是这个香导演拍的什么友情和爱情，这电影绝对就是奔毛主席像去看的，但里面啥都没有，所以没看的驱动力了，当然我看不看无关大雅，让票房来说话吧,63,2019-09-29 20:46,2
@邵蜜蜂,,期待硬核动画！追梦者,64,2019-09-29 20:35,1
@意中无人只有玫瑰花,,海报好漂亮！！太期待了！！,40,2019-09-29 20:35,1
@silent_typewriter,,期待啊,25,2019-09-29 20:36,1
@冲鸭酥酥酥,,好漂亮的海报！！超期待！！,18,2019-09-29 20:36,1
@白甜甜超甜der,,期待动画，献礼新中国七十周年！,17,2019-09-29 20:36,1
@符号君zzt,,#新中国成立70周年#，一起期待！,18,2019-09-29 20:36,1
@你看这江山美如画,,9.30早上7点b站开播,15,2019-09-29 20:40,1
@徐研玲,,伟大出自平凡，平凡造就伟大。,4,2019-09-29 20:36,2
@阿港l,,完全没有宣传,3,2019-09-29 20:36,6
@王者队长,,动画？？！！太酷了！！我可以说国漫崛起吗,3,2019-09-29 20:39,1
@罗66的花路,,期待呀,3,2019-09-29 20:34,4
@陌洺琪妙,,看,1,2019-09-29 23:42,1
@Yufie时髦日志,,期待,1,2019-09-29 22:32,3
@酸奶丶丶丶丶,,卧槽，这番我先提前吹爆，你们自便,2,2019-09-29 21:39,1
@V_ampire-,,,1,2019-09-29 20:52,1
@喵喵苗vivi,,期待！！,1,2019-09-29 20:35,2
@天天天要上天,,国漫牛逼,1,2019-09-29 20:35,2
@听春雨斋,,如果没看错，应该有王伟。,1,2019-09-29 20:35,1
@跑步课本007s,,最近的电影都不怎么好看，太单一了,1,2019-09-29 20:35,1
@浅浅笑笑0808,,(⊙o⊙)哇这个厉害了,1,2019-09-29 20:35,1
@甜过夏天的甜,,一起期待追梦者！,1,2019-09-29 20:34,1
@倾世倾情半生缘,,期待#新中国成立70周年#,1,2019-09-29 20:34,1
@嘟嘟布偶猫,,期待！！,2,2019-09-29 20:34,1
@三千诗鹅,,硬核动画,1,2019-09-29 20:34,1
@芝芝Ciisy,,好！,1,2019-09-29 20:34,1
@兔子是白羊,,期待期待,1,2019-09-29 20:34,1
@义正yan辞,,期待！看起来！,1,2019-09-29 20:34,1
@他不懂我的心520,,#新中国成立70周年# 期待啊！,1,2019-09-29 20:34,1
@一只懒惰的肥肥,,好期待哦,2,2019-09-29 20:34,3
@易惟林,,哇!,1,2019-09-29 20:34,1
@爬墙寻花,,期待 ,1,2019-09-29 20:34,1
@红莎娱乐,,期待！！！,1,2019-09-29 20:34,4
@玛丽莲Seiki,,哇期待,1,2019-09-29 20:34,1
@渣男侦探所,,期待！,1,2019-09-29 20:34,3
@春田花花啵,,,1,2019-09-29 20:33,1
@兔先生家的怪力萝卜,,我光看个海报就想哭了,1,2019-09-29 20:42,1
@Harmonic_Tom,,答应我，别再搞成领风者那样了好吗,1,2019-09-29 20:42,1
@lisaslove615,,我的天呐，这保密工作做的！期待，支持！！为祖国打cal！！,1,2019-09-29 20:41,3
@木木川_,,官方宣传，最为致命！,1,2019-09-29 20:41,1
@sseuoom,,期待,0,2019-09-29 20:33,4
@白兰鸽与知更鸟,,然鹅只有一集,1,2019-10-01 21:37,1
@Aires77,,期待！！,1,2019-10-01 12:57,1
@辞言cy,,这个怎么都不知道啊,1,2019-10-01 11:17,1
@想吸猫的帅帅,,怎么只有四分钟,1,2019-09-30 08:41,1
@混沌与秩序之神,,期待,1,2019-09-29 21:33,1
@好的昵称很难想啊,,已经买票了,1,2019-09-29 21:15,2
@白兰若栎,,哇！ 期待期待,1,2019-09-29 20:34,1
@媛媛小仙女233,,第一个是迅哥儿么？,1,2019-09-29 20:34,1
@陈九七吖,,看了,0,2019-10-01 13:36,1
@应与将的小仙女,,期待,0,2019-10-01 12:13,1
@重来一次就好7,,,0,2019-10-01 12:05,1
@MeU22号芒果盖,,！！！！！,0,2019-10-01 11:51,1
@正直少年王鲤鱼,,领风者 追梦者,0,2019-10-01 11:51,1
@星星予你光,,火起来,0,2019-10-01 11:46,1
@重重98,,安排！！！,0,2019-10-01 09:20,1
@山有扶苏北有居,,安排,0,2019-10-01 08:57,1
@开心大良,,@潇湘夜雨052,0,2019-10-01 07:27,4
@噼里怕啦呼哈,,,0,2019-09-30 10:21,1
@_绿小yu_,,(⊙o⊙)哇，点赞,0,2019-09-30 09:51,1
@一爆就米花der恩恩,,我们都是追梦人,0,2019-09-29 22:25,1
@一只特立独行e狗,,？？？看起来,0,2019-09-29 22:17,1
@_橙汁柠檬可乐水儿_,,期待,0,2019-09-29 22:04,1
@106·K,,期待。,1,2019-09-29 22:03,1
@CesareRuckeFu,,领风者之后是追梦者,1,2019-09-29 22:02,1
@宇宙锦鲤-,,闷声干大事啊！之前一点宣传都没有,0,2019-09-29 21:57,1
@為長蘇明台而來,,哇！,0,2019-09-29 21:56,1
@我是大碗的宽面儿呀,,期待,0,2019-09-29 21:53,1
@小王blabla,,@傲然人世间,0,2019-09-29 21:52,1
@原来你是这样的小耶赞,,好的,0,2019-09-29 21:51,1
@海边的manchester丶,,硬核广告,0,2019-09-29 21:49,1
@插画Lesley,,期待！！,0,2019-09-29 21:37,1
@staaaayaa,,转发微博,0,2019-09-29 21:34,1
@大风起兮帽子飞,,看都去看,0,2019-09-29 21:20,1
@青耳禾,,追一波,0,2019-09-29 21:00,1
@tenten_world,,相约B站@哔哩哔哩弹幕网,0,2019-09-29 20:59,1
@壶to_the_water_bucket_forever,,期待,0,2019-09-29 20:58,1
@Gungeon,,@abaxafffff ？完全不知道,0,2019-09-29 20:57,1
@撩兴少女_Xback,,,0,2019-09-29 20:56,1
@落pure觜籽筱r,,看起来，超级期待,0,2019-09-29 20:55,3
@相思赋予您z,,我的天30号真的有太多好电影要看了,0,2019-09-29 20:55,2
@轻语·嫣然,,超级期待,0,2019-09-29 20:54,1
@郁风飞过,,期待,0,2019-09-29 20:54,1
@紫樱儿,,看起来,0,2019-09-29 20:53,1
@瑶瑶超二,,天，之前都没见到宣传啊,0,2019-09-29 20:53,1
@司鸿落芷,,还有动画 真的要住在影院了,0,2019-09-29 20:51,1
@散天均,,期待下～,0,2019-09-29 20:50,1
@花伦美少年就是我,,闷声干大事？？？,0,2019-09-29 20:49,1
@羊咩咩的蝙蝠侠战袍,,期待！,0,2019-09-29 20:49,1
@努力生活的egg,,最近太棒了吧啊啊啊啊给我火！,0,2019-09-29 20:49,1
@企鹅真的跑不动了,,国庆档要看的电影好多，七天要不够啦～,0,2019-09-29 20:48,1
@逃离命运,,哇，明天快点来！,0,2019-09-29 20:47,1
@一朵云格子Xys,,卧槽 明天太忙了 我该先看啥（）,0,2019-09-29 20:46,1
@我叫李不2,,哇哦,0,2019-09-29 20:46,1
@颖颖家的小跟班,,我的天没听到宣传呀，这就来了期待住,0,2019-09-29 20:46,1
@东隅已逝201811,,？？？宣传呢？？？,0,2019-09-29 20:46,1
@等你发光VV,,期待,0,2019-09-29 20:45,1
@可爱的zyh,,期待追梦者,0,2019-09-29 20:42,1
@花痴不分年龄,,那是李大钊吗,0,2019-09-29 20:41,1
@柚子茶和冻酸奶,,期待(o^^o),0,2019-09-29 20:41,1
@淼淼淼豆,,期待,0,2019-09-29 20:40,1
@我是阿中最靓的崽,,哇，看起来，期待！,0,2019-09-29 20:39,1
@WM--L7,,我们都是这个时代的追梦者,0,2019-09-29 20:39,1
@可乐乐可艾可乐,,,0,2019-09-29 20:39,1
