User,Reter,Comment,Votes,Time
@我叫王不同,,中国气球质量好！,148907,2019-09-29 19:10
@凯风北吹,,西风带，高考考题,"114687]&nbsp;</span><span class=""cc""><a href=""/attitude/I9hdA3qEc/destroy?object_type=comment&amp;uid=1619163742&amp;rl=3&amp;st=df9169"">取消赞</a></span>&nbsp;<span class=""cc""><a href=""/comments/reply/I9bxOkpoy/4422111420817420?rl=3&amp;st=df9169"">回复</a></span>&nbsp;<span class=""ct"">09月30日 06:43&nbsp;来自网页</span></div><div class=""s""></div><div class=""c"" id=""C_4422141262551153""><a href=""/u/5786422471"">林七cc</a><img src=""https://h5.sinaimg.cn/upload/2016/05/26/319/5338.gif"" alt=""V""/>:<span class=""ctt"">这是一个好“争气”的气球<img alt=""[爱你]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_aini-4a23c0524a.png"" style=""width:1em; height:1em;"" /></span><img alt=""[爱你]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_aini-4a23c0524a.png"" style=""width:1em; height:1em;"" /></span></span>&nbsp;<a href=""/spam/?cid=4422141262551153&amp;fuid=5786422471&amp;type=2&amp;rl=3"">举报</a>&nbsp;<span class=""cc""><a href=""/attitude/I9hZIaHFD/update?object_type=comment&amp;uid=1619163742&amp;rl=3&amp;st=df9169"">赞[68984",2019-09-30 08:41
@脱单群高个群,,气球：老子他妈要游遍全世界,55844,2019-09-30 08:45
@茹果我知晓,,巧合？天意？,28320,2019-09-29 16:43
@玉祁兮兮,,上天都在赤裸裸暗示,16441,2019-09-30 08:41
@摇身变成无尾熊,,一切都是上天的旨意,13467,2019-09-30 08:42
@藝Free,,举国欢庆？！！！,11379,2019-09-30 08:43
@胖胖胖胖胖吧,,喜讯传遍祖国大地,11135,2019-09-30 08:45
@小Lee耶,,没有办护照就出镜了,6424,2019-09-30 08:47
@抱着单身的自己痛哭出声,,跨越1000公里，就为为了气气你,5046,2019-09-30 08:52
@HaPyup,,高考又有素材了,3412,2019-09-30 08:42
@央九五,,凭实力飞到的  谁还不是个旅行达人了,2993,2019-09-30 08:47
@M青空HakunaMatata,,这气球哪家工厂造的，重点表扬质量,2868,2019-09-30 08:53
@搞bot,,气球：我故意的,1519,2019-09-30 08:45
@Sssssara-X,,可以说 是只很顽强的气球了！,931,2019-09-30 08:43
@大可爱霍牙牙,,哈哈哈  漂洋过海耀武扬威,442,2019-09-30 08:45
@宁杨周,,调侃归调侃，大家不觉得应该是当地华人放的而不是飘过去的吗,380,2019-09-30 09:30
@保定公民,,我飘向远方，别问我家乡～,352,2019-09-30 08:52
@席友兰,,所以说雾霾和沙尘暴真的能刮到日本是吗,231,2019-09-30 08:50
@jump-潮熙小店,,它就想出个国而已，看把你们惊的,163,2019-09-30 09:46
@赵雨凡嘛,,厉害了，我的国,169,2019-09-30 08:43
@Please_call_me二狗子,,阿，我前些天放的大臭屁，这两天要飘到日本了应该,141,2019-09-30 08:59
@Zoey看不懂听不见想不明白,,太励志了，气球也有中国精神啊,123,2019-09-30 09:01
@今日宝藏,,日本就有理由说雾霾是从中国飘过去的,93,2019-09-30 10:38
@cringe_achu,,果然是中国制造,90,2019-09-30 08:46
@Monologue1_,,高考地理题预定,99,2019-09-30 08:52
@Mo_墨墨,,告诉你，我明天生日了你给我安分点儿，顺便让你看一下我们的中国制造,78,2019-09-30 09:21
@阿啡酱,,不一定是从国内飘过去的吧 可能是日本地区的华人做的呀,43,2019-09-30 11:11
@地域黑暴毙一户口本,,这事还要从嬴政说起。。。,47,2019-09-30 09:12
@潮流依旧,,气球：别拦我 我还要飘 飘向世界给阿中哥送祝福,49,2019-09-30 08:54
@胖球少年环花花,,真·改革春风吹满地,42,2019-09-30 08:59
@小怪的妖七七,,好怕他们又说他们的污染都是我们吹来的,34,2019-09-30 08:54
@flora_nostalgia,,哈哈哈？,38,2019-09-29 16:16
@_Haru酱_,,冥冥之中自有天意,39,2019-09-30 08:55
@z懒猫儿,,如果是不环保的材料，需要反省了。理性看待，做到爱国庆祝和关爱环境两不误。,42,2019-09-30 10:13
@ido顺,,它想告诉日本人   我们有多强大,33,2019-09-30 10:01
@要一起吃巧克力嘛,,我们的这片土地也要过国庆，普天同庆！！,38,2019-09-30 09:04
@小许不能被发现,,你们加,37,2019-09-30 08:45
@Vitkkkkk,,污染环境啊,28,2019-09-30 09:04
@法律人朱龙华,,,35,2019-09-30 09:25
@搭配的日常,,气球老子要给啊中哥过生日,26,2019-09-30 09:17
@黄哈哈要早睡鸭,,让全世界都看到庆华诞的盛大亚子！,21,2019-09-30 08:57
@dekuDaman,,阿中哥：（摁你家门口）我过生日，快祝福我！,31,2019-09-30 09:51
@以後一定要养狗子,,所到之处都是中国的领土,45,2019-09-30 09:29
@最好的快要发生_Dreamer,,它可能想让人家知道，我们，已经七十年了，让他们知道七十年前他们做了什么,33,2019-09-30 09:21
@茱萧蔓VvvV,,要让全世界都知道我在过节,31,2019-09-30 09:08
@一个在努力奋斗的穷小子,,气球想到日本省看看,41,2019-09-30 09:08
@源来是凯kyo,,气球都在宣誓主权,28,2019-09-30 09:02
@Haizhiyu,,漂洋过海传递喜讯,20,2019-09-30 10:23
@会和彭彭一样瘦下来呀y,,气球：莫挨老子，老子要环游世界,32,2019-09-30 09:43
@莱可甜甜,,明年高考地理题预定一下,26,2019-09-30 09:39
@大大大睿啊1015,,这是出国去通知我国过70岁生日啦！,29,2019-09-30 09:35
@Evil-N,,这个气球质量过于好了,28,2019-09-30 09:21
@myselflove0616,,漂洋过海看看你,33,2019-09-30 09:12
@兮山有木枝,,非法“移球”？？？？？,33,2019-09-30 09:09
@颜喜庆,,气球：放开我 我要让全世界知道我的生日,26,2019-09-30 09:03
@武武小武,,这是不是一种预示,23,2019-09-30 09:01
@蓝鲸飞宇,,听说插旗子就代表啥了？,31,2019-09-30 08:51
@回不去的此间少年,,气球：放开我，我还要飘,33,2019-09-30 08:50
@瑾寄语阁,,我们一个小小的气球都能飘过去，再敢造次，你们懂得,36,2019-09-30 08:46
@松子藏在松鼠窝窝,,吹呀吹呀我的骄傲祖国,33,2019-09-30 08:45
@TRSY-两脚羊,,#国庆气球疑飘到日本北海道# 靠实力宣传中国要过生日了,20,2019-09-30 10:28
@诶那个啥,,真漂洋过海去看你,28,2019-09-30 09:20
@小薛是个小疯子_233,,放开我我还要继续旅游!,25,2019-09-30 09:13
@大佬迦,,卧槽！！！这不是我儿子放飞的那只气球吗？？,26,2019-09-30 09:02
@樱花下的一只萌宠,,这说明了什么呢,15,2019-09-30 08:49
@hx程七七,,20届考生注意了  拿下本本记下来  明年要考,16,2019-09-30 11:52
@中国天气,,那么问题来了：是气球质量太好呢？还是风太大？,11,2019-09-30 13:10
@无限大人的徒弟,,哈哈哈哈哈，漂洋过海求祝福,22,2019-09-30 09:12
@高个子小姐姐_,,皮球质量不错,22,2019-09-30 09:02
@merlin马列,,这是一个争气的气球。不要你觉得，我要我觉得。,14,2019-09-30 09:32
@呐个雪吖,,台风：哥，我来了！ 中国：滚犊子，我过生日 台风：好嘞哥，日本咋走？ 中国：出门右拐 台风：好的，哥，生日快乐，么么哒！,17,2019-09-30 12:26
@夜空的小猩猩,,意思是说：早点归顺，好一起庆祝国庆,11,2019-09-30 12:06
@yanan小栗子,,其实在座各位少用几次塑料袋少随手乱扔垃圾废纸多回收利用就很环保了 本来就是一条娱乐大众的新闻在这举国欢庆的日子里热闹热闹不好吗 非要揪着环保不环保说个没完 这又不是集体放气球 应该就是没抓住然后飞跑了而已吧 ,19,2019-09-30 10:58
@啊湫,,盛世华诞,5,2019-09-30 10:52
@YeSorYEs-,,质量太好了！！,12,2019-09-30 09:41
@九七的七月,,哈哈哈哈哈哈哈,6,2019-09-30 09:47
@爱羊咩咩咩的小丫头,,这新闻好欢乐,8,2019-09-30 09:34
@疏离爱旅行20863,,怎么觉得有点抹黑的感觉。,6,2019-09-30 23:11
@troye洛希,,污染环境,12,2019-09-30 10:41
@琛·阿砣砣,,这只气球有点争气,11,2019-09-30 09:12
@SKFIi,,有没有可能中国游客带去的,6,2019-09-30 10:26
@我要变成银白色,,我记得日本好像也有庆祝国庆的活动，不一定事国内飘过去的吧 。。,6,2019-09-30 10:23
@Ataraxia-陳,,改革春风吹满地，祖国气球真争气[加油],6,2019-09-30 13:53
@无敌大梦梦echo,,评论里说环保的真有意思。以为国家考虑不到这个问题吗。以为每个气球都能那么巧飞到国外去了。在国庆的时候 祖国的生日的时候 大家都那么高兴的时候 说这个就是添堵! 有些人平时真那么环保么？汽车别坐了。奶茶别喝了。卫生纸别用了。太多了…要不 别活了？,5,2019-09-30 14:32
@空心菜45330991,,普天同庆！！,1,2019-09-30 12:40
@小甜宝0,,他可能知道，以后这是中国的国土,1,2019-09-30 12:40
@8237暖暖,,有没有可能是中国游客到过去的、不排除这种可能吧,4,2019-09-30 11:20
@隐曦呦,,气球问：我就问你服不服我就完了！,4,2019-09-30 10:13
@胡翊阳Huyiyang,,中国制造，实属精品,2,2019-09-30 14:40
@mayueyue-5,,普天同庆,2,2019-09-30 12:25
@VVVVVV-L,,气球:我要告诉世界 阿中哥生日了 ！！！,6,2019-09-30 11:36
@谷云丽0,,瞧咱这喜庆，咱这质量，漂洋过海的来炫耀,4,2019-09-30 11:34
@永远睡不醒的锤子,,球球，你知道你有多优秀吗,2,2019-09-30 11:24
@喵性小仙女儿,,为什么不能是在日本的中国人放的呢,4,2019-09-30 11:20
@魅力帅哥,,塑料污染,1,2019-09-30 11:18
@视频原动态,,改革春风吹满地，祖国气球真争气！,4,2019-09-30 11:07
@CHINAgiao哥,,流浪气球,6,2019-09-30 11:03
@这里是小ki,,漂洋过海来看你  我亲爱的孩子,3,2019-09-30 10:59
@媛凯千源九辫儿白,,气球:我要飘到全世界，告诉他我们我们阿中哥哥今天过生日,5,2019-09-30 10:35
@HH-小毅,,会不会是游客丢的。。。,5,2019-09-30 10:29
@皮卡皮卡皮卡皮的一匹小强,,,6,2019-09-30 10:28
@历历万乡-6,,优秀,0,2019-09-30 10:19
@半霖-Victor,,谁抓住了我，我还能飞,2,2019-09-30 10:05
@赫尔布瑞恩,,告诉安倍，别只会用中文问个好，气球上面的上面的也要会说,7,2019-09-30 09:58
@胖的飞不起来的瘦子,,他就是想告诉你，爸爸来看看你,6,2019-09-30 09:57
@六叻六六,,偏西风：吹呀吹呀我的骄傲放纵,5,2019-09-30 09:46
@到侬时,,难道是缘分 难道是天意～,6,2019-09-30 09:44
@__冯咩咩啊,,made in China！！！,4,2019-09-30 09:33
@Yama49,,厉害了气球!#国庆气球疑飘到日本北海道#,2,2019-09-30 09:08
@XZkara,,这个优秀的气球有自己的思想,4,2019-09-30 09:01
@军校生李泽321,,不可信，媒体夸大博眼球。,0,2019-10-01 13:34
@EthanLuan,,还好没有破掉 掉在海里 被动物吃掉,0,2019-10-01 13:29
@张营朝,,。。。,1,2019-10-01 07:44
@3点水1个寿,,,0,2019-09-30 20:54
@杨笑笑Smli,,这音乐好佩。哈哈哈,0,2019-09-30 18:35
@大阪熊猫租房找房,,转发微博,0,2019-09-30 17:20
@程永生CYS,,建议还是弄一些环保的，毕竟要是落到深海里，对鲸宝宝不好,3,2019-09-30 16:39
@广东教育圈,,#国庆气球疑飘到日本北海道# 你们不懂，气球人家有自己的想法好不啦，飘呀飘，让日本人民也看看我们祖国气球的强大,0,2019-09-30 16:10
@不瘦到九十斤非好汉,,冥冥中,0,2019-09-30 16:07
@文刂博同學,,与中国一起过节吧,0,2019-09-30 15:21
@今天会有臭弟弟吗,,台风：哥，我来了！ 中国：滚，明天我过生日！ 台风：好嘞哥，日本咋走？ 中国：出门右拐 台风：谢谢哥！生日快乐哈,3,2019-09-30 15:15
@小猫饼er,,哈哈哈哈哈哈哈,0,2019-09-30 15:02
@青铜门前淡然的眸子,,我也觉得。哈哈哈哈哈。//@我叫王不同:中国气球质量好！,1,2019-09-30 14:18
@邱哥在京城,,其实我也想低调，但实力不允许呀！你说气人不,0,2019-09-30 13:46
