User,Reter,Comment,Votes,Time
@----鲲,,我觉得很好看啊,306,2019-09-30 14:18
@冰冰葳蕤,,现实中看过一个跟她很像的人，化妆上镜绝对是超级美女，但是真人确实很别扭，就像硅胶模特。,195,2019-09-30 14:20
@中岛稚野奈,,她都还能被说不好看吗……她发了跟她妈妈的照片，长得一模一样，甚至比她还好看，承认别人好看辣么难啊,306,2019-09-30 14:31
@我是大鷄鷄,,天啊 好像严宽,193,2019-09-30 14:16
@短腿柯基旺旺旺,,这个造型很酷了！！,73,2019-09-30 14:19
@lily03302,,鼻子太扎眼了！承包了全部注意力,60,2019-09-30 14:19
@蓝天白云是你R,,这身中国风的打扮也太好看了呀。,26,2019-09-30 14:24
@咕噜咕噜ich,,人家那个是艺术，我就筷子,10,2019-09-30 14:21
@Giraffe-77,,就这脸还有人挑三拣四的，网友要求真高,11,2019-09-30 15:09
@Wuli-嘻嘻哈,,中国风～这个颜值我承认我羡慕辽～,10,2019-09-30 14:28
@婷婷有新衣,,想起了我的发簪和仙鹤装,0,2019-09-30 15:19
@我就是昵称啊aaa,,这就是中国，好有气质,7,2019-09-30 14:39
@十座金山霞,,这个搭配真的好看，爱了,4,2019-09-30 14:43
@ii陪衬角色,,这一套还是可以的,2,2019-09-30 14:29
@不要枯萎_-,,这样的发饰可真特别，难道你是古代的人吗？,2,2019-09-30 15:15
@寂发如雪,,好看的,1,2019-09-30 14:38
@糖糖糖sweet,,好看诶！有气质,4,2019-09-30 14:23
@Colorapple彭彭彭,,还不错诶 挺好看的,2,2019-09-30 14:31
@Vickinana0202190404,,挺好看的啊,1,2019-09-30 14:45
@啦啦啦我来了啊,,挺喜欢这种风格的，爱了,1,2019-09-30 15:04
@爱吃雪饼猫,,真是很惊艳，国风浓浓,1,2019-09-30 14:53
@大橙橙雨露天使,,我一直觉得张予曦的颜值是那种不可或说的美 这装扮真的美炸了,2,2019-09-30 14:28
@Hello_郝姐姐,,真好看,0,2019-10-01 00:11
@_絮子_,,假脸小家子气,0,2019-09-30 18:19
@妖孽LLN,,难道这就是所谓的插两根筷子都比你美吗？也真的是太好看了呀！,0,2019-09-30 15:18
@水手庞蹄花,,这个造型真的超级a啊，有一种女侠风范,0,2019-09-30 15:09
@果泰泰咪酱,,筷子好像竹蜻蜓,0,2019-09-30 14:51
@zom_卡卡,,这个中西结合真是太棒了吧，好喜欢,0,2019-09-30 14:43
@sticky抹茶糖,,好飒！好看！,1,2019-09-30 14:42
@蝉鸣明了少年心Oo,,真心get不到她哪里漂亮了,0,2019-10-03 10:55
@方小翠cc,,像猫,0,2019-10-02 23:54
@烟花纷笑笑,,哇，好好看,0,2019-10-02 16:27
@獏梦617,,如果她有点肉肉应该看起来更有东方韵味吧,0,2019-09-30 18:26
@周五F,,服气的,0,2019-09-30 17:06
@渣渣浪123,,好看,0,2019-09-30 17:03
@肖战未公开亲生妹妹7喜DAYTOY,,下颚线我爱了,0,2019-09-30 16:51
@Aira蕊,,突然想看她演古装,0,2019-09-30 16:48
@LoriaWang,,她是天生长这样的吗？,0,2019-09-30 16:21
@想去北欧看极光的蟹吵吵,,真的  绝美 我哭了,0,2019-09-30 16:19
@九妹虾哥,,对面的你，到底是有多好看？嗯？,0,2019-09-30 15:14
@梦爷007,,感觉 长相不够大气,0,2019-09-30 15:02
@吧女士,,绝,0,2019-09-30 14:57
@殷如林,,很精致，像芭比。但是不知道是后期还是什么，感觉硅胶感很重。,0,2019-09-30 14:26
@咔咔Strawberry,,她真的太精致了！但是有点精致透着点点点僵！,0,2019-09-30 14:25
@文史轩,,这身打扮酷酷的，很亮眼，中国元素加上筷子发饰真是太赞了,0,2019-09-30 14:25
@环环杨,,眼皮要是再双一点，真就完美了，帅,0,2019-09-30 14:21
@已有最难忘w,,超级漂亮,0,2019-11-17 21:00
@敬宋继扬_,,太好看！！,0,2019-10-01 08:53
@venmenomwade,,突然想到小时候看的哪吒传奇里的妲己,0,2019-09-30 16:20
@lyzscan,,绝了绝美啊,0,2019-09-30 16:19
@ingenue_Kylie,,好像拥有了竹蜻蜓,0,2019-09-30 16:13
@三年五班李小明,,虽然知道是买的热搜但她真的很好看,0,2019-09-30 16:04
@K颜玖21,,好看,0,2019-09-30 15:11
@爱笑的何大欣,,果然长的好看就是资本啊，什么服饰都无敌了,0,2019-09-30 14:52
@Vista-Chain,,这组照片美绝了！,0,2019-09-30 14:45
@Sharon_赵赵,,好看啊,0,2019-09-30 14:42
@晓晓的喵miao,,,0,2019-09-30 14:41
@小小小猪猪z,,好有气质，爱了这个张予曦,0,2019-09-30 14:34
@无语的呵呵oc,,挺不错的，有女侠风范,0,2019-09-30 14:25
@时诚倾心,,这个造型回头率绝对是百分之百的啊。,0,2019-09-30 14:24
@厚芋啵啵_,,和朱云慧好像啊我丢,1,2019-09-30 23:00
@那么来日方长Vivian,,客观评价一直觉得她是真的很好看一女的而且人家本来就长这样,1,2019-09-30 14:46
@遇見Allaura,,最喜欢她这个…人中了,1,2019-09-30 14:45
@Flame丶宁,,真人超级美，比视频照片还要好看，很惊艳，五官真的视觉暴击,1,2019-09-30 14:44
@怪蜀黍zhanglei00091711,,有特点，有中国特色,1,2019-09-30 14:24
@大王叫我来包山,,转发微博,0,2019-11-08 15:32
@吉茄者,,超好看超有气质,0,2019-10-01 00:47
@lilyliu96,,太美了吧,0,2019-10-01 00:06
@爱曦爱融1314520,,美曦曦,0,2019-09-30 20:09
@Sake-T,,我感觉有种英气或者道家的感觉,0,2019-09-30 19:34
@兰静---L,,这个整的面目全非的有啥好看的,0,2019-09-30 18:33
@迈克假人,,好看啊,0,2019-09-30 17:48
@Welldawn-qy,,好好看！,0,2019-09-30 17:46
@不染嚣尘终冷淡,,她长的真的好好看,0,2019-09-30 17:39
@我是JuJu老师,,图6还蛮不错的,0,2019-09-30 16:51
@青苔柠檬_1n2,,为什么都不笑呢，长得再美不笑都觉得没有那么打动人,0,2019-09-30 16:48
@原来是双鱼同学,,她真的好漂亮。五官精致又立体。身材也好,0,2019-09-30 16:47
@婷Nice191,,冷念之,0,2019-09-30 16:42
@博博美妈,,之前看过路人拍的素颜的好像，又矮又黑？还有点干瘪？,0,2019-09-30 16:13
@joker_情书,,还挺好看,0,2019-09-30 16:12
@laeyron,,好看是好看，但是比起这种网红脸的类型我还是喜欢自然气质型的,0,2019-09-30 16:07
@赵小兔AA,,真的好看的了，无敌美貌的了怎么办的呢,0,2019-09-30 16:00
@野马文娟,,这位姐，是真的好看。,0,2019-09-30 15:47
@fkskw,,还是蛮帅的！,0,2019-09-30 15:44
@高馨76512,,身材超级好，中国风也是超好,0,2019-09-30 15:11
@Malone牌糖糖哇,,上官婉儿？,0,2019-09-30 14:49
@Vivenvens,,把我家筷子拿去插头发上了,0,2019-09-30 16:02
@叶施施不要熬夜了,,这个颜值我承认我羡慕辽～哈哈哈真的好看,0,2019-09-30 15:14
@杰瑞今天又出走了么,,筷子是合金筷子么,0,2019-09-30 16:43
@巴拉巴拉亮的靓仔,,天！！越看越感觉和朱云慧有些想像，尤其侧脸！！！别喷我,0,2019-10-01 00:21
@喵呜ZK,,他的筷子跟我家的一模一样,0,2019-10-01 00:02
