User,Reter,Comment,Votes,Time,Count
@淅淅猫咪,,哇 又是16年啊！16真的是个很深情的数字呢,12,2019-10-10 20:26,1
@陈子亓啊_,,所爱隔山海，山海不可平，如果你爱我，山海皆可平,8,2019-10-10 19:30,1
@小花仔吖,,老了老了，看个鸟也能哭出声,7,2019-10-10 19:30,1
@漠漠君心,,16是个很神奇的数字,4,2019-10-11 11:55,3
@土豆你好啊我是马铃薯,,这种鸟的寿命这么长,3,2019-10-10 19:27,1
@Believewait,,这种候鸟都是终生一夫一妻，包括丹顶鹤 天鹅等,3,2019-10-10 19:41,1
@簇簇薇薇,,好,0,2019-10-11 07:14,1
@逆生长的猪猪,,人还不如鸟 哎 感动于鸟儿们的爱情,0,2019-10-10 22:48,1
@nili火火,,天呐 我哭了！,0,2019-10-10 19:44,1
@怪瘦不好玩,,天呐！神仙吧,0,2019-10-10 19:40,1
@兔宝宝的冰,,16年啊，也许等待真的很美好,1,2019-10-11 10:58,3
@Karen麦田里的鱼,,哇塞，真的太感动了,1,2019-10-10 22:46,1
@墨色染微凉,,我曾经跨越万水千山，只为光明正大见你一面,0,2019-10-13 08:37,3
@默臻Leo,,心中执着与坚定,0,2019-10-12 18:33,3
@路过春夏秋冬路过你,,哇哦～,0,2019-10-12 13:12,3
@cat_小咪,,人不如动物系列,0,2019-10-11 11:31,3
@堡堡堡堡堡堡堡,,然而孩子们就没回来,0,2019-10-11 10:47,3
@微风005005,,哭了,0,2019-10-11 10:14,2
@何似未名,,感动哭了,0,2019-10-10 22:24,1
@三guo丫,,@-WooBoom,0,2019-10-10 22:18,1
@racon西,,求个bgm,0,2019-10-10 19:23,1
@赵小雷的小可爱,,,1,2019-10-10 19:38,1
@陈寻的xun,,16年。。此情隔山海，山海皆可平啊。,2,2019-10-10 19:35,1
@晴殿-,,@星星月亮和想像_ @暖暖--沐沐 @逍遥王懒猫,0,2019-10-12 11:01,3
@1314勿散,,等待真的好迷人,0,2019-10-12 07:17,3
@恋旧的rongjing,,感动。,0,2019-10-11 06:27,1
@小董小董通俗易懂III,,@QUANSHUQING 慕了,0,2019-10-10 19:40,1
@滕家彤,,@BertSho,0,2019-10-10 19:40,1
@z十七啊,,@梵高仰望星空,0,2019-10-10 19:35,1
@清欢mmmm,,@Ventura王蘊奇,0,2019-10-10 19:34,1
@C07-,,@SmithAnthony,0,2019-10-10 19:30,1
@墨色染微凉,,我曾经跨越万水千山，只为光明正大见你一面,0,2019-10-13 08:37,3
@默臻Leo,,心中执着与坚定,0,2019-10-12 18:33,3
@路过春夏秋冬路过你,,哇哦～,0,2019-10-12 13:12,3
@晴殿-,,@星星月亮和想像_ @暖暖--沐沐 @逍遥王懒猫,0,2019-10-12 11:01,3
@1314勿散,,等待真的好迷人,0,2019-10-12 07:17,3
@漠漠君心,,16是个很神奇的数字,4,2019-10-11 11:55,3
@cat_小咪,,人不如动物系列,0,2019-10-11 11:31,3
@兔宝宝的冰,,16年啊，也许等待真的很美好,1,2019-10-11 10:58,3
@堡堡堡堡堡堡堡,,然而孩子们就没回来,0,2019-10-11 10:47,3
@墨色染微凉,,我曾经跨越万水千山，只为光明正大见你一面,0,2019-10-13 08:37,3
@默臻Leo,,心中执着与坚定,0,2019-10-12 18:33,3
@路过春夏秋冬路过你,,哇哦～,0,2019-10-12 13:12,3
@晴殿-,,@星星月亮和想像_ @暖暖--沐沐 @逍遥王懒猫,0,2019-10-12 11:01,3
@1314勿散,,等待真的好迷人,0,2019-10-12 07:17,3
@漠漠君心,,16是个很神奇的数字,4,2019-10-11 11:55,3
@cat_小咪,,人不如动物系列,0,2019-10-11 11:31,3
@兔宝宝的冰,,16年啊，也许等待真的很美好,1,2019-10-11 10:58,3
@堡堡堡堡堡堡堡,,然而孩子们就没回来,0,2019-10-11 10:47,3
@微风005005,,哭了,0,2019-10-11 10:14,2
