User,Reter,Comment,Votes,Time
@小可爱扑捉一只,,当时看原来是美男就觉得这两只好可爱的呜呜呜呜呜呜呜友谊长存,1799,2019-09-30 08:29
@热短句bot,,又把一位小可爱送到军队了,806,2019-09-30 08:29
@疯狂爱着的你们,,我家洪基寸头好帅好可爱 评论配图,679,2019-09-30 08:47
@疯狂爱着的你们,,小可爱 评论配图,252,2019-09-30 08:47
@亦久涵,,,120,2019-09-30 08:28
@渣浪真是浪,,又把一位小可爱送到军队了,147,2019-09-30 08:27
@爱喝奶茶的冰,,#李洪基入伍# 是两个小可爱啊，哥哥就要入伍了啊，好长时间都不能见到了，哥哥一定要照顾好自己 评论配图,102,2019-09-30 08:56
@今天的我超甜哦,,#李洪基入伍# 哥哥棒棒的，等你回来哦，要健康帅气的回来! 评论配图,45,2019-09-30 08:54
@七天呀呀吖,,啊啊啊啊啊，哭了哭了，又要搁一段时间才能见到哥哥了。哭了，等你回来呀！ 评论配图,33,2019-09-30 08:55
@priyry,,我哥入伍的博 互相尊重是基本的,17,2019-09-30 09:34
@被神宠爱Y,,啊，哥哥我们等你回来！一定要照顾好自己啊#李洪基入伍# 评论配图,17,2019-09-30 08:55
@勤奋的SHOW,,Jeremy,4,2019-09-30 08:28
@活捉一只tu子,,坐等洪基回来～,4,2019-09-30 09:23
@兮兮爍,,wuli基哥居然去当兵了 第一个爱了很久的男人[淚] 五年后见！怕是要脱离可爱变man了,4,2019-09-30 09:42
@今天也想沉迷美色,,哇是最可爱的杰瑞米啊,3,2019-09-30 08:48
@你的冷冷Cheryl,,呜呜呜金秀贤真的越来越年轻了，真的是少年感贼强的人了,4,2019-09-30 10:53
@心跳到嗓子眼,,啊啊啊啊啊朴信惠和弘基关系是真的好,4,2019-09-30 10:48
@走进你怀里,,,3,2019-09-30 08:57
@暴躁不是三岁,,一切顺利呀弘基,2,2019-09-30 09:41
@MD_HH,,李洪基我们等你回归，一定要照顾好自己，未来我们与你同在 评论配图,2,2019-09-30 08:56
@最美的最棒的,,等你回来啊！在队伍里一定要照顾好自己啊,2,2019-09-30 08:56
@魔力女巫,,洪基呀，加油吧,2,2019-09-30 08:29
@张笑天的xx,,照顾好自己啊,2,2019-09-30 08:29
@不吃辣不吃糖的Coco,,安利我爱了快十年的男人,2,2019-09-30 11:29
@是陈啊啊啊aaa,,花游记里的猪八戒哥哥,2,2019-09-30 11:18
@_juiceWRLD,,啊啊啊呜呜呜哥哥等你！,1,2019-09-30 12:33
@弘基弘基我爱你,,哥，我等你回来,1,2019-09-30 11:40
@蓝莓味的猫喵喵,,两年时间说长不长说短不短，两年以后我一定会去见你的！see you again!,1,2019-09-30 11:39
@吾忘森林,,帅又入伍一个,0,2019-09-30 15:05
@CC_还是要减肥,,我的第一大墙头！等你回来,0,2019-09-30 12:05
@_明日春来,,洪基他好可爱 原来是美男永远白月光,0,2019-09-30 11:23
@哈哈哈哈哈bot,,哥哥呀 健健康康呀要,0,2019-09-30 11:16
@追梦人1031,,等你回来啊啊啊啊啊！！！！,0,2019-09-30 10:54
@野兔邮戳-Whisper,,等你回来哦 好好的,0,2019-09-30 10:51
@Anonymous__L,,Jeremy！,0,2019-09-30 10:42
@橘味少女年糕,,等你回来鸭,0,2019-09-30 10:40
@粗眉少女_,,要早些回来啊,0,2019-09-30 10:08
@斜塘老街27号门房,,等你回来,0,2019-09-30 10:05
@COMEON小基基,,等你回来 评论配图,0,2019-09-30 10:05
@安静的听歌_,,回不去了，胖了，年纪也大了,0,2019-09-30 10:03
@壹颗唇下痣,,我发现韩国的偶像，我真的不熟耶，哈哈哈哈哈,0,2019-09-30 10:02
@陈予雯,,棒棒哒,0,2019-09-30 09:56
@warmsunnnn,,,0,2019-09-30 09:10
@好美的铮铮,,去吧，我们这些粉丝会等你回来啊！那时的你肯定更加优秀，加油加油 评论配图,0,2019-09-30 08:56
@张优秀555,,这么可爱的小哥哥，不知道穿军装是什么样子的，超级帅气,0,2019-09-30 08:56
@MAOXOXO,,#李洪基入伍#哥哥要加油呀，期待你的回归,0,2019-09-30 08:55
@陈新宇vvv,,,0,2019-09-30 08:54
@gooocar,,早,0,2019-09-30 08:31
@毛球玩家,,时间过的好快,0,2019-09-30 08:27
@鱼酱ya-,,,1,2019-09-30 09:53
@款鸡涌啊201809,,八戒,0,2019-09-30 09:40
@Zeal-Hope-Tale,,@傲娇的胖 好羡慕洪基和信惠的友谊,1,2019-09-30 09:35
@ELF愿用一生节操换银魂永不完结,,你的哥哥弟弟们陆陆续续回来了~现在该你了,1,2019-09-30 09:26
@拾柒月的风,,哇嗷嗷嗷嗷嗷，应该得有好久都不能见到哥哥了,1,2019-09-30 08:55
@Jelly是软糖呀,,等洪基小可爱回来,0,2019-09-30 16:53
@找到女朋友换网名,,人妖?,0,2019-09-30 16:43
@偏执是种病但我没药,,弘基欧巴又胖了哈哈哈哈哈哈,0,2019-09-30 13:40
@Skullannie,,我会想你的,0,2019-09-30 13:06
@做个梦给你xb,,又少一个美男子,0,2019-09-30 12:48
@下下辈子做好人,,筱崎爱,0,2019-09-30 12:39
@我爱超级麻辣锅,,@-Lylva-vv我是大昱哥的小妞,0,2019-09-30 12:36
@天蝎座爱八卦,,有没有跟我一样，想成 杨洪基 的,0,2019-09-30 12:31
@Sy_jessuju,,等你回来,0,2019-09-30 12:30
@哈哈Yeah-,,一直以为他已经入过伍了,0,2019-09-30 12:25
@是我们宋宋啊,,期待与哥哥再见之日,0,2019-09-30 12:00
@Minna222,,好突然，加油了,0,2019-09-30 11:56
@喵是喵喵的喵-,,颜值超高,0,2019-09-30 11:55
@甜小丫a,,原来的小可爱也长大了,0,2019-09-30 11:53
@锦鲤小姚哥,,哥好好练，甩走小肚腩,0,2019-09-30 11:50
@我只是一个另一个小我,,Hongstar 加油,0,2019-09-30 11:49
@夕颜-西西,,和信惠好好啊,0,2019-09-30 11:44
@叫我小仙女就可以,,呜呜呜，等你回来,0,2019-09-30 11:34
@天外飞仙鹤宝,,,0,2019-09-30 11:33
@williambobome,,等你回来！！,0,2019-09-30 11:32
@HEY--TWODOG,,#李洪基入伍# ,0,2019-09-30 11:28
@墨颜你,,p3是跟朴信惠欧尼吗哈哈,0,2019-09-30 11:26
@里的的在江湖行走,,Jeremy！,0,2019-09-30 11:21
@归风adam,,等你回来呀,0,2019-09-30 11:14
@小甜豆麦糯,,洪star,0,2019-09-30 11:11
@怎么办我的脑洞,,@你要变得超级酷,0,2019-09-30 11:10
@胡肆月啊,,可可爱爱李弘基！,0,2019-09-30 11:10
@米卡酱要暴富,,这发型好适合他啊,0,2019-09-30 11:07
@稍等少女呀ii,,看美男就喜欢的帅哥呜呜呜,0,2019-09-30 11:03
@鹿晗的猫爪爪,,入伍顺利！,0,2019-09-30 11:01
@梨涡小丸子汤,,一直很喜欢他，,0,2019-09-30 10:53
@旺仔贝壳,,,0,2019-09-30 10:49
@这个少少女不太太萌,,老了,0,2019-09-30 10:46
@落颜青城,,哥哥去军队啦,0,2019-09-30 10:42
@爱吃兔子的老猫,,等你回来！！,0,2019-09-30 10:41
@Skullannie,,照顾好自己,0,2019-09-30 10:38
@和自己碰个杯,,唱歌好听的弟弟，加油。,0,2019-09-30 10:33
@疯狂爱着的你们,,等我家主唱大人 评论配图,0,2019-09-30 10:30
@猫沏,,等你回来，wuli弘基,0,2019-09-30 10:25
@Viva-0205,,这家伙去部队肯定能过得很好,0,2019-09-30 10:24
@ftgden,,等你回来，加油哦，hongstar！,0,2019-09-30 10:23
@String_C,,什么！,0,2019-09-30 10:23
@不悔当初FT,,两年时间太长了啊，但是幸好也不会长到忘记,0,2019-09-30 10:23
@小丸子ooook,,等你回来啊！！,0,2019-09-30 10:20
@Ne不了,,哭哭哭,0,2019-09-30 10:17
