User,Reter,Comment,Votes,Time
@性科普bot,,不应该，因为你所买的票就是经济舱的，觉得好多人真是不知道 无规矩不成方圆,176,2019-09-30 13:47
@loveryuichiforever,,不是能不能的问题，而是在飞机上大闹给别人添麻烦，工作人员按规矩办事本来没啥毛病，要给你用是通融，不给你用是应该的，少一点巨婴多一点和谐，在家吃奶不代表出门人人都应该哄着你,141,2019-09-30 13:49
@别人都叫我小包,,让上是服务人性化，不让上也挑不出毛病。,69,2019-09-30 13:51
@敷尔佳吖-,,人有三急，要是憋不住宽容下也没问题吧？,35,2019-09-30 13:47
@火星熊猫大宝宝,,我觉得吧 举个简单例子 你买个汉堡 和买了汉堡套餐的有什么区别 区别在于你只可以吃汉堡 而汉堡套餐的除了可以吃薯条喝可乐还可以吃汉堡  你不能说你没吃饱就吃别人的薯条吧,28,2019-09-30 14:03
@辉JustOneLife,,价位不一样，享受的待遇就不一样，要是你花经济舱的钱就能享受头等舱的待遇，你让多花钱的人怎么想？,27,2019-09-30 13:53
@孤独星球xl,,如果没人用的话而且又很急可以用吧,12,2019-09-30 13:49
@春天来了你还想我吗,,我认为厕所是公共的应该可以用 ,12,2019-09-30 13:48
@Co-jelly,,经济舱有厕所的啊，为什么要用头等舱的，如果经济舱的厕所有人，等下就好了，如果等里面的人很久还没出来，这个时候，空姐和空保也不会不管的，因为会担心里面的人发生意外，所以，不会存在让你等很久的情况,18,2019-09-30 13:55
@榴蓮餅妹妹,,"我觉得可以用. 用之前礼貌的询问一下空乘. 人有三急,有时候经济舱的洗手间真的要排队排很久.",6,2019-09-30 14:03
@我是最好的自己ZXB,,看投票有多少想占便宜的货,8,2019-09-30 13:50
@荷西河东,,那以后头等厕所可以用了，就是两头排头上厕所。头等座位没人，是不是也可以通融一下让别人坐了？我头等花那么多钱买的票，我还要等经济舱的人排一队了我才能用？,7,2019-09-30 14:05
@Gingerbread0207,,还好是发生在国外,5,2019-09-30 13:49
@Scarterphy33,,给啥钱，享受啥服务，这是合同精神，不过人有三急，还是该通融通融的,6,2019-09-30 13:58
@我是最好的自己ZXB,,头等舱厕所是给头等舱用户准备的，不想付钱却想占用资源，这是什么心态！上厕所又不是什么生命危急的事情。,4,2019-09-30 13:53
@陶沐键,,不是有塑料袋吗,2,2019-09-30 13:51
@路过芳草,,emmmmm万一憋不住直接拉了，岂不是很尴尬,2,2019-09-30 13:49
@毛灿头上长棵白苗苗V5,,评论里怎么全是非黑即白的人啊，特殊问题特殊对待不好吗？憋的住就憋着，憋不住就过去上，酌情补个上厕所费用，要是敢拉过道上我作为其他乘客非得投诉死航空公司!每次在娱乐新闻下面一群憨批怎么看个社会新闻底下也一群憨批？？？,1,2019-09-30 14:21
@光之隐隐,,当然不行，不然为啥头等舱票价贵？我一次头等舱都没坐过也不会这么不要脸！,1,2019-09-30 14:56
@贴吧教练组韩指导,,我觉得把在评论里说风凉话的 高铁上厕所怎么可以共用了呢？还有就是等你们憋不住的时候你们就拉在裤子里吧，到时候你们不见得素质会比别人高多少,1,2019-09-30 14:25
@Cyndi丁丁,,如果是病了 孩子 是可以的 其他的就排着吧 地铁里不许吃东西 也可以小孩子喝奶 急病人吃药,1,2019-09-30 14:13
@ivy是个小圆脸,,我经济舱要过毯子，是头等舱的毯子，很感谢空姐的人性化服务了，但是固执的不给毯子也没毛病,0,2019-10-01 04:51
@独坐桥头听水流,,原则上肯定不可以，但还是得看事情的紧急情况。也许，可以考虑提供厕所升舱收费服务,0,2019-09-30 16:10
@番不过于心情l,,那你们知道去迪拜的头等舱厕所可以洗澡吗？,0,2019-09-30 16:09
@骑猴看耍猪,,我参与了@梨视频 发起的投票【经济舱乘客能使用头等舱厕所吗？】，我投给了“视情况而定”这个选项，你也快来表态吧~看情况而定，如果掀开窗帘看到头等舱的高品质服务能够心静如水的话，那就可以使用。人有三急，难道要他跳伞尿到天空吗？民航也没教乘客用降落伞不是？,0,2019-09-30 14:31
@边同学的北京故事,,当然不能了，你的机票里没有包含屎尿屁,0,2019-09-30 13:55
@头顶一颗火龙果,,以后人人都这么做了，遵守规则这个社会才会有序。,0,2019-09-30 13:53
@山里来的精灵mm,,要有规矩呀,0,2019-09-30 13:51
@bow226,,不让是本分 让是情分,1,2019-09-30 16:10
@夜猫子一两个,,如果大便急了马上拉裤子了怎办，如果心脏病发作需要大的空间怎么办，正常情况应该不可以使用头等舱厕所，非常情况非常对待，,0,2019-11-02 06:06
@SsaLlly,,喔觉得花了头等舱的钱，享受的范围就包括更舒适的座位、更周到的服务，也包括了不用排队上厕所这种细节。要是经济舱的人占用头等舱的厕所，导致头等舱客人等待，这也是服务缩水。所以航空公司做的没错。,0,2019-09-30 16:50
@雨天也有源动力,,不好意思，我没有坐过头等舱，但是我觉得就算憋也不应该去别人的地盘添麻烦,0,2019-09-30 16:21
@LOTSOBOY,,航空公司也是独立运营，不像高铁和地铁。所以飞机上的厕所不是公共资源。虽然开门进来都是客，但是花钱多的才是大爷啊，我服务你一个花小钱的为主，万一你把头等舱厕所搞臭，我就不是丢了整个头等舱的顾客？如果这个航空公司不以挣钱为目的的话，的确可以尽情怼,0,2019-09-30 16:05
@程泽敌201806,,我认为并没有什么问题,0,2019-09-30 15:01
@地球勘探員,,给不给用先不讨论  大闹这种做法就是错了,0,2019-09-30 14:57
@拯救大兵阿甘lyp,,可以啊，收费,0,2019-09-30 14:55
@jingjingrain520,,我没有房子，政府办公大楼反正空着，我就去住呗。,0,2019-09-30 14:50
@毒----She_S,,说能的说明就是那种人，明明买的二等座，看到一等座没人。非要去坐的那种。,0,2019-09-30 14:45
@double大雨,,讲道理不能,0,2019-09-30 14:43
@江烟似雪,,闹了那么久也不像是个憋不住的，可能想去看看头等舱的厕所长什么样吧,0,2019-09-30 14:22
@静小宝乌拉,,老人小孩的可以借用下吧,0,2019-09-30 14:18
@黄葵瓜子怪,,花多少钱心里没数？？？人家花了更多的钱所以有更多便利，你省了钱还想去占便宜怎么有脸闹,0,2019-09-30 14:18
@清漓茉夏Ritanliya,,按航空公司规定恐怕是不能，但如果真得有什么实在非常不得已的情况，其他乘客应该也不会有意见的！,0,2019-09-30 14:16
@一江明月一江秋ljc,,人家买头等舱就是不想和，，抢厕所，结果，，还想过去和人家抢,0,2019-09-30 14:15
@今天成为战狼了吗,,角色互换,0,2019-09-30 14:13
@yanzideyanzi,,我参与了@梨视频 发起的投票【经济舱乘客能使用头等舱厕所吗？】，我投给了“能，人有三急不能憋着”这个选项，你也快来表态吧~,0,2019-09-30 14:08
@yven_chen,,放开头等舱的厕所之后，头等舱的乘客就老要跑经济舱上厕所了。,0,2019-09-30 14:07
@完美-----impression,,有两个厕所？,0,2019-09-30 14:02
@conan54621,,三分钟的事情非得迫降？哪个成本高，航空公司自己掂量,0,2019-09-30 14:02
@正方的昵称,,如果让了话你让那些排队的人怎么说？,0,2019-09-30 14:00
@Trafalgar678,,我觉得可以吧，那商场我不消费还不能上个厕所了？,0,2019-09-30 13:59
@一年改一次都不行啊00000,,厕所只分男女，不存在在那个舱位。,0,2019-09-30 13:57
@人参捣师,,资本主义巨婴,1,2019-09-30 13:54
@困目齐子,,非特殊情况不应该去吧，若是行动不便，或者内急严重，拉肚子什么的，如果经济舱的卫生间有人占用，那不给用是没人情，可是旅客非要去使用头等舱的那就是跋扈了,0,2019-09-30 13:52
@古镜丛生,,看情况吧,0,2019-09-30 13:50
@未闻花名先问香,,肯定不能啊,0,2019-09-30 13:48
@铭音设计Meaning_Design,,那你上啊,0,2019-09-30 13:47
@sinky,,上个厕所无关生命就分歧那么多，那大家留意过医院吗？多少临时病床停在走廊上，单人病房却空那么多，多少楼盘空房又多少流浪汉？都是空出的资源利用，但花多少钱就享受对等服务。一旦开了口子都去头等上了。忍不住登机前先上好，或是早点准备，一个成年人靠闹能解决事儿嘛！,0,2019-10-01 01:54
@你吃个锤子吃,,我只想感慨肯德基真是人间好厕所啊。,0,2019-09-30 23:49
