User,Reter,Comment,Votes,Time
@M伟098,,大爱钢铁洪流进行曲，配上战旗装甲车出场的画面，简直燃,6996,2019-10-02 07:52
@郑爽张恒分手没有,,90后觉得写的很燃,3160,2019-10-02 07:51
@天蓝1112,,这次阅兵的亮点之一 BGM确实都很应景  给幕后英雄点个赞,2444,2019-10-02 07:55
@兮山有木枝,,《钢铁洪流进行曲》，李旭昊，90后，厉害了,2076,2019-10-02 08:57
@小哥哥,,求出数字专辑打包下载,949,2019-10-02 07:53
@零陵上将刑道栄,,求一下战旗方队通过时的bgm,686,2019-10-02 07:52
@吃不胖的甜心超人,,每个时代的人都会长大，都会创新！都有自己思想，等我们这批80  90后老了！不知道00后和10后们会怎么创作！真的很期待啊,488,2019-10-02 07:56
@圆溜溜滴O_liuliu,,战旗队出来的时候 我就被bgm迷住了 结果手机听音识曲都识别不出来,408,2019-10-02 08:26
@唯一的懒懒天空,,这次阅兵的亮点之一 BGM确实都很应景  给幕后英雄点个赞,296,2019-10-02 08:24
@rAckyyyy,,战旗出来的时候BGM超燃！瞬间感觉气场太强大了！,268,2019-10-02 08:05
@今日宝藏,,嗷嗷就是这个配乐，特别高级的感觉特别有代入感！！！我超级喜欢！！,188,2019-10-02 09:20
@我就是杨小冰啊,,难怪了，我怎么觉得今次的阅兵bgm那么好听，原来对我的口味了,156,2019-10-02 08:15
@小甜甜居居居,,啊~李旭昊，钢铁洪流进行曲作曲人，看到了，很年轻帅气的小哥哥啊,131,2019-10-02 08:34
@元夕树上灯,,那个钢铁洪流进行曲啥时候正式上线啊，期待,130,2019-10-02 08:23
@Real耿直的校董,,钢铁洪流进行曲简直是封神,94,2019-10-02 08:13
@tezuka410,,战旗方队的bgm瞬间让我泪目,56,2019-10-02 08:27
@今日宝藏,,好燃(●°u°●) 」今年的细节如此之多。戳人,31,2019-10-02 10:59
@朝雨凉,,祖国万岁！,36,2019-10-02 07:52
@豚狗不如,,战旗方队刚开始那段BGM真的燃！,39,2019-10-02 08:28
@胡萝卜本卜卜,,今年注意到了bgm，当时还想都是新歌没听过呀，还挺带劲的,39,2019-10-02 08:26
@zu海洋,,创作室主任郭思达也是位音乐天才，这是BGM很多来自他。郭思达老婆@陈祉希 还是《泰囧》制片人，也是位很年轻的优秀美女。,31,2019-10-02 10:27
@玻璃恋珠,,天呢，我要自豪了。今年的BGM 创作里面竟然有我表弟啊，带眼镜的小伙子是我表弟啊。我怎么才看见。,30,2019-10-02 15:17
@李最甜ing,,好燃,21,2019-10-02 08:21
@种花家的巧克力Muffin,,对！！！！！我在看的时候跟我妈说哎呀这些歌感觉以前都没听过！！！！！！啊我好爱,23,2019-10-02 08:33
@图图3487,,曲子气势恢宏大国风范，盛世中国就应该是这样的感觉,17,2019-10-02 10:01
@古月歌儿,,我今天早上看到一句话，为什么今年的爱国气氛那么浓烈，因为90后都长大了，他们那么优秀，为祖国付出自己的才华，热情，由衷地感到高兴,24,2019-10-02 11:01
@唯一的懒懒天空,,这段的配乐也是特别的振奋人心啦,14,2019-10-02 08:24
@神圣新娘,,亲！出数字专辑吗？需要打榜吗？开音乐会吗？,22,2019-10-02 08:44
@堂有糖,,我就说哪里不一样！！！棒！！,13,2019-10-02 07:58
@重庆佛图关古夜雨寺,,致敬中国军人,8,2019-10-02 07:58
@鼓手理想,,今年战旗方队一出来，那音乐真好，摆脱传统中国式红歌，很洋气！期待80年大庆，军乐团也能走方阵行进演奏！,4,2019-10-02 13:37
@九尾珊喵,,昨晚特意去B站挨个听了一遍，都很好听，《钢铁洪流》和《雄鹰出击》都能让我脑补出《海贼王》里的大场面，真的很带感，很好听~,5,2019-10-02 12:45
@舞动的羊咩咩,,好，就是好，诶，就是好,5,2019-10-02 11:49
@阿婉在散步,,庄重又不失时尚的编曲竟然是这么年轻的音乐者，敬佩不已 ，BGM真的很带感,6,2019-10-02 09:42
@桃子甜酱啊,,了解了DF 17后，再看那几个特写镜头就觉得超燃了～,2,2019-10-02 10:43
@我们九超香,,我听的时候以为奥特曼和怪兽来了,3,2019-10-02 10:37
@蝴蝶唯爱肖战,,厉害了,2,2019-10-02 09:56
@梦萦霍雍心牵楼兰,,说吧，哪个平台上架，我这就去充会员,3,2019-10-02 09:44
@爱现哥的静静ing,,很燃！很棒！,2,2019-10-02 09:10
@朗婷盛世火火火,,时代总是，在年轻一代中传承。。。,2,2019-10-02 08:12
@Sally娜娜1212,,这几首都超好听的，机智的我已经在网易云上面找到啦！,1,2019-10-05 01:15
@何亮仔阿,,背景音乐（Background music，简称BGM）,2,2019-10-02 12:25
@小鲤鱼呢啊,,太燃了！好听,1,2019-10-02 12:19
@-周大發-,,特别是升国旗前的小号也特别好听,1,2019-10-02 11:47
@小皮卡蛋,,优秀!,1,2019-10-02 11:32
@n家de小h,,哇，厉害,1,2019-10-02 08:03
@闲雨纷微微TBC,,太强了吧[加油][加油],1,2019-10-02 11:02
@是水是走字儿,,钢铁洪流进行曲赞爆,1,2019-10-02 08:22
@今天我是柠檬姚,,郭思达！！wowowo是独家记忆的郭思达么,1,2019-10-02 12:15
@究竟是谁猜着谁的心,,哈哈，戴眼镜的小哥哥回答也是很90后，“我已经很满足了”“好，就是好”,3,2019-10-02 11:33
@执痕浅墨,,挺期待//@吃不胖的甜心超人:每个时代的人都会长大，都会创新！都有自己思想，等我们这批80  90后老了！不知道00后和10后们会怎么创作！真的很期待啊,1,2019-10-02 09:57
@丶鱼子i,,钢铁洪流进行曲,1,2019-10-05 22:01
@T雅A靖J,,有音源吗，真的太好听了,1,2019-10-02 21:10
@张师傅2002,,喜欢原来的,1,2019-10-02 15:36
@云笙不知处丶,,太棒了！吹爆！,1,2019-10-02 15:35
@MR_卡布奇诺DDDDDD,,钢铁洪流流行曲，目前网络无资源,1,2019-10-02 14:30
@Giveup59109,,就是他！！！钢铁洪流！！！,1,2019-10-02 14:27
@只有努力向前奔跑,,当时看的时候，一脸震惊，那个画面配上bgm，热血啊！当时就在微博上搜，结果没搜到，么想到今天上热搜了,1,2019-10-02 14:16
@HelloHelloRosey,,真好！让我们知道了这些幕后英雄！,1,2019-10-02 12:54
@东卡_李浩宇,,80后快进入40了，90后快进入30了。是时候担当起家庭社会的责任了。,1,2019-10-02 12:27
@萝Sir,,战旗那段BGM太霸道了，毫不掩饰的表示，我喜欢,1,2019-10-02 11:31
@良程先生,,真好听震撼，我一直在找,2,2019-10-02 11:22
@7小彩侠,,希望这样的音乐才子越来越多！,1,2019-10-02 11:07
@LamJiJi,,我就问官方啥时候出昨天所有的BGM歌单？,3,2019-10-02 10:22
@-能量集合体,,我说怎么感觉进行曲那么好听，原来专门创作的！,1,2019-10-02 09:05
@可惜我只有半张纸,,每个人都很厉害,1,2019-10-02 08:03
@小保为A崽和马甜打Call,,央视爸爸，就一个要求，请给阅兵BGM出一个原声ost！！！我买爆！！！,1,2019-10-02 15:17
@杏子蜜先生,,很燃！,0,2019-10-02 12:52
@乐且陶陶,,跪问东风系列出来的时候是哪首bgm 好燃,1,2019-10-02 12:11
@喜欢你的喜欢L,,东风快递音乐也很好听 是不是叫东风浩荡进行曲？,1,2019-10-02 10:40
@今天_你快luo吗,,,0,2019-10-03 08:23
@丁枪枪,,太喜欢了,0,2019-10-03 04:03
@蒹葭话,,,0,2019-10-02 22:20
@是啰里八嗦的副官小楠a,,最爱分列式进行曲,0,2019-10-02 22:12
@郭郭星星,,,0,2019-10-02 21:46
@執念______46635,,,1,2019-10-02 21:30
@大野墨,,@李_Xuh @郭star作曲 老师上央视啦！,0,2019-10-02 20:57
@绣一颗最温柔的心寄给祢,,真的好听,0,2019-10-02 20:43
@Yurizy,,有谁知道装备方队BGM的名字,0,2019-10-02 19:29
@小哥哥,,回复@风清池浅 的表态:Qq音乐可以搜到钢铁洪流进行曲纯音乐版了,0,2019-10-02 18:41
@往事随风去fh,,被钢铁洪流洗脑了,0,2019-10-02 18:41
@七岁zz,,,0,2019-10-02 17:38
@随意啊我,,气势磅礴,0,2019-10-02 15:22
@哀家待你不薄啊,,真的很燃呐,0,2019-10-02 15:18
@假装有个可爱又正经的昵称,,哇！那个小哥哥是个少将吗！,0,2019-10-02 15:12
@西综260英语70政治70,,今年的音乐真的好！尤其是钢铁洪流进行曲，一出来就震撼到了！,0,2019-10-02 14:55
@酱酱biong,,这个BGM超好听,0,2019-10-02 14:44
@冰蓝蓝田田,,今年国庆bgm真的很棒,0,2019-10-02 14:15
@苏苏来自左肩靠近心脏,,每次排练都是热血沸腾！,1,2019-10-02 14:10
@-溏心蛋-,,今年的bgm都超赞,0,2019-10-02 13:51
@嘉奇音,,,0,2019-10-02 13:35
@一只猩猩奶豆腐,,看阅兵的时候就被这段bgm 震撼到了！当时就感叹这个音乐好燃！,0,2019-10-02 13:26
@木瓜她报之以琼琚,,真的好听,0,2019-10-02 13:19
@起啥昵称能显得不沙雕呢,,钢铁洪流进行曲真的太太太太太牛逼了！！！神一样！！！表白作者！！@李_Xuh ,0,2019-10-02 13:15
@九丘拾微,,,0,2019-10-02 13:08
@陈小欧Oyster,,真心厉害，完全颠覆了对以往阅兵的感受，浓浓的大国崛起意味，配合百面战旗和威武战车，让人心潮澎湃~~~~,0,2019-10-02 13:06
@布蕾红豆啊,,非常棒,0,2019-10-02 12:57
@假酒吃瓜少女,,,0,2019-10-02 12:50
@吃货一枚YWL,,居然有郭思达,0,2019-10-02 12:50
@好吃-蛋卷,,8090很厉害的,0,2019-10-02 12:50
@今天胆子大了吗,,,0,2019-10-02 12:48
@锚儿aqua,,钢铁洪流进行曲好听！！,0,2019-10-02 12:44
@一月亮的黑金袍子,,超燃～！！！,0,2019-10-02 12:41
@晋江轰中凌乱,,所有，啥时候开放下载or在线听,0,2019-10-02 12:37
@HanBin_KimA,,00后觉得很有气势，这首歌配上装甲车简直了,0,2019-10-02 12:36
@降落火星666,,用心写出来的，都是珍品。,0,2019-10-02 12:36
@XOXOLang,,超级喜欢装备方队进场的那首歌！希望可以出正式版音源,0,2019-10-02 12:32
@小熊熊安,,战旗方队出场的BGM燃爆了,0,2019-10-02 12:30
@史森明的发际线Tibbers,,战旗方队的bgm简直帅炸裂了！！！,0,2019-10-02 12:28
@Deng3Lan_7,,求出专辑,0,2019-10-02 12:28
@夏目安熙,,郭思达声音好像黄渤,1,2019-10-02 11:34
@宁缺555555555滥,,很然很振奋,0,2019-10-02 11:31
@彭于晏喜欢迪丽热巴ii,,非常好听,0,2019-10-02 11:30
@模人一架,,这是一个中国各行业全方位赶超的时代了,0,2019-10-02 11:26
@明眸在心y,,bgm很燃！看阅兵的时候就感受到强大的气势,0,2019-10-02 11:24
@小江不小江,,哈哈80，90后也都是奔三奔四的人儿了，寻思着也不小了,0,2019-10-02 11:20
@养羊的兔子,,特别好听,0,2019-10-02 11:20
@可以更好呢,,军乐团吹几个小时,0,2019-10-02 11:18
@维他的蜂蜜茶,,高超音速上的时候应该放帝国进行曲,0,2019-10-02 11:17
@流觞于淼,,看的时候，一阵儿一阵儿的头皮发麻，14亿分之一的我就得真的好,0,2019-10-02 11:14
@甜酥O,,棒,0,2019-10-02 11:12
@虫Li_,,bgm真的很好听！还是现场演奏！感觉超棒！,0,2019-10-02 11:11
@ProjectTS1626,,我只想问哪里能下载,0,2019-10-02 11:07
@喵魑Sakki,,昨天开车去沈阳的路上我还跟你讨论过这个问题，“80分钟阅兵配乐，这得提多少次反馈才能定稿啊,0,2019-10-02 11:06
@雯vivian雯,,厉害！！！,0,2019-10-02 11:04
@九鸣千仞,,,0,2019-10-02 11:02
@Anabella2552,,特别振奋人心，特别激发英雄情怀，特别为阅兵添彩，能激发出我的英雄情怀，我觉着这点特别棒,0,2019-10-02 11:00
@喵喵虫虫飞,,鼓点节奏超赞,0,2019-10-02 11:00
@刘源属猴,,转发微博,0,2019-10-02 10:59
@vega在那棵椰子树喔,,@元氣少女Eileen,0,2019-10-02 10:56
@橙七是大腿,,我发现有不一样了 挺棒的,0,2019-10-02 10:55
@銭銭銭銭so_big,,钢铁洪流进行曲,0,2019-10-02 10:30
@Indi的小跟班,,13年的中校，太年轻了。,0,2019-10-02 10:27
@请你正常一些,,Cool,0,2019-10-02 10:26
@爱回忆的小狮子,,的确超赞！武器配音乐，燃，超燃！,0,2019-10-02 10:25
@卫夫人白素,,转发微博,0,2019-10-02 10:23
@小笼包邹邹,,钢铁洪流进行曲！,0,2019-10-02 10:23
@DSway线星星,,@TaliaWong,0,2019-10-02 10:22
@Serena心理治疗师,,燃,0,2019-10-02 10:20
@美唧鱼,,我说咋感觉很好听,0,2019-10-02 10:18
@牛_疯疯,,超级燃,0,2019-10-02 10:18
@葡萄没籽_,,战旗方队的那首就像要上战场一样！超级燃！,0,2019-10-02 10:18
@椎名顺心,,很棒！,0,2019-10-02 10:17
@陌上丝路,,很符合气势也有创新，很棒,0,2019-10-02 10:15
@司道普司道普不要再说了,,看到这条微博的时候医院电视里回放的大阅兵恰好播到装备方队,0,2019-10-02 10:13
@慌学,,很燃！,0,2019-10-02 10:13
@海天月夜,,钢铁洪流进行曲， 太恢宏了,0,2019-10-02 10:00
@Liberty_walker,,写的真好！！！,0,2019-10-02 09:59
@LionHeart丶FY,,看的时候就觉得BGM很燃啊,0,2019-10-02 09:59
@小星星今天开心吗,,谢谢各位大佬们！我真的太爱那首钢铁洪流进行曲了,0,2019-10-02 09:57
@搭配的日常,,真的好听，气势磅礴，大国风范。[加油],0,2019-10-02 09:56
@云杉ys,,#给阅兵写BGM的是80后和90后# 超燃的！,0,2019-10-02 09:54
@僵尸吃了我的脑子,,好棒！！,0,2019-10-02 09:45
@糖心荷包蛋少女,,战旗方队的bgm吹爆啊，太燃了,0,2019-10-02 09:42
@佳佳得乐10,,阅兵时注意到了，非常有气势,0,2019-10-02 09:36
@微雨_微凉,,燃！！！我好喜欢！！,0,2019-10-02 09:35
@差不多废ET,,可好听了，求出专辑！！！,0,2019-10-02 09:26
@梦境的一万种可能全是你,,bgm一出来有一种听见希望的感觉,0,2019-10-02 09:25
@ysaaaa,,突然想起来好几年前老一辈说90后不行，啥也不会，成不了事。 现在看看，前辈们，90现在已经成为社会的中坚力量了。,0,2019-10-02 09:23
@小橘坨,,真的太棒了！！好好听！！,0,2019-10-02 09:20
@是miumiu的姐姐,,@你不是胡大星,0,2019-10-02 09:19
@丶forever艾米,,太棒了,0,2019-10-02 09:19
@G_N_E_昔人,,当时就觉得耳目一新,0,2019-10-02 09:18
@蛋蛋后的小吃货,,太燃了！,0,2019-10-02 09:18
@和蔼可亲的妖胖,,钢铁洪流进行曲,0,2019-10-02 09:16
@执笔染墨白,,厉害,0,2019-10-02 09:16
@滴滴喜欢帮妹纸去除凶兆,,太好听了,0,2019-10-02 09:12
@昵称昵称好难取,,真的超燃超好听！！！,0,2019-10-02 09:12
@心非木石岂无感莫声张,,强烈要求军乐团出数字专辑啊  以后运动会有音乐了,0,2019-10-02 09:11
@耐不住寒,,太棒了吧！,0,2019-10-02 09:08
@Lafine-,,看阅兵第一反应就是好燃的大片！感谢创作者！,0,2019-10-02 09:06
@马达MOTOR,,@李_Xuh 为李旭昊打电话//@九段棋手蔡菜子: ,0,2019-10-02 09:00
@为心中的理想而努力,,厉害,0,2019-10-02 08:54
@银河小怪兽Kiki,,很好听，为你们感到骄傲,0,2019-10-02 08:52
@橘子味的卷心菜,,太燃了,0,2019-10-02 08:48
@源氏迷妹吖,,壮观,0,2019-10-02 08:45
@鬼矣,,好听，必转！,0,2019-10-02 08:44
@月刊少女小马甲,,钢铁洪流进行曲!,0,2019-10-02 08:43
@M-X雨,,好！！！！！,0,2019-10-02 08:42
@______我叫李小李,,巍巍之中华 人才之济济,0,2019-10-02 08:33
@RustyEK,,昨天发现了，请问出合集吗？,0,2019-10-02 08:29
@笑口常开1号,,赞,0,2019-10-02 08:26
@反正我夫敲帅气鸦,,场面好壮观,0,2019-10-02 08:23
@吃杨梅加盐,,非常好听,0,2019-10-02 08:14
@Ace解释,,想要阅兵的音乐专辑,0,2019-10-02 08:13
@天蝎座ch2ch3,,好厉害,0,2019-10-02 08:10
@怪力乱神xox,,bgm特别棒,0,2019-10-02 08:06
@Live男神林俊杰,,,0,2019-10-02 08:04
@一切归宁,,震撼人心,0,2019-10-02 08:02
@馨馨爱胡喵,,,0,2019-10-02 08:02
@紫荆姐姐-伴庚同行,,转发微博,0,2019-10-02 07:56
@辰辰长萝北了,,什么时候放原声！！,0,2019-10-02 07:55
@追朱哥,,转发微博：然,1,2019-10-02 07:52
@ModeratoH_,,我一直觉得我们这一代，最有良心的一代。我们经历了非典，地震这些灾难，众志成城。在香港，钓鱼岛问题，一致对外。今年的国庆，整个微博的气氛好到爆，没有杠精，刷微博就一直泪目。我们是真的爱国，我们可以正大光明的说，我们这一代绝对不是垮掉的一代，为我们自己鼓个掌。,3,2019-10-02 09:13
@SpmrlllF,,钢铁洪流进行曲真的超级好听呀！昨天一下子就被震撼住了！,1,2019-10-02 12:52
@SilvanaJS,,东风浩荡也好听！！！,1,2019-10-02 09:50
@可可西里男孩,,为什么那么好听,0,2019-11-11 08:24
@sjjsjj0613,,转发微博,0,2019-10-11 14:54
@T花开的故事,,看阅兵的时候就在想，这些音乐好好听,0,2019-10-10 23:37
@love沐沐1,,李旭昊感觉好呆萌的感觉，又有才,0,2019-10-10 11:40
@鬼影Jimmy,,转发微博,0,2019-10-07 16:53
@狐狸妈,,真的好听,0,2019-10-05 14:58
@是朝不是朝,,求出国庆曲目专辑啊！！！,0,2019-10-05 10:14
@TryUP陈斌,,中国威武,0,2019-10-05 07:47
@江野云舒,,东风浩荡进行曲简直是我的心头好！！！,0,2019-10-05 03:19
@mindervalley,,几首曲子都是封神之作，手动赞钢铁洪流,0,2019-10-04 16:17
@会唱歌的肌肉男,,做文艺工作者进步就是快啊！,0,2019-10-04 15:46
@会唱歌的肌肉男,,Bgm是啥意思,0,2019-10-04 15:43
@Robin_Wu,,求一下分列式正式开始之前那个大合唱是什么？,0,2019-10-04 14:19
@刘连3344,,转发微博,0,2019-10-04 10:00
@WallDior,,确实很棒，第一次在看阅兵这样的活动的时候注意到音乐,0,2019-10-04 04:19
@邋遢大叔败家王,,太燃了！坐等专辑上市！！！,0,2019-10-03 22:29
@Lesley_Dong,,毕竟8090都已30-40了,0,2019-10-03 22:18
@清凉绿豆粥刘,,腾讯敢收费吗？网易敢要钱吗？,0,2019-10-03 20:59
@妖精的森巴舞元,,转发微博,0,2019-10-03 17:03
@远方先生al,,我^_^ndqs,0,2019-10-03 15:48
@秋小裤小乖乖,,@滕飞ETPHOTOS 钢铁洪流作曲，90后！,0,2019-10-03 15:02
@死言书,,转发微博,0,2019-10-03 15:00
@这个我从来不是幽默的女生,,特别好听！,0,2019-10-03 14:45
@FinalanycalL,,,0,2019-10-03 14:42
@Naihe忘川,,牛啊，只知道好听，没想到创作者这么年轻，粉了粉了,0,2019-10-03 12:32
@可可西里男孩,,为什么那么好听,0,2019-11-11 08:24
@woshidatou,,有杀伐之气，这么多年，听得都是建国前的音乐，终于来点新的还够硬的啊！！,0,2019-11-04 00:27
@小云儿很暖暖,,很一般 不喜欢现在作曲家,0,2019-10-18 17:48
@sjjsjj0613,,转发微博,0,2019-10-11 14:54
@岭南房东,,,0,2019-10-11 10:24
@T花开的故事,,看阅兵的时候就在想，这些音乐好好听,0,2019-10-10 23:37
@love沐沐1,,李旭昊感觉好呆萌的感觉，又有才,0,2019-10-10 11:40
@YOYAMONG,,好听 高级上档次,0,2019-10-09 21:15
@后尘S,,帅到掉渣，掉的渣接着帅！,0,2019-10-09 14:25
@可可西里男孩,,为什么那么好听,0,2019-11-11 08:24
@woshidatou,,有杀伐之气，这么多年，听得都是建国前的音乐，终于来点新的还够硬的啊！！,0,2019-11-04 00:27
@小云儿很暖暖,,很一般 不喜欢现在作曲家,0,2019-10-18 17:48
@sjjsjj0613,,转发微博,0,2019-10-11 14:54
@岭南房东,,,0,2019-10-11 10:24
@T花开的故事,,看阅兵的时候就在想，这些音乐好好听,0,2019-10-10 23:37
@love沐沐1,,李旭昊感觉好呆萌的感觉，又有才,0,2019-10-10 11:40
@YOYAMONG,,好听 高级上档次,0,2019-10-09 21:15
@后尘S,,帅到掉渣，掉的渣接着帅！,0,2019-10-09 14:25
