User,Reter,Comment,Votes,Time
@东风快递,,,2568,2019-10-01 15:41
@居然竟然然,,强迫症不能怪我，国家太厉害了么办法,5660,2019-10-01 11:33
@拢龙啊我的小甜饼,,,4222,2019-10-01 13:21
@宋景瑜,,最厉害的是这个 很佩服飞行员 台上一分钟 台下十年功,3112,2019-10-01 15:16
@帅气的老王Darius,,天上也有,1720,2019-10-01 12:38
@火锅居的守护者,,强迫症治愈系,1022,2019-10-01 11:35
@火锅味居家小仙女,,我看以后谁敢说我强迫症,725,2019-10-01 13:11
@云箫-camellia,,真的强迫症福利,434,2019-10-01 14:54
@RMingQI,,没办法，家里有这条件,323,2019-10-01 15:31
@宛月CherryBoom,,原来我们的强迫症都是国家和军队宠的！太赏心悦目了！治愈系方针,98,2019-10-01 15:29
@独家秘制火锅底料,,太厉害了,66,2019-10-01 11:40
@Florida的阳光,,极度舒适,70,2019-10-01 12:22
@ciel要做小太阳,,强迫症太舒服了,55,2019-10-01 11:57
@暮雨木渔,,强迫症舒服了,23,2019-10-01 12:15
@一龙的大太太,,强迫症表示 看的真的好舒服,9,2019-10-01 11:32
@权jiyong的小猫咪,,可不是嘛,18,2019-10-01 14:57
@居老师最可爱的老婆,,祖国生日快乐,12,2019-10-01 11:39
@安居乐夢,,太飒了～嘤嘤嘤～兵哥哥好帅啊,2,2019-10-01 11:46
@宛月CherryBoom,,是的！我们的强迫症都是国家和军队宠的,6,2019-10-01 15:27
@-这里有一只野生的Meatball-,,是的呢！强迫症表示过于舒适了！,3,2019-10-01 16:03
@豆豆MIAO66,,太厉害了,4,2019-10-01 11:42
@陈家西妹,,#原来我的强迫症都是国家惯的# 都是国家给惯的,2,2019-10-01 15:55
@墨墨风华,,治愈系,2,2019-10-01 11:40
@橘酱·时弋,,#原来我的强迫症都是国家惯的# 向中国军人致敬,3,2019-10-01 19:25
@盐家的史努比,,画面引起极度舒适！,2,2019-10-01 16:11
@阿婆的小卷毛,,真的太舒服了,1,2019-10-01 15:01
@清风晓月2019,,看起来好舒服,1,2019-10-01 11:32
@居居喵了个喵,,治愈了我,1,2019-10-01 11:32
@夕夕linn林十八,,视觉极度舒适,0,2019-10-02 10:07
@问心随行笔记,,看谁以后敢说我有强迫症,0,2019-10-02 08:49
@各种跳的喵,,完美治疗强迫症@央视网青年 看着感觉极度舒适,0,2019-10-01 20:24
@末希颜,,我终于知道我的强迫症怎么来的了，我祖国妈妈惯的！(骄傲脸！),0,2019-10-01 20:20
@一施无尘,,#原来我的强迫症都是国家惯的# ,0,2019-10-01 19:17
@胥十七,,,0,2019-10-01 18:17
@·李憨盒作社·,,祖国太棒了,0,2019-10-01 17:39
@瑞王府红小仙女,,谁说不是呢,0,2019-10-01 17:02
@栀言翩语,,哈哈哈哈，谁以后都不能再说我是强迫症患者了！这样的我才是正常状态,1,2019-10-01 20:10
@聂xyyyyyy,,,1,2019-10-01 19:24
@小小捷的晓,,哈哈哈哈就是这样 看的时候就一直感叹 太整齐了！真的太整齐了！引起强烈舒适！！！#原来我的强迫症都是国家惯的#,1,2019-10-01 19:04
@看着我的头像你会觉得肚子饿,,横着是一条线，竖着是一条线，斜着还是一条线。关键是，连移动都动线都是一条线，动作幅度一致。整齐划一，气势恢宏,1,2019-10-01 18:46
@小小的卿昱,,爱死祖国,1,2019-10-01 18:14
@-霸姐范儿丶,,画面引起极度舒适，建议反复观看,1,2019-10-01 17:49
@一筐甜娜酱,,极度舒适,1,2019-10-01 17:41
@咖啡GD可可,,噗，真的！国家把我惯成强迫症的，什么都必须整整齐齐,1,2019-10-01 17:36
@38期报纸,,“强迫症”这个词就这样被趣味化了吗…强迫症是严重的心理疾病，真正有强迫症的人是很痛苦的。每次看到这种热搜都觉得很无语,1,2019-10-01 17:21
@哄哄我会变甜,,极度舒适,1,2019-10-01 16:43
@云深不知处-覔,,处女座表示最爱一年一次大阅兵，极度舒适,1,2019-10-01 16:29
@真的是牛奶啊,,以后谁再说我强迫症整理癖我就指着他的鼻子告诉他，国家惯的怎么了？！！！,1,2019-10-01 16:19
@我是神仙姐姐,,感谢生在中国 看见祖国繁荣昌盛 倍感荣幸,1,2019-10-01 16:15
@Ai-Stephanie,,此刻我们都是祖国麻麻的先天强迫症皮孩儿,1,2019-10-01 15:02
@俊俊怀里的小熊,,厉害了我的国！,1,2019-10-01 14:58
@羽衣甘蓝1985,,听着那咔嚓咔嚓的正步声，一个词形容：舒坦,0,2019-10-02 10:18
@黎雨陌呀,,就是这样,0,2019-10-01 19:39
@Heartbeat-girl,,这话没毛病呀！,0,2019-10-01 19:34
@龙哥叫你去学习,,画面极度舒适,0,2019-10-01 18:18
@尔尔天何一青澜,,阿中哥哥好棒,0,2019-10-01 17:48
@醒来了再睡一会,,真相了真相了，怪不得我喜欢整整齐齐的感觉，都是国家惯的，宠坏的,0,2019-10-01 17:21
@我才是最帅的1988,,极度治愈！！！,0,2019-10-01 17:11
@石fengzi123,,哈哈哈哈哈哈哈哈，是的,0,2019-10-01 16:41
