User,Reter,Comment,Votes,Time
@莫埃南笙,,这这这，太帅了！可以包分配吗？,40,2019-10-01 12:24
@爱火锅der灌汤小笼,,上交国家的都帅！超帅！,20,2019-10-01 12:34
@Air是Wang喵喵,,伟大的祖国，还有一群保卫国家可爱的人儿,1,2019-10-01 14:56
@Oo我家有个朱美丽oO,,兵哥哥们好帅,2,2019-10-01 12:21
@赵小姐r,,兵哥哥，我接受分配,0,2019-10-02 08:21
@有点球事儿,,五千年前我们和埃及人一样直面洪水 四千年前我们和古巴比伦人一样铸造青铜器 三千年前我们和希腊人一样思考哲学 两千年前我们和罗马人一样英勇征战 一千年前我们和阿拉伯人一样无比富足 而现在我们正和美利坚人一较长短 五千年来，我们一直在世界的牌桌上，注视着一个又一个对手的崛起与消亡,1,2019-10-01 22:47
@千岛寒流与日本暖流,,宇宙最帅男团，没有之一，不接受反驳。,0,2019-10-01 13:18
@想要扑进哥哥的胸膛,,中国的脊梁啊,1,2019-10-01 13:13
@陇南文县检察院,,转发微博,0,2019-10-02 09:21
@Jasmine阿莹,,中国最帅天团,0,2019-10-02 07:32
@段正芳,,可爱的兵哥哥,0,2019-10-02 01:10
@花系我心,,希望有一天我能领回家一个,0,2019-10-02 01:04
@耶娃_,,军人就是国家的防线，人民的保护伞，向军人致敬！,0,2019-10-02 00:54
@Licking舔,,,0,2019-10-01 23:56
@鸢青音浅,,天朝第一最帅天团！,0,2019-10-01 23:51
@BridgitAiry,,每个中国人心里都有一个军人梦,0,2019-10-01 23:02
@原来是aqq,,转发微博,0,2019-10-01 21:28
@ke药小仙女,,都是182的大长腿,0,2019-10-01 20:54
@裤链拉一半儿,,祖国万岁,0,2019-10-01 20:47
@可爱多的世界,,应该说穿上军装都帅,0,2019-10-01 19:49
@未完待续是远方的你,,让你们看阅兵，不是让你们相亲好吗？,0,2019-10-01 16:52
@莫羽eario,,他们是最美的人！,0,2019-10-01 15:28
@stars14178,,此生不悔入华夏，来世还做中国人,0,2019-10-01 14:11
@小狐狸_2000,,包分配嘛？,0,2019-10-01 13:29
@-Iaminfants,,惟愿山河无恙，国富兵强，军人战士，永无参与实战的机会,0,2019-10-01 13:21
@茱莉JulieJo,,想要包分配,0,2019-10-01 13:09
@叶子的头像库,,我问一下，可以分配吗,0,2019-10-01 13:03
@里约热内卢卢卢,,图二最左边小哥哥这么像李现？,0,2019-10-01 12:42
@croak-,,祝祖国母亲繁荣昌盛 越来越好,0,2019-10-01 12:39
@下辈子想当大熊猫dd,,祝福我们祖国繁荣昌盛,0,2019-10-01 12:33
@月畔_,,祝我的祖国生日快乐！越来越好越来越强！,0,2019-10-01 12:28
@沙沙可爱的,,转发微博,0,2019-10-01 23:09
@美女放下胸器,,帅得想爆粗话,0,2019-10-01 22:13
@倒刺05684,,分配吗？好想抱个回家啊,0,2019-10-01 23:12
@憨憨想把心给敢敢啊,,帅到炸裂,0,2019-10-01 14:57
@晴天行行行醒,,祖国母亲，生日快乐,0,2019-10-01 14:47
@是周杰伦的珍珠奶茶,,@下个周末有空,0,2019-10-01 13:50
@陇南文县检察院,,转发微博,0,2019-10-02 09:21
@董郎行,,#每人一句华诞祝福#果然最帅的都上交国家了,0,2019-10-02 08:29
@赵小姐r,,兵哥哥，我接受分配,0,2019-10-02 08:21
@陇南文县检察院,,转发微博,0,2019-10-02 09:21
@董郎行,,#每人一句华诞祝福#果然最帅的都上交国家了,0,2019-10-02 08:29
@赵小姐r,,兵哥哥，我接受分配,0,2019-10-02 08:21
@Jasmine阿莹,,中国最帅天团,0,2019-10-02 07:32
@段正芳,,可爱的兵哥哥,0,2019-10-02 01:10
@花系我心,,希望有一天我能领回家一个,0,2019-10-02 01:04
@耶娃_,,军人就是国家的防线，人民的保护伞，向军人致敬！,0,2019-10-02 00:54
@Licking舔,,,0,2019-10-01 23:56
@鸢青音浅,,天朝第一最帅天团！,0,2019-10-01 23:51
@倒刺05684,,分配吗？好想抱个回家啊,0,2019-10-01 23:12
