User,Reter,Comment,Votes,Time,Count
@热短句bot,,张艺谋就是为大场面而生的导演,1516,2019-10-01 21:03,13
@苏眉妩,,东风夜放花千树，更吹落、星如雨。宝马雕车香满路，凤箫声动，玉壶光转，一夜鱼龙舞。,972,2019-10-01 21:05,2
@吃不胖的甜心超人,,场面震撼堪比08奥运啊！祝福祖国更加繁荣昌盛,512,2019-10-01 21:04,28
@外星世界驻地球观察员,,外星看世界｜被这个国家对广场舞的热衷震惊到了，地表最强广场舞,279,2019-10-01 21:05,1
@晗哔哔,,老谋子你的审美真的好,44,2019-10-01 21:08,1
@tandali,,超级精彩,8,2019-10-01 21:11,5
@等等_喂了个喵,,想起了08年奥运晚会，有文化的人：空前盛世  我：雾草！牛逼！太特么炫了！6666,11,2019-10-01 21:15,1
@云南共青团,,祖国万岁,9,2019-10-01 21:03,4
@G_YaoFeng_先生,,国富则民强，自古不变的道理！我们有伟大的祖国，我们人民才会更好！祖国万岁人民万岁！,7,2019-10-01 21:07,1
@别离开哦w,,这个居然真的是烟花！我看的时候还怀疑了一下，我爸还说是特效搞出来的,1,2019-10-01 21:04,1
@是如仔啊,,我美丽的大中哥,1,2019-10-01 21:04,6
@钮祜禄缪贼可,,愿中国年年硕果累累！,2,2019-10-01 21:03,7
@0820贩卖机,,太太太美啦,1,2019-10-01 21:03,1
@是个可爱的雨曦儿,,我们的祖国繁华昌盛,1,2019-10-01 21:03,2
@容纳百川2019,,太炫了,1,2019-10-01 21:03,1
@喵咩汪哼,,这个太厉害了,1,2019-10-01 21:07,1
@左丘無咎ing,,美轮美奂果断收藏#空中特色烟花表演#来了】这一幕，烟花树上结满了丰收果实,1,2019-10-01 21:07,1
@小乖8811,,只许，，，不许，，，,1,2019-10-01 21:09,1
@柠檬猪female,,好燃啊啊啊啊,1,2019-10-01 21:04,1
@有谁像你的爱完全,,愿祖国继续硕果累累呀,1,2019-10-01 21:03,1
@cherish_Ikun,,这个太美了！太震撼了！,2,2019-10-01 21:03,1
@哈迷疯子,,张艺谋+蔡国强，视觉大爆炸，真·燃！,1,2019-10-01 22:12,1
@风铃铛16,,绝美！壮丽！叹为观止！,0,2019-10-02 14:26,2
@Mord战情,,祖国万岁,0,2019-10-02 12:17,1
@星语心愿201207,,,0,2019-10-02 08:46,1
@Sunshine_Ying哦,,赞赞我的国,0,2019-10-02 08:25,1
@KKW心上的茧,,真好看,0,2019-10-02 06:41,1
@遇见深情的你,,超美,0,2019-10-02 06:03,2
@小miumiu的老母亲,,排面@谢_晓嘉,0,2019-10-02 02:38,1
@wo心終有谦谦結xzq,,太震撼了,0,2019-10-02 01:14,4
@饮尽风尘不谈过往XH,,精彩,0,2019-10-02 00:29,2
@L爱鹿狍子H,,我爱我的家园,0,2019-10-02 00:04,1
@channO3O,,牛逼格拉斯！,0,2019-10-01 23:52,1
@爱吃冰激凌的大魔王yu,,祖国生日快乐！！,0,2019-10-01 23:36,1
@乔翎恩羽,,无法言语的震撼,0,2019-10-01 23:35,1
@焦小玉,,文化人儿 ,0,2019-10-01 23:32,1
@蓝Yi有云,,太酷了,0,2019-10-01 23:28,1
@再见_縂有一天,,好美,0,2019-10-01 23:27,1
@ESTHER-2010,,祝福祖国更加繁荣富强，祝福人民更加幸福安康，祝福未来更加灿烂辉煌,0,2019-10-01 23:21,2
@弗贝余生,,,0,2019-10-01 22:42,1
@MirKUBAYA,,科技改变生活,0,2019-10-01 22:11,2
@因为是你才喜欢呀,,这些人吃饭供应的过来不。我可以帮忙,0,2019-10-01 22:07,1
@风恋星尘,,,0,2019-10-01 22:07,3
@XIAOFEIB,,,0,2019-10-01 22:06,2
@蓝莓味的Artemis,,#空中特色烟花表演#  烟花树上已结满了丰收果实，祖国一定会更加繁荣！！！,0,2019-10-01 22:06,3
@milkcomilkffee92,,好看！！！,0,2019-10-01 22:03,1
@身居巴别塔,,转发微博,0,2019-10-01 22:02,1
@VVIP曹小姐,,真梦幻~,0,2019-10-01 21:58,1
@_FuFuFuFuFuFuFFFFF,,这烟花，太炫酷了,0,2019-10-01 21:54,1
@Hermann中国零售微博,,震撼,0,2019-10-01 21:54,1
@小白兔YR,,祖国万岁,0,2019-10-01 21:53,1
@海上云花,,好厉害啊,0,2019-10-01 21:50,1
@对面的莹哥哥,,哭哭！！,0,2019-10-01 21:46,1
@似夜流月CC,,在北京真好,0,2019-10-01 21:45,1
@女孩有个梦陪你到世界之巅,,真好,0,2019-10-01 21:44,4
@烟雨轻寒y,,火树银花不夜天，场面恢宏震撼人心，祝福祖国生日快乐！,0,2019-10-01 21:44,1
@右耳的夹子,,也太好看了太自豪了,0,2019-10-01 21:42,1
@是0921k姗san·吖,,找不出形容词来形容它的美它的好它的绝,0,2019-10-01 21:42,1
@渣男风栖,,太震撼了,0,2019-10-01 21:40,1
@枝蔓衍生,,超喜欢这个！,0,2019-10-01 21:38,1
@921度的稀罕你,,转发微博,0,2019-10-01 21:38,1
@karry家的水星,,除了牛逼我还能说什么！,0,2019-10-01 21:37,8
@洛雨玉簟秋,,无与伦比，精彩绝伦,0,2019-10-01 21:37,1
@锦鲤宝宝抱抱,,好看,0,2019-10-01 21:34,1
@咕嘟的树,,太美了,0,2019-10-01 21:34,1
@太后的温柔,,#新中国成立70周年# ,0,2019-10-01 21:33,3
@非鱼素华,,突然想起大唐苏味道写的火树银花合，盛世气象,0,2019-10-01 21:33,1
@更懂事的人y,,张艺谋和蔡国强，强强联手,0,2019-10-01 21:32,1
@嫉妒我的人太多不方便透露姓名,,,0,2019-10-01 21:32,1
@我的小漂亮KUN,,太厉害了，太漂亮了，真棒,0,2019-10-01 21:24,1
@胡杨度夏,,“熙攘繁盛，光耀万年”,0,2019-10-01 21:23,1
@我是王嘉琪啦,,太美了！,0,2019-10-01 21:22,1
@村口帅气的刘壮实,,绝！,0,2019-10-01 21:21,1
