User,Reter,Comment,Votes,Time
@猪大思,,#韩东君飞行员制服# 最帅飞行员韩东君带给大家最燃征兵大片！,165,2019-09-30 12:56
@整形君,,特地赶来支持博主！！,163,2019-09-30 12:51
@甜甜圈BowDonut,,敬礼干净利落！太帅了！,160,2019-09-30 13:36
@把送你的辣条还给我,,帅就一个字，我可以说好多次,125,2019-09-30 13:55
@洋葱圈和柠檬茶,,这个动作很帅气啊，真的是越来越喜欢他了,113,2019-09-30 14:03
@扎小辫子戳你,,穿制服的韩东君是真的帅！真的真的帅！,104,2019-09-30 13:52
@DQQ萌萌哒,,穿飞行员制服的韩东君更加帅气，迷人，真的很有魅力。,93,2019-09-30 13:45
@球球怎么这么好看,,韩东君这一身飞行员制服真的帅，简直就是行走的荷尔蒙，我又恋爱了,85,2019-09-30 14:09
@小咕咕咕咕咕噜,,敬礼的那一刻，心里有种说不出来的感觉,83,2019-09-30 13:59
@骑着蜗牛闯红灯呀,,看韩东君穿飞行制服，哪哪儿都帅啊,74,2019-09-30 13:57
@苍蓝星LL,,自从中了名为韩东君的毒，就上瘾了戒不掉了，被一身飞行员制服的韩东君电到了，满满的正气,24,2019-09-30 14:15
@哒哒的马蹄声L,,啊啊啊啊啊啊韩东君哥哥这个敬礼真的在线杀我,15,2019-09-30 14:13
@馨朵dE世界,,太帅了，真的颜值爆表哦…怎么看都看不够,14,2019-09-30 14:16
@斲徙,,敲敲敲，看制服系韩东君，又A又酷我可以,9,2019-09-30 15:44
@阿樱小花花,,韩东君这颜值爆表啊！,7,2019-09-30 15:19
@夏夜冬溪,,穿制服的韩东君我爱了,5,2019-09-30 15:17
@Anni蓝安,,感觉穿上制服真的很帅气啊！特别喜欢这样的,4,2019-09-30 14:12
@可爱老胡,,都说男神帅不帅，剃个平头就知道了，小韩可谓是真的帅,4,2019-09-30 14:05
@L爱猫咪L,,血槽空了，韩东君这完全是犯规啊，要不要这么帅，承包他的飞行员制服造型，简直就是制服控的春天 评论配图,3,2019-09-30 14:13
@柚子蜜先生啊,,这个敬礼也太帅了,1,2019-09-30 16:01
@今天的理想66,,荷尔蒙爆棚,0,2019-09-30 23:06
@破浪无畏之矛,,他来了他来了，他穿着飞行员制服向我们帅气的走来了！哥哥太飒了 评论配图,0,2019-09-30 16:42
@有勇有某的鱼,,穿飞行员制服的韩东君更加帅气，迷人，真的很有魅力，走起路来都满满的正气,0,2019-09-30 16:35
@月亮怎么,,韩东君的制服诱惑，太迷人了，敬礼的动作很man，太刷帅了。 评论配图,0,2019-09-30 16:30
@尖叫了路人,,真的特别帅气，已经被圈粉了啊,0,2019-09-30 14:44
@郑柏旭的粉丝团,,今日“最帅男飞行员”非小韩莫属啦,0,2019-09-30 14:25
@开到荼靡的你,,韩东君真的好帅啊！飞行员制服不要太拉风,1,2019-09-30 14:16
@住在太阳上的蓝精灵,,敬礼的动作，是迷倒了多少人的帅气,1,2019-09-30 14:16
@养了二只龟,,真的太man了，满满的正气,2,2019-09-30 14:23
@酒窝很酷,,穿上制服的小韩越看越帅气，真的是太喜欢他了,2,2019-09-30 14:22
@剁椒鱼头头_,,哇这也太太太太帅了吧！怎么能这么帅！太吸引我了！,1,2019-09-30 14:38
@帅的掉炸包,,韩东君这个飞行员造型真的是帅炸了。 评论配图,1,2019-09-30 14:29
@什么时候才能瘦十斤,,对于穿制服的男生完全抵挡不住 评论配图,1,2019-09-30 14:27
@儒雅的我就是静静,,很喜欢穿制服的小哥哥们呀，,1,2019-09-30 14:25
@你有你的安排wu,,真的是制服诱惑，这谁能受得了啊，awsl 评论配图,1,2019-09-30 14:16
@赵大佳s,,哇这男人穿制服也太帅了吧！,2,2019-09-30 14:06
@向往阳光的一天,,爱一个人有时候是因为他的一首歌，有时候是因为他的一个眼神儿，我爱你是因为你的制服。,0,2019-09-30 16:46
@刘哲彤本人,,好帅一男的！小韩好适合这种英姿飒爽的造型,0,2019-09-30 16:43
@稚迩,,看完之后我只想大喊三声哥哥我可以,0,2019-09-30 16:41
@京城已无大爱,,韩东君走起路来都是满满的正气感,1,2019-09-30 16:10
@新番还没更完,,厉害了我的哥，这制服穿搭太帅了,1,2019-09-30 16:09
@北秋的夏季,,喜欢军人的正气。,1,2019-09-30 16:09
@南瓜小公主啊,,这是电影，还是电视剧啊？好像很好看，韩东君帅帅的！,1,2019-09-30 15:59
@你是人间星光啊,,想要这样一个男朋友啊,0,2019-09-30 15:58
@一份酱汁鸡肉卷,,就喜欢这种干净利落的样子,0,2019-09-30 15:55
@告白气球在等你,,制服诱惑啊,0,2019-09-30 15:43
@泡芙小姐没有猫,,敬礼很标准也很利落，简直不要太帅啊,0,2019-09-30 15:40
@抹茶小姐爱可乐,,最帅飞行员已上线，敬礼真的帅到我了,0,2019-09-30 15:39
@两只乌龟-,,一定会去支持中国机长的，肯定很给力啊,0,2019-09-30 14:47
@蓉ren1,,韩东君的这个造型简直太帅了，好A呀,0,2019-09-30 14:17
@就让你知道我叫啥,,这大概是妥妥的制服诱惑了,0,2019-09-30 14:17
@勤俭小菇娘,,韩东君真的好帅啊！飞行员制服真的太拉风了。,2,2019-09-30 14:26
@刘大梦me,,真是帅,0,2019-09-30 17:51
@我得好好学习努力赚钱呀,,为最帅男飞行员韩东君疯狂打call,0,2019-09-30 17:28
@没有公主的命我有女王,,穿制服的韩东君还是很帅气的 评论配图,0,2019-09-30 17:04
@我的遥远的你,,今天去电影院看我们的大帅哥了,0,2019-09-30 17:04
@都怪骆驼压死了稻草,,怎么可以连敬礼都这么帅,0,2019-09-30 17:04
@楠楠是一只小懒虫,,敬礼的时候，要不要那么酷啊,1,2019-09-30 17:00
@黄小鸭的么么哒,,今天在电影院有被韩东君给帅到啊,1,2019-09-30 16:54
@儿监,,韩东君这完全是犯规啊，要不要这么帅啊,1,2019-09-30 16:48
@一天的美好记忆,,一遍又一遍的看，深深地被你这个敬礼的动作所感染。,1,2019-09-30 16:47
@曾经的昨天是明天,,这完全是上演的制服的诱惑啊！,0,2019-09-30 16:45
