User,Reter,Comment,Votes,Time,Count
@热衷于网恋的弟弟,,我希望下一个十年，海峡对面有了名正言顺的省份编制；我希望下下个十年，八方来朝，问鼎全球；我希望建国一百年，评论区的各位都子孙满堂地坐在宽敞的自家客厅，沙发一排一座，一起再看尽这盛世繁华…,1444,2019-10-01 21:39,2
@A阿Ruo箬_L,,是《饕餮》啊,114,2019-10-01 22:34,1
@阿茶婆婆Yaho,,《饕餮》是电影《长城》的主题曲呢！给祖国过生日，应景！！,102,2019-10-01 22:58,1
@赵辰龙得不到的女人,,Bgm超燃！～《饕餮》南征北战,96,2019-10-01 22:42,1
@AT漩涡,,南征北战！应景！,67,2019-10-01 22:23,1
@热短句bot,,今生无悔入华夏，盛世辉煌你我他，祥和安定十亿家！热烈庆祝中华人民共和国成立70周年！祝愿伟大的祖国繁荣昌盛，祝愿全国人民幸福安康,70,2019-10-01 21:39,18
@辣柒柒柒,,背景音乐 南征北战 饕餮,55,2019-10-01 23:30,2
@阿现家的芹菜501,,Bgm超燃！———《饕餮》南征北战,47,2019-10-02 01:24,1
@苏眉妩,,导弹雄鹰与共，谁对兵锋敢动？武卫我神州，铁甲戎装威重。 [加油][加油][加油][加油][加油],42,2019-10-01 21:41,5
@叮當mg26940,,今天太震撼人心了！,44,2019-10-01 21:42,3
@橘小花One,,今天一天都在震撼与感动中过到了现在,40,2019-10-01 21:40,4
@铁牛NZBZ和敖不了夜,,南征北战的歌曲饕餮    南征北战很棒，我的祖国更棒,33,2019-10-02 00:09,1
@司徒斓曦,,无限重播中！每次看都是热泪盈眶！,27,2019-10-01 21:40,2
@酒未醒·,,我希望下一个十年，海峡对面有了名正言顺的省份编制；我希望下下个十年，八方来朝，问鼎全球；我希望建国一百年，评论区的各位都子孙满堂地坐在宽敞的自家客厅，沙发一排一座，一起再看尽这盛世繁华……,20,2019-10-01 21:40,4
@海豚爱上月光,,太燃了 ! 祖国母亲我永远爱你,9,2019-10-01 21:43,2
@不知名沙雕网友的日常,,祖国万岁,6,2019-10-01 21:39,2
@安想童庆山,,没有任何力量能阻挡我们前进的步伐！,7,2019-10-01 22:16,1
@蔚蓝新海Vincent_1998,,周总理，我们现在的飞机想怎么飞就怎么飞了，平着飞，竖着飞，打着滚飞，翻着跟斗飞，落叶飞，您想看哪种,10,2019-10-01 21:58,10
@壹Ke甜葵,,他们休想跨越 祖国为你骄傲,6,2019-10-01 22:09,1
@7212231597_707,,我的99A主战坦克闪亮登场,4,2019-10-01 22:06,10
@龙哥的鸡蛋果,,bgm是南征北战的饕餮,9,2019-10-01 22:50,1
@哆哆哆哆哆啦A梦梦梦梦梦,,祝福祖国母亲生日快乐,3,2019-10-01 21:58,1
@忠忠滴荣荣丶嘿嘿嘿,,我还沉侵在东风里边，DF-17是什么概念。就是你还没听到我的声音，你已经爆炸了，DF-41是什么概念。就是你即使看到我了，你也活不了,6,2019-10-01 21:52,1
@Meilleur26,,厉害我的国 厉害我南北,5,2019-10-01 23:47,1
@xiangyi的旖,,真的太燃了！！！热泪盈眶！都给我点开看！,2,2019-10-01 22:48,1
@gggggd-baby,,热泪盈眶，顺便问一句这个背景歌是谁唱的，太染了吧,4,2019-10-01 21:51,1
@sengdy777,,@南征北战NZBZ 饕餮太震撼了,1,2019-10-03 22:59,1
@橘砸汽水gululu,,我哇的一声哭了,1,2019-10-02 16:08,1
@我也很机智呢,,,2,2019-10-02 15:49,1
@Queena曦,,又酷又燃! ,1,2019-10-02 13:27,1
@十九女孩儿易的花,,提问报报呢，请问我可以拥有着一份4:37秒的视频吗，如果可以的话，怎样可以拥有呢？,1,2019-10-02 13:09,2
@昵称改到怀疑人生,,看多少遍都不够,1,2019-10-02 12:21,1
@易烊千玺就是演员,,为我生在这壮丽的华夏大地而骄傲,1,2019-10-02 12:02,1
@xiaoyu31446,,这歌这画面太应景了！听背景歌曲看此MV眼泪差点掉下来，祝福祖国繁荣昌盛!祖国万岁！@南征北战NZBZ 优秀加油＾０＾~,2,2019-10-02 09:14,1
@晋水阁Ms,,超然！#70周年国庆大阅兵MV# 转发收藏！,1,2019-10-02 07:11,1
@小加k,,果然是南征北战,2,2019-10-02 06:32,1
@这个名字花了我十五元,,BGM是饕餮,3,2019-10-01 22:24,1
@Allen木浥尘,,一天都在震撼中度过,1,2019-10-01 22:23,1
@原来是名名噢,,今天超级震撼 太帅太燃了 祖国万岁!,1,2019-10-01 22:21,7
@悠米佳佳,,超燃！我爱您祖国！愿您永远繁荣富强,1,2019-10-01 22:21,5
@念你无他,,激动！热血沸腾！祝福祖国繁荣昌盛！今生无悔入华夏，盛世辉煌你我他！,1,2019-10-01 21:53,3
@vvip蔡,,bgm是什么？？？,2,2019-10-01 21:51,1
@JasJasJas别回头,,太燃了！哭了一整天到现在还是心情激动～相约2049！！！！,2,2019-10-01 21:50,1
@惊鸿照影来6,,厉害了，我的国,1,2019-10-01 21:45,8
@哀乐之巅品年华,,厉害咯，我的最帅男子天团！,1,2019-10-01 21:44,1
@TANGt_啊,,收藏,1,2019-10-01 21:42,1
@蝴蝶唯爱肖战,,厉害了我的国,1,2019-10-01 21:42,16
@小洁mmc,,激动的心，感动的心，骄傲的心，祖国万岁！人民万岁,1,2019-10-01 21:42,2
@士多啤梨侠·,,今天真的太震撼了，国家强大了，人民幸福了，革命先烈们可以安心了！阿中哥哥超级棒！,1,2019-10-01 21:42,1
@面-具_,,太燃太帅！阿中倍儿棒！,1,2019-10-01 21:41,2
@小洁mmc,,必须转发,1,2019-10-01 21:41,2
@浅柒,,祝我的祖国70周年生日快乐,1,2019-10-01 21:40,6
@李许周白夫人,,,1,2019-10-01 21:40,17
@我这么可爱你一定要藏好我,,太燃了！！！！！,1,2019-10-01 21:40,1
@yishengbuling,,祝福祖国！,1,2019-10-01 21:40,2
@洲宝一笑倾全球,,祖国万岁！,1,2019-10-02 20:10,1
@安小攸,,太燃了,1,2019-10-02 20:08,1
@一吃就胖的An啊,,沉睡的巨龙睁开双眼,1,2019-10-02 19:54,1
@因为是他啊,,这可太酷了！,1,2019-10-02 19:46,1
@Happycamper_X,,人民日报你太会了！,1,2019-10-02 12:22,1
@樱花不知夏,,好燃啊！！！,1,2019-10-02 12:17,3
@清冼z,,BGM很配，我阿中哥哥真牛逼,1,2019-10-02 10:37,1
@娜样纯杰的爱恋82,,昨天眼泪都给了国家,1,2019-10-02 08:32,1
@Sabrinaya_17,,没有任何力量能够抵挡我们前进的步伐,1,2019-10-01 23:54,1
@聪聪那年ss,,越看越激动！,1,2019-10-01 23:42,1
@MichelleZMZ,,速速交上bgm,1,2019-10-01 21:46,1
@薛定谔之喵星人,,大阅兵要是卖门票，北京会迎来一次“春运”。,1,2019-10-06 13:56,1
@AKA王Tom,,和南征北战的歌真的配,1,2019-10-05 07:45,1
@清风糯甜,,易燃易爆炸,1,2019-10-01 22:38,2
@3初心,,麻烦问一句，阅兵结束，兵哥哥给分配吗,1,2019-10-01 22:29,1
@欢脱清净,,幸福并感激着,1,2019-10-01 22:25,1
@分歧与矛盾,,没有人能够阻挡中华民族前进的步伐 没有！ 没有！,1,2019-10-01 22:18,1
@OYYYYYN,,超燃,2,2019-10-01 22:17,1
@x史努比心,,祖国生日快乐！,1,2019-10-01 21:39,1
@环球八十天,,求钢铁洪流进行曲！！！,1,2019-10-01 21:39,2
@小蝎子Ju,,妈呀！这配曲太6了吧！视频剪辑的真好！,0,2019-10-05 08:44,1
@静待花开大小姐188,,转发微博,0,2019-10-05 00:21,1
@永远爱睿哥的夜香糖Ray小青,,转发微博,0,2019-10-04 22:38,8
@小米和小钺儿永远在一起,,史上明星最多，帅哥美女最多，最震撼，最感动，最自豪的MV！超好看！#70周年国庆大阅兵mv# ,0,2019-10-04 19:36,6
@葵葵请你喝neinei,,祖国万岁,0,2019-10-04 15:54,1
@飞翔的面包Taoger,,#国庆阅兵# 有国才有家，爱国是本能，是底线。,0,2019-10-04 09:40,1
@蔡子徐徐定乾坤,,厉害了我的祖国,0,2019-10-04 08:52,1
@萌宝未末,,期待,0,2019-10-03 04:25,1
@惟你而祎_Melon,,酷炸了！！！必须保存,0,2019-10-03 03:56,1
@薰衣草小朋友,,期待建国100年,0,2019-10-03 00:45,2
@薰衣草小朋友,,震撼的阅兵,0,2019-10-03 00:45,2
@丸子要去故宫,,这得哭啊,0,2019-10-03 00:27,2
@2ksoooh,,#70周年国庆大阅兵mv# 燃！,0,2019-10-02 23:53,2
@2ksoooh,,#70周年国庆大阅兵mv# ,0,2019-10-02 23:52,2
@往昔Wendy_Watson,,必转！！！,0,2019-10-02 23:35,1
@是路Ying不是陆Ying,,燃爆了,0,2019-10-02 22:02,1
@咕噜咕噜ww,,帅,0,2019-10-02 21:50,1
@逸朝天子o,,中国，真棒,0,2019-10-02 21:24,1
@夏至了么,,@嗯夏至了,0,2019-10-02 19:56,1
@meng想牵的手yu,,热血沸腾，热泪盈眶，祖国万岁！,0,2019-10-02 19:50,1
@-HcYeol-,,太帅了,0,2019-10-02 19:04,2
@快樂星球漫遊日記,,@全场最佳气泵 看的我鸡皮疙瘩都起来了,0,2019-10-02 16:31,1
@慕梓卉,,,0,2019-10-02 16:10,1
@啵味气旋,,酷！,0,2019-10-02 16:05,1
@柚稚欢颜,,世界最强天团也不为过,0,2019-10-02 16:01,1
@小班冲鸭,,震撼人心,0,2019-10-02 15:57,1
@给我一块年糕_,,多幸运，我是14亿中华儿女之一,0,2019-10-02 15:25,1
@12309L,,燃爆了,0,2019-10-02 15:16,2
@芒种10199,,太帅了,0,2019-10-02 15:16,1
@Ceciliadevine,,血脉凝结了时代的情怀，加油中国,0,2019-10-02 15:11,1
@走走看看0622,,,0,2019-10-02 14:50,1
@夏天八九十个月,,燃！,0,2019-10-02 14:47,1
