User,Reter,Comment,Votes,Time,Count
@我可以不恋爱但我萌的CP必须结婚,,那句“这是我老婆给我拍的照片”是真的可爱哈哈哈,17523,2019-10-12 09:43,1
@保暖带毛拖孩找李赤赤宀辛,,我记忆最深刻的就是机长的传统父母微笑“哈哈哈哈哈,7846,2019-10-12 09:44,2
@按时吃饭r,,回复确实很暖了哈哈哈哈,4021,2019-10-12 09:43,9
@杨-小-义,,愿一生起落安妥，愿一生平安喜乐,3647,2019-10-12 09:44,1
@是啊啊怪啦,,“等我去拿直升机牌照”,2129,2019-10-12 09:47,2
@天蓝1112,,哈哈哈哈 钢铁直男暖起来真的上头啊,2082,2019-10-12 09:43,18
@墨紫紫沫,,夫人拍得好，用上。机长猝不及防喂狗粮。那个，机长可以再换回来吗哈哈哈,941,2019-10-12 17:46,1
@echo山山而川,,这回复好实诚，好可爱啊,758,2019-10-12 09:45,2
@四川共青团,,好暖,452,2019-10-12 10:09,1
@重庆共青团,,愿一生起落安妥,283,2019-10-12 10:26,10
@坐家-五味俱全,,这真的超级暖超级宠粉了，外柔内也揉，但亦刚劲，粉,227,2019-10-12 09:45,1
@糖果儿居,,搞得我现在只要听到飞机的声音，就会抬头看看，心中默念“愿一路平安”,163,2019-10-12 09:54,1
@点心空空,,刘机长超可爱：我老婆拍的,117,2019-10-12 10:13,1
@我的头卡住了,,看了纪录片，真的很震撼，刘传健机长真的太牛了,116,2019-10-12 09:44,2
@羽珊ing,,最可敬的人！向您致敬！,58,2019-10-12 09:45,1
@司徒末_mr,,暖心机长 愿我们每次出行都平安起落,47,2019-10-12 09:52,1
@瘦迪迪的胖迪的热冷巴巴,,机长老婆是我们英语老师,59,2019-10-12 16:05,1
@姚景元的小挎包,,一生起落平安,34,2019-10-12 10:07,1
@我超厉害的xs,,机长夫人是我们大学的老师，虽然不是我们系的,51,2019-10-12 11:34,1
@小猪暄暄的世界,,自此后，机长更忙了，不仅要好好开飞机，还要兼顾形象大使宣传工作,35,2019-10-12 11:47,1
@清风明月人世间,,哈哈哈哈哈哈哈哈要等我拿了直升机牌照才能垂直起降我笑死了哈哈哈哈哈哈哈哈，太可爱了,22,2019-10-12 16:44,1
@快乐收集站ll,,真的太帅了！ 致敬,24,2019-10-12 09:44,1
@四饱饱,,最可爱的是有人质疑这个微博不是他本人 他回了一句不解释,32,2019-10-12 16:19,1
@Nosilence-Rd,,中国机长！帅！,16,2019-10-12 11:36,1
@旋转木马很晕,,最后一句那么像我做英语题直译呢哈哈哈哈哈,10,2019-10-12 16:46,1
@不放辣我吃不下呀,,光头警长，中国机长，给我们姓刘的争光啦,11,2019-10-12 17:02,1
@看那微笑的彩虹lu,,最牛机长,5,2019-10-12 09:46,1
@星河在目,,看到宠粉这个词有点腻，关注一下就变成粉丝,7,2019-10-12 09:54,1
@情感知心理语录,,粉,3,2019-10-12 09:44,1
@长安城下自在风,,我是金色的铁粉！！,3,2019-10-12 09:43,2
@王耶啵的大迷妹,,爱了爱了。太帅了！,4,2019-10-12 09:46,1
@溢溢溢溢溢姐,,粉了粉了！还没被英雄机长翻牌过,2,2019-10-12 18:36,1
@Mr王小宝,,要是长得再帅点就好了,3,2019-10-12 12:48,1
@如家精选成都建设路店,,大家都是司机，只不过您开飞机，我开嘀嘀。,3,2019-10-12 10:35,1
@Erin_Ruan,,央视新闻也挺暖的,2,2019-10-12 16:35,1
@素山不问水STORM,,哈哈哈哈哈哈哈哈哈,1,2019-10-12 09:51,1
@哈本儿娃儿黄黄黄,,特别暖，他拥有着有趣的灵魂,1,2019-10-13 01:19,1
@许许许许晓珊,,好可爱,1,2019-10-13 00:17,1
@牛超你压着我头发了,,好可爱呀,1,2019-10-13 00:00,3
@Fs___syusuke,,刘机长没名字？一直说原型原型无语死。就算以自己名字上热搜也大把人知道他吧。,3,2019-10-12 19:33,1
@judas_alejandro,,这个宠粉狂魔可以一直有哇，谢谢你安全把大家带回家,1,2019-10-12 18:33,1
@54勋的裤腰带,,这是我老婆给我拍的照片,1,2019-10-12 18:29,1
@现正牌女友,,机长已经升为飞管部副总了~,1,2019-10-12 17:14,1
@江左梅姐,,暖心！,1,2019-10-12 10:10,1
@阿菜养着一只恶猫,,还是炫妻狂魔,1,2019-10-12 09:46,1
@小鹿鹿打呼噜,,哈哈哈哈哈哈,1,2019-10-12 17:02,1
@欧气好不好,,哈哈哈哈哈,1,2019-10-12 16:59,1
@哈哈哈哈哈哈哈哈high哈哈,,这是我老婆拍的照片。哈哈哈哈哈吃了一口狗粮,1,2019-10-12 16:57,1
@七月透绿,,刚看完中国机长，特惊险，很震撼，致敬航空英雄,1,2019-10-12 16:55,1
@淡然清麦,,整部电影不就是 川航电影级宣传片 吗？ 有机会坐川航。嘻嘻。,3,2019-10-12 16:51,1
@YINGer0922,,川航确实很稳,1,2019-10-12 16:50,1
@睦水流年,,机长也是耙耳朵,2,2019-10-12 16:50,1
@卫衣锦衣卫,,哈哈哈,1,2019-10-12 16:48,1
@松花酿酒春水煎茶1128,,粉啦,1,2019-10-12 16:47,2
@姜_小江,,机长萌萌哒,1,2019-10-12 16:46,1
@李李儿Jky,,机长着实不凡,2,2019-10-12 18:47,1
@泡泡龙吐泡泡_11,,机长是暖男啊@蛋黄Fan ,1,2019-10-12 10:07,1
@平安重庆,,愿一生起落安妥！,2,2019-10-12 09:59,1
@调皮彩虹糖,,#愿一生起落安妥# 敬畏生命，敬畏职责，敬畏规章,1,2019-10-12 09:52,1
@懂法语的浪花,,哈哈哈~老婆马上就要登陆微博了~,1,2019-10-12 09:49,1
@梧榅2333,,唯愿一生起落安妥,1,2019-10-12 23:51,1
@-iyoaBeh,,好的明天再来 笑死我了  太实诚了吧,1,2019-10-12 23:14,1
@EZBIEBER,,哈哈哈，好可爱,1,2019-10-12 20:47,1
@现实版蓝胖子,,老婆拍的照片,1,2019-10-12 18:48,1
@AK-Claire,,粉了，绝对粉了!,1,2019-10-12 18:28,5
@上官糖和画师糖,,好可爱，好暖。,1,2019-10-12 18:07,1
@王源cue到的姑娘,,可爱,1,2019-10-12 17:00,2
@stindam,,哈哈哈哈哈哈我老婆给我拍的，也好宠啊哈哈哈,1,2019-10-12 16:54,1
@聪明的傻瓜嘉语嘉愿,,好可爱,1,2019-10-12 16:51,1
@小木盆要努力啊,,我们中国机长好可爱啊,1,2019-10-12 16:50,1
@AKA-王琳凯他亲妹cx,,我也被翻牌了！康康我,1,2019-10-12 16:49,1
@静修食光,,四川的男人就是可爱,1,2019-10-12 16:36,1
@嗷呜不野,,愿一生起落安妥～,1,2019-10-12 16:36,1
@阿宇哥哥嗨你好,,大家更希望你们乘坐航班的机长厉害，还是更希望乘坐的飞机安全可靠,1,2019-10-12 16:22,2
@MM_Z琪,,争取明年去拉萨坐机场开的飞机,1,2019-10-12 15:53,1
@天府服务,,【#愿一生起落安妥#！#中国机长原型是宠粉狂魔# 一句话击中网友,1,2019-10-12 10:09,1
@吐槽领队,,我是机长真爱粉 第二个关注的,1,2019-10-12 09:52,1
@宇宙第一Alpha的妈咪,,机长还是换了头像哈哈哈哈,1,2019-10-12 09:48,1
@海桐桐桐桐桐,,这个我印象里是当时四川哪个航班出故障自己搞定的？？？？是么,2,2019-10-12 09:47,1
@王京尧o,,@kaikaikoLYH,0,2019-10-12 09:46,1
@江西中公教师培训,,,1,2019-10-12 09:44,1
@自作多情的少年,,粉了,1,2019-10-12 09:43,1
@粤雨儿,,机长真是太可爱了,1,2019-10-12 18:39,1
@浅暖YCQ_KHJ,,机长的淡定从容，还有微笑。真的是天蝎座本座了。气场很足的,1,2019-10-12 16:50,1
@半夏_0218,,最后一句超级可爱哈哈哈哈,0,2019-10-12 16:19,1
@1997花自飘零小文文,,好可爱哈哈哈哈哈哈哈哈哈,0,2019-10-12 16:17,4
@烟火里的尘埃a-,,哈哈哈,0,2019-10-12 16:16,2
@朱二龙就是我,,这是我老婆给我拍的照片，我又吃到一大把狗粮,2,2019-10-12 10:00,1
@alinsun,,昨晚公司才组织看了这部电影！机长太强了！太强了！,1,2019-10-12 09:58,1
@校长MJ,,终于开微博了,0,2019-11-22 22:12,3
@透-Amuro,,站在6楼往下看就会腿抖的人。大概这辈子和飞机无缘了,0,2019-10-13 12:54,1
@吃柠檬的瓶子,,粉了，哈哈哈,0,2019-10-13 11:08,1
@Shin丶飞狼,,他是最可爱的人，英雄！，希望他安全开飞机，家庭幸福，做粉丝的，不打扰是最好的,0,2019-10-13 03:23,1
@早晚吃肉O,,“好的明天再来！”,0,2019-10-13 02:30,1
@千木沁,,愿一生起落安妥,0,2019-10-13 00:18,2
@共青团广安市委,,#中国机长原型是宠粉狂魔# 一句话击中网友,0,2019-10-12 23:18,1
@DreamOfFlying511,,向英雄机长致敬！,0,2019-10-12 23:15,1
@HyoRyeong_Law,,可愛,0,2019-10-12 22:36,1
@Collinscorolla,,太可爱了,0,2019-10-12 22:31,1
@刘婉驰就是超级弟,,Awww~~,0,2019-10-12 22:30,1
@我叫不生气阿_,,@我叫不熬夜阿_,0,2019-10-12 22:24,1
@85号酷盖是奶啵,,愿一生起落安妥！,0,2019-10-12 22:17,1
@董叔是最帅的叔呀,,我太喜欢刘传建了哈哈哈哈以后一定要努力坐一次他的航班哈哈哈哈,0,2019-10-12 22:16,1
@毛毛MilkyWay,,哈哈哈太可爱了叭老婆给我拍的,0,2019-10-12 21:51,3
@戏精璐学长,,哈哈哈哈机子太可爱了啊！,0,2019-10-12 21:31,1
@花开不败mary,,哈哈哈好可爱,0,2019-10-12 20:19,1
@玥玥_wl,,我老婆拍的照片,0,2019-10-12 18:21,1
@dear_小蕊儿,,刚刚看完这个电影，觉得机长真的是太厉害了,0,2019-10-12 18:16,1
@苍月梩雪,,完了，我粉了。,0,2019-10-12 18:12,2
@灵魂好重,,@一半大西瓜-,0,2019-10-12 18:09,1
@今天要做题,,愿一生起落安妥 愿一生平安喜乐,1,2019-10-12 18:04,1
@人间绝色鉴定专家,,哈哈哈哈,0,2019-10-12 18:04,1
@多醋微辣,,太可爱啦,0,2019-10-12 18:01,1
@肖战的野生小飞侠,,哈哈哈,0,2019-10-12 17:49,1
@鸽子不栖梧,,哈哈哈哈暖,0,2019-10-12 17:47,1
@痞子王的超甜泥石流女孩,,哈哈哈哈哈，机长也太可爱了吧！,0,2019-10-12 17:30,1
@重拾无价童话,,啊我去关注惹,0,2019-10-12 17:29,2
@GA_忆只暖宁萌,,哈哈哈哈哈 机长起落安妥,0,2019-10-12 17:08,1
@泛歌灯火,,第五张，哈哈哈,0,2019-10-12 17:08,1
@剪刀手小元宵,,机长回复的都是死亡微笑,0,2019-10-12 17:06,1
@芳ym,,#愿一生起落安妥#,0,2019-10-12 17:04,1
@轻描淡写MT,,暖心,0,2019-10-12 16:50,2
@透明的黑9,,好可爱的机长,0,2019-10-12 16:46,1
@刘昊然冒牌女友,,我怀疑川航在打广告 但我没有证据,0,2019-10-12 16:41,1
@雷鸣-,,@-oooha,0,2019-10-12 16:39,1
@一路向北小北北,,哈哈,0,2019-10-12 16:39,1
@郭婧1011,,上辈子救过国不然找不到这样老公,0,2019-10-12 16:39,1
@冰冰吧,,@家欣家欣_,0,2019-10-12 16:37,1
@Crystal__Lee,,哈哈哈哈哈哈他好可爱哈哈哈哈哈那句我老婆帮我拍的真逗,0,2019-10-12 16:33,1
@罗思敏么么哒,,我真的想嫁川渝男人啊！//@我可以不恋爱但我萌的CP必须结婚:那句“这是我老婆给我拍的照片”是真的可爱哈哈哈,0,2019-10-12 16:29,1
@太原理工大学团委,,这样的宠粉机长你爱了吗？,0,2019-10-12 16:25,1
@不要怕来不及,,钢铁直男的暖好直接，哈哈,0,2019-10-12 16:21,1
@独角鲸和蜜獾和鹰一起玩耍很愉快,,@酷小酷小酷,0,2019-10-12 16:20,1
@吃太多会被宰掉的啊,,机长好棒,0,2019-10-12 16:14,1
@肖肖的兔一一,,也太可爱了吧,0,2019-10-12 16:09,1
@雨落長安醉滿園,,是不是姓刘的都这么有梗,0,2019-10-12 16:07,1
@冬季洋流,,太可爱了太可爱了！！！！！好喜欢刘机长啊,0,2019-10-12 16:07,1
@泊言Klaus,,哈哈哈哈哈哈哈哈,0,2019-10-12 16:05,2
@倩小倩qian,,好可爱的机长,0,2019-10-12 16:01,1
@可能是叛逆期来得太晚了,,太可爱啦,0,2019-10-12 16:01,1
@啵唧一博耶啵耶,,可爱了,0,2019-10-12 16:01,2
@飞飞飞啾,,拿直升机牌照哈哈哈哈,0,2019-10-12 15:56,1
@老可乐404,,机长好可爱啊,0,2019-10-12 13:33,1
@窗透初晓丶云自摇,,哈哈哈，“等我拿了直升机牌照”，机长还是段子手啊,0,2019-10-12 13:33,1
