User,Reter,Comment,Votes,Time
@萌萌哒的大地饼,,快封他号，他竟然说中国好。,1214,2019-10-02 10:10
@江苏盛泽某渔民,,老哥，要买点东西吗。包邮,685,2019-10-02 10:10
@一个电竞老粉,,观察者网的Facebook被禁了。真言论自由啊。,494,2019-10-02 10:11
@我朝那些事儿,,哈萨克斯坦总统说中文，伊朗外长发中文推特，中国另外两大政党上台执政能做到吗,175,2019-10-02 10:11
@我想取一个很长滴名字,,美国：伊朗你号没了,280,2019-10-02 10:11
@性科普bot,,谢谢你的中文祝福,84,2019-10-02 10:10
@Lucie_多多,,中文好评,99,2019-10-02 10:12
@何仙姑,,全中文就用心了,37,2019-10-02 10:10
@冉振軒26408,,敌人的敌人就是朋友 谢谢你,35,2019-10-02 10:12
@政和白茶-茶农,,全中文给好评,27,2019-10-02 10:11
@怡宝喝不饱·,,画外音：东风17 卖吗 巨浪卖吗，红旗卖吗，鹰击卖吗，总之你卖的我全都要,26,2019-10-02 10:30
@大石盘的人,,把要退役的导弹卖给他,19,2019-10-02 10:12
@云梓苧,,而且遣词造句非常正式，厉害了！,19,2019-10-02 10:26
@冷逸的天空penny,,中国影响力全世界形成,9,2019-10-02 10:10
@说好秃头就变强呢,,从字里行间我看到，写了大大的几个字:兄弟，东风原木卖多少？,12,2019-10-02 11:18
@笑红尘Wsf,,敌人的敌人就是朋友，亘古不变的道理。。。,7,2019-10-02 10:37
@小刘940315,,遣词造句用得很棒唉，还用了华诞,9,2019-10-02 10:35
@猪猪朱辉,,必须从理解伊朗处境的角度看待这篇文章！ 毕竟国家强弱的转换在历史长河中不过只是转瞬;而地缘政治是永恒的！,6,2019-10-02 10:55
@棋七的猫,,鹰酱：,6,2019-10-02 10:18
@瓜萌娃子,,伊朗：老铁，想不想买点石油呀？,6,2019-10-02 10:58
@奈奈娜娜,,亲，卖家秀看了吗？喜欢哪款呢？,5,2019-10-02 10:46
@尝乳,,好的，收到了,3,2019-10-02 10:11
@1048肥秋,,伊朗外长可以啊,3,2019-10-02 11:05
@原子大爆炸,,昨天电视购物了吗,5,2019-10-02 10:26
@小阿姨-trista,,@华波arash波斯王子 波波来哦。,6,2019-10-02 10:13
@太愤怒的鸭嘴笔,,Twitter是什么？,2,2019-10-02 10:11
@amyjj要去英国抱抖森,,这时好想at华波波,3,2019-10-02 11:01
@熙沃盖麒HevoGage,,扎里夫 你应该来注册微博。了，而不是什么狗屁推特。。。,1,2019-10-02 13:10
@Mr-乌鸦先生,,谢谢老铁，发来的祝贺,1,2019-10-02 11:17
@MoJingGe-_-,,啥时候封号,0,2019-10-02 11:14
@真理胡说,,,1,2019-10-02 10:48
@张_一天,,用词不准确,0,2019-10-04 17:05
@Dean_蔡中伟,,扎里夫看来要买我们的歼10C了,0,2019-10-02 13:39
@猪猪朱辉,,回复@理不清xy 的表态:感谢您的点赞,0,2019-10-02 12:43
@再虐也要甜回来,,,0,2019-10-02 11:23
@鑫想事成时的smile,,Google Translate,0,2019-10-02 10:57
@青皮桔人偶,,[加油][加油][加油][加油],0,2019-10-02 10:36
@1个陌生男人,,敌人的敌人就是朋友,0,2019-10-02 10:26
@蒟蒻王国的国王,,,1,2019-10-02 10:20
@Somo,,,0,2019-10-02 10:11
@琴声幽幽未停歇,,,0,2019-10-02 10:10
@海国图志100,,美国是中国的头号敌人，也是伊朗的头号敌人，敌人的敌人就是朋友，中国和伊朗是最好的朋友！非常感谢伊朗外长扎里夫在新中国70华诞之际发来祝福，祝愿中国和伊朗的关系越来越好，更上一层楼！,1,2019-10-02 11:40
@百丈冰BZB,,凡是敌人反对的，我们就要拥护。,0,2019-10-03 08:39
@秋暖人间,,谢谢伊朗人民,0,2019-10-03 08:36
@第一代复读机,,中国和伊朗都在忍受美国的反复无常和毫无信用，在这点上来说中国和伊朗算得上同病相怜了,0,2019-10-02 23:12
@秋麟先生,,公知：一些被洗脑，喝了一点洋墨水，就以为自己什么都懂了的人。请离开中国吧！,0,2019-10-02 19:38
@青年掉毛危机毛小滚,,老哥，要买点啥特产么,0,2019-10-02 15:19
@秦风唱完,,得亏伊朗有核武器，不然美国佬就像对待叙利亚一样对待伊朗了,1,2019-10-02 14:43
@奴弓,,我们有共同的“敌人”！——当然，我们不想与之为敌，而是，被迫为敌！,0,2019-10-02 12:45
@传说中的一撰梅,,转发微博,0,2019-10-02 12:29
@BipDis,,这是什么社交媒体？好像在中国不违法登不上去的那种吧？,0,2019-10-02 12:21
@易易--小肿,,谢谢,0,2019-10-02 12:12
@修炼者81,,波丝人民有两下子。,0,2019-10-02 11:56
@疯人银王,,,0,2019-10-02 11:52
@晒太阳Halo,,东风17试用装需要么,0,2019-10-02 11:51
@BigXiaDuan,,赶紧交党费,0,2019-10-02 11:50
@花见花开1,,只是级别太低，说明不够重视啊,0,2019-10-02 11:41
@青影斜阳,,谢谢，中国欢迎你。,0,2019-10-02 11:39
@迷路的雪候鸟,,谢谢奥！,0,2019-10-02 11:35
@伊通河边路人甲,,就是个溜须舔,0,2019-10-02 11:34
@star的小小世界,,中文好评,0,2019-10-02 11:33
@杰威啊,,卖几枚41给它,0,2019-10-02 11:30
@男拳爸爸,,看中那款了发型号过来,0,2019-10-02 11:20
@我是古力特,,伊朗、委内瑞拉反美先锋,0,2019-10-02 11:11
