User,Reter,Comment,Votes,Time
@法医X博士,,老李子的盛世美颜一去不复返…只有女友们各个美艳绝伦,4199,2019-10-02 09:27
@宋_MissSong,,女票咋像个男人,2546,2019-10-02 09:28
@Navian,,他女朋友怎么好像男的啊,57,2019-10-02 09:30
@白云的侬,,没有被小李子把过的模特不叫好模特,33,2019-10-02 10:53
@现哥的小跟班哇,,老了也很有魅力,18,2019-10-02 09:27
@柠茶33,,初见《泰坦尼克号》的小李子，真的是好帅,30,2019-10-02 09:29
@奇行种D,,很好奇在床上的他是不是也跟电影里一样爱咆哮,16,2019-10-02 10:04
@榕榕panda,,我要重看他以前的盛世美颜静静,18,2019-10-02 11:07
@沉财浩儿,,这两人谁更壮,12,2019-10-02 09:40
@Bess0611,,这女朋友是男的吗？,11,2019-10-02 09:28
@which生活,,他的女友只是一个代号，不胜枚举,11,2019-10-02 16:24
@田亦柏阿,,完美的男人也要老去的一天啊！不过这个状态还是很不错了,3,2019-10-02 17:39
@KREAIREM,,回去翻相册,6,2019-10-02 17:30
@第三爱NUM,,这个女的很像他某一个前任,3,2019-10-02 17:58
@我的小树袋熊出没啦,,这个女友不是超模,3,2019-10-02 15:53
@和哪吒一起闹海,,女友遍天下,2,2019-10-02 09:37
@华尔街腾小龙,,咋一看我以为安妮海瑟薇,2,2019-10-02 09:45
@吃货阿kim的小世界,,其实也没什么帅的哇,1,2019-10-02 10:41
@我是虎虎的胡萝北,,我的脑海里想起一句歌：多少人曾爱慕你年轻时的容颜,3,2019-10-02 17:40
@ffffxxxx,,曾经把我迷到不行的男人,5,2019-10-02 09:28
@利舒苑,,现在叫老李了,2,2019-10-02 17:09
@土豆丝炒洋芋儿,,是不是瘦了点,1,2019-10-02 09:42
@粘不拉叽抖啥包,,其实广大网友你们自己看你们自己照片 那肯定和以前不一样嘛,0,2019-10-02 17:52
@Tammy汤翻翻,,也变成了油腻大叔,0,2019-10-02 17:29
@还没想好要换个什么名字,,看图二差点以为女朋友是男的,0,2019-10-02 17:14
@TOP鬼神大人的崔夫人,,感觉小李子瘦了,0,2019-10-02 17:14
@喝荞麦片吗,,@想做辣妹的胖妹 都肿成这样了...,0,2019-10-02 16:56
@锦鲤锦鲤鲸谷座,,岁月何曾看过谁 男神真的老了,0,2019-10-02 16:56
@女高中生小刘,,我每次看到小李子都会感慨 岁月是真他妈的无情,1,2019-10-02 16:34
@NINGMENGL,,刮了胡子可以吗？？？？？！,0,2019-10-02 14:12
@傲娇猫小灰灰,,小李子颜值一去不复返。他交往的年轻女友也越来越糙,0,2019-10-02 13:28
@Mord战情,,祝福吧,0,2019-10-02 12:31
@倔强的筱筱坚持要瘦30斤,,这次恋爱时间好长～ ,0,2019-10-02 11:49
@RAY--婷婷-后妈糖,,,0,2019-10-02 11:29
@萌萌shun,,越找越差,0,2019-10-02 11:08
@Rui_0330,,这个女的好像Kendall啊,0,2019-10-02 10:43
@今天也想玩滑板耶_,,@我是林一同学 看你偶像多甜！学着,0,2019-10-02 10:25
@ID好烧脑,,好羡慕牵手手啊,0,2019-10-02 10:04
@向往睿智飞翔,,不要在这里立flag，或许过段时间他身边又变成了别人呢,1,2019-10-02 09:54
@二爷仰望星空,,小李子有多少个女友,0,2019-10-02 09:46
@czwen,,天啊，小李子…………………………你咋！呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜，沧桑....,1,2019-10-02 09:45
@限定永恒,,我还在回忆过去,0,2019-10-02 09:44
@Yolanda_燕,,小李子瘦点了嘛,0,2019-10-02 09:39
@hiAngelia,,这个女朋友有多久了？,0,2019-10-02 09:35
@娱评星闻,,也来看看,0,2019-10-02 09:34
