User,Reter,Comment,Votes,Time
@阿莫学长,,在这里对那个人说一句话吧，说不定他点进来就看到了呢？,102,2019-10-02 14:36
@夏目千玲,,“有些东西，你要是不提，我不去回忆。”,1948,2019-10-02 10:13
@何仙姑,,你有没有遇到过这样一个人，明知道你们不会有结果，明知道你们有一天会分离，但你还是想奋不顾身拉住他的手，陪他走完一段路。,976,2019-10-02 10:39
@排场小妞,,我太想跟他聊天了,774,2019-10-02 10:39
@许余-,,“分开一千天 天天盼再会面”,491,2019-10-02 10:13
@叽叽又鸡了吗,,成年人的疏远没有争吵 更多的是渐行渐远,440,2019-10-02 10:13
@我们去旅行呀,,我知道，如果我真的存在过，也是因为你需要我。  现在，我们再没有聊天、见面的理由。,391,2019-10-02 10:13
@梅子酒小姐Q,,所以在能偶遇到的时候 要大大方方的打招呼 sey hi,275,2019-10-02 10:15
@韩桥君,,别说见面了，聊天都没理由,314,2019-10-02 10:20
@宇宙级戏精双鱼男,,我有一百个想见你的理由，却唯独少了一个见你身份。,251,2019-10-02 11:24
@孤痞--邹-_-,,有些人你不硬着脸皮去见的话这辈子都无缘了,188,2019-10-02 11:46
@末了算了吧,,想起你的时候 很想很想你 可也就是想想了,150,2019-10-02 11:02
@知欢喜啊,,我深知亲密过后的疏远背后都逃不过一个「你对我来说没那么重要了」，但从不会因为结局是分开而否定任何在一起时的好，真情长久固然好，若不能，也可以接受，你给的快乐可以短暂，但只要它是真的。,130,2019-10-02 10:13
@拖延患者要早睡,,感觉他很合我的胃口，却各自有着各自的生活轨迹，也在不同的城市上学，想见，却没有理由，想熟悉起来，却没有契机。,78,2019-10-02 12:57
@阿信什么时候娶我鸭,,那就不见吧。就保留这种感觉。,84,2019-10-02 10:16
@心笙情话,,人间还是太苦，不敢提爱慕，不敢提憧憬，不知不觉开心时也小心翼翼，只敢意犹未尽，只敢见好就收。,80,2019-10-02 10:14
@Pluto白茶清欢无别事,,我在梦里梦到过无数次见面的场景,66,2019-10-02 11:56
@橘子气泡水Aya,,相互亏欠成了唯一的方式。,53,2019-10-02 10:20
@日月大小和地球倾角,,最惨的不应该是和他身边的朋友见了个遍 唯独见不到他…,57,2019-10-02 10:33
@六到飞起来的路路通,,人和人能一起走一段路就已经是生命的恩赐，不能再要求很多。,48,2019-10-02 12:55
@私奔到月球吧-,,所以一定要趁着还能见面的时候多见几面 不然会很后悔的,43,2019-10-02 10:25
@Wallpaper收藏家,,我有想见却永远也没法见的人,33,2019-10-02 10:12
@一只慧崽儿,,心上人是天上月/ 我现在分手了 才真正理解这句话,36,2019-10-02 10:13
@Oasis阿薇小姐啊,,有,26,2019-10-02 13:15
@我好颓__,,除了那几节课，我没有理由看他，我没有理由驻足等他，我没有理由给他说早安晚安，我没有理由和他一起吃饭，我没有理由问他今天心情为什么不开心。我对他来说，只是一个路人,18,2019-10-02 13:56
@Zaylee茶包,,“明明早已没了联络，却还一次次试图装作不经意，向身边的人提到你。和朋友路过和你一起去过的地方，和朋友谈论你听过的歌曲。有时候，也提起你的名字。只有自己知道，一再提到的这个‘老朋友’，是你。似乎只有这样，才能让我继续有种错觉，错觉和你还有什么瓜葛，错觉聊一聊你，你就还在我世界里。”,21,2019-10-02 14:19
@粪坑蝶泳,,十面埋伏..,16,2019-10-02 10:14
@是小柒同学啊,,可能是不欢而散之后的不知所措吧,17,2019-10-02 10:28
@著名吴某人,,人呐 可以回头看 但是不要往回走哦,21,2019-10-02 10:36
@豌豆豌豆逗你玩,,想找朋友聊天，可她并不想理你，就这样吧，不要再主动发消息给她了。显得自己很卑微,16,2019-10-02 10:33
@Edenimy,,我希望跟你面对面坐着，轻轻的告诉你，谢谢那一晚的安慰。那时我半醉半醒着，到现在也记得你说过的那句话：“这就是我存在的意义呀”。,6,2019-10-02 12:51
@杨嘉铭Wayne,,已经喜欢了一个人。所以更多时候都愿意自己一个人。,13,2019-10-02 11:19
@憨人筆记,,,6,2019-10-02 10:13
@一颗软豆,,这世上多的是不能联系的想念 没什么,8,2019-10-02 12:55
@老撒噗,,打出来了字，又删了，想想现在的生活很好,3,2019-10-02 23:25
@过这村没这店老板娘,,最难受的不是刚刚失去时那种汹涌的痛苦，而是在你以为时间已经治愈一切时，却隔三差五，猝不及防地想到这个人，挥之不去 去了又来。是的，我又想你了…,8,2019-10-02 14:56
@酱油拌饭啊饭,,最后一次见面的时候 我觉得我们是最后一次见面 他可能没有意识到,12,2019-10-02 13:39
@黄小敏yellowmin,,他不喜欢我了,13,2019-10-02 13:30
@我又死了一遍_,,哪还有理由去见你,9,2019-10-02 12:19
@soodaa舒达,,分手的人复合的几率是82%，可为什么我们就是那18%,7,2019-10-02 15:43
@一颗小萝bei,,多想再见你，哪怕匆匆一眼就别离,10,2019-10-02 13:08
@CassieCXN,,每日见一见,2,2019-10-02 10:13
@欲抢,,有没有人想进群 沙雕的快乐不能被难过打倒 评论配图,4,2019-10-02 13:16
@卒路口HQ,,我想跟主席聊聊天，但我找不到理由，我也见不到他,4,2019-10-02 21:04
@蛇院南风不加糖,,因为不知道说什么去找对方，于是刚开始会特别留意出现在对方经常去的地方，希望偶遇能寒暄几句开始话题。却发现分别这么这么久，却连偶遇的机会都不配拥有,6,2019-10-02 14:10
@你咬我啊hhhh,,这个这个一般都是前任吧,1,2019-10-02 15:47
@刘小样而,,我太想见他了 太想联系他了 但是我不能 所以我闺蜜替我跟他视频 闺蜜再拿个手机跟我视频 只能听着 不能发出声音 评论配图,4,2019-10-02 13:42
@西东Xdd,,“我喜欢你，但与你无关”,3,2019-10-02 20:56
@SimmySimmyWw_,,当然有啊 我想让他看看我现在过得有多好 可是我连找他说话都没理由 更别说见面了,2,2019-10-02 11:02
@七月雅稼,,何以我来回巡逻遍仍然和你擦肩，还仍然在各自宇宙错过了春天,1,2019-10-03 12:01
@时辰棠七xer,,2023一定会见到！,2,2019-10-02 20:51
@你咬我啊hhhh,,总结来说就是  …此情可待成追忆，只是当时已惘然,1,2019-10-02 15:49
@Deer0420818,,还是不要见比较好，免得又折磨我,4,2019-10-02 13:29
@爱睡午觉,,好想再见见我的主治医生 但他说希望不会再见到我了 要我好好长大,6,2019-10-02 13:44
@你要不要等等我呀,,没有身份没有立场。去一个你可能出现的地方都会期待会忐忑，没遇见又忍不住失望。,5,2019-10-02 13:41
@number54949,,要是有些事我没说，你别以为是我忘了，我什么也没忘，但是有些事只适合收藏。不能说，也不能想，却又不能忘。它们不能变成语言，它们无法变成语言，一旦变成语言就不再是它们了。它们是一片朦胧的温馨与寂寥，是一片成熟的希望与绝望。,4,2019-10-02 10:47
@雨水_隔了窗,,错过了。。。。太多太多。。。却再也不会再见面了。。。很想。却也没办法了。    “说好要一起旅行，是你如今，唯一坚持的任性…”,1,2019-10-03 00:16
@MALADE儿_,,高一到大二的思念，她让我放弃，我哪能说忘就忘呢 评论配图,2,2019-10-02 21:12
@马小跳cc-,,&quot;何以我来回巡逻遍仍然和你擦肩，还仍然在各自宇宙错过了春天”,2,2019-10-02 20:52
@大小多少呀,,只是朋友，想你了要怎么开口,2,2019-10-02 15:17
@西西里的风x,,我再也没有在这个不大的县城里遇见他,3,2019-10-02 15:17
@桃花换小鱼干TT,,他好像比我先放下了,3,2019-10-02 15:21
@嘻嘻哈哈日记123,,我其实想和以前一样，不是男女朋友，和他在一起肆无忌惮的笑着聊天，玩，旅游,2,2019-10-02 13:54
@狗狗kang尼尼,,没点开还以为是抽一个人让他们见面,3,2019-10-02 13:36
@_昂比利窝啵,,秋天因为遇见变得可爱，因为想见不能见变得荒芜,1,2019-10-02 13:26
@别动我的毕雯珺,,还是想赌我们能一直走下去 我等 等你考完研 再继续,2,2019-10-02 20:39
@夏橙花,,我能主动聊一次天，自己都不知道哪来的勇气...,2,2019-10-02 14:48
@本少女要冲冲冲努力努力再努力鸭,,有个人 他已经结婚了 可是我想见他一面 没有什么不堪的想法 就想看看他现在过得怎么样 可是 找不到理由,1,2019-10-02 14:35
@丶阿攸,,别再用回忆来扰乱我了,0,2019-10-05 20:25
@长安巷里99颗糖,,已经知道了的结局 过程还重要么？,0,2019-10-03 12:45
@罗月半呀,,@GF蛋白心念旧恩,0,2019-10-03 12:33
@一只煇煇君,,我适应力很强的 却还是适应不了你不喜欢我的样子,0,2019-10-03 12:25
@璐YAOOOO,,有啊，不过也没关系，见了也没话说,0,2019-10-03 12:18
@凡先生的梅格妮8679,,当然有,0,2019-10-02 23:55
@春风余雪,,有亏赢 有枯荣,0,2019-10-02 23:30
