User,Reter,Comment,Votes,Time
@第五风鱼,,应该说，杜江饰演角色原型是超级美男子………,12559,2019-10-01 16:55
@月影迢迢千里,,那么这个真的很有意义啦,5947,2019-10-01 16:56
@苏丹酸卡卡,,还原得一定很棒啦，支持,3546,2019-10-01 16:56
@辣条小王子1990,,这个还是很相似的啊 不错的感觉,3508,2019-10-01 16:57
@一风之音随你,,这个真得很不错，杜江加油,1182,2019-10-01 16:57
@愤怒的小鸟_Bird,,还原得很棒！喜欢他演这样的角色,855,2019-10-01 16:57
@摇呀瑶呀Yao,,哇哦两个都是超级美男子，真的帅爆,687,2019-10-01 16:57
@一碗甜豆腐脑,,这也太像了吧 都这么帅 评论配图,370,2019-10-01 16:56
@柠檬奶茶有点甜,,杜江穿军装真的好帅，真正的军人,279,2019-10-01 16:57
@又见乔叶落溪河,,感觉他穿军装超级帅气,197,2019-10-01 16:55
@彩色芦苇飘满天,,我也是醉了，好帅啊,111,2019-10-01 16:58
@哒哒的马蹄声L,,一直都很喜欢杜江  会一直支持他的,105,2019-10-01 16:57
@缘分的天空___,,杜江演这样的角色 一身正气,131,2019-10-01 16:56
@郝香珠婉可茗黛,,从红海行动看他演的军人开始就一直觉得他演得很好，很有军人的一种正气，这次的升旗手很赞。,110,2019-10-01 16:59
@春水皱,,杜江一直都是一个挺踏实努力又认真严谨的演员 http://t.cn/Aim4PH51,54,2019-10-01 16:58
@别多想了吧,,杜江高度还原了当年情景，点赞,39,2019-10-01 16:59
@一片小海苔,,这么一看不仅长得像就连神态什么都有点像 http://t.cn/Aim47oJh,46,2019-10-01 17:02
@帅的掉炸包,,还原度真的很高， 都是那么的正气凛然。 http://t.cn/Aim4UYJ7,46,2019-10-01 17:24
@我爱啊柠檬,,不得不说，杜江的演技是真的很不错啊我感觉,32,2019-10-01 17:13
@如果铅笔少了心,,杜江还真是特别的像朱涛老师，而且也是特别出色，为杜江点赞,26,2019-10-01 16:59
@今日宝藏,,真的挺像的，而且演的真的好,11,2019-10-02 09:25
@羊娃娃和熊熊跳舞咿呀咿,,哎呀，杜江的这版真的是和原主角也太像了吧。 评论配图,11,2019-10-01 17:03
@榆邹城佳,,杜江饰演的原型都挺帅，都挺有气质的。,8,2019-10-01 17:22
@心累了咋办呢,,杜江的演技真是太厉害了,6,2019-10-01 17:18
@独角瘦嘻嘻,,今天也是发现了两人长得也确实是有点相似，都是十分的帅气,13,2019-10-01 17:05
@凫山小学霸,,期待杜江给我们带来更多的好作品,4,2019-10-01 17:16
@初恋给了超宠我的孟先生,,都很帅啦,6,2019-10-01 16:58
@迪热热的彭猪猪,,他俩眉毛很像啊，都帅的可以,4,2019-10-01 19:35
@风吹过是我啊,,杜江穿上军装真帅,4,2019-10-01 17:01
@刘备关于大张伟,,我觉得也挺相似的，嘿嘿，给杜江点个赞,4,2019-10-01 17:01
@蠢萌的糊糊,,个人还是比较喜欢杜江的啊！！觉得杜江本人也是很帅气的！！支持他,3,2019-10-01 17:30
@sweetwhitey,,这样一看确实是有点像啊，感觉有一点点神似。 评论配图,7,2019-10-01 17:06
@你个小居,,感觉他们两个不仅外表非常像，而且神态也是很相似的，杜江也一直是一个很有正能量的演员了 评论配图,6,2019-10-01 17:08
@在下名曰扛把子,,如此相似的两个人，同样杜江的演绎也是很到位的！,4,2019-10-01 17:38
@僵小鱼陪你浪迹天涯,,看过电影的我，觉得杜江演绎的升旗手还是很帅气的，不接受反驳,4,2019-10-01 17:32
@你不是劳资的菜,,看到杜江原型也是蛮帅气的啊！！而如今杜江也是演绎出来了，很棒,3,2019-10-01 17:30
@劉有U地,,这俩人还真是有点像是兄弟俩,3,2019-10-01 17:12
@meloverson,,第二次觉得电影里的演员没有本人帅，第一次是周总理那次,4,2019-10-01 23:20
@滋味只有自己知道,,为颜值与演技并存的杜江点赞,2,2019-10-01 17:09
@咚叮瀚,,哇！！！原型好帅啊！！！军人的英气！！！,2,2019-10-02 10:17
