User,Reter,Comment,Votes,Time
@吃不胖的甜心超人,,我感觉联欢活动，把我家未来几十年过年要用烟花全都放了,1531,2019-10-01 21:32
@沐之清羽,,感觉比过年还要喜庆！大家一定要好好活着，我们还要看到祖国100周年甚至更久！,1030,2019-10-01 21:32
@重庆共青团,,光耀中华,484,2019-10-01 21:30
@阿港l,,光耀中华，中华儿女永相随,205,2019-10-01 21:30
@快乐店小秋秋,,今天的阅兵和表演看的太振奋人心了，精神食粮可以管好久，晚上估计会激动的睡不着觉。国外的看到了会羡慕死。,141,2019-10-01 21:36
@罗66的花路,,祖国万岁！爱您一万年！,87,2019-10-01 21:31
@芒果爱吃芒果Ooo,,已经没有办法用言语形容这份激动开心的心情了，我们一定会越来越好，我爱你祖国,62,2019-10-01 21:37
@今日宝藏,,说是孔雀，但我感觉像凤凰,55,2019-10-01 22:09
@Vista看天下,,太震撼了！,34,2019-10-01 21:35
@爱唯一的瀚哥,,壮观,22,2019-10-01 21:30
@兮旧Agony,,太美了,5,2019-10-01 21:30
@瞳恩shine,,说是孔雀，但我感觉像凤凰,4,2019-10-01 22:07
@李许周白夫人,,现在见到了,2,2019-10-01 21:34
@骑牵着蜗牛去远方,,超赞！祖国万岁！祝祖国繁荣昌盛！此生不悔入华夏,2,2019-10-01 21:31
@李小暉,,孔雀开屏美翻了！！,2,2019-10-01 21:32
@浅柒,,祖国万岁！！！！,2,2019-10-01 21:32
@你今天真好看owa,,震撼！感动！,2,2019-10-01 21:31
@圈圈的卷儿,,真漂亮,2,2019-10-01 21:30
@许乐的生活,,全城的烟花 都让我包圆了。没看过瘾也没了。,3,2019-10-01 21:33
@傲气稳了全场2003,,感动的话千千万，汇成一句，我爱你中国！,2,2019-10-01 21:31
@艺伎回忆录w,,漂亮～  我们祖国繁荣昌盛～,2,2019-10-01 21:31
@仅现一人,,好似过年一般,2,2019-10-01 22:28
@_Mrs_YEE_,,今天晚会的解说是谁呀,2,2019-10-01 21:36
@肛铁侠,,真好看,1,2019-10-01 21:32
@Britain的培根子2016,,天佑祖国，光耀中华！,1,2019-10-01 21:31
@我可是个小机灵啊,,天啊！！！！国师,1,2019-10-01 21:31
@日特的大吼龙,,好好看,1,2019-10-01 21:30
@易易湯湯,,太震撼了！！！！！！,2,2019-10-01 21:30
@心情好的蓝,,孔雀烟花出来的时候真的有一种感叹，非常对方我对浪漫的定义，同时又大气恢宏，还有牡丹烟花出来的时候！,1,2019-10-01 22:24
@Taemy-o,,真挚的感谢张艺谋&amp;蔡国强两位导演给我们这场绝美烟火盛宴,1,2019-10-01 22:18
@靖翎居,,祖国万岁,1,2019-10-01 21:52
@听说情浅不知处s,,孔雀开屏，光耀中华，人民万岁！！,1,2019-10-01 21:30
@回首-不后悔,,整个联欢会看下来除了女主持声音，其他都完美！,1,2019-10-02 13:51
@歌者鹿儿,,特殊情况特殊对待，不能因为说什么禁止烟花爆竹就耽误国家大事，环保部门肯定也有所考量,1,2019-10-02 07:56
@_撸喵叫兽,,真漂亮！住北京的真幸福！,1,2019-10-02 07:21
@点亮欣空Yx,,光耀中华,1,2019-10-01 23:25
@航航小户娘,,太漂亮啦  场面非常震撼,1,2019-10-01 22:38
@w西米露7,,太好看了！,1,2019-10-01 21:33
@叫我白白__,,真的美炸,1,2019-10-01 21:31
@逍遥sienna,,十年一次 太美了,1,2019-10-01 21:31
@故事的结局很好笑,,,0,2019-10-02 11:29
@笑口常开1号,,昨天晚上忘记看晚会了,0,2019-10-02 08:28
@心理学刘爱民,,,0,2019-10-02 07:56
@真實不虛雲遊身-柏逸,,煙花讓夜空燦爛奪目~真是讓我激動沸騰~祝福我們中華民族永垂不朽~祖國萬歲,0,2019-10-02 07:47
@黄少极xy,,明天会更好,0,2019-10-02 06:41
@小嗲精Yi,,好漂亮！！！,0,2019-10-02 06:40
@现哥哥小女友_,,骄傲 我们公司的作品,0,2019-10-02 01:21
@liu_yzy,,哇哦,0,2019-10-02 01:03
@小茶其实是污龙茶,,为祖国母亲的生日怒放！明天再继续限制燃放烟花爆竹,1,2019-10-02 00:48
@澈空空,,好美好美,0,2019-10-02 00:45
@一只萌荼荼,,好美阿    羡慕现场的,0,2019-10-01 23:44
@大吉大利王大怒,,@暴走的花轮君丶,0,2019-10-01 23:43
@AutumnChenMusic,,简直美呆,0,2019-10-01 23:42
@网瘾少年Azazel,,鬼才导播,0,2019-10-01 23:40
