User,Reter,Comment,Votes,Time,Count
@彼得兔吃泡面,,我能说我闺蜜看见李现出来的时候，一激动咬了我的手指不,529,2019-10-03 13:55,1
@爱豆综影,,#李现原型#虽然只是客串，仍然认真做了功课，高度还原原型人物，很是精彩,420,2019-10-03 13:52,2
@天使白雪,,太帅了,294,2019-10-03 13:54,2
@沈宇松,,支持李现,250,2019-10-03 14:00,1
@李现是我的心,,演技太赞了，内心很慌外表却又很冷静，声音很赞!“空中的飞机帮忙叫一下，四川8633，我叫不到他了。”@李现ing,253,2019-10-03 14:01,5
@可乐薯片冰西瓜,,#李现原型# 向管制员罗天宇致敬,165,2019-10-03 14:18,3
@李现是我的心,,四川8633收到请回答” “四川8633我叫不到它了” 磁性的嗓音一直都在我的耳边回荡着 大荧幕的你 让我看到了你的多面可塑性 真的太震撼了！！！ 优秀演员李现 @李现ing,88,2019-10-03 14:18,5
@現定闹闹,,#李现原型#  角色不分大小，用心演绎，赋予每个角色生命和意义，是李现对自己热爱的事业和喜爱他的人最大尊重。虽然戏份不多，但高度还原了原型人物！致敬伟大的一线工作者,85,2019-10-03 14:13,5
@lasaing,,#李现原型# 前几天在B站就听了管制员和机长的原始录音，真是佩服他们的心理素质啊，遇到险情毫不慌张，还能快速反应做出正确指挥，真的超棒。电影里演的也挺好的，音调和气息都和原型特别像，好演员就是如此吧，不论角色大小都能认真揣摩，真的不错呀。 最后再说一句，李小现同学声音真的超好听啊,81,2019-10-03 14:14,1
@像风一样Sandman,,我和我的祖国、中国机长都是在说那些我们知道的故事，观众有带入感。飞机失事虽然不算日常，但是观众也会带入自己的感情：如果我遇到了事故能有一位这样的机长力挽狂澜。攀登者离我们的生活太遥远了，正如课堂上学生问的那个问题，人为什么要登山。这个问题太遥远，我们至今都没有找到说服大众的答案,35,2019-10-03 14:23,1
@花儿小豆豆,,最帅管制员 评论配图,37,2019-10-03 14:24,1
@一路繁花相送到无限未来,,虽然是客串，但李现很认真的对待这个角色,59,2019-10-03 14:10,1
@喝个苦瓜汁感觉萌萌,,多面李现，可塑性强。角色各异，不分大小，内外兼修，好演员！,63,2019-10-03 13:55,1
@请叫我好人啊现现的随缘,,越来越上头,29,2019-10-03 14:17,2
@和月宿花,,李现同志，现女友呼叫你，收到请回答！,37,2019-10-03 13:59,3
@Somnus-小艳,,帅气,28,2019-10-03 13:54,2
@可乐薯片冰西瓜,,#李现原型# 向管制员罗天宇致敬,23,2019-10-03 14:17,3
@小灰灰的-小老大,,#李现原型# 虽然是客串，但是也认真对待，李现加油@李现ing,20,2019-10-03 13:56,1
@林知秋1019,,多面李现，可塑性强。角色各异，不分大小，内外兼修，好演员！,23,2019-10-03 13:49,1
@可乐薯片冰西瓜,,#李现原型# 向管制员罗天宇致敬,16,2019-10-03 14:17,3
@美好时光_199812,,加油加油,15,2019-10-03 14:10,1
@祝因因,,支持李现,13,2019-10-03 14:06,1
@Lynn-陌语,,棒棒哒@李现ing,12,2019-10-03 14:01,2
@ning_chi,,非常满意@李现ing,5,2019-10-03 14:36,2
@Lynn-陌语,,加油@李现ing,9,2019-10-03 14:01,2
@有你晴天sky,,李现优秀，全是现女友@李现ing,11,2019-10-03 14:10,1
@我叫随缘,,角色不分大小，李现都认真对待@李现ing,5,2019-10-03 14:23,8
@婷花的头号粉丝,,李现台独狗国庆还买热搜？,2,2019-10-03 14:58,4
@狂野男孩嘻ing,,"四川8633,听到请回答，成都在叫你",2,2019-10-03 14:49,3
@白桃乌龙lx,,支持李现！支持中国机长！@李现ing,5,2019-10-03 16:20,1
@我不会和你,,支持李现,1,2019-10-03 16:01,3
@现现的小太阳,,媳妇是现女友，罗管制考虑加入天现宝宝了吗,0,2019-10-03 14:47,1
@橙橙橙现ing,,角色不分大小，用心演绎，赋予每个角色生命和意义，是李现对自己热爱的事业和喜爱他的人最大尊重。虽然戏份不多，但高度还原了原型人物！,3,2019-10-03 14:42,3
@李是我的晛落美好,,角色不分大小，用心演绎，赋予每个角色生命和意义，是李现对自己热爱的事业和喜爱他的人最大尊重。虽然戏份不多，但高度还原了原型人物！致敬伟大的一线工作者@李现ing,3,2019-10-03 14:37,1
@李现是朱砂痣和白月光,,李现帅@李现ing,2,2019-10-03 16:05,2
@和月宿花,,离线同志，现女友在叫你，我找不到他了 …… 呼叫李现同志，收到请回答 ……@李现ing,3,2019-10-03 15:06,3
@芭比王,,角色无论大小，李现认真对待每一个饰演的人物，很出彩！声音神情镇定自若,2,2019-10-03 14:26,1
@兔兔酱R,,Omg....花了我好长时间才意识到这里“现女友”的意思是“李现的女友粉”....疑惑了好长时间这是什么奇怪的句型...“妻子竟然是现女友”什么鬼的....纳了闷了....,1,2019-10-03 16:06,1
@孤独流浪的梦旅人,,绿了半个朋友圈,2,2019-10-03 15:43,1
@BNY小丸子,,爱死你了,1,2019-10-03 14:40,1
@橙橙橙现ing,,现男友给力,1,2019-10-03 14:26,3
@T夏心,,,1,2019-10-03 14:23,1
@李现是我的小心肝ing,,四川8633收到请回答” “四川8633我叫不到它了” 磁性的嗓音一直都在我的耳边回荡着 大荧幕的你 让我看到了你的多面可塑性 真的太震撼了！！！ 优秀演员李现 @李现ing,1,2019-10-03 14:22,9
@李现是我的小心肝ing,,#李现原型#  角色不分大小，用心演绎，赋予每个角色生命和意义，是李现对自己热爱的事业和喜爱他的人最大尊重。虽然戏份不多，但高度还原了原型人物！致敬伟大的一线工作者,1,2019-10-03 14:21,9
@李现是我的小心肝ing,,#李现原型# 向管制员罗天宇致敬,1,2019-10-03 14:21,9
@他的徒儿,,期待,1,2019-10-03 14:21,1
@kailey酱呀,,爱了！,1,2019-10-03 14:20,1
@鱼蛋仔妈咪,,认真的现哥,1,2019-10-03 14:19,1
@李现是我的心上人10190206,,认认真真的青年演员李现,1,2019-10-03 14:18,2
@李现是我的心上人10190206,,就算是客串 也会很认真的对待 李现啊,1,2019-10-03 14:18,2
@我不会和你,,[加油][加油][加油][加油],1,2019-10-03 14:18,3
@上善若水siya,,现女友遍天下！,1,2019-10-03 14:15,1
@喵呜咪1,,李现优秀,2,2019-10-03 14:14,1
