User,Reter,Comment,Votes,Time,Count
@HY-Sosxcy,,我不知道我靠什么支撑我看完的,48,2019-10-11 20:57,1
@是大飞啊x,,不知道为什么，这种人统一……没眉毛,19,2019-10-11 21:09,1
@逗豆大神,,妈呀，我要是个男的，都不敢随便取个媳妇回家，怕把自己给吓死,11,2019-10-11 20:57,1
@張伯倫Edison,,？？？？？卧槽 无情,15,2019-10-11 20:54,1
@哑然失语2019,,这视频会害了许多刚想结婚的青年，吓退大批男青年。,13,2019-10-11 20:52,1
@挽风zou,,主要还是美颜相机厉害,5,2019-10-11 21:07,1
@宁NaiY,,前面这娇羞的模样，我。。。。,7,2019-10-11 20:49,1
@榴莲奶奶s,,@欧阳瘦肉丸,0,2019-10-12 00:05,2
@施旭超,,老子吐了……,0,2019-10-12 01:58,2
@冯菁Sagi,,无话可说,0,2019-10-11 21:35,1
@每天都告诉自己要早点睡,,@复苏美女,0,2019-10-11 21:33,1
@厦门的夏天的馨香,,还是不好看,1,2019-10-12 01:36,2
@Stephen_Pu,,靠，完全两个人啊,2,2019-10-11 20:48,1
@月月多68,,第二张脸漂亮,0,2019-10-12 08:04,2
@_杨肥肥,,这是诈骗...举报了,0,2019-10-12 02:26,2
@何柯进,,软着软着就想充血了,0,2019-10-12 00:14,2
@风儿轻轻地吹201504,,卧槽，我居然把他看完了,0,2019-10-11 21:20,1
@流浪的狮子86,,天呐,0,2019-10-11 20:54,1
@触碰那一米阳光,,前面真的很辣眼睛,1,2019-10-11 21:55,1
@faustine是个小机智,,6666666666,0,2019-10-11 21:16,1
@西门爷爷,,@容木长弓,0,2019-10-12 00:53,2
@大隐隐无逸,,神经病啊,0,2019-10-12 00:49,2
@曲终了了,,能打死吗！化妆就化妆，搔首弄姿是干啥,0,2019-10-11 23:46,1
@暗夜男cpa,,只能说人家有技能，佩服！,0,2019-10-11 23:43,1
@2017一定要成功,,@ye祺814,0,2019-10-11 22:09,1
@濉莘,,天呐 ，这个是真的要跪，太牛了,0,2019-10-11 22:09,1
@小木子不喝酒鸭,,小指比耳麦是真的骚,0,2019-10-11 21:32,1
@快乐的乐jl,,吓死宝宝了,0,2019-10-11 21:22,1
@SycSyccc,,@椰子Masa 不知道是什么让我看完了,0,2019-10-11 21:07,1
@哦-我知道怎么改名字了--,,@Mr恪恪同学啊,0,2019-10-11 21:03,1
@木子旳李丷,,主要打底打的好，遮瑕满分,1,2019-10-11 20:58,1
@小马奔腾跑得快,,@-故渊i 我踏马居然能看完,0,2019-10-11 20:55,1
@鸟儿悄儿的,,我受到了惊吓，你赔,0,2019-10-11 20:52,1
@Sofia__Q,,,0,2019-10-11 20:48,1
@土卜盐,,.....？,0,2019-10-11 20:51,1
@倾墨写意,,最后真的没有换个人吗,1,2019-10-11 21:54,1
@ABUXAT,,这个好像你@·尤娜·,0,2019-11-29 17:44,3
@小兔兔宸,,确定不是开了美颜滤镜？,0,2019-10-11 23:58,1
@快来跟寒冰玩耍,,@HongJiaoo @这是胡乐怡的小号哪么滴,0,2019-10-11 23:51,1
@Ring旦旦,,@wuli仲基呀,0,2019-10-11 23:39,1
@Yuekiyo,,@千柚陌 跟你一模一样,0,2019-10-11 23:17,1
@井尒,,@给你一jio丫,0,2019-10-11 22:51,1
@是三石妹妹呐,,@luv的感覺,0,2019-10-11 22:08,1
@蟹油口蘑手擀面,,@JJ黑夜问白天609 答应我一定看完好吗！,0,2019-10-11 21:53,1
@寒鸦少年诶,,@九四九四_ ,0,2019-10-11 21:34,1
@橙留酸,,@戳鹅的小男粉 给爷吓懵了,0,2019-10-11 21:16,1
@BATMANAX,,啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好好笑@朱凯悦A,0,2019-10-11 21:03,1
@捆皮,,@这有好多鱼哇,1,2019-10-11 20:52,1
@-来瓶雪碧啊,,@挂在墙上的充电线和耳机 不能我一个人瞎,0,2019-10-11 20:51,1
@ABUXAT,,这个好像你@·尤娜·,0,2019-11-29 17:44,3
@ABUXAT,,这个好像你@·尤娜·,0,2019-11-29 17:44,3
@月月多68,,第二张脸漂亮,0,2019-10-12 08:04,2
@_杨肥肥,,这是诈骗...举报了,0,2019-10-12 02:26,2
@施旭超,,老子吐了……,0,2019-10-12 01:58,2
@厦门的夏天的馨香,,还是不好看,1,2019-10-12 01:36,2
@西门爷爷,,@容木长弓,0,2019-10-12 00:53,2
@大隐隐无逸,,神经病啊,0,2019-10-12 00:49,2
@何柯进,,软着软着就想充血了,0,2019-10-12 00:14,2
@榴莲奶奶s,,@欧阳瘦肉丸,0,2019-10-12 00:05,2
