User,Reter,Comment,Votes,Time
@是心动的信号阿,,"@火箭少女101_杨超越 一袭黑色礼服，少女的灵动俏皮和性感在杨超越身上得到了完美的体现，宛如精灵在凡间。浪漫巴黎遇见MiuMiu,和MiuMiu官方唯一邀请艺人杨超越来赴一场约会吧!",16,2019-10-02 19:36
@蓝辰霏阳,,awsl,8,2019-10-02 19:42
@全村Y希望,,身穿黑色丝绒斗篷搭配元气满满的泡泡袖抽褶连衣裙，整套LOOK飒爽十足的杨超越也太可爱了吧。风格多变，期待下次的新造型,16,2019-10-02 19:39
@二越七,,杨超越,7,2019-10-02 19:42
@司南980731,,太美啦,3,2019-10-02 19:41
@潇洒haohao123,,超越妹妹好看,2,2019-10-02 20:08
@二越七,,杨超越,1,2019-10-02 21:05
@蓝海31139,,时尚与年轻的碰撞，梦幻的巴黎洋溢着不一样的氛围。感谢Miu Miu邀请，作为官方唯一受邀中国艺人杨超越诠释出不一样的独特青春。,3,2019-10-02 19:43
@菲菲爱越,,绝了,2,2019-10-02 19:42
@爱越_之城,,,1,2019-10-02 19:42
@颖帝YingDI,,,0,2019-10-03 00:11
@你大哥歪西歪,,飒,0,2019-10-02 22:35
@晓风残月_2019,,身穿黑色丝绒斗篷搭配元气满满的泡泡袖抽褶连衣裙，整套LOOK飒爽十足的杨超越也太可爱了吧。风格多变，期待下次的新造型,0,2019-10-02 21:03
@九尾凤华,,@火箭少女101_杨超越 再次作为官方唯一直邀的中国艺人来到巴黎时装周，突破尝试冷艳气质的风格在浪漫巴黎演绎独属于MiuMiu优雅，和你共赴一场秋日的盛会。,0,2019-10-02 20:49
@越丶昊灬天,,,0,2019-10-02 20:25
@云月满溪,,云想衣裳花想容,0,2019-10-02 20:05
@啸天琪乐,,杨超越,0,2019-10-02 20:01
@晓风残月_2019,,身穿黑色丝绒斗篷搭配元气满满的泡泡袖抽褶连衣裙，整套LOOK飒爽十足的杨超越也太可爱了吧。风格多变，期待下次的新造型,0,2019-10-02 19:55
@海峰徐徐徐徐的,,超越妹妹好好看呀！,0,2019-10-02 19:53
@越妹向前冲,,气场全开,0,2019-10-02 19:48
@善始且善成,,,0,2019-10-02 19:45
@喜欢纯真杨月,,身穿黑色丝绒斗篷搭配元气满满的泡泡袖抽褶连衣裙，整套LOOK飒爽十足的杨超越也太可爱了吧。风格多变，期待下次的新造型,0,2019-10-02 20:36
@只追小越儿,,身穿黑色丝绒斗篷搭配元气满满的泡泡袖抽褶连衣裙，整套LOOK飒爽十足的杨超越也太可爱了吧。风格多变，期待下次的新造型,0,2019-10-02 20:27
@她就是歪西歪,,"@火箭少女101_杨超越 一袭黑色礼服，少女的灵动俏皮和性感在杨超越身上得到了完美的体现，宛如精灵在凡间。浪漫巴黎遇见MiuMiu,和MiuMiu官方唯一邀请艺人杨超越来赴一场约会吧!",0,2019-10-02 20:13
@守护我的ycy,,,0,2019-10-02 19:44
