User,Reter,Comment,Votes,Time
@微四w,,,4914,2019-10-03 16:24
@吃不胖的甜心超人,,我希望新中国成立100周年的时候我们大家都在，接着给祖国庆生，见证历史！大家加油活啊！！,3214,2019-10-03 16:25
@笙ongoing,,愿您寿比南山,58,2019-10-03 16:24
@花信风与霖,,我怎么又哭了  这几天老是被感动的不行,55,2019-10-03 16:25
@_TYT-_,,这个90岁爷爷看起来好健康好年轻，比老年版美队更有精气神,60,2019-10-03 16:42
@海上雄鹰kkk,,所以一定要活的久一点，再久一点！才能多看看这盛世，多看看祖国的伟大变化，才能见证更多的中国奇迹！,42,2019-10-03 19:40
@爆爆兔vivi,,见证历史的爷爷们，怀念我的外公,33,2019-10-03 16:26
@微博热点,,同一个地点，不同的盛世,4,2019-10-03 16:56
@狂野男孩嘻ing,,老爷爷,5,2019-10-03 16:23
@-SUN-8,,,1,2019-10-03 17:07
@认生女孩,,祖国万岁！,1,2019-10-03 16:24
@听得时光眠Zzz,,,1,2019-10-03 16:24
@讲文明懂礼貌大赛第一名,,,0,2019-10-03 21:04
@焦糖星不甜的卡布狐栗,,谁要一起庆祝百年呀 那时候我五十多岁吧,1,2019-10-03 16:31
@鹿女士,,老人看起来精神矍铄 ,1,2019-10-03 16:28
@sjeucysnehf,,@agAlways,1,2019-10-03 22:38
@纯纯大人,,人生赢家,1,2019-10-04 16:15
@流星若烟花雨,,,1,2019-10-04 14:53
@Suguswrl-kirarin,,,1,2019-10-03 23:43
@小太阳是个小迷糊鸭,,我外公是和祖国同一年生的！也是1949年！,1,2019-10-03 21:33
@漫妮吖,,希望这位老爷爷长寿呀,1,2019-10-03 20:58
@明天还在吧,,爷爷看着身体很硬朗！  要健康长寿啊,1,2019-10-03 20:55
@这位幸运的宝宝,,感动,2,2019-10-03 20:39
@IMaxT-001,,羡慕，希望我姥爷也能去,1,2019-10-03 20:02
@逗士MR,,爷爷太厉害了,1,2019-10-03 17:59
@哪里摔倒哪里烧烤,,哇，跨越了70年的时光啊。真的太感慨了,1,2019-10-03 17:48
@zk0506,,加油！,1,2019-10-03 17:06
@世荒芜,,共和国的同龄人，一路见证着祖国成长的足迹，想必应该是很感慨万千了,1,2019-10-03 16:53
@南开后门吃过面,,见证了祖国从站起来，富起来到强起来的巨大飞跃,1,2019-10-03 16:43
@仙草田,,好浪漫的感觉,1,2019-10-03 17:29
@奥莉奥莉我女神,,这位老爷爷看起来也太年轻了吧！！,0,2019-10-04 18:36
@全球美体健身,,见证祖国繁荣昌盛的爷爷，祝福,0,2019-10-04 14:07
@减肥小学霸,,这打卡厉害了,0,2019-10-04 13:43
@博科园,,同样的地点  见证祖国的发展,0,2019-10-04 10:33
@言笑晏晏w_,,,0,2019-10-04 00:42
@拇指聪,,愿老爷爷健康长寿,0,2019-10-04 00:35
@-沐羽-,,祝爷爷寿比南山,0,2019-10-04 00:25
@古德拉克叻,,好棒哦,0,2019-10-04 00:14
@星座经典语录,,转发微博,0,2019-10-04 00:12
@奈何一号仔,,[加油][加油][加油],0,2019-10-04 00:12
@穷人养猫励志,,感动了,0,2019-10-04 00:08
@小刺猬和大白跳舞,,爷爷奶奶今年也刚好70周岁，希望时光慢些,0,2019-10-03 23:54
@等一杯奶茶半价,,真好,0,2019-10-03 23:53
@童笑很芒,,真好,0,2019-10-03 23:51
@宋城价值投资人,,同一个地方，不一样的盛世,0,2019-10-03 23:06
@李现的现女友Niki呀,,爷爷好帅，奶奶漂亮[加油][加油],1,2019-10-03 22:56
@站立的木子,,大家约定100周年呀,0,2019-10-03 22:55
@所谓坚强全靠硬扛的巴呆,,希望80年国庆这个爷爷还能来,0,2019-10-03 22:45
@SakuraCooI,,我想活久一点了见证祖国的变化,0,2019-10-03 22:43
@XxNtClairvo,,啊啊在热搜看到我毕然姐！评论点赞转发！不会做新闻的漂亮小姐姐不是好的健美操健将！,0,2019-10-03 22:28
@绾青丝的绾绾,,建国的时候我爷爷他们三月份就出发，走路去看庆典,1,2019-10-03 22:19
@啵一下萱萱,,100年大庆的时候您必须还要坐在这里,0,2019-10-03 22:19
@淡紫色贝壳Xback,,很感动,0,2019-10-03 22:19
@奈落真的喜欢吃奶酪,,所以他清楚的看到了中国这70年的巨大变化,0,2019-10-03 22:15
@乐天凌,,#九旬老人同一位置打卡1949和2019#这卡打得厉害,0,2019-10-03 21:56
@黑衣人Ckg,,好棒啊,0,2019-10-03 21:54
@好运小公举,,见证历史的老人，祝他老健康长寿！,0,2019-10-03 21:52
@林林小妮,,祝老爷爷身体健康，祝祖国繁荣昌盛,0,2019-10-03 21:19
@爱哼2223,,爷爷身体健康,0,2019-10-03 21:17
@summer-聪忆,,好年轻啊,0,2019-10-03 21:17
@肖战在奶茶店撸猫,,在这两个年代之间，明显展示了我们国家的迅速发展。,0,2019-10-03 21:09
@風雨顺德人,,祝福祖国,0,2019-10-03 21:03
@智慧基因,,祝福祖国 ……,0,2019-10-03 21:03
@周家仙女巧,,这盛世如你所愿,0,2019-10-03 21:00
@mminex,,爷爷好,0,2019-10-03 20:58
@谦谦谦下士,,哇,0,2019-10-03 20:53
@1997花自飘零小文文,,,0,2019-10-03 20:53
@我在来的路上见到你,,妈耶！爷爷一定要身体健康啊啊啊！,0,2019-10-03 20:51
@一棵雪草,,转发微博,0,2019-10-03 20:41
@有小虎牙的宝宝,,要好好活，为祖国庆祝100年我都得在,0,2019-10-03 20:37
