User,Reter,Comment,Votes,Time
@陈伟霆data站,,#陈伟霆封面# 质感满分@William威廉陈伟霆,116,2019-10-03 19:33
@平头哥迷妹儿-,,太帅了。,91,2019-10-03 19:31
@william的小兔兔,,酷帅有型,55,2019-10-03 19:37
@涟漪波纹520,,很时尚！太帅气了,6,2019-10-03 19:33
@技术领先YDK,,寸头更加帅,5,2019-10-03 19:33
@瑞瑞千千3137JJJ,,好帥,5,2019-10-03 19:36
@tubsonhugedadada,,太帅了,0,2019-10-03 21:15
@萌比女神i52243,,帅。,0,2019-10-03 19:44
@小桥留水哥,,帅气逼人,0,2019-10-03 19:44
@种草的梓儿,,这个画面太美了。,0,2019-10-03 19:43
@风儿从东边来,,好漂亮的巨星，范儿十足,0,2019-10-03 19:41
@蓝山小马卡moveon,,换新发型啦，威廉好帅呀,0,2019-10-03 19:40
@小兰兰大美女,,真的绝了,0,2019-10-03 19:39
@yanyan68526,,真的绝了,0,2019-10-03 19:39
@我不一样a,,真的是太帅气太酷了,0,2019-10-03 19:38
@九州散仙012,,寸头看起来很有精神,1,2019-10-03 19:37
@Flly8,,帅气！一双有故事的眼睛。,1,2019-10-03 19:35
@1121等等的剪烛时光,,#陈伟霆封面#时间予我不惧世事变幻，不愧是陈伟霆,1,2019-10-03 21:47
@请叫我房二姐,,,1,2019-10-03 19:38
@ZSK人生若只如初见,,帅气,0,2019-10-13 18:19
@女人花201805,,很棒。加油,0,2019-10-09 19:24
@欧气满出来了,,太帅气啦,0,2019-10-03 23:33
@丨萬-雨晨丨,,陈伟霆支持你哟,0,2019-10-03 21:15
@香来而寒至,,陈伟霆寸头造型，太帅了,0,2019-10-03 19:53
@酒浓情伤1358,,真的好帅呀！,0,2019-10-03 19:53
@花时斗丽123,,寸头霆又酷又A,0,2019-10-03 19:50
@浪漫天空围脖,,酷帅有型魅力十足,0,2019-10-03 19:49
@imsampol,,真的非常帅气，精神,0,2019-10-03 19:45
@九州散仙012,,寸头精神,0,2019-10-03 19:45
@妹花儿嗯,,好帅呀,0,2019-10-03 19:44
@徘徊在畅游梦想的边缘,,哇塞！这也太帅了吧,0,2019-10-03 19:43
@哈咯咯哈哈哈,,陈伟霆好样的,0,2019-10-03 19:43
@2019好运锦鲤lucy木嬛笙衍,,寸头的伟霆更加帅啦，不笑的样子，眼神很深邃,0,2019-10-03 19:43
@开心小宝2019,,不错哦,0,2019-10-03 19:41
@袁宝贝冲鸭冲,,好有男人味哦,0,2019-10-03 19:40
@蒋期思,,转发微博,0,2019-10-03 19:39
@惜-弦,,好帅,0,2019-10-03 19:39
@原来是可爱的猫咪呀,,陈伟霆真帅气呀,0,2019-10-03 19:39
@阳光不收费,,太酷了,0,2019-10-03 19:38
@幸福之星豆豆,,太酷了,0,2019-10-03 19:37
@微大咖,,帅气了,0,2019-10-03 19:37
@haylan,,周末画报封面，也太给力了吧，我买画报去,0,2019-10-03 19:36
@魁星闪烁,,帅帅哒,0,2019-10-03 19:36
@暖烊如春易,,很帅呢,0,2019-10-03 19:36
@云朵绽放66999,,真是太帅了呀,0,2019-10-03 19:36
@李子哥佳人,,太帅了吧,0,2019-10-03 19:35
@喜神进家,,太帅了,0,2019-10-03 19:34
@风菲哲,,这组照片很有男人味。,0,2019-10-03 19:34
@达人微博秀,,帅帅哒,0,2019-10-03 19:34
@yl驿动的心,,太酷了,0,2019-10-03 19:34
@imsampol,,真的非常帅气，有气质,0,2019-10-03 19:34
@白浅浅陌,,一如既往帅啊,0,2019-10-03 19:33
@夏天的期待123,,高级贵气的帅哥,0,2019-10-03 19:33
@多吸吸欧气,,转发微博,0,2019-10-03 19:33
@璇宝儿a,,大帅哥，眼神很有杀伤力,0,2019-10-03 19:32
@洋芋航航啊,,真的太帅了,0,2019-10-03 19:32
@遇见自己遇见爱,,好帅啊,0,2019-10-03 19:31
@原谅帽大中华,,陈伟霆太帅了。,0,2019-10-03 19:31
@小贵子咕叽咕叽,,高级贵气,0,2019-10-03 19:30
@给心灵一瓣书香qin,,好帅,0,2019-10-03 19:30
@有内双的奔波儿灞,,哇哇哇啊啊啊啊啊大西轰太帅了,0,2019-10-03 19:30
@__七月月,,有一种时尚潮流元素叫陈伟霆,0,2019-10-03 19:30
@幂幂吖22,,看起来挺不错呀,0,2019-10-03 19:30
@我的自己呀,,很帅气,0,2019-10-03 19:30
@好人嗯嗯好人,,陈伟霆不错哦,0,2019-10-03 19:30
@你是我的心跳跳跳,,转发微博,0,2019-10-03 19:30
@妞妞官人,,绝,0,2019-10-03 19:30
@是云飞了,,看起来挺不错,0,2019-10-03 19:30
@ZJY-WYF,,伟霆哥太帅了,0,2019-10-03 19:29
@村头的阿狸,,帅,0,2019-10-03 19:29
@粉妈壹,,饱饱你是最棒的,0,2019-10-04 15:04
@唦啦啦啦啦,,帅,0,2019-10-04 14:59
@W__w是我最爱的人啊,,大片既视感,0,2019-10-04 12:29
@Rabbit諪,,期待风暴舞李俊杰,0,2019-10-03 23:36
@无聊走调,,#陈伟霆封面#啊啊啊啊啊啊一个把香奈儿穿出自己风格的男人！！！太帅了！#陈伟霆#@William威廉陈伟霆,0,2019-10-03 21:50
@无聊走调,,好帅！#陈伟霆封面#啊啊啊啊啊啊一个把香奈儿穿出自己风格的男人！！！太帅了！#陈伟霆#@William威廉陈伟霆,0,2019-10-03 21:49
@one0ne兎one,,陈伟霆优秀,0,2019-10-03 20:50
@悠然自得hhh,,好帅好有型,0,2019-10-03 20:46
@鼠标妈妈88,,超A的酷帅饱贝,0,2019-10-03 19:52
@_ChiCHiChI_,,太帅了！！！！爱死,0,2019-10-03 19:46
@宗爱一生君翰,,支持帅,0,2019-10-03 19:45
@方小冷,,太帅了 真的,0,2019-10-03 19:45
@趙嗣涵-,,帅呆啦,0,2019-10-03 19:44
@情话书笺,,不错哦哦,0,2019-10-03 19:41
@趙嗣涵-,,好帅,0,2019-10-03 19:41
@Miss鄭小婷,,帅气。,0,2019-10-03 19:41
@我是锦鲤我快乐,,爱了爱了,0,2019-10-03 19:40
@2026夏的那阵风,,这一身太酷了！超级帅了哇！喜欢！！,0,2019-10-03 19:38
@数学爱马荣军,,不说一句绝,0,2019-10-03 19:38
@舒颖宝,,帅气,0,2019-10-03 19:38
@陈伟霆InsideMe_陈加索,,超级帅气,0,2019-10-03 19:35
@筱香沁曦,,太帅了,0,2019-10-03 19:34
@3484愛醋王,,最好的陈伟霆,0,2019-10-03 19:34
@方小冷,,陈伟霆,0,2019-10-03 19:30
@宗爱一生君翰,,帅,0,2019-10-03 19:29
@艺兴的宝贝呀i,,帅酷,0,2019-10-03 19:29
@优秀的大白吖,,可以吧！！,0,2019-10-03 19:29
@不再任平生,,超酷啊啊啊啊啊啊啊啊啊啊啊啊啊陈伟霆就是,1,2019-10-03 22:30
@1999强,,,1,2019-10-03 19:36
@W_迷人的酒窝,,好帅,1,2019-10-03 19:31
@djfuck说事,,l  0  8,0,2019-10-05 22:12
@Lana5555,,很帥,0,2019-10-05 02:20
@我爱未停,,真好看啊,0,2019-10-04 15:04
@懂得爱自己才能懂得爱别人,,时间予陈伟霆就是越来越有魅力，可通透依旧，做自己的他真的最迷人！所以寸头搭配全身香奈儿如此的好看。,0,2019-10-03 23:32
@一个超可爱的宠物兔,,好喜欢照片这个质感，很真实本色，陈伟霆寸头古铜色皮肤和香奈儿如此野性迷人，绝了！,0,2019-10-03 22:54
@又见面条儿0621,,时间予陈伟霆就是越来越有魅力，可通透依旧，做自己的他真的最迷人！所以寸头搭配全身香奈儿如此的好看。,0,2019-10-03 20:47
@梦境之中的他,,,0,2019-10-03 20:25
@飽飽的小星星,,实在好帅呀,0,2019-10-03 20:25
@淡然是我123,,酷酷的,0,2019-10-03 19:53
@海平上四,,有实力有正气,0,2019-10-03 19:53
@一点都不甜的渴望欧气的西xi,,陈伟霆好帅呀,0,2019-10-03 19:53
@koda_feat_ayumi,,嗷嗷,0,2019-10-03 19:51
@來自福岡的花蝴蝶,,老公,0,2019-10-03 19:50
@万事顺心4444,,好帅,0,2019-10-03 19:48
@玄一看月,,好看,0,2019-10-03 19:46
@义务兵五年,,+1,0,2019-10-03 19:46
@竹味蘇,,帅,0,2019-10-03 19:45
@Mr宝荣LLL何,,这个真的绝,0,2019-10-03 19:45
@ftbyhg,,。,0,2019-10-03 19:45
@短发菇凉9-4拽,,帅气小伙子,0,2019-10-03 19:44
@是这个星Xing吖,,太帅啦！,0,2019-10-03 19:44
@种草二叔,,帅气,0,2019-10-03 19:43
@蓝蓝鱼子,,陈伟霆不管寸头还是其他发型，都很帅气,0,2019-10-03 19:42
@时间停了seven,,不错,0,2019-10-03 19:42
@晃荡的年华aa,,额,0,2019-10-03 19:41
@三岁小哥哥qwq,,转发微博,0,2019-10-03 19:41
@永远有多远尼,,寸头霆真是好帅啊,0,2019-10-03 19:41
@简简单单的---小幸福,,寸头美男子陈伟霆,0,2019-10-03 19:41
@零66637165,,帅气十足,0,2019-10-03 19:40
@胡欢乐1986,,真的超级帅啊,0,2019-10-03 19:40
@kkhouse1,,好看,0,2019-10-03 19:40
@走过夏天的叶子1993,,陈伟霆好帅！,0,2019-10-03 19:40
@来人本宫要用膳,,帅,0,2019-10-03 19:40
@海平上四,,三观正的陈伟霆,0,2019-10-03 19:40
@CX-崔杏,,帅,0,2019-10-03 19:40
@素颜最真9,,不错很帅气,0,2019-10-03 19:40
@纸短情长不能原谅,,棒棒哒,0,2019-10-03 19:40
@初恋稚兔記,,,0,2019-10-03 19:39
@米E咩,,寸头太man了吧,0,2019-10-03 19:39
@我是欧皇啊IX,,可以哈,0,2019-10-03 19:39
@初秋浅阳2019,,帅气,0,2019-10-03 19:38
@只是一只小黄咪,,太酷啦,0,2019-10-03 19:38
@小杰杰羙的好生活,,最后三个图怎么像从监狱出来的,0,2019-10-03 19:38
@要佛系养老了,,太帅了,0,2019-10-03 19:38
@亦儒星辰,,帅气的人就是不一样,0,2019-10-03 19:38
@啾咪小奶喵,,能驾驭住寸头的人，太帅了,0,2019-10-03 19:38
@乐与路与不眠之夜_有有,,时尚帅气,0,2019-10-03 19:38
@海家一个琴,,好帅,0,2019-10-03 19:38
