User,Reter,Comment,Votes,Time
@坠入晚晚星河,,哇，看着真的姨母笑，我的农宝啊,7,2019-10-04 15:39
@用别的方式祝福你吧,,后来他决定将帅贯穿一生,8,2019-10-04 16:20
@农农12151003,,好可可,5,2019-10-04 16:21
@恩恩要上热评,,不会这么的小男生哈哈哈哈哈哈哈陈立农你要笑死我,3,2019-10-04 16:46
@花也喜欢你,,#一夜之间想穿秋裤了# 农农宝@陈立农 不乖不穿秋裤,0,2019-10-04 20:53
@Lakmei2000,,秋裤穿了真的感覚行动不便耶！,0,2019-10-04 17:52
@鬱彡彡,,最近热爱考古吗哈哈哈哈,0,2019-10-04 17:08
@NN愿你在我看不到的地方安然无恙,,哈哈。那时候真萌,0,2019-10-04 17:02
@浣熊冬眠記·,,哈哈哈哈哈哈哈哈哈哈,1,2019-10-04 16:20
@大小寶貝之點點滴滴,,我懷念的萌萌的傻小孩。,1,2019-10-04 17:42
@超级农农的NT呀,,哈哈哈,0,2019-10-04 20:27
@我是路人小超人,,可愛,0,2019-10-04 18:00
@1988是个小可爱,,哈哈哈哈哈哈,0,2019-10-04 18:40
@筠筠瘦了吗,,5555是17岁的哥哥qwq,0,2019-10-04 18:40
@Tokl花花,,好可爱萌萌哒,0,2019-10-04 23:46
@时生你好吗,,哈哈哈好傻好可爱哦,0,2019-10-04 23:33
@沧海相拥,,根本不用特意向镜头卖萌欸 已经很萌了,1,2019-10-04 22:09
@廷昊nh说永远,,,0,2019-10-04 21:56
@喜欢黑暗的鬼瞳啊,,,0,2019-10-04 18:11
@樱桃小一一新2017,,原来的农农,0,2019-10-04 18:10
@ZSW爱超级农农,,哈哈,0,2019-10-06 16:44
@甜风微凉,,一脸姨母笑  啊哈哈,0,2019-10-04 20:22
@吃一块小熊软糖QwQ,,求片头歌曲呀,0,2019-10-04 18:11
@Tokl花花,,好可爱萌萌哒,0,2019-10-04 23:46
@时生你好吗,,哈哈哈好傻好可爱哦,0,2019-10-04 23:33
@沧海相拥,,根本不用特意向镜头卖萌欸 已经很萌了,1,2019-10-04 22:09
@廷昊nh说永远,,,0,2019-10-04 21:56
@花也喜欢你,,#一夜之间想穿秋裤了# 农农宝@陈立农 不乖不穿秋裤,0,2019-10-04 20:53
@超级农农的NT呀,,哈哈哈,0,2019-10-04 20:27
@1988是个小可爱,,哈哈哈哈哈哈,0,2019-10-04 18:40
@ZSW爱超级农农,,哈哈,0,2019-10-06 16:44
@Tokl花花,,好可爱萌萌哒,0,2019-10-04 23:46
@时生你好吗,,哈哈哈好傻好可爱哦,0,2019-10-04 23:33
@沧海相拥,,根本不用特意向镜头卖萌欸 已经很萌了,1,2019-10-04 22:09
@廷昊nh说永远,,,0,2019-10-04 21:56
@花也喜欢你,,#一夜之间想穿秋裤了# 农农宝@陈立农 不乖不穿秋裤,0,2019-10-04 20:53
@超级农农的NT呀,,哈哈哈,0,2019-10-04 20:27
@甜风微凉,,一脸姨母笑  啊哈哈,0,2019-10-04 20:22
@1988是个小可爱,,哈哈哈哈哈哈,0,2019-10-04 18:40
@筠筠瘦了吗,,5555是17岁的哥哥qwq,0,2019-10-04 18:40
