User,Reter,Comment,Votes,Time,Count
@卡布奇诺_甜,,祝中俄友谊天长地久,10139,2019-10-04 13:59,7
@官方不让我改好名字,,堂堂中国要让四方来贺,6264,2019-10-04 13:59,4
@发刊物请联系我,,堂堂中国要让四方来贺,3320,2019-10-04 14:00,3
@侠们喜欢大北斗,,中文挺好的,3137,2019-10-04 14:02,2
@尼奇窝窝,,对中国示好，我们谢谢人家就行了，别太认真,2721,2019-10-04 14:08,13
@久居深山通鸟音,,我怀疑谁把jiu的拼音给她标成ju了，可是我又没有证据,1547,2019-10-04 14:21,1
@罗熙姨母一号番茄酱,,全世界都在说中国话 让我想起了汉语桥,1365,2019-10-04 14:00,3
@银河护卫队南昌分部部长鹰眼,,天长第橘hhhhhhhhhhhhhhhh好可爱的发音是,844,2019-10-04 14:00,1
@戴小绿帽吖,,中俄友谊源远流长,301,2019-10-04 14:00,4
@姜诉没有六便士,,更想听普京秀中文,210,2019-10-04 14:00,1
@谢文翊,,一看这个新闻就知道很多2B回来抖机灵，被占的土地怎么办。都2019年了，亲们。连村里的傻子都知道国家之间的边界不是永恒不变的，国与国之间的关系都是不断变化的。怎么你们这些2货是想得罪全世界让每一个国家都来攻击中国是吗？这些是日本倭奴希望看到的，你们是倭奴都后人还是根本就是倭奴人。,188,2019-10-04 15:20,2
@在错误的宇宙寻找爱,,天长地菊 哈哈哈哈哈,212,2019-10-04 14:01,1
@抓住锦鲤的小尾巴o,,祝中俄友谊天长地久。。,137,2019-10-04 14:04,4
@求真先生说,,一听就是北方口音,86,2019-10-04 14:06,3
@林森林茂,,从外交部发言人完全可以看出国家之间的关系亲还是疏,98,2019-10-04 14:00,4
@土豆仔小杨人,,丫蛋你这中文6啊,68,2019-10-04 14:01,1
@现鱼球球,,友谊长存,76,2019-10-04 14:00,1
@阿汪与阿花,,俺们也不会忘记你们丢下我们不管的时候,26,2019-10-04 14:02,1
@哇好可怕我得溜了,,河南口音?,34,2019-10-04 13:59,1
@多点葱少点辣,,唇亡齿寒，但永远不要忽视俄罗斯对中国潜在的威胁与曾经发生的事情，是朋友亦是敌人,19,2019-10-04 15:24,1
@o1ivi2-,,好棒啊,25,2019-10-04 13:59,1
@发刊物请联系我,,我觉得她在看谐音[大毛微笑],19,2019-10-04 14:00,3
@晓莹X,,中俄友谊源远流长,18,2019-10-04 14:23,3
@靳怼怼,,好棒！愿中俄友谊长存！能加速建立稳固中俄外交,9,2019-10-04 14:02,7
@葉_葉小柒今年所向披靡吧,,友谊天长 世界和平,7,2019-10-04 14:00,1
@l北城南笙,,中俄友谊天长地久,5,2019-10-04 14:00,2
@-銀河語錄記,,@小萨超人 康,7,2019-10-04 14:21,1
@改名字上热评,,中俄友谊万古长青～～～,7,2019-10-04 14:02,3
@ZouNiNG会飞的鱼,,我觉得和萨沙有点差距哈哈哈哈哈,7,2019-10-04 17:23,1
@卞卞卞白贤村长,,想起萨沙的中文，普通话说得比我还好，东北话贼溜,8,2019-10-04 16:51,1
@念来过倒是字名,,中俄友谊地久天长,6,2019-10-04 13:59,2
@矜持小女孩儿,,好，祝愿中俄友谊天长地举。,4,2019-10-04 14:03,10
@LX的足迹,,中文很不错,4,2019-10-04 14:00,1
@子杰Harvey,,天朝！,2,2019-10-04 17:34,2
@我本浪人放荡不羁,,但是之前有些毛子歧视中国人吗？还把一个韩国人当中国人打了。不懂,3,2019-10-04 17:26,1
@_怺恒,,,2,2019-10-04 15:52,1
@漪玖年的我,,没有啥天长地久、利聚而来,3,2019-10-04 15:30,1
@鹿亠_,,竟然没有东北口音？,2,2019-10-04 15:20,1
@藤蓏花落,,中俄友谊万古长青,2,2019-10-04 14:23,4
@姬苏的泽,,友谊地久天长,2,2019-10-04 14:19,1
@羽珊ing,,中俄友谊地久天长！,2,2019-10-04 14:09,2
@阿中哥哥的柠檬恋恋,,中俄友谊天长地久,3,2019-10-04 14:02,14
@单细胞测测测测序,,中俄友谊天长地久！,3,2019-10-04 14:01,1
@南寒以,,中俄友谊天长地久,4,2019-10-04 15:01,1
@Ti-Amo_Eni,,唉，不对啊，我英文学的差不多了，你们怎么都开始说中文了啊,2,2019-10-04 16:08,1
@不定时幽默,,评论里说什么别把别人的祝福当真，我只想说的是别人祝福是真是假让时间来判断好了，别人祝你生日快乐我不信你还回他句别假心假意？,4,2019-10-04 16:32,1
@君子之交如糖水,,祝愿中俄友谊地久天长,3,2019-10-04 15:33,1
@美男子和小鲜肉,,肯定是有人把jiu的拼音给她标成ju了，哈哈哈哈,3,2019-10-04 15:12,1
@一米阳光-华,,祝愿中俄友谊天长地久！,1,2019-10-05 00:12,1
@姜雨南,,中文不错 给你点赞 心意我们收下了,1,2019-10-04 23:09,2
@我是一只小扎精,,天长地举,1,2019-10-04 19:43,2
@梁冫冫冫冫冫冫冫冫冫冫冫冫,,也祝愿俄罗斯越来越好,1,2019-10-04 18:25,3
@蚂蚁脸上的雀斑,,以后中文是每个国家必学的语言!,2,2019-10-04 18:24,1
@何用不臧,,那主要中国还是强大了嘛，所以各国也都重视与中国的友谊。就这次咱们亮出来的武器装备，不说在世界上排个第一第二吧，往低调了说，也是名列前茅呀，甚至很多国家都羡慕啊，他们没有啊！再者，外交部发言人会几句中文，这是在情理之中。早些年吧，中俄没那么好，主要还是咱国家强大了，人人都希望和你好,1,2019-10-04 17:38,1
@生活地方,,祝中俄友谊天长地久,1,2019-10-04 17:12,3
@努尔美妹aynur,,低调,1,2019-10-04 17:08,1
@唔钟意食白糖,,这中文普京听了都想笑,1,2019-10-04 16:48,1
@陈词滥调Yt,,咱们还是要自身硬啊，不然的话就是与虎谋皮。,2,2019-10-04 16:12,1
@谢嘴巴,,多读书，少追星，提升素质，拓宽眼界,1,2019-10-04 16:08,1
@临哥儿,,没有长久的友谊，也没有长久的敌人，所以对赞美或贬低，我们都只听听，还是要国家强大才是硬道理,2,2019-10-04 16:03,1
@JasonWongSeoi,,女士您好，您真的好漂亮，啧,1,2019-10-04 16:00,1
@电竞教育课代表,,汉语说得挺好，全世界都在说中国话,1,2019-10-04 16:00,1
@炸毛小亮亮,,中俄友谊源远流长 四方来贺,1,2019-10-04 15:31,1
@壹玖柒零伍陆,,是真的流利,1,2019-10-04 15:19,1
@热心市民平先生,,海参崴,2,2019-10-04 14:46,1
@孙畅SSun,,中俄友谊天长地久,1,2019-10-04 14:45,1
@oO西柚Oo,,汉语老师是不是河南来的哈哈,2,2019-10-04 16:25,1
