User,Reter,Comment,Votes,Time,Count
@房东的猫语,,不太可以，也没必要,2743,2019-10-04 08:41,1
@用拉丁文念咒语拉拉乌,,买彩票一样，每个号都买，万一中了呢,2544,2019-10-04 08:42,2
@周小陶说李仙侣该收个男票了,,报名是一种态度，好歹现在也是影史票房第一的商业大片，要是连报名都不敢报，那才该被人耻笑，顺便科普一下，每年报名奥斯卡的商业电影比你们想象的要多了去了，别想当然的认为奥斯卡就只接纳文艺片,2015,2019-10-04 09:00,1
@修罗--羽生,,真的可以报名最佳改编剧本？谁给他的勇气？,1658,2019-10-04 08:42,1
@咻版当尼,,打开评论看酸鸡,808,2019-10-04 08:44,1
@-JunC-,,技术类的项目都有希望啊，怎么复联四就不能拿个奥斯卡了…,775,2019-10-04 09:26,1
@郑爽张恒分手没有,,今日笑话,656,2019-10-04 08:42,20
@白居易公子,,我觉得啥也不会拿到。这不就是个爽片吗？,248,2019-10-04 08:42,1
@陆小包,,评论里面都是酸精,234,2019-10-04 08:51,1
@Madrid笙歌,,报个名咋了啊 酸你妈呢 那照这么说那些参加竞赛的人知道拿不了第一就都不参加了呗,218,2019-10-04 10:37,1
@赵老宽呀,,来个最佳情怀奖吧,191,2019-10-04 08:43,2
@柳思yu,,奥斯卡的水准还不至于那么低,141,2019-10-04 08:44,1
@怂且从心yyyyy_hj,,技术类奖项怎么不能拿了？？？一群人酸个p,90,2019-10-04 09:41,1
@博弈论者,,今年应该没问题,10,2019-10-04 08:42,1
@曼丽不吃甜,,跟风嘲是真恶臭,12,2019-10-04 11:37,1
@今日宝藏,,片子不错，但冲奥还是……,13,2019-10-04 14:19,33
@流放爱意,,冲冲冲,16,2019-10-04 08:41,2
@你亲过长颈鹿吗,,那个我觉得不行,11,2019-10-04 08:45,3
@茜宝中个一千万,,最佳导演、最佳改编剧本,11,2019-10-04 08:41,4
@Manjusaka_Loki,,评论这么懂 奥斯卡没找你当评委真是屈才了 怎么不把您的经历给拍出来冲奥呢 名字我都起好了 就叫 酸鸡的一生 你了解漫威还是了解奥斯卡 什么都不知道抱着您家爱豆一起闭嘴 别丢人了,11,2019-10-04 10:22,1
@闫慈系吹吹神_,,只想说一句爱你们三千遍，无论如何情怀都在,6,2019-10-04 10:17,4
@维斯帕_,,我寻思报个名咋了 它要是获个最佳改编剧本啥的我也要喷奥斯卡水 但网友也太严格了吧 好歹也是票房第一的电影 人家报个名还不行,7,2019-10-04 11:42,1
@铁锤啾啾,,报个名都被嘲成这样 那你让这铺垫十年拍出来的一部作品就这么默默无闻的过去？ 不管拿不拿奖 这种积极参与的态度不是很好吗,7,2019-10-04 13:16,1
@帝都都督,,全揽了吧,5,2019-10-04 08:48,4
@也无风雪也无晴l,,我觉得报名没有什么嘲的啊，好歹全球票房第一报个名怎么了？还有我觉得剧本也不差吧，为什么很多人说烂尾了，初代的落幕是必然的呀,9,2019-10-04 10:58,1
@尨飞丶美少年,,有没有必要不是你们敲敲键盘就能决定的。不管是托尼，美队，还是雷神灭霸，哪个没有演技？这也是初代英雄最后一次集结，我一定支持。,8,2019-10-04 10:45,1
@喝牛奶大赛冠军,,,8,2019-10-04 08:47,5
@肖遣樂园,,你觉得不行的事情多了，人家报个名而已，我就觉得行,11,2019-10-04 10:21,1
@乖乖女Roy,,评论区我服了，人家美国片充个美国奖，有什么问题吗,5,2019-10-04 11:09,1
@宝呆呆之巴扎黑,,不是，报个名而已啊，得奖再喷也不迟吧,7,2019-10-04 10:56,1
@米米麦麦678,,技术性奖项还是可以的,8,2019-10-04 09:09,1
@一朵小壁花啊,,冲冲冲！！！！！！,9,2019-10-04 09:05,1
@季冬初七,,有必要，但不可以,5,2019-10-04 08:46,1
@龙轻舟,,最佳视觉还是有希望的,1,2019-10-04 11:45,1
@喵我困了,,酸就酸吧，说的你们能把影视第一酸下来似的，饭圈恶臭狗请滚,2,2019-10-04 11:38,1
@难别求,,全是柠檬精,2,2019-10-04 11:02,1
@Fu-NiZi,,支持，虽然觉得拿重头奖可能性不大，寡姐在节目中说过，曾经参加电影人的聚会，那些觉得自己高贵的电影人是瞧不起他们这些拍漫改英雄的影人的，都是电影人付出的努力谁都不谁少在观众眼里谁也不比谁高贵！就光这一点就支持！并且希望打脸那些自视甚高的电影人和他们的自以为高贵观众！,2,2019-10-04 10:38,1
@一身糖妮味,,好希望妮妮可以拿个奥斯卡，他的演技真的值得,3,2019-10-04 10:08,1
@刚刚醒来的风车,,坐等评论里的井底之蛙打脸,2,2019-10-04 10:02,1
@美人酱,,你说的对,1,2019-10-04 09:13,1
@小兔仔吐泡泡,,,0,2019-10-04 09:08,1
@懒得编辑微博名,,,1,2019-10-04 08:46,2
@紫薇的尔康a,,后三四个听着还有点可能,2,2019-10-04 08:44,1
@叫我小炎炎,,[哆啦A夢吃驚][哆啦A夢吃驚][哆啦A夢吃驚],1,2019-10-04 08:41,1
@才女陈麒名,,冲啊,2,2019-10-04 08:41,1
@小-木-易,,,1,2019-10-04 08:49,2
@小可爱扑捉一只,,这个有必要么,1,2019-10-04 08:48,5
@夏天该结束了吧,,看到评论,4,2019-10-04 10:54,1
@丁帅生,,典型快餐商业片  没有任何深度,6,2019-10-04 09:17,1
@CoCo今天你瘦了吗,,前一段时间大家都捧复联四，现在又开始骂？啥情况？我很喜欢复联，不过复联四的钢铁侠和寡姐让人很难过，别的很好,3,2019-10-04 11:03,1
@老坛里面有酸菜,,奥斯卡已经被政治正确洗脑了吧，越来越不靠谱了,2,2019-10-04 08:53,1
@hippopotamidae,,我佩服你的勇气,3,2019-10-04 08:46,1
@木木是木木,,你可拉倒吧,3,2019-10-04 08:44,1
@丘阗磬,,没有报之前传闻最佳男主还是明智之举。今年要是没有比较精致科幻小片，钱也到位了，学院也念着漫威对流行文化和好莱坞制片体系的革新的话，拿几个技术奖还是有可能的,1,2019-10-04 11:23,1
@胖胖总裁,,很抱歉，我一开始看标题以为是冲击奥运会呢,3,2019-10-04 11:06,1
@丿我一路向北,,现在真是什么都可以撕起来了,2,2019-10-04 10:58,1
@汤李罗歌的老迷妹,,emmmmmm,1,2019-10-04 09:06,1
@Dunkaccino,,？？？特效可以 其他不行,1,2019-10-04 09:05,1
@原子蛋YohoKong,,就一爽片…,2,2019-10-04 09:04,1
@Love大壳爽,,冲冲冲,1,2019-10-04 09:02,1
@有遗憾你才会记着我,,这烂片 还报名奥斯卡,2,2019-10-04 09:00,1
@灵活的老许,,一笑而过,1,2019-10-04 08:55,1
@凌空踏三步,,没必要，真的没必要。,2,2019-10-04 08:54,1
@shemldor,,逗我？,1,2019-10-04 08:51,1
@imnotr,,害 何必呢,2,2019-10-04 08:50,1
@名悦霖,,至今为止不知道电影讲的啥,1,2019-10-04 08:48,1
@Shapeofmy,,暴发户的心态,3,2019-10-04 08:47,1
@尋cloud,,,0,2019-10-04 08:42,1
@安静追星的美凌格魔,,除了前面三项，后面九项真的有可能,0,2019-10-09 12:18,2
@其羽未宁,,我服了漫威舔狗,0,2019-10-05 10:11,2
@重案组的猫,,前三个重头奖项就算了吧，想太多了，后面尽量凑合争取争取,1,2019-10-05 01:34,1
@迟来Chilai,,想给编剧寄刀片，可恨邮费太贵,1,2019-10-05 01:08,2
@迟来Chilai,,编剧我挺想寄刀片的…要不是邮费太贵,1,2019-10-05 01:07,2
@安如泰山的天才,,看来复联4终于可以冲奥了,0,2019-10-04 15:05,1
@柴柴的微博爱占,,美好还是留在回忆里,0,2019-10-04 14:57,1
@派大星我们去捉水母哇,,不是说三是终结了么,0,2019-10-04 14:55,1
@jcw贰,,我也看漫威，但是有一说一复联四真的就是讨好观众的平庸之作。所以大家挺住，别让那些无脑吹的带孝子干扰嗷,0,2019-10-04 13:26,1
@在读心,,除了特效之类的，漫威没有影片值得什么最佳影片之类的，超级英雄只有蝙蝠侠前传三部曲为商业和艺术的巅峰之作,1,2019-10-04 11:59,3
@LbwNb_,,有些人不会以为哪吒能拿奖吧？？,1,2019-10-04 11:34,1
@拓海和美咲的见证人,,冲鸭,0,2019-10-04 11:28,1
@艾艾艾米丽XM,,技术类的可以报，比如特效音乐这些。演员演技也是非常非常好的。剧本和导演就算了吧。,0,2019-10-04 11:27,1
@相映成歌Shirley,,支持啊,0,2019-10-04 11:13,1
