User,Reter,Comment,Votes,Time
@我在未来2011等你,,说得好像国产手机不泄露似的,170,2019-10-04 14:37
@四月是你的谎言sr,,安卓也是分分钟泄露，只是我们不太在意,55,2019-10-04 14:55
@LQBZ0v0,,云上贵州,48,2019-10-04 14:40
@炯炯要为爱努力,,哪个手机不泄漏,51,2019-10-04 14:54
@富贵的大橙子,,个人爱好。想用就用,14,2019-10-04 14:42
@讪侍白云,,有人明知道垃圾食品有害健康还会继续 隐私算什么,8,2019-10-04 14:35
@amuletalb,,别挣扎了，考个注会，考前都能收到各种广告，我还能相信个人隐私不被泄漏的谎话么，呵呵，天真,6,2019-10-04 15:29
@朱晨曦_Eric,,国内手机泄露隐私都快成明面上的事了吧。。。,6,2019-10-04 14:48
@总之丢了自己,,软件泄露，手机背锅。,3,2019-10-04 15:33
@新lang是只独眼怪丶,,点会的！估计舔苹果舔得妈都不认识了！,1,2019-10-04 16:28
@RippingGirl,,国内的安卓已经不能更差了，即使苹果有泄露的那天，也确实可以50步笑百步,0,2019-10-05 08:07
@暴走的小耳朵,,用不起。。。,2,2019-10-04 14:42
@你的宝贝贝,,无所谓,0,2019-10-04 15:19
@秘密会爆炸,,嘴上说不会，新品发布后，足真香,2,2019-10-04 15:30
@糊图图的小丸栀,,“我叫成实，是三岁的大熊猫，9月30号我和我的小伙伴园月被送到一个农业园打工，这个熊猫馆9月25号的时候还在赶工期，10月4号就要外展，刚给三天的适应期，而且场馆周边环境堪忧，宝宝不是不能去动物园打工，只是想去真正合规的动物园，求大家救救我们。”  请大家移步#大熊猫成实[超话]# 超话[/cp],1,2019-10-04 16:45
@加油男孩-王俊凯,,现在什么手机不会？对了除了老人机,1,2019-10-04 16:05
@一个孤独的死人,,不管泄不泄露，也不用苹果。,1,2019-10-04 15:34
@大小老十,,深圳市教育局领导向老师下毒，详情请看我的微博。,1,2019-10-04 15:27
@Sr--淡定C,,我就看看那些投不会的到底在用啥,1,2019-10-04 14:55
@_sea_123,,如果能抓住罪犯就挺好,1,2019-10-04 14:52
@JamesWyy,,信息时代跟我谈隐私,0,2019-10-06 19:37
@装熟魔人HOLALA,,苹果有官方透明度报告，会公示每年政府向苹果提出数据申请的情况。我国次数比西方国家少太多了，云上贵州就是个服务器而已，密钥要苹果手上，提云上贵州的人可能不太用脑子。 评论配图,0,2019-10-05 09:32
@关上门关上门,,我永远相信一个东西叫做真香定律，如果苹果降价，评论区毫无疑问都会买,0,2019-10-05 09:00
@丿匆匆丶过客丨,,你的隐私没了第一次，第二次还有用么,0,2019-10-04 18:00
@巴尔韦德不下课_我就不改名,,不是泄露和出售的 人家只是提供给美国政府 注意区别,0,2019-10-04 17:29
@杰伦小公举的小阔爱,,从来没有用过苹果,0,2019-10-04 17:20
@千玺在此,,看错了,0,2019-10-04 17:20
@努力的丁五哥A,,苹果安卓那个不泄露？这个年代还指望有个人隐私？,0,2019-10-04 17:11
@黄哲勋30,,泄露就泄露吧  又没有什么见不得人的,0,2019-10-04 17:10
