User,Reter,Comment,Votes,Time
@与速哥同在,,还是买个地球仪吧，不仅能看看，还能转转。,410,2019-10-05 10:35
@fxy那年岁月,,我在上班，我过劳动节,2,2019-10-05 11:04
@淳春,,还是在家好,0,2019-10-06 11:23
@背着麻袋去流浪,,那得多闲,3,2019-10-05 10:51
@热搜专员,,虚假。。。。,2,2019-10-05 10:36
@G-chamber,,网红店真的不太好吃  上周打卡哈尔滨鑫洪福麻辣烫   真的很一般  超级咸！！！ 评论配图,3,2019-10-05 11:38
@搞bot,,看到这个数字瞬间要窒息,2,2019-10-05 11:33
@紫冰雪云,,不愿意,2,2019-10-05 10:48
@o北极妖怪o,,哈哈哈哈，还是同样的话，感觉现实与投票结果不符啊，哈哈哈,3,2019-10-05 10:36
@现女友甜兮兮,,我要在家老老实实的待着,2,2019-10-05 10:35
@李祥_Beson,,我参与了@新浪新闻客户端 发起的投票【你愿意排长队打卡网红店吗？】，我投给了“不愿意”这个选项，你也快来表态吧~这个世界最宝贵的是时间，不应该浪费在排队上。,1,2019-10-05 10:34
@艾丽199202,,我宁愿追剧也不会排队几个小时去网红店,0,2019-10-06 00:19
@舅舅的爸爸,,这个时间躺着玩手机不好玩吗？？各种游戏机不好玩？？跑了一天晚上开房质量都差了..没意思没意思,0,2019-10-05 19:42
@KongYuan_5,,应该区分男女，差别应该很大,0,2019-10-05 14:54
@刘中庸1930,,这不是憨批行为吗,0,2019-10-05 14:50
@dogdog旺旺,,网红久了就变绿了,0,2019-10-05 12:52
@憨厚的哎呦喂,,恕我直言，那些追着这些东西疯跑的都是$B,0,2019-10-05 12:35
@王木生2019,,没事闲的,0,2019-10-05 12:02
@火星降临卡尔文yu,,我喜欢等到网红店过气了再去尝一尝，不过气就一直不去，直到过气，,0,2019-10-05 11:51
@_杂事儿堆积簿_,,好吃我就愿意排,1,2019-10-05 10:54
@暮月樱,,浪费时间,0,2019-10-05 10:39
@李佳云-say,,我参与了@新浪新闻客户端 发起的投票【你愿意排长队打卡网红店吗？】，我投给了“不愿意”这个选项，你也快来表态吧~不喜欢跟风,0,2019-10-05 10:37
@啵啵的yyuer,,大家还记得成都小酒馆吗，我家就在楼上…当小酒馆火了之后，我都。。。。,1,2019-10-05 13:19
@国际巨星皮卡车,,好闲啊 排6000号队,1,2019-10-05 11:25
@狐狸吃草草不吃兔兔,,网红已然成为一个贬义词,1,2019-10-05 10:50
@潮流依旧,,长沙，一个被臭豆腐，文和友以及茶颜悦色炒红的“旅游城市”,0,2019-10-06 10:20
@Camillekiko,,只要有网红字眼的通通不去，没有任何理由的反感,0,2019-10-05 17:26
@悲伤已成享受,,超过半小时的排队俺都选择不吃的,0,2019-10-05 17:25
@愿是潇湘伴怡红,,理智一点吧，浪费时间浪费钱,0,2019-10-05 16:36
@Daisy_万,,所谓网红大部分本地人都不会去！,0,2019-10-05 16:15
@有关星星的事站站,,太多人了，我就趁热闹,0,2019-10-05 15:40
@傲娇母夜叉,,贵可以，排长队不行,0,2019-10-05 13:10
@cream井货--V,,很多网红店味道其实和其他的差不多，排队这么久是为什么,0,2019-10-05 11:51
@仙女风格,,长沙，一个被臭豆腐，文和友以及茶颜悦色炒红的“旅游城市”,1,2019-10-05 11:16
@可果可盐,,在家躺着在呢，我妈在一旁拖地,0,2019-10-05 10:35
@向林俊杰Live势力低头,,我这人就不爱跟风。什么火，大家都说他好，我还就不爱凑这个热闹,3,2019-10-05 11:21
@岸边的曼彻斯特,,排队六七个小时，拿着好不容易的假期看人头，在外面坐着排队，被人拿手机记录成旅游照片的人，又tmd不是我,1,2019-10-05 16:08
@Keepfresh_zsy,,哎..我一开始真上过这种当，排队买网红某茶，拍了得有两个小时，。。。。我还想这么多人买这得有多好喝！结果味道真的没有很惊艳，实话说真的一般，还没有我家楼下10块一杯的珍珠奶茶好喝嘞！,1,2019-10-05 13:40
@emmmmm哈哈哈哈,,但凡要等位的餐厅我都不想吃 因为我这人没啥耐心,1,2019-10-05 12:35
@A往事红尘,,一调研一看，基本都是不愿意，实际就是看到人多忍不住还去瞅瞅,1,2019-10-05 11:27
@茄牛通_,,别的先不说，就讨厌网红这个词,2,2019-10-05 11:21
@乌拉啊哈哈哈,,个人认为，什么饭都不值得排队排好几个小时，经过我多年吃网红店的经验，没什么吃的，也就拍个照发个朋友圈有用,1,2019-10-05 11:20
@勾文君,,搞不明白，大家都不喜欢，怎么这么多人排队，是他们不玩微博还是不发言。。。。。,2,2019-10-05 11:14
@醉驾上路,,网红店有什么意思呢，很多的不过是徒有虚名,2,2019-10-05 11:10
@浪花会淘尽所有的幻象,,所以我在北京成功避开了人群是因为我没吃网红店？,2,2019-10-05 11:10
@力求突破天际的Jaime,,排队是不可能，不想浪费时间,2,2019-10-05 11:08
