User,Reter,Comment,Votes,Time
@饭圈鹅姐,,还有哪些要补充的来这条安利,117,2019-10-05 21:10
@正冬十八,,古茗不配拥有姓名嘛,733,2019-10-05 20:05
@我叫西夜_,,蜜雪啊,518,2019-10-05 20:25
@突然想到理想这个词ci,,厝内小眷村 不配拥有姓名,247,2019-10-05 20:16
@熬夜看球喝可乐,,一点点的要喝四季春玛奇朵无糖去冰加椰果啊！,199,2019-10-05 19:56
@曹美美同学,,没有卡旺卡,135,2019-10-05 20:06
@你阿不讨喜,,茶颜悦色幽兰拿铁是真好喝,188,2019-10-05 20:13
@KYoSS_321,,“毒奶茶”：贡茶、coco、一点点、珍煮丹、鲜芋仙、博多一幸舍 、85度C 50 祖国面前无奶茶！！！,120,2019-10-05 20:49
@很方很方的方,,有没有阿水,86,2019-10-05 20:11
@Ivo_zhao,,一点点和coco，贡茶就算了都是台独奶茶,84,2019-10-05 20:33
@把减肥写在昵称里,,书亦烧仙草呢？没人爱吃吗？半杯都是料,54,2019-10-05 22:37
@默小北1227,,竟然没有快乐柠檬,46,2019-10-05 20:05
@阿華Playstore,,没有茶百道？,52,2019-10-05 20:06
@静待繁花盛放,,想喝益禾堂的烤奶，加珍珠，半糖，正常冰,25,2019-10-05 20:32
@牙牙尔,,居然没有古茗,29,2019-10-05 20:08
@徐同学想吃不胖,,？？沪上阿姨呢,19,2019-10-06 01:29
@晚上九点吃零食的机器,,来@五岁的一一,0,2019-10-05 23:09
@骂人阿托,,mark#任豪 篮球校草#,0,2019-10-24 17:51
@Emily琳,,请给我卡旺卡姓名！,17,2019-10-05 20:36
@江山舟可渡y,,@山有径可行y ,1,2019-10-05 20:13
@希望脸圆圆,,@海上氟西汀,0,2019-10-05 21:13
@我挺王源520,,老塞咖啡,1,2019-10-06 08:54
@bonjour-Lydia,,@西瓜超甜der,0,2019-10-06 00:14
@-琳笙,,@温清- 码了,0,2019-10-05 21:52
@一只座山喵,,@ahui阿辉 ,0,2019-10-05 21:48
@十项全能Kane酱,,啧，每个人取向都不同，攻略只能是参考叭,6,2019-10-05 20:34
@0汪1晓1悦6,,想要黑泷堂的,3,2019-10-06 15:20
@生生hx,,一点点和 coco还有贡茶不是什么台独  还是港独之类的品牌吗,5,2019-10-06 13:42
@馨馨馨Zzzyx,,@是甜甜哎,0,2019-10-05 22:58
@PinkKeane,,@李某人想换个ID,0,2019-10-05 20:39
@Daisyyyy-L,,@樱桃口味巧克力,0,2019-10-05 20:10
@冃伢,,茶颜悦色双倍奶油＋双倍碧根果（三倍也可）＝双倍的快乐，真的巨好喝回家之后都忘不了,2,2019-10-05 20:45
@我帮人我不烦人啊,,厝内小眷村 乐乐茶都很好喝,2,2019-10-05 20:44
@权志龙易烊千玺的酷仙女818,,没有悸动,0,2019-10-09 10:04
@凉城432,,和小红书上一毛一样,0,2019-10-07 00:36
@大珂537,,@Tanja33 @国荣张 帮我藏好了,0,2019-10-06 21:10
@奚棂87491,,吾饮良品也很好喝呀,0,2019-10-06 18:12
@今天小管开心了吗,,@小王不吃生姜 给我喝！,0,2019-10-05 20:39
@爵士西红柿,,@luftenscH,0,2019-10-05 20:17
@點心鋪子的小店長,,@白绵羊与奈良鹿 ,1,2019-10-12 17:27
@贲贲MY,,一点点怎么点都好难喝,1,2019-10-12 10:39
@緑茄子貓,,@我终于改名字了下一次是一年后了 @没有大米,0,2019-10-05 23:57
@_Krww,,@幸听井九 存档一下,1,2019-10-05 22:55
@宁渊L,,很喜欢coco的桃桃系列,1,2019-10-05 22:53
@我真逗乐_,,@JL_阿宅,1,2019-10-05 21:02
@Kiwifruit甜,,没有鹿角巷吗,1,2019-10-05 20:53
@M八敏,,@我去摘月亮哩 来,0,2019-10-05 20:26
@七饭饭饭,,不觉着coco 好喝啊,1,2019-10-05 20:15
@思晗-,,码住！,0,2019-11-02 18:33
@李缪斯muse,,@偶系灿灿,0,2019-10-28 16:52
@长念荣,,甘茶度不配吗,0,2019-10-25 19:20
@__蝉想,,@老草莓哦 备着,0,2019-10-22 13:01
@Celery_Agatha,,@prieastlin的迷妹,0,2019-10-15 13:21
@HUA花生壳yu_,,m,0,2019-10-12 04:06
@哥谭摄影师,,@ImNotTryingRuinYourHappiness,0,2019-10-12 02:08
@龄龄今天方我了迈,,茶颜悦色不需要攻略 没有雷踩啊,0,2019-10-12 01:30
@王尔德的饭盒,,@一颗柠檬豆儿,0,2019-10-12 00:36
@HoJee_M,,诺！给你了 @是阿璇酱,0,2019-10-11 23:49
@就是BRIGHT,,@你的心心掉我兜里了,0,2019-10-11 23:25
@南瓜南瓜qwq,,@真的怪哦,0,2019-10-11 23:09
@在我臂彎里,,@刘洁的V博 快快快,0,2019-10-11 23:08
@扁担长板凳说不行,,转发微博 评论配图,0,2019-10-11 21:40
@Babybear-yw,,佐敦道！！！厝内小眷村！！！,0,2019-10-11 18:05
@Babybear-yw,,厝内小眷村必须拥有姓名！！！,0,2019-10-11 18:05
@木子哩倩,,茶颜悦色力推力推,0,2019-10-11 15:11
@见不到偶像绝不改名,,,0,2019-10-11 15:05
@Sheila每天都要开心阿,,怀念学校里的大卡司@爱国人士大婧婧,0,2019-10-11 14:06
@兔几呐,,@铲屎官要改行了,0,2019-10-11 13:47
@Dai鸟丶,,@Shelly_lvvv 给你安利,0,2019-10-11 12:49
@大cc要变强,,@PuPumpkin,0,2019-10-11 12:12
@choi_seung_hyun_tttttop,,大维的热力可可,0,2019-10-11 12:08
@泥不吃香菜,,益禾堂烤奶已经够甜了还要加布丁。。。,0,2019-10-11 12:01
@雷雨不是笔名,,@璇璇璇鹅,0,2019-10-11 11:52
@熊猫熊猫吃肉,,@难再,1,2019-10-10 21:28
@小凡妹成年了,,嘻嘻嘻嘻嘻嘻收,0,2019-10-10 20:57
@ruotong_piano,,@刘诗彧小熊熊 @小花喵喵喵喵喵喵,0,2019-10-10 20:28
@西西雅啊,,@华之花yu,0,2019-10-10 19:50
@明天一定早点睡呀,,@那一定不是真的我,0,2019-10-10 14:04
@hellodarlidarli,,@PRYNEE_,0,2019-10-10 13:10
@陈瑶瑶就是个臭妹妹,,快乐柠檬不配拥有位置,0,2019-10-10 12:46
@Bubble_Beenle,,@_HyGeia_ 这得安排,0,2019-10-10 11:02
@口异天3344,,Holy Crap！功盖千秋啊姐妹！！MarkMarkMarkMarkMark！！！,0,2019-10-10 10:52
@今天又可以喝奶茶了吗,,,0,2019-10-10 10:12
@Indifferent7_,,@-LIU-YL,0,2019-10-10 09:38
@-巷口老猫,,@张乖巧儿___,0,2019-10-10 09:17
@匡威男孩z,,@-柠檬味的小苏打- 哈哈哈哈哈,0,2019-10-10 08:59
@夏目友人与粥酱,,只要喝冷的，就没有热量！记住了！丁小柔名言,0,2019-10-10 08:57
@居不下HUO,,coco的轻奶茶西米露可太好喝了呜呜呜不知道为啥上班年开始好像很多店都不卖了？？？,0,2019-10-10 08:53
@1997年的景洁昕,,@ZZZwwenji,0,2019-10-10 08:46
@三岁的鸡蛋,,@不不是no嘛,0,2019-10-10 08:10
@奶盖小黎_,,@奶茶小张_,0,2019-10-10 07:57
@某年某月某日在某地的某某,,,0,2019-10-10 06:48
@懹懹,,蜜果呢,0,2019-10-10 05:27
@赫铭_,,@欣帆_,0,2019-10-10 04:26
@欧·聪明可爱,,古茗！蜜雪冰城！,0,2019-10-10 02:58
