User,Reter,Comment,Votes,Time
@何仙姑,,骗子骂骂咧咧退出群聊。,777,2019-10-06 10:43
@卓卓Drolma,,哈哈哈哈，我也遇到过，让我去办车购税退税，他说他是市局的，我又问了他几个问题，到第三个基本就撑不住了，漏洞百出！（他不知道我就是税务局的,58,2019-10-06 10:52
@凤凰真灵,,有次我接到个诈骗电话:他说他是派出所的，我有个快递有问题，被查出违法物品！让我告诉他身份证等信息要核查！我我直接说我也是派出所的，对自己快递有违法物品很在意！让他告诉我具体地址想带人过去看一下！对方马上就把电话挂了！后来打过去再也没人接！,41,2019-10-06 11:23
@大蛋呀,,骗子最高境界骗自己,37,2019-10-06 10:44
@有点机智有点憨,,之前接到诈骗电话我也很高兴，和对方聊了很久，最后我聊够了，就说我卡里2毛钱，对面沉默了3秒，挂电话了,37,2019-10-06 10:54
@YF密斯冷,,你多大个派出所,30,2019-10-06 10:50
@Spray_Chen,,,35,2019-10-06 10:53
@与速哥同在,,希望派出所立案调查，抓住这个骗子，让他现场说法，再给表演一遍。好好的演员不当，非要去当骗子，白瞎了这演技……,27,2019-10-06 11:26
@一杯星尘,,骗人的最高境界就是先把自己骗了,22,2019-10-06 10:58
@Ain_Beauty君,,满满的都是戏……,21,2019-10-06 10:44
@风期限在凌晨,,给这个骗子颁个奥斯卡最佳奖,15,2019-10-06 10:51
@南亚蝙蝠,,这骗子知识储备都不够，还学别人出来骗人。先回去多修炼几年，再出来骗人吧。,12,2019-10-06 10:45
@月半饼饼,,我也是服了！这骗子戏够足的，我很好奇他心里慌张吗,8,2019-10-06 10:43
@罗熙姨母一号番茄酱,,警察陪你练话术呢,7,2019-10-06 10:44
@选召,,所以并不是谁大声谁就有理,7,2019-10-06 10:44
@是捕鱼达人阿,,骗子最高境界骗自己,3,2019-10-06 10:44
@阅读手记,,这临场发挥，不当演员可惜了啊,2,2019-10-06 10:58
@MD_敏敏0108,,人民警察威武  见招拆招,3,2019-10-06 10:55
@一只猪蹄丶,,任你多厉害，也逃不过警察同志的法眼,3,2019-10-06 10:54
@武汉微城事,,高手过招，刀刀致命,2,2019-10-06 10:49
@三無吐槽师,,骗子骂骂咧咧退出群聊。,2,2019-10-06 10:43
@贫困学长,,这个“嫌弃”就很优秀,2,2019-10-06 10:52
@Le一仔,,李鬼遇到李逵，别玩套路,3,2019-10-06 10:46
@Blank909,,你多大个派出所,3,2019-10-06 10:45
@张大脸儿zqj,,入戏太深,4,2019-10-06 10:44
@sorry888888,,人民警察威武,2,2019-10-06 10:44
@沈赫杰,,那个男的是骗子是吗，感觉他们的对话毫无破绽,3,2019-10-06 11:58
@半糖主义石头,,厉害哦,1,2019-10-06 14:04
@橘生淮南则为枳i,,绝了,1,2019-10-06 12:53
@想送你一个机器人,,有一次我接到一个骗子的电话，跟他说“你们骗了这么多年，老用一个招数，有意思吗，不能来点新鲜的招数”，骗子“额，嘿嘿，嘿嘿”，然后我挂了,1,2019-10-06 12:49
@教师资格证考试学习,,我连我自己都骗,1,2019-10-06 12:25
@Zaki_舒,,一本正经的胡说八道,2,2019-10-06 11:42
@阿晶zbiu,,只要底气够足，连自己都信以为真哈哈哈哈！,1,2019-10-06 11:13
@一套衣服,,哈哈哈哈哈骗子：主要看气质,1,2019-10-06 10:58
@澄澈的Allen眼,,哈哈哈哈,2,2019-10-06 10:54
@suue_鱼哼唧,,结局呢 骗子逮到了嘛哈哈哈,1,2019-10-06 10:53
@现现哥家的小孩,,戏精，戏太多了，哈哈,2,2019-10-06 10:49
@依依望月亮,,无奇不有,1,2019-10-06 10:48
@龙飞揽悦,,装的还挺像,1,2019-10-06 10:47
@叶彭bin玢汝,,,1,2019-10-06 10:44
@搞bot,,只要底气够足，我连自己都能说服,1,2019-10-06 10:44
