User,Reter,Comment,Votes,Time
@冈本一郎,,真正实现为人民服务的一个小小举措,2751,2019-10-04 23:55
@谭凯元,,赞一赞扬州市委市政府,1112,2019-10-04 23:53
@MapleSugar__,,有利于转变职能，建设服务型政府；有利于增强人民的主人翁意识，提高人民的政治素养；体现了政府为人民服务的宗旨,69,2019-10-05 11:11
@桜落落,,哈哈哈哈哈又在热搜见扬州，作为扬州人，先叉会儿腰～,67,2019-10-05 10:33
@ket李,,我们这公安局大门常年紧闭，上书为人民服务。连个自行车都进不去也不知道服务个球,8,2019-10-05 10:44
@沙雕萌鹅,,很接地气啊,11,2019-10-04 23:50
@网恋奔现,,他......,5,2019-10-05 10:50
@在线躲猫猫,,花里胡哨，正事不办。,8,2019-10-05 10:36
@应静娴,,今天刚去玩 哎 不知道 停了四个多小时车 50块停车费 饭吃了130,7,2019-10-05 00:26
@曹呵呵,,扬州终于上热搜了,5,2019-10-05 11:59
@齐村哪儿,,本来也是对外开放的，非让一帮人搞成私人地方,7,2019-10-05 00:04
@飞扬天使飞扬天使,,扬州政府为人民服务,7,2019-10-05 11:09
@姐滴大象腿,,偶尔的一个政府罢了，大环境还是和以前一样,4,2019-10-05 10:54
@丶呦儿园扛把子,,去了一次再也不会去的地方，一顿饭吃了3000多还不让坐包间，投诉也没用,7,2019-10-05 07:52
@Mr·Tired_wuli,,实打实为人民服务吗,2,2019-10-04 23:51
@热心网友8888,,有啥好玩的？,4,2019-10-04 23:51
@江海滔源,,真是好政府。但是也要注意市府的安全。安检不可以疏忽,2,2019-10-05 12:16
@读书以后,,真好,2,2019-10-05 10:41
@沈医护理喵喵喵,,可以跟市长合影吗,2,2019-10-05 08:58
@他衣袖,,呀，生活了四年的地方,2,2019-10-05 12:27
@A--资深奋斗者,,这个操作太帅,0,2019-10-05 12:10
@长裙长发午后时光,,可以可以,2,2019-10-05 10:50
@为你痴狂732016,,我觉得这样不太妥吧,5,2019-10-05 04:36
@1017489431siyu0422,,全是我马云爸爸的功劳,1,2019-10-05 12:35
@bobo最爱,,正能量，正能量！！宣传一下我的家乡！！#扬州市政府向公众开放#,1,2019-10-05 12:30
@凡俗丶,,炫  、,1,2019-10-05 11:29
@赵先德,,@老徐时评,1,2019-10-05 11:26
@谨言慎行txt,,我骄傲,0,2019-10-05 20:45
@丛灵,,很赞,0,2019-10-05 11:56
@木木木会啊,,不敢相信,0,2019-10-05 11:47
@灿白焕沇,,我也要去,0,2019-10-05 11:19
@Theendoftime,,我们这的市政府进门实名登记写明来意24小时民警武警执勤,1,2019-10-05 07:45
@溺水一刀,,@一只傲娇又任性的水瓶 老公带我去,1,2019-10-05 01:14
@酥糖不香V,,值得推广,1,2019-10-05 00:22
@catherine_T-婷,,我大扬州突然这么接地气？还特搜？,3,2019-10-05 10:48
@z馬z,,莱斯呢,3,2019-10-05 10:41
@冷小众玩車,,河南省政府门口欢迎大家,3,2019-10-05 09:50
@W-不是橘子的椪柑,,外来人员禁止入内,2,2019-10-05 07:13
@氵·禾·火,,在扬州玩找不到路，然后问路，一群大爷大妈都给你指路，特别热情。扬州人真的是素质高又很阔爱呀，而且城市很干净，虽然没有太出众的景色，但整体感觉是个非常宜居的花园城市,1,2019-10-05 13:22
@庄河女瀚子,,全国推广，市政部门。周末也可以啊。监控也比较到位，不文明行为也好处罚。,1,2019-10-05 12:53
@写字好看的人,,我大扬州竟然上热搜啦,1,2019-10-05 12:46
@勤奋的梓炜,,,1,2019-10-05 12:24
@深林幽篁,,这个亲民便民措施值得推广，公共部门在不上班的节假日或晚上可开放闲置的停车空间，适当收费也在理，这样会减少马路乱停车现象。,1,2019-10-05 12:13
@宁为守藏吏,,为人民服务,0,2019-10-05 20:18
@悦悦是糖糖明天的阳光,,"Too young 但是一点也不simple,一点也不naive",0,2019-10-05 19:56
@王珊的,,太狠了，直接开放,0,2019-10-05 19:52
@南大慌,,我大扬州早就开放了呀！政府大院节假日可以免费停车。,0,2019-10-05 19:43
@她说白日梦也是一种梦想,,去早了，没赶得上,0,2019-10-05 19:33
@海通A,,扬州政府很接地气！,0,2019-10-05 19:21
@铭天-过后,,转发微博,0,2019-10-05 19:10
@涵晓梦,,这个不错哦,0,2019-10-05 19:07
@飞鸿雪泥123456,,老于头号令天下，谁敢不从？,0,2019-10-05 18:50
@小楠妈咪Nancy,,看得我都想去扬州旅游看看了,0,2019-10-05 18:21
@slowsoul_qin,,@李斯奇,0,2019-10-05 15:58
@治妹纸,,我们湘潭市的市政府就一直可以让外面的人进去吃啊，我一直在里面吃 主要是卫生安全，还不贵。,0,2019-10-05 15:36
@兜兜的金鱼姬,,都江堰也是哟,0,2019-10-05 13:53
@Fieoi,,羡慕,0,2019-10-05 13:41
@萝北县志,,哈哈哈哈哈扩展业务,0,2019-10-05 13:29
@葉子何几年,,扬州上次五一去过，每坐一辆公交车必会看到有人主动让座，大马路上没什么垃圾桶，但是超级干净，感觉还是不错的。,0,2019-10-05 13:26
@万万是头小居居,,为景区分担一下吗,0,2019-10-05 13:23
@扬州好市民-,,,0,2019-10-05 13:20
@Sherwin_HUANG,,看看人家这政府姿态，北方地方政府目前还是一戳一扑棱的状态，不容分说，爱咋咋地,0,2019-10-05 12:59
@叽哩咕噜的月冬,,我们扬州棒棒哒,0,2019-10-05 12:58
@swissroll11,,不过得注意安全，别让坏人利用了,0,2019-10-05 12:54
@莲开丹朱棋无话,,厉害,0,2019-10-05 12:50
@最xian的那条咸鱼,,毛爷爷故乡韶山市政府好像一直都是可以免费停车,0,2019-10-05 12:47
@彼得潘0511,,居然可以评论,0,2019-10-05 12:47
@Listener-Observer,,厉害呀，扬州!,0,2019-10-05 12:46
@霹雳太子小黄回来了,,大部分人的注意力光看到免费停车了，没看到政府部门的停车场很大，楼盖的还真气派。,0,2019-10-05 12:34
@ToughGirl爱许嵩,,可以的,0,2019-10-05 12:31
@阿丰外传,,之前面试考过，原来是扬州市政府，记得当时我答了三点：开放要有温度，开放要有制度，开放要有限度。,1,2019-10-05 12:29
@Terry要像Curry一样,,扬州欢迎大家来哦，联合国宜居城市,1,2019-10-05 12:22
@baby是乖宝宝,,,0,2019-10-05 12:18
@Eunji啊啊,,我的大扬州！！！！！,0,2019-10-05 12:18
@文氓顏龍,,这次政府里面终于有人民了,0,2019-10-05 12:11
@104Gyc,,评论里这么多着急的吗？加急怕是也安排不上,0,2019-10-05 12:07
@YDYHL会哭泣的鱼,,你怎么那么优秀扬州,0,2019-10-05 11:57
@YDYHL会哭泣的鱼,,太,0,2019-10-05 11:47
@范寺哲,,未来的政府惠民趋势,0,2019-10-05 11:47
@U暗者,,最后一个绝逼演员,0,2019-10-05 11:45
@琉琉的桃源乡,,@昏迷不醒的猪,0,2019-10-05 11:43
@范寺哲,,社会机构都应该这样，望推广,0,2019-10-05 11:29
@鲤鱼小微笑,,我大江苏就是好,0,2019-10-05 11:24
@取个名字这么麻烦的啊,,刚从扬州玩回来,1,2019-10-05 11:10
@金若曦妮,,评论就很有趣，＋1s,0,2019-10-05 11:06
@鼠瓜瓜,,,0,2019-10-05 11:06
@花的梦yu,,,0,2019-10-05 10:30
@喜欢液态黑_,,赞一个,0,2019-10-05 09:28
@唐山小十三香,,我人民服务真的没成为一句空话,0,2019-10-05 09:28
@Antonio-Madiba-WU,,这个可以，为扬州市委市政府点赞！,0,2019-10-05 09:10
@西北狼必胜611,,这个可以推广了  赞,0,2019-10-05 08:56
@婷zih酱,,,0,2019-10-05 08:19
@鸥OM,,希望其他地方政府也可以借鉴一下,1,2019-10-05 07:28
@书仙有云陈独皮,,,1,2019-10-05 03:58
@hyy_宣,,各地区政府和市政府也可以尝试着做,0,2019-10-05 03:34
@不断游走的数字,,这个可以推广,1,2019-10-05 01:02
@我何时会有狗屎运鸭,,什么时候把出租车的风气也整整也就好了,0,2019-10-05 00:27
@兔兔_33785,,是,0,2019-10-05 00:26
@今天早睡了吗wa,,那我之前去早了,0,2019-10-05 00:21
@海阳12海洋3,,转发微博,0,2019-10-05 00:02
@刘杨芊寻,,食堂的不放假么,0,2019-10-04 23:56
@墩墩儿豆,,哎哟不错哟！,0,2019-10-04 23:51
@镇江日语晏老师,,觉得挺好的，接地气，还拉进了跟老百姓的距离,1,2019-10-05 12:45
@真新镇小智是也,,不…早就这样了吗我们这儿的市政府市民都是可以停车的，也可以在市政府里散步,1,2019-10-05 12:41
@葬心同学,,不愧为江南水乡！我们这的政府，连平时都不让进，何况节假日。。,1,2019-10-05 12:18
@六升咖啡,,这个牛逼,1,2019-10-05 12:17
@穿梭次元的少年,,和我们县城的县政府差不多，停车倒是不让，但可以去吃饭，收费很便宜，而且很好吃！我念高中的时候晚饭来不及回家吃，都是去县政府里面吃,1,2019-10-05 12:05
@造型设计师-阿文520,,利民,1,2019-10-05 11:40
@Leu少少迪刘,,毕竟是扬州故乡,1,2019-10-05 11:39
@YoginWell,,受访群众的口音好熟悉，怎么回事,1,2019-10-05 11:34
@一个大好人x,,简餐……扬州炒饭？？？,1,2019-10-05 11:30
@珍珠糖玛奇朵,,恭喜我大扬州喜提热搜，为大扬州点赞,1,2019-10-05 11:02
@HL一9九8,,扬州人民确实不错!很热情,1,2019-10-05 11:01
@99自在其中,,扬州这个城市太棒了有木有！太喜欢扬州这个城市了！,1,2019-10-05 11:00
@神龟侠2022,,我靠，伟大的一步,1,2019-10-05 10:52
@苏州城楼,,这次去扬州，对扬州有了新的认知。从扬州老城区框架跟建筑可以看出，扬州在古代应该是个大城住着富有的人。但是现在高铁都没有，衰落得确实很快。贝壳上扬州频道连地图找房都没有确实很敷衍了，一万多能买到品质不错的楼盘，感觉扬州被时代抛弃了。,2,2019-10-05 10:46
@TASKA7,,行了，梗都看腻了不知道有什么值得高潮的,0,2019-10-05 14:17
@孔孔孔要变独立,,,0,2019-10-05 14:14
@小王子的Spring,,我大扬州好样的,0,2019-10-05 14:05
@__柠小檬_,,pick大扬州~,0,2019-10-05 13:43
@豆豆爱love煊煊,,为人民服务！,0,2019-10-05 13:36
@_leventpour,,@是亦晨吗 wuli扬州,0,2019-10-05 13:36
@绿幽灵风,,真的，政府和一些机关单位场地节假日都空着，其实可以利用起来解决节假日停车难的问题,0,2019-10-05 13:31
@苏小白给力每一天,,哈哈～恭喜我大扬州喜提热搜！,0,2019-10-05 13:26
@徐氏海运少夫人,,扬州炒饭小美人~~,0,2019-10-05 13:19
@秘思橘,,我只能安排普通周末，去不成了,0,2019-10-05 13:18
@Susukikun,,很顶哦,0,2019-10-05 13:18
@我的房车嘞,,扬州不愧是我喜欢的城市,0,2019-10-05 13:17
@Mr少帮主,,@露露露露露露咯露露露露露,0,2019-10-05 12:59
@到底什么才适合我,,#扬州市政府向公众开放# 我扬州就是很棒啊,0,2019-10-05 12:57
@柔光的小世界,,很棒,0,2019-10-05 12:52
@我叫软软haha你是瞻瞻,,,0,2019-10-05 12:29
@励志氵工,,没回家时遗憾？！！！！,0,2019-10-05 12:20
@沈鹿呦,,我想吃正宗的扬州炒饭 蹲个评论,0,2019-10-05 12:17
@大长腿刘昊然啊,,某些地方大门紧闭进去撒个尿都不可以,0,2019-10-05 12:13
@一記喜欢,,真好啊,0,2019-10-05 12:08
@hiry诗小囡,,不错呀,0,2019-10-05 12:08
@新垣结梦,,好棒啊,0,2019-10-05 12:08
