User,Reter,Comment,Votes,Time
@深深的心肝宝贝蜜饯儿,,阅兵场上没有你们，阅兵外围全是你们,214,2019-10-05 12:35
@安静的xback很安静,,您辛苦了,162,2019-10-04 23:14
@卢小伟兄弟,,老警官，宝刀不老，祝您长命百岁,134,2019-10-05 03:54
@G-DRAGON晴,,人生是需要反思，常是回头看看， 才是能在品味得失和甘苦中升华。,57,2019-10-05 07:02
@今日宝藏,,警察也是默默付出的一班人，辛苦了,31,2019-10-05 13:19
@源哥的姑娘1108118,,您辛苦了,17,2019-10-05 11:02
@快乐的胖子201402,,可爱的人,25,2019-10-05 06:38
@marry_kiy,,感谢有你们，感恩,17,2019-10-04 23:11
@爱莲说x-back,,辛苦了,14,2019-10-05 06:53
@All_in_AI,,祖国为什么强大，就是因为有这么多默默无名的英雄的守护和坚持。,13,2019-10-05 11:23
@-刘润来,,转发微博,8,2019-10-04 23:20
@月满空山-花满楼,,30号下班前收了个急病患者，安置好已经是8点多，走出单位夜晚的街道飘满了国旗，把自己工作做好，也算为祖国庆生了～,11,2019-10-05 13:04
@媛子彤豆,,致敬！感谢您们的守护带来我们的岁月静好！,7,2019-10-05 12:48
@aashuang-,,致敬！！,2,2019-10-05 12:26
@三水工惪琈,,我们在开心放假的时候 朋友很多人在紧张的“作战”状态 没有他们 没有我们畅享节日,3,2019-10-05 12:59
@淮南凌少,,致敬,2,2019-10-05 07:18
@苏77婆婆,,辛苦您了,3,2019-10-04 23:06
@OIivia_Q,,警察也是默默付出的一班人，辛苦了,5,2019-10-05 13:06
@Kinki-得寵,,辛苦了！,1,2019-10-05 20:10
@欣悦19390,,为您点赞,1,2019-10-05 16:02
@我的钱被大疯刮走了,,也许是最有意义的一班岗了，谢谢您！辛苦了！,2,2019-10-05 14:34
@韶要努力呀,,真的很感动，辛苦啦！,1,2019-10-05 13:28
@我又佛系了,,,1,2019-10-05 01:50
@葵困妈,,辛苦了,2,2019-10-04 23:17
@JYRYT,,,1,2019-10-04 23:11
@Sun-Ygl,,我父亲也是今年退休，,2,2019-10-05 13:06
@宝贝回家小雷,,#老警员退休前为国庆站好最后一班岗#,1,2019-10-05 19:03
@-NICo婷仔,,这真的是辛苦了,1,2019-10-05 14:21
@珠海交警,,#老警员退休前为国庆站好最后一班岗# 点赞！！！,1,2019-10-05 14:06
@L不用去猜-,,辛苦啦,1,2019-10-05 13:24
@Irises6120,,您辛苦啦，谢谢您，祝您身体健康,1,2019-10-05 13:23
@陈婉-WQ,,您辛苦了,2,2019-10-05 01:10
@Y香菇-口-,,我爸爸57了，也在站岗,2,2019-10-05 12:36
@么么哒二锅头,,您辛苦了,2,2019-10-05 12:20
@Su-35s,,就差掉层皮了//@深深的心肝宝贝蜜饯儿:阅兵场上没有你们，阅兵外围全是你们,1,2019-10-05 20:13
@Clara-Doctor,,辛苦了，,1,2019-10-05 19:26
@揪朵云,,感谢,1,2019-10-05 19:19
@二凡十三岁,,您辛苦了!!,1,2019-10-05 14:41
@刚出土的女博士,,爸爸是警察 每次大家放假和家人团聚的时候 却是他最忙的时候,1,2019-10-05 14:33
@那扎a,,给您点赞,1,2019-10-05 14:21
@你的仙女璐_,,您辛苦了,1,2019-10-05 14:14
@徐一毛,,您辛苦了,1,2019-10-05 14:06
@白小攸,,您辛苦了,1,2019-10-05 14:03
@月亮只看着我,,有了你们的付出，才有我们的安全,1,2019-10-05 14:02
@OrangeeeeeE-E-,,国庆来上海玩了  辛苦你了,1,2019-10-05 14:00
@清影流鱼200512,,感谢您,1,2019-10-05 13:59
@-斯钦布赫-,,向人民警察致敬,1,2019-10-05 13:58
@777鹿落曦鸭777,,辛苦了,1,2019-10-05 13:50
@要去北京的安德,,天哪 想哭,1,2019-10-05 13:28
@晚晚和迟迟,,,1,2019-10-05 13:26
@铭铭啊明明,,我觉得他们好光荣 默默无闻,1,2019-10-05 13:22
@cjf精彩由你而来,,,1,2019-10-05 10:18
@开心每一天yong,,辛苦了,0,2019-10-05 23:25
@尼古丁丶抽不尽的酸楚,,！,0,2019-10-05 01:08
@阿忙,,我看见了！,0,2019-10-05 14:13
@路从今夜白04564,,辛苦啦,0,2019-10-05 20:29
@艾玛西瓜呀,,@牛油果味猹,0,2019-10-05 14:38
@时光无声人易老,,,0,2019-10-05 14:18
@多睡觉少吃零食,,那年元旦,0,2019-10-05 14:05
@调音师丶心,,国庆安保，与您同坚守。,0,2019-10-05 13:19
@快乐的樱花下的相遇,,他们真的很辛苦，节假日开会啥的晚上也要值班站岗，二十四个小时不动的事常有，默默奉献，点赞他们的毅力、付出精神。,0,2019-10-05 13:13
@墨奥拉,,您辛苦了,0,2019-10-05 13:07
@一无是处的鬼鬼,,您辛苦了,0,2019-10-05 13:06
@Jessica茜x,,美好的是你们无私的付出与守候，感恩。,0,2019-10-05 13:04
@兔兔吃菠萝,,辛苦啦,0,2019-10-05 12:56
@狼寶兒-仙兒,,辛苦啦！可爱又伟大的人,0,2019-10-05 12:44
@小朱仙女999,,您们最棒了,0,2019-10-05 12:42
@民以食为天一顿不吃饿得慌,,好友纪念意义的一班岗,0,2019-10-05 12:41
@妮妮0675,,,0,2019-10-05 10:20
@尼尔-布坎南,,,0,2019-10-05 10:19
@huayuyini,,佩服,0,2019-10-05 10:15
