User,Reter,Comment,Votes,Time
@被生活绊倒还是要站起来呀,,去上海前学好做好垃圾分类,384,2019-10-05 17:08
@Lai小兜,,莫雷港独，渣浪压热搜，虎扑删贴，腾讯也压着，请人民日报看看！听听大家的声音！我会一直刷,384,2019-10-05 17:15
@琛欢琛喜,,今年报名成为进博会的志愿者了，希望能让来自世界各地的朋友感受到来自中国的热情[加油],312,2019-10-05 17:09
@Lai小兜,,莫雷港独，渣浪压热搜，虎扑删贴，腾讯也压着，请人民日报看看！听听大家的声音！,208,2019-10-05 17:13
@夏儿爱诗诗,,上海是个宝地！,188,2019-10-05 17:08
@trendlx,,果然是魔都，太好看了，上海欢迎你,95,2019-10-05 17:20
@发刊物请联系我,,形象片,116,2019-10-05 17:07
@释然丶我心依然,,我们的大上海！几乎成为了我们国家的形象代言人了！,67,2019-10-05 17:16
@江川10,,上海人这里来报道,72,2019-10-05 17:08
@今日宝藏,,第一档上海进博会，第二档重庆智博会，其他,43,2019-10-05 17:18
@kokeiyuk,,我永远为家乡自豪，谢谢所有建设家乡的全国同胞，上海因为你们才有了新鲜的血液，才是恒新之城,43,2019-10-05 18:13
@懂少dsy,, 我觉得上海已经超越了纽约是世界第一大都市了,10,2019-10-05 17:38
@爱娜小妞0506,,好棒,3,2019-10-05 17:21
@现小喵,,上海欢迎你,3,2019-10-05 18:17
@慈溪阿铭,,能不能申请做志愿者？,3,2019-10-05 17:10
@pony_wang,,上海也就做做场面工作吧,4,2019-10-05 17:08
@希文sivanYangYZ,,深圳虽然也很繁荣 但是我总感觉缺点什么东西  我好像明白了 是缺少了那一点文化底蕴的感觉  祝祖国越来越好,3,2019-10-05 20:37
@羊皮,,其实看到更多的是希望！,2,2019-10-05 17:31
@羽珊ing,,支持！支持！中国力量！,4,2019-10-05 17:10
@爱到深处自然黑yo,,上海！,3,2019-10-05 17:09
@流浪旅馆,,11月见！,3,2019-10-05 17:08
@快落小陈总,,超级期待,3,2019-10-05 17:08
@Ellisgogogo,,哇！那...还放假么[皱眉],3,2019-10-05 17:10
@小小蒲公英林,,支持上海,3,2019-10-05 17:20
@梦屿lin,,期待更加开放、包容、多元的上海,3,2019-10-05 17:13
@然炎加,,魔都,4,2019-10-05 17:08
@佑战,,期待进博会,1,2019-10-05 18:11
@铃月无涯0215,,支持！中国力量！,1,2019-10-05 17:58
@鮮花与飛鳥,,恭喜 开放，包容，多元的上海,2,2019-10-05 17:50
@武侠天下NOB,,出自某些个人原因无法居住在中国。但只要看到祖国的美好发展，心里就甚感欣慰。作为中国人，在国外也能以不同方式为祖国出一份力量。哪怕是绵薄之力，只要问心无愧，心中有祖国，在哪都是幸福的,2,2019-10-05 17:31
@Betsy_love杨队龙队,,期待第二届进博会,2,2019-10-05 17:19
@晴川姐姐,,好棒,1,2019-10-05 17:16
@原来是名名噢,,期待,2,2019-10-05 17:08
@9秒沸腾,,2,2,2019-10-05 17:07
@我还可以再吃一碗啊,,其实上海的繁华在街头小巷，上海不是只有外滩陆家嘴的，热闹的地方太多了，希望大家来玩,2,2019-10-05 19:10
@miaomiaosong,,上海欢迎你,1,2019-10-05 19:18
@cc-想要争口气,,妈呀 上海！！上海！ 太美了！ 今年考研目标学校就在上海临港，比以往更想考上 ，祝我一切顺利！,2,2019-10-05 18:56
@喻文波今天睡醒了吗,,我永远喜欢上海,1,2019-10-05 17:58
@狮子座的小懂事儿,,去年做了进博会的志愿者，真的很独特的体验,1,2019-10-05 17:56
@精致的沙雕girl,,1,2,2019-10-05 17:07
@小瑄宝,,我就想知道我们到底需要调休嘛,3,2019-10-05 20:24
@金若曦妮,,上海最棒！！！不接受反驳！！！,3,2019-10-05 18:12
@legend泽,,上海拍这种MV的水平是真的高。,3,2019-10-05 17:23
@心上一字敢丿,,我居然看到了叶师傅,3,2019-10-05 17:13
@大范儿主,,是不是意味着又要放假啦,1,2019-10-06 13:19
@浅唱聆听hy,,棒棒哒,1,2019-10-06 11:30
@这位幸运的宝宝,,,1,2019-10-05 22:15
@naruto蕊,,因为一个人，喜欢上一座城，向往在那里生活，某天可以和他偶遇，洒脱的舞蹈，积极向上的心态，温暖可爱的笑容，如此正能量的你，@David叶音_WiiiiK 我们都好爱～～～,1,2019-10-05 21:10
@为zhangY,,合唱那儿，我以为开口是我和我的祖国,1,2019-10-05 20:35
@小李必呦喂,,上海！魔都！,1,2019-10-05 19:55
@你积分没加C,,多么先进文明的城市，欣欣向荣，繁荣和谐,1,2019-10-05 19:41
@siber西贝,,考研等我！,1,2019-10-05 19:00
@我还有你shmily,,啊 我大上海,1,2019-10-05 18:41
@文末-wenmore,,哪位大佬能告诉我临港新片区和以前有什么区别吗,1,2019-10-05 18:39
@花下客Y,,哇！好想去呀！,1,2019-10-05 18:20
@LY苒苒,,我承认，对这个城市我有些心动了,2,2019-10-05 18:17
@鲸鱼的小甜喵,,居然看到叶音叶师傅,1,2019-10-05 18:42
@helenonline,,拍得真漂亮! 看见叶音啦!@David叶音_WiiiiK ,1,2019-10-05 18:24
@vitozhangg,,进博会调休,0,2019-10-13 00:01
@ROSHEN如胜,,#第二届进博会 ROSEHN如胜# 筹备顺利进行中,0,2019-10-10 11:26
@美少女壮士火野丽,,我的公司申请参会成功 11月5号 上海见,0,2019-10-10 01:40
@细水长流1021伦,,上海,0,2019-10-06 14:04
@玉儿0111,,,0,2019-10-06 10:31
@ki蓝眼泪,,漂亮,0,2019-10-06 07:38
@小坂江梨子,,上海真的是百看不厭的城市呀～,0,2019-10-05 21:40
@迫不及待来了,,@唐嫣,0,2019-10-05 20:34
@灰色的米仓,,上海欢迎大家！,0,2019-10-05 20:33
@pureebaby,,@___ER___  哥哥看这个,0,2019-10-05 20:32
@卡神朋友,,上海美炸,0,2019-10-05 20:29
@染晗尘-Beans,,好想去上海,0,2019-10-05 20:26
@macrocarpa_,,今年在学校负责进博会志愿者筛选（笔试），其实俺很想成为小叶子,0,2019-10-05 20:16
@Luu-WAng,,垃圾分类学好之前，我好怕去上海 。。。,0,2019-10-05 19:46
@艾克芃芃,,求求了 别调休了,0,2019-10-05 19:32
@饭团家有元宝,,我的上海,0,2019-10-05 19:29
@神仙奶奶o,,@神仙爷爷x,0,2019-10-05 19:18
@ESTHER-2010,,厉害了,0,2019-10-05 19:16
@我是姚慧-,,争取明年，研三，有大把的时间让我去做志愿者，然后，我挺喜欢上海的，希望自己三年最好的青春在这里，不荒废,0,2019-10-05 19:13
@寻找寿司,,考点划一下吧,0,2019-10-05 19:00
@元気青年,,@Ericacea,0,2019-10-05 19:00
@Julianne的酒瓶儿,,啊啊啊啊我是今年志愿者我好期待！！！！！！,0,2019-10-05 18:51
@-兔兴兔-,,上海欢迎你⊙ω⊙～这次能放假不,0,2019-10-05 18:43
@文雨文音,,倒计时了最后三十天,0,2019-10-05 18:42
@乂乚,,这里是上海，恒新之城,1,2019-10-05 18:42
@步履微跚,,今年上海还调休么？,0,2019-10-05 18:40
@Ritaaaaaa__,,进博会志愿者get,1,2019-10-05 18:38
@好久不见-cp,,进博会城市文明志愿者打卡,1,2019-10-05 18:38
@FLTX笑看人生,,支持支持支持、,0,2019-10-05 18:27
@HAPPINESS_MY,,下周去上海，求推荐哪好玩~,0,2019-10-05 18:25
@嗜勋女孩,,我太爱上海了,0,2019-10-05 18:23
@Vermouth____,,我爱上海,0,2019-10-05 18:21
@西祠悠然,,我关心，放假不？,0,2019-10-05 18:19
@WY0110-YOYO,,好棒～一流城市,0,2019-10-05 18:19
@APRIL是大勋的xyy_,,感觉还是上海好,0,2019-10-05 18:16
@时刻冲浪,,哇,0,2019-10-05 18:14
@昭仪想要变成皇后,,我想知道今年进博会还放假不,0,2019-10-05 18:14
@还甜吗,,恒新上海,0,2019-10-05 18:12
@啊安阿安,,都第二届进博会了，记得去年我还让我对象去进博会吃好吃的,0,2019-10-05 18:10
@你能听见空气的振动是520Hz,,嘿嘿放假吗！,0,2019-10-05 18:08
@阿乐萌萌嗒,,,0,2019-10-05 18:06
@L桃桃桃7,,调休了,0,2019-10-05 18:01
@小胖腿ia,,期待更加多元的上海,0,2019-10-05 17:56
@lorilin,,嘻嘻 今年是志愿者 会不会遇到易烊千玺呢,1,2019-10-05 17:53
@幸福的地铁,,每天关注的都是申城的新闻。,0,2019-10-05 17:51
@MusiqueLavie,,支持！中国力量！,0,2019-10-05 17:45
@在馨香弥漫里,,上海欢迎你,0,2019-10-05 17:45
@小七与小五,,幻维出品，必属精品！！！,0,2019-10-05 17:42
@丝路文旅之声,,期待！,0,2019-10-05 17:40
@x象小贝,,期待期待,0,2019-10-05 17:35
@是不岑啊,,我巨想去当进博会志愿者,0,2019-10-05 17:32
@一臻清酒,,上海,0,2019-10-05 17:31
@隔壁大哥来装修,,等荷包鼓起来，我要带家人去上海,0,2019-10-05 17:26
@娱乐星每日爆料,,开放、包容、多元的上海！,0,2019-10-05 17:24
@我叫张双十,,Let's Meet!,0,2019-10-05 17:23
@徐家男团侦探社-尹慕雪,,,0,2019-10-05 17:22
@文艺的荣同学,,,0,2019-10-05 17:22
@月到天心处908852,,,0,2019-10-05 17:19
@桃子果酱sweet,,,0,2019-10-05 17:19
@人家三峡,,第一档上海进博会，第二档重庆智博会，其他,0,2019-10-05 17:18
@最爱整塑_,,,0,2019-10-05 17:16
@ws70,,真的国际大都市啊,0,2019-10-05 17:14
@七天201210,,。,0,2019-10-05 17:14
@妖小呆QAQ,,哇，好想去上海,0,2019-10-05 17:13
@抹茶拿铁三分甜哦,,,1,2019-10-05 17:13
@小狸爱萧萧,,棒棒哒,0,2019-10-05 17:12
@王灰灰小朋友,,厉害了、,0,2019-10-05 17:11
@是你的肉松小贝,,太厉害啦,1,2019-10-05 17:11
@热心网友涵同學,,期待期待 期待放假,1,2019-10-05 17:10
@大和_23,,开放，包容，多元,1,2019-10-05 17:08
@懒得编辑微博名,,期待,1,2019-10-05 17:08
@紫溪幽,,哇塞好棒,1,2019-10-05 17:07
@坤哥的大哥,,加油，让香港变渔村就靠你和深圳了,1,2019-10-06 13:30
@霉霉闹闹的夏天,,,1,2019-10-05 21:16
@爱吃橙子的金金金火火,,好快啊……感觉进博会过完没多久呢,0,2019-10-05 20:17
@嘉惜西,,@-陈阿园-,1,2019-10-05 19:15
@Josie_wy,,,0,2019-11-06 07:00
@araycalledX,,一座充满想象的城市,0,2019-11-05 22:06
@lemon小凡凡,,高级,0,2019-11-02 08:21
@nnz_,,在71路等车看见 发现里面有叶音 厉害啊,0,2019-10-30 19:19
@loveyourself89,,我太喜欢上海了,0,2019-10-27 17:03
@姐姐是鹅吹,,@我的印象笔记,0,2019-10-18 11:03
@LIUCEEE,,没办法，上海有大港口，所以进口博览会永远也到不了北京,0,2019-10-17 10:23
@distant-place13,,洋气,0,2019-10-15 18:05
@Rakuko__,,调不调休能不能给个消息,0,2019-10-10 18:21
@上海悦瑞三维科技股份有限公司,,期待进博会的开幕！,0,2019-10-09 10:08
@___wen_xn___,,@SanteRedoo 叶音！,0,2019-10-07 15:25
@-荒诞诞-,,醉了,0,2019-10-06 20:39
@刁刁DQ,,一年两届？,0,2019-10-06 12:52
@冰封的命运时之轮,,get上海没去过的新景点,0,2019-10-06 12:28
@小笨BL,,这宣传片拍的真是有水平，不在是一味的高楼大厦，拍出来一个有温度的温情的上海。喜欢并热爱上海这个城市。,0,2019-10-06 09:06
@有范的小宁同学,,说的好,0,2019-10-06 08:55
@seryie,,@荷子同学,0,2019-10-06 02:17
@这个女孩叫柒柠墨,,上海是个宝地 我们欢迎你,0,2019-10-06 01:18
@可爱的白莲蓉,,今年也要顺顺利利举办成功,0,2019-10-06 01:08
@瑜要吃土喝水,,不知不觉一年又过去了,0,2019-10-06 00:30
@只恨西风丶,,时间过得真快，这么快又到了第二届啦,0,2019-10-06 00:14
@一支白鹿,,火箭,0,2019-10-06 00:04
@CJ丶飞飞,,文科生噩梦又要来了,0,2019-10-05 23:46
@甲当乙是丙的路人,,如果没钱上海还是上海，只有有钱上海才是纸醉金迷的魔都，才是夜夜笙歌的十里洋场,0,2019-10-05 23:45
@布鲁斯的火烈鸟,,@馬到現在很好,0,2019-10-05 23:37
@澜为水,,什么时候深圳搞一场影响力大的世界级活动呀？先行示范区了，好期待极速起飞,0,2019-10-05 23:30
@豆窈窈窈窈,,我爱上海！,0,2019-10-05 22:50
@小郝同学嘻,,珍惜在上海的时光,0,2019-10-05 22:50
@冬冬冬哥呀,,都过来康康！！！超棒的！！！,0,2019-10-05 22:38
@彭都喜,,大上海,0,2019-10-05 22:22
@Comyselkola,,@吾屎团圆圆,0,2019-10-05 22:16
@幸运的围围爱生活,,上海进博会，到时见,0,2019-10-05 22:12
@AGNES是咸鱼,,今年要去做志愿者了！倒计时20天,0,2019-10-05 22:05
@努力生活努力学习ing,,拍的真好。,0,2019-10-05 21:57
@Crystal_鱼,,,0,2019-10-05 21:43
@云之南716,,古典与现代、东方与西方完美交融，造就了这个中国最繁华最时尚的号称魔都的地方,0,2019-10-05 21:43
@Minoz_菡萏,,进博会门票哪里可以领？,0,2019-10-05 21:41
@_布卜卜,,求科普，进博会是个啥？,0,2019-10-05 21:29
@猴子洋,,求关注火箭总经理涉港言论！,0,2019-10-05 21:23
@摩天轮下de恋,,想有一天去上海看看,0,2019-10-05 21:19
@爱你的蜡笔,,去上海工作三年了，算不上喜欢，但总舍不得离开,0,2019-10-05 21:01
@璽樂xxxx,,我，一名光荣的志愿者！,0,2019-10-05 20:59
@寶寶小強,,转发微博,0,2019-10-05 20:58
@紫花婆婆纳,,上海不想争什么排名，就想安安静静当个东方小孟买,0,2019-10-05 20:58
@小敏子poppy,,看来别的单位又要发钱了，我们就呵呵了,0,2019-10-05 20:57
@半书姑娘,,我想问一下能不能酒店别涨价？？？进口博览会期间酒店双倍甚至三倍涨，正常出差实在承受不起,0,2019-10-05 20:56
@苏青韶,,第一幕竟然是我们大临港哎,0,2019-10-05 20:54
@只想做个不乖,,我好爱上海！好喜欢！！,0,2019-10-05 20:45
@夏洛克花生221B,,拍的太好了,0,2019-10-05 20:45
@PENROSE氵番,,有了对比 真的没有乡港什么事了,0,2019-10-05 20:44
@AKA_噜噜噜噜xxxxg,,我看见了叶音,0,2019-10-05 20:44
@嗯啊JA,,今年进博会去做一个志愿者！冲鸭,0,2019-10-05 20:40
@SouAnan,,@26岁的小张想当rapper,0,2019-10-05 20:38
@某笨瓜家的小坏蛋,,看来临港新片区不是说说而已,0,2019-10-05 20:37
@qxcw9,,上海欢迎你！,0,2019-10-05 20:37
@摊蛋配包子,,想去当志愿者来着，还要过四六级,0,2019-10-05 20:33
@删删删删疯,,,0,2019-10-05 20:33
@bonheurensemble,,打篮球的那个女孩子也太飒了吧,0,2019-10-05 20:31
@小时代_53080,,哇噢,0,2019-10-05 20:25
@夢想是每天能睡懶覺,,海纳百川 开明睿智 追求卓越,0,2019-10-05 20:25
@孙继泽-,,,0,2019-10-05 20:19
@段振鹏s,,上海！中国上海！,0,2019-10-05 20:19
@我爸妈的心肝宝贝,,莫雷港独，渣浪压热搜，虎扑删贴，腾讯也压着，请人民日报看看！听听大家的声音！,0,2019-10-05 20:12
@一颗小甜瓜XD,,真是哭了，自家公司办的展，还扣扣搜搜要自己买票看,0,2019-10-05 20:08
@13环球U品的一个小店长31,,救命啊！南昌市外国语学校九龙湖校区违规补课，国庆才放五天假，一个星期上了十天课不让回家啊！,0,2019-10-05 20:08
@再见vs遇见,,,0,2019-10-05 20:07
@阿仔的豆果,,哇⊙ω⊙,0,2019-10-05 20:07
@real-pcyyyyyyy,,今年没报名志愿者真的难受,0,2019-10-05 20:04
@livivian_,,热搜名竟然看成了 进博会上   海城市形象片,0,2019-10-05 20:03
@rebecca_mua,,有传承 有创新 时尚 优雅 低调 中西文化交融  这就是我大魔都上海,0,2019-10-05 20:02
@无尽藏海wx,,还没去过呢,0,2019-10-05 20:02
@月妍茜,,大上海no1,0,2019-10-05 19:56
@浆果丛林的树熊先生,,妈的 也太美了吧！,0,2019-10-05 19:55
@M0208满眼兴辉L7,,怎么可以去当志愿者啊 求大神指导，可以当翻译，想进去当志愿者  ,0,2019-10-05 19:50
@峰顶有星光,,形象片拍得好,0,2019-10-05 19:50
@奖励你舔娃哈哈的脚丫子,,啥叫进博会？？？？,0,2019-10-05 19:49
@水晶晶男孩,,美死惹,0,2019-10-05 19:47
@Josie_wy,,,0,2019-11-06 07:00
@araycalledX,,一座充满想象的城市,0,2019-11-05 22:06
@lemon小凡凡,,高级,0,2019-11-02 08:21
@jgc23556,,年年开，年年调休。,0,2019-11-01 19:24
@nnz_,,在71路等车看见 发现里面有叶音 厉害啊,0,2019-10-30 19:19
@loveyourself89,,我太喜欢上海了,0,2019-10-27 17:03
@姐姐是鹅吹,,@我的印象笔记,0,2019-10-18 11:03
@慕衍乄,,转发微博,0,2019-10-17 19:31
@LIUCEEE,,没办法，上海有大港口，所以进口博览会永远也到不了北京,0,2019-10-17 10:23
