User,Reter,Comment,Votes,Time
@嘉平拾壹,,“我穿梭金星木星水星火星土星追寻”,836,2019-10-09 20:27
@GetawayCar,,杨丞琳也是歌手出身先拿到金钟,373,2019-10-09 20:29
@不胖奶茶_,,孙尚香！,301,2019-10-09 20:26
@一口万鲜,,还记得初中看她唱火柴天堂，在星光大道,156,2019-10-09 20:25
@Yu_Jeyo,,有些港台艺人，讲话时港台腔超重，一唱歌就“字正腔圆”了，这是为什么呢,80,2019-10-09 20:43
@飞在云端,,是那个跟小s争新专辑预售的那个曾沛慈吗,108,2019-10-09 20:32
@真的好帅气啊,,福茂出了好几个音色都好好的女歌手 张韶涵 范玮琪 郭静，可惜曾沛慈一直都没大火,63,2019-10-09 20:32
@少了6颗牙,,啊啊啊啊！曾沛慈！！！,95,2019-10-09 20:27
@戴着紧箍咒的猴,,《够爱》曾经也是我的白月光呀，巨爱,92,2019-10-09 20:28
@mistll,,,77,2019-10-09 20:34
@能见度四点七千米,,一听到这首歌我就想起来汪大东在那个亭子里弹着钢琴的背影……,55,2019-10-09 20:29
@靳三三,,唱而优则演,41,2019-10-09 20:30
@还是要继续过日子的,,我当初终极三国的时候可喜欢她了真的单曲循环,46,2019-10-09 20:33
@Y幂94,,我是因为终极三国知道她的，那时候她和修的cp还挺火的,38,2019-10-09 20:31
@少年木火火,,她出道晚了 准确说环境变了 如果她和杨丞琳同期或者有那时的环境 出唱片搭配剧集 妥妥的小天后,34,2019-10-09 20:49
@巴巴罗·艾博朗,,看到结局才知道思悦居然不是拉拉，她难道不是暗恋大只吗，那攻势那小眼神我都快受不了了,23,2019-10-09 20:29
@十三归MrsW,,终极系列最爱的其实是终极三国。zqsg的追过剧，每一集都牵动着心。《泪了》、沛慈版的《够爱》也很好听。阿香超级好一女的。,31,2019-10-09 20:38
@Max-DreamWaver,,爆推新专辑谜之音,18,2019-10-09 20:43
@魏公村小快活,,思悦真的人美心善,25,2019-10-09 20:25
@即刻绞杀,,演技与唱功并存，音色温柔,22,2019-10-09 20:38
@豆沙包爱非,,才知道她也演过滚石爱情故事。当初那个腿断了的倔强女孩让我印象很深刻。,22,2019-10-09 20:34
@这里的名字到底可以取多长,,图片评论 评论配图,16,2019-10-09 20:41
@泡鲁达_,,阿香,16,2019-10-09 20:26
@我叫_小夏,,我的天，曾沛慈live这么好的么？,19,2019-10-09 21:10
@FP_BEHARD,,什麼時候內地能有音樂節目邀請一下,18,2019-10-09 20:33
@你比从前更可爱,,她唱歌确实挺稳定的,10,2019-10-09 21:10
@张berg,,有人听过在你离开那一天嘛,7,2019-10-09 22:20
@Mr-Biscuit,,一个人还是想着一个人,11,2019-10-09 20:25
@呆瓜小垃圾,,我的男孩插曲 和自己相遇，特别好听，那首歌认识的她,9,2019-10-09 20:40
@FP_BEHARD,,愛情怎麼喊停！這首歌好聽。 還有我在你家樓下等你,10,2019-10-09 21:09
@Zeeedddeeeeeeieee,,新专辑《谜之音》有希望入围金曲奖,16,2019-10-09 20:50
@八宝蔡菜菜,,温暖女声！喜欢她第一张专辑里的歌！《不过失去了一点点》《雨季》《多年后》都超好听！,11,2019-10-09 21:20
@夜间食用方法,,还有够爱！,1,2019-10-09 20:29
@原来是颜狗啊,,@云雨飘渺 这首歌俺喜欢,2,2019-10-09 21:07
@natuur_,,这个可爱姐姐怎么能甜甜地唱这种歌还可以互动全场,9,2019-10-09 20:33
@谁人如风,,好听诶~演技也挺不错的,9,2019-10-09 20:27
@麥三無,,记得当年看她选秀 穿着运动鞋唱傻瓜 觉得好好听 暴露年龄了,6,2019-10-09 20:37
@v呆小文vane,,我们king唱歌真的很好听！他叫曾沛慈！走过路过了解一下！,5,2019-10-09 20:29
@MrDavidLau,,@Edible_Flavor 好聽,0,2019-10-09 21:41
@1hShameless,,今年发新专辑了 迷之音越听越好听 我的阿香,6,2019-10-09 20:48
@茉莉酸奶ya,,我记得！初中看终极一班好喜欢这首歌也是第一次知道曾沛慈！,3,2019-10-09 20:48
@专业退堂鼓鼓手,,她新专辑很好听！,5,2019-10-09 20:55
@Romanoff_w,,厉害，在康熙以歌手身份宣传，第二次见是在《恶的距离》演技自然精湛，样样拿得出手！,6,2019-10-09 20:43
@随意在路上的小镜,,这歌居然是她唱的，前一阵刚看完我们与恶的距离。,5,2019-10-09 20:38
@Exe灬,,跟黄雅莉一样也是燕姿的粉丝头牌，所以也喜欢,4,2019-10-10 08:52
@ophuck,,她居然是个歌手！,4,2019-10-09 21:12
@小糊罗北,,现场好棒啊,4,2019-10-09 21:07
@Victor张运第,,非常喜欢现在的她，有些人只是需要比别人更多一点的时间，去成为更好的自己。,4,2019-10-09 20:52
@Rachel阿晴,,天吶是沛慈耶！！不愧是行走的cd,7,2019-10-09 20:47
@KC长,,还有《泪了》也是终极系列火起来的歌曲,5,2019-10-09 20:44
@一半火光,,阿香…,3,2019-10-09 20:41
@绿yeah,,沛慈的歌挺好听的，但就是弯弯流行抒情的那种好听，希望沛慈能有突破,3,2019-10-09 20:29
@芒果是林俊杰的小透明,,！！！！！！！！！耳帝发我沛慈了！！！！！！@bezztxh,5,2019-10-09 20:25
@Neolxz,,一共就五首歌，你只听两三首是什么意思？,2,2019-10-10 08:23
@你要有从头来过的勇气,,@妳不是阿歡歡 刚想说演员的气息也太追歌手了吧 果然 歌手出身,0,2019-10-09 22:05
@枣音,,为什么最后两个字要一起唱,0,2019-10-09 21:04
@这里的名字到底可以取多长,,曾沛慈拜托你别再做票了OK？,3,2019-10-09 20:40
@Jannnnnnie,,@低调内敛一只果,1,2019-10-09 20:27
@yyzz135,,曾沛慈是超星出道的，歌手才是她的第一身份啊,4,2019-10-09 20:41
@Exulansis1,,我的阿香和king！！！！！新专辑谜之音也很好听！！！！！,3,2019-10-09 20:48
@啊哈_我要和你,,我太喜欢阿香了啊！！！,2,2019-10-09 20:48
@夏婊贝,,阿香！,2,2019-10-09 20:44
@Rice-chan,,@唔知唔知我咩都唔知,0,2019-10-09 20:37
@胖虎大肥猫,,当年奶奶去世，听这首歌哭的稀里哗啦,3,2019-10-09 20:30
@某修家漠沫,,沛慈现场没的说，让我记住她的泪了，这么多年，各种原因，没有再唱过几次，相比这首歌，还是更怀念她的泪了。,2,2019-10-09 23:33
@_Jayson_l,,终极三国 大学时代,2,2019-10-09 21:54
@天然卷啊天然卷,,这个现场也太稳定了吧,2,2019-10-09 21:37
@DaneWayne,,怎么这么稳啊？！,2,2019-10-09 21:13
@何正凯Kai,,她在终极三国里面的泪了更好听,2,2019-10-09 20:50
@t0918201503,,当年第一次听就觉得录音室修音太猛了,1,2019-10-09 20:29
@sameal_wy,,她真的 声音很好听！,3,2019-10-09 20:40
@德约不夺20个大满贯不改名,,天啊，都快忘了星光大道了！,3,2019-10-09 20:36
@Yoga木繁,,最爱终极三国的阿香,2,2019-10-09 20:29
@是本银,,@李白银儿 强到不行,0,2019-10-10 12:35
@Givernyyy,,很喜欢她 从终极三国开始 就迷上她了 阿香和备备,1,2019-10-10 02:27
@云画的日光,,好听，晚安！,1,2019-10-10 00:48
@是布丁啊草啊ic,,我的阿香呀～我穿梭木星水星火星土星追寻 追寻你世界滴嗒嘀嗒嗒的声音 终极系列真的重刷好多次了,1,2019-10-10 00:12
@世界上另一颗果子,,,1,2019-10-09 23:53
@andswag,,想起来耳帝经常说的两句话..令人唏嘘..机遇是多么重要,1,2019-10-09 23:40
@Y昊然,,好听,1,2019-10-09 23:10
@小司乐爱乐不乐,,咬字和气息都好棒啊！live这么好听真难得,1,2019-10-09 23:05
@全部有点多,,我沛慈，我阿香,1,2019-10-09 22:55
@狮子王逸喵,,阿香呐,1,2019-10-09 22:52
@随目光迁徙,,白月光的白月光,1,2019-10-09 22:48
@木木夕山支,,现场很稳,1,2019-10-09 22:31
@现在是火星时间两点零七分yu,,@yKsNdkcnksl 球球！沛慈唱的也太好了！,0,2019-10-09 21:20
@欢Bob,,当年被她比赛唱的没有烟抽的日子吸引,2,2019-10-09 21:11
@因为照相机是恋人,,这现场唱功太好了吧,2,2019-10-09 21:11
@淡淡_淡淡然_F,,前两天刚看完 我们与恶的距离 她的笑太有感染力了 人美心善,2,2019-10-09 20:47
@千代君,,曾沛慈你不要再作票了,2,2019-10-09 20:43
@瓜皮少年erik,,稳得一逼,2,2019-10-09 20:41
@ALIVE-Czz,,@有的不变有的要改变,0,2019-10-09 20:26
@叶子yeezy,,初中听的歌了 现场也唱得太好了吧,1,2019-10-09 21:40
@不想变成小秃头,,她声音条件真不错,1,2019-10-09 21:22
@小伍小伍无忧无虑,,第一个pick的人啊哈哈哈king初心呐,1,2019-10-09 21:16
@沈亦白_Y,,十年了  姐姐赶紧火吧,1,2019-10-09 21:13
@阳贽,,你是古灵精怪的孙尚香。 你是人美心善的应思悦。 你是路过我童年和青春的曾沛慈。,1,2019-10-09 21:07
@chenuoooo,,那阵儿好喜欢她演的阿香来着,3,2019-10-09 20:37
@我也喜欢钢厂小霸王叻,,她唱歌普通话好标准哦 完全没有台湾腔,1,2019-10-09 20:31
@AS好像如果,,她的版本的 够爱 也很有感觉来着,4,2019-10-09 20:30
@是用心开心的我哈哈哈,,好漂亮，看《我们与恶的距离》觉得这个女孩儿好漂亮，才对上号哦哦哦原来她就是曾沛慈,4,2019-10-09 20:28
@网络暴力造口业必遭天谴,,看他一直揮手很尷尬,1,2019-10-09 22:12
@西妞儿最Lucky,,欢迎关注下 1122曾沛慈的演唱会！！！！还有8月发行的新专辑 谜之音,8,2019-10-09 20:42
@呼啸而过的大象,,我感觉这个现场有点一般啊,1,2019-10-09 23:52
@1013号米饭,,看了我们与恶的距离爱上她了 她的角色太棒了,0,2019-11-05 13:04
@WWW雅琪,,这是我这些年的宝藏女孩啊啊啊啊啊啊啊啊！！！！她有微博的！唱歌真的超好听的！@曾沛慈,0,2019-10-26 08:32
@Psychoxxx__,,她真的我们与恶的距离里演的超级好，一想到她就想哭,0,2019-10-26 01:14
@周深今天火了没,,,0,2019-10-26 00:18
@你斤爸_Leonie,,哎,0,2019-10-24 19:59
@咕咕咕gugu,,思悦小天使,0,2019-10-20 09:53
@大不列颠北爱尔兰联合王国小乳猪,,,0,2019-10-20 08:14
@ouba87,,@大头聂锅 进来一起失恋,0,2019-10-17 23:38
@陸野田桑,,阿香！！！,0,2019-10-17 13:01
@喜旻洋,,剧集里面就是标准的扶弟魔,0,2019-10-16 18:13
@梁小雯yy,,这首歌也好久没听了，看了雷婷的现场版又想单曲循环了，还是那么好听的歌,0,2019-10-12 19:26
@大猫百合,,她在心中还是小女孩的模样，现在也长大啦,0,2019-10-12 17:13
@我是宋吉利啦,,可惜可米不做人,0,2019-10-12 14:19
@含笑有白鹭z,,—可爱语气:你的2016找到那个人了吗？   —哈哈哈:嗯嗯嗯  —之后就再没啦,0,2019-10-11 12:36
@Yoga木繁,,@小野律二 King终于快熬出来了,0,2019-10-11 07:05
@WIING-W,,真的不输录音室的优秀音色。。,0,2019-10-10 15:45
@-NICo婷仔,,雷婷唱歌是挺好听！,0,2019-10-10 14:21
@Rhombicosidodecahedeon,,king我太阔以辣,0,2019-10-10 14:06
@喜欢ROCK你一下,,毕竟硬实力出道,0,2019-10-10 13:31
@Anne_519,,好听,0,2019-10-10 11:15
@_刹那的乌托邦,,看的时候就感觉很眼熟。后来百度才想起来是她。,0,2019-10-09 23:42
@娇比奈学姐,,@一键删除啦,0,2019-10-09 22:10
@SauToni,,泪了 好听,0,2019-10-09 22:05
@你是什么小垃圾,,好听,0,2019-10-09 22:02
@leeeemy,,@悟空偶尔更新的日常 好听,0,2019-10-09 22:00
@哎哟不错哦k,,哭了,0,2019-10-09 21:56
@eninsulaerchlu,,一秒魂穿“雷婷万钧”,0,2019-10-09 21:55
@潘大胖爱吃辣,,曾沛慈和韦礼安的音乐风格和嗓子满足了我对于青春爱情的所有想象，印象中好像都是福茂的歌手？,0,2019-10-09 21:52
@San_p3,,,0,2019-10-09 21:48
@电波超人,,好怀念终极一班,0,2019-10-09 21:48
@大昊_SunH,,初中时期的回忆哈哈哈,0,2019-10-09 21:47
@菟ohyeah,,超稳超棒的,0,2019-10-09 21:37
@一个大号罐头,,阿香不见了，东城卫也不见了,0,2019-10-09 21:35
@Gaga污啦啦,,看到她第一反应是，现在我们录影棚灯也灭了，请你出去。,0,2019-10-09 21:26
@我是苟狗狗,,不愧是星光大道历练的，现场真稳。,0,2019-10-09 21:22
@我是苟狗狗,,前途可期。,0,2019-10-09 21:21
@很凹很凸hhh,,以前听着这歌觉得一般，听她现场就get到这歌好听的点了~,0,2019-10-09 21:18
@家杰_Willie,,现场很稳啊，而且不卡壳，律动真好。,0,2019-10-09 21:15
@杨益好双标啊,,,0,2019-10-09 21:15
@薇薇和点点-Vivi,,泪了 现在还是我QQ炫舞房间的背景音乐,0,2019-10-09 21:14
@小吴爱吃张记冰淇淋,,印象中她说话总是喜欢咬舌头,0,2019-10-09 21:13
@艾德古力,,第一次听这首歌是她去康熙宣传，最后那个转调印象很深，觉得歌很好听，然后去找来听、学来唱。不看视频不知道她现场这么好，但是她的音色和她人一样，辨识度不是很高，看过一眼并不一定能在脑中浮现出她的脸，听过一次只会觉得歌好听，不会觉得歌手很棒！可惜了。,0,2019-10-09 21:10
@GENESIS-默默-錒稥,,女神阿香,0,2019-10-09 21:05
