User,Reter,Comment,Votes,Time,Count
@Kyu_Mi,,不好意思您标题里的另一位姑娘与这个事件毫无关系，当时警局电话我接的我担保。 还有在完整的聊天记录已经公布有好几日情况下仍然选择发出这样片面性的文章，不得不说您毫无专业性和客观性。,45,2019-10-12 17:38,1
@就是一个大祭司,,如果这是女权，我从今天开始anti-女权。me too的名声就是被这样的人搞臭的 评论配图,16,2019-10-12 21:59,2
@世界第一长情君,,我本不想做外形攻击,21,2019-10-12 17:48,1
@闪耀的咖喱饭,,全文写的什么东西,24,2019-10-12 18:53,1
@格子里的阿穗,,有选择性地夸大和忽略事实等同谣传。这篇文章充满偏颇的引导性，并且有一些信息干脆是错的，没有阅读价值。不幸看完全篇的赶紧忘了吧。,25,2019-10-12 17:58,1
@-朝歌-,,嗨 看过他法扎现场……很萌  但他现在的形象和法亚夏的蛇重合了 真是失望,14,2019-10-12 17:13,1
@mermer鸭,,咯咯，吃相难看。很多事情都没了解清楚就发出来,11,2019-10-12 19:27,1
@Icey_xxx,,woc？？他还是法扎B卡来着，庆幸自己每次盲买都是小米的场，好嘛我彻底失望了再见了宁内,6,2019-10-12 17:24,1
@霜雪积戈矛,,道听途说？您不想自己整理来龙去脉有一群妹子在整理麻烦您看下？,7,2019-10-12 21:29,2
@御键江湖,,有罪推定须实证,3,2019-10-12 22:48,2
@冷冻鱼骨,,法扎吗,0,2019-10-12 17:07,1
@归隐的Samantha,,重点还在于提高自己智商,0,2019-10-14 07:06,3
@jane媛媛,,不了解，但就是不太接受他演的莫扎特，没有很好的理解到精髓，也可能是小米演的太好，先入为主吧，确实接受不了，就算以后小米唱不动了，也希望换一位面相好点的，谢谢,0,2019-10-24 00:59,6
@jane媛媛,,唉……这文章写的,0,2019-10-21 00:30,6
@金福南那个男的,,我想说，拿这个有舞台设定的角色的剧照大大打上勾引两个字，exm?????这样一张照片你可以随意interpret，但是拿来带节奏就很没有吃相了,8,2019-10-12 18:04,1
@弹古琴太美好想学,,由于法扎微博关注了他，前几天他在微博发了这事。庆幸自己当时看的是米开来场。,0,2019-10-12 18:24,1
@厮族哎,,如果打着女权的名号消费女性群体甚至对当事人二次伤害，不好意思作为女性恕我无法接受这样的女权行为。,13,2019-10-12 17:32,3
@厮族哎,,另外割腕的妹子和微博上那个截图也与性骚扰原因完全没有直接关系。确实有妹子因为这事自我伤害，但是这两个是完全与这事无关的。,21,2019-10-12 17:20,3
@厮族哎,,？？？？？被另一种声音盖了下去？？法剧圈多少个个人账户自发整理证据事件，整个法剧圈几乎是压倒性的支持妹子维权在外网发声。只有几个一两个这样子说话还被截图轮着挂，这叫被另一种声音盖下去吗？？,21,2019-10-12 17:17,3
@jane媛媛,,不了解，但就是不太接受他演的莫扎特，没有很好的理解到精髓，也可能是小米演的太好，先入为主吧，确实接受不了，就算以后小米唱不动了，也希望换一位面相好点的，谢谢,0,2019-10-24 00:59,6
@jane媛媛,,唉……这文章写的,0,2019-10-21 00:30,6
@归隐的Samantha,,重点还在于提高自己智商,0,2019-10-14 07:06,3
@jane媛媛,,不了解，但就是不太接受他演的莫扎特，没有很好的理解到精髓，也可能是小米演的太好，先入为主吧，确实接受不了，就算以后小米唱不动了，也希望换一位面相好点的，谢谢,0,2019-10-24 00:59,6
@jane媛媛,,唉……这文章写的,0,2019-10-21 00:30,6
@归隐的Samantha,,重点还在于提高自己智商,0,2019-10-14 07:06,3
@御键江湖,,有罪推定须实证,3,2019-10-12 22:48,2
@就是一个大祭司,,如果这是女权，我从今天开始anti-女权。me too的名声就是被这样的人搞臭的 评论配图,16,2019-10-12 21:59,2
@霜雪积戈矛,,道听途说？您不想自己整理来龙去脉有一群妹子在整理麻烦您看下？,7,2019-10-12 21:29,2
