User,Reter,Comment,Votes,Time
@女鬼的黑貓,,领导打电话给你怎么办？跟他说 不好意思我在过马路 等下打给你 会不会被开除？,11,2019-10-06 10:55
@大长腿蹬三轮,,不必，交通事故全责就行,41,2019-10-06 10:54
@含月隐隐,,这些杠的人真是不要命了吗？都觉得自己命大吗？我真的很反感过马路低头烂手机的人，但是有时候又替她们担心。,9,2019-10-06 11:01
@我没有故事怎么办,,过马路玩别的东西也罚，我就同意,9,2019-10-06 10:58
@旱魃格拉斯塔,,有点侵犯人权的意思。可以进行责任划分，但是罚款就明显不合理。,3,2019-10-06 11:09
@我比贾玲胖,,双手支持，处罚越重越好，这些行为害人害己,6,2019-10-06 10:57
@Canton嘉裕,,只要公平公正，不论是谁都能执行我支持。,0,2019-10-06 13:15
@6尺零寸,,过马路闯红灯你都没罚干净呢你管我玩手机，绿灯我在斑马线上跳舞你都没权利管我,3,2019-10-06 11:37
@兰蒂斯枫,,电动车都没人管,1,2019-10-06 11:45
@如仪如仪,,应该没收手机,0,2019-10-06 16:56
@娱乐动起来,,罚款少了没有用,0,2019-10-06 16:36
@淡漠国际范,,,0,2019-10-06 15:06
@橘猫爱蹦高,,太支持了！走路死盯住手机根本不抬头的，还有带耳机过马路不管别人的！烦死人，后面你滴滴滴，他听不见还乱窜，到时候出了事最少十分之一责任，说白了就是家庭教育不好,0,2019-10-06 14:24
@夏梵歷劫,,关李仳氏,0,2019-10-06 14:04
@201549X,,我不支持又如何？能改变什么？,0,2019-10-06 12:24
@请注意你,,多此一举，按照交通法，该怎么处罚就怎么处罚，别考虑什么弱势不弱势群体！惜不惜命，都是个人行为，轮不到你们操这份闲心！过马路玩手机，是不珍惜自己的命，最坏的结果是自己被撞死，这不同于酒驾，酒驾是撞死他人，所以要管！,1,2019-10-06 12:09
@我是东海啊,,我建议枪毙,0,2019-10-06 11:49
@森炎75508,,开车玩手机可以罚么……,0,2019-10-06 11:24
@熊林财,,,0,2019-10-06 11:03
@川岛奈奈子2010,,.,0,2019-10-06 13:20
@斐然201707,,嗯,0,2019-10-06 12:38
@拂晓与Vine,,支持，过马路玩手机确实不好,0,2019-10-06 11:13
@伊人170725,,罚的少！什么回信息、接领导电话通通是借口，请问什么你有什么重要事情非得过马路这一两分钟办？！,1,2019-10-06 11:10
@堃堃,,找死是他们的事！你去管去说反而让他们觉得多管闲事！应该是把肇事责任给到他们！,1,2019-10-06 10:59
@是电子猪啊,,罚款吧，虽然我自己经常过马路玩手机,0,2019-10-06 10:56
@我大概是只鸡吧,,绿灯我被撞了也怪我啊,1,2019-10-06 11:33
@快乐的小蜜蜂1992,,自己不要命就算了，别来坑害别人。。,1,2019-10-06 11:01
@想打滚的小黑,,手机拿在手上会不会被抓,0,2019-10-06 10:58
@MR-LI锦,,希望可以通人行地道（隧道）,0,2019-10-07 21:20
@大面包渣,,有些人开个电瓶车还要玩手机嘞。,0,2019-10-06 20:15
@傻小8,,不是有个最新案例出来了吗？说玩手机造成事故的，手机主要负刑事责任的！,0,2019-10-06 17:26
@我F准备好了,,反对的都去世谢谢,0,2019-10-06 15:42
@孙南什,,。,0,2019-10-06 15:06
@羞羞的大熊,,反对罚款，人要有自由，只要不影响别人就没问题，出了问题就自己负责,0,2019-10-06 13:36
@六角哑铃,,先罚开车玩手机的吧，每次6分罚1000,0,2019-10-06 12:39
@心在天堂95884,,hhch,0,2019-10-06 12:38
@Y-尚竹心,,边走路边吃东西应该不用罚吧！,0,2019-10-06 12:26
@刘爽lins,,一个巴掌拍不响,0,2019-10-06 11:37
@夜半挑灯看见剑,,有法律依据吗？拿出依据就支持,0,2019-10-06 11:11
@丑小鸭要努力变强鸭,,,0,2019-10-06 11:10
@江湖的人,,支你妹……,0,2019-10-06 11:06
@夕阳西下orenge,,不支持，安全重要。,0,2019-10-06 11:04
@简直逆天了,,必须支持,1,2019-10-06 10:39
@夏威夷国入常,,横穿马路的不罚款，快递小哥逆行不罚款，情侣手挽手的不罚款，手机回个信息就罚款了。,0,2019-10-06 14:02
@一年一次利用好,,被罚款也总比把命丢了强吧,0,2019-10-06 10:16
@obrxsn,,过马路用手机和玩手机有区别吗？有区别就支持，没区别就反对。,1,2019-10-06 10:15
@hbyc77小妖,,是个好事，但是如何有效的执法，或者说如何在一定的执法成本内有效长期的执法。而不是三天打鱼两天晒网的选择性执法。还值得探讨研究。,0,2019-10-06 20:33
@好一片花田,,不知道,0,2019-10-06 11:11
@ysjt丶alone,,觉得看到你,0,2019-10-06 11:05
@凝月迷瞳,,闯红灯的行人应该怎么处罚 请先整治这一块,0,2019-10-13 14:24
@氧费沙星蓝白地,,合法就行，别权大于法,0,2019-10-06 16:22
@氧费沙星蓝白地,,过马路什么也不别干。不闯红灯就是了，哪里那么多鄙视,0,2019-10-06 16:21
@蒋圬拥480563,,转发微博,0,2019-10-06 15:57
@fallfromfall,,虽然我不玩，但是感觉这种东西更多的需要靠家长教育社会宣传而不是靠强制，如果生活处处都是强制会觉得不适。,1,2019-10-06 13:50
@dissipate62783,,转发微博,0,2019-10-06 11:06
@幸运属于我和你,,罚50少了点，应该直接把手机扣下。,0,2019-10-06 11:04
@凝月迷瞳,,闯红灯的行人应该怎么处罚 请先整治这一块,0,2019-10-13 14:24
@MR-LI锦,,希望可以通人行地道（隧道）,0,2019-10-07 21:20
@hbyc77小妖,,是个好事，但是如何有效的执法，或者说如何在一定的执法成本内有效长期的执法。而不是三天打鱼两天晒网的选择性执法。还值得探讨研究。,0,2019-10-06 20:33
@大面包渣,,有些人开个电瓶车还要玩手机嘞。,0,2019-10-06 20:15
@傻小8,,不是有个最新案例出来了吗？说玩手机造成事故的，手机主要负刑事责任的！,0,2019-10-06 17:26
@如仪如仪,,应该没收手机,0,2019-10-06 16:56
@娱乐动起来,,罚款少了没有用,0,2019-10-06 16:36
@氧费沙星蓝白地,,合法就行，别权大于法,0,2019-10-06 16:22
@凝月迷瞳,,闯红灯的行人应该怎么处罚 请先整治这一块,0,2019-10-13 14:24
@MR-LI锦,,希望可以通人行地道（隧道）,0,2019-10-07 21:20
@hbyc77小妖,,是个好事，但是如何有效的执法，或者说如何在一定的执法成本内有效长期的执法。而不是三天打鱼两天晒网的选择性执法。还值得探讨研究。,0,2019-10-06 20:33
@大面包渣,,有些人开个电瓶车还要玩手机嘞。,0,2019-10-06 20:15
@傻小8,,不是有个最新案例出来了吗？说玩手机造成事故的，手机主要负刑事责任的！,0,2019-10-06 17:26
@如仪如仪,,应该没收手机,0,2019-10-06 16:56
@娱乐动起来,,罚款少了没有用,0,2019-10-06 16:36
@氧费沙星蓝白地,,合法就行，别权大于法,0,2019-10-06 16:22
