User,Reter,Comment,Votes,Time
@军0天下123,,还在中国捞金，火箭解雇莫雷,1486,2019-10-06 08:44
@晴欢渡cc,,我的湖人！我的小破湖！,549,2019-10-06 08:29
@星星的愿望5320,,湖人这配置：詹姆斯，浓眉，库兹马，霍华德，隆多，布拉德利，丹尼格林，考辛斯，麦基，波普，杜德利。。。我擦，湖人总冠军啊！,491,2019-10-06 08:27
@paradisenana,,nba不开除莫雷就等着死吧,540,2019-10-06 08:29
@牛仔裤的夏天9,,太强了 湖人 ！！！,153,2019-10-06 08:26
@像梦一样can,,老汉还是这么有活力,73,2019-10-06 08:30
@徐_子_健,,防不了，勇士队里最能防詹姆斯的四个人三个不在，kd一哥走了，kt伤了，剩下的格林还得去防内线,63,2019-10-06 08:28
@2017失去了你,,解雇莫雷  解雇莫雷 解雇莫雷 解雇莫雷 解雇莫雷,114,2019-10-06 08:58
@左岸不再迷思,,Fuck NBA,97,2019-10-06 08:26
@和自己对话_JM,,抵制NBA,82,2019-10-06 08:49
@今天莫雷下课了吗,,莫雷死了,45,2019-10-06 09:22
@捕光者·刘琦颖,,上莫雷上,48,2019-10-06 08:29
@MohiGan,,垃圾莫雷,49,2019-10-06 08:27
@爱零依玖,,勇士加油,16,2019-10-06 09:12
@方先生fzj,,真的可笑，一场比赛就上了热搜。莫雷发表港独言论，渣浪都撤热搜多少次？！资本面前真的可以没有善恶！没有国界！？？,51,2019-10-06 09:49
@小散首领,,坚决抵制火箭队,42,2019-10-06 08:51
@山山冰淇淋,,NBA毫无作为，抵制莫雷，抵制NBA,23,2019-10-06 09:53
@只想暴富的叶,,别播火箭的比赛就行～,14,2019-10-06 09:47
@hirout,,啊我的库里啊，我的勇士啊,8,2019-10-06 09:26
@_崔杨,,篮球没有国界，但是球迷有国家,13,2019-10-06 11:12
@逆转漩涡,,我怎么记得以前媒体说的是戴维斯来了后，詹姆斯放弃24号球衣的,4,2019-10-06 08:38
@续写九十九封情书,,辣个男人戴着发带回来了,2,2019-10-06 11:33
@郫县好草民季子赓,,发带詹，年轻10岁,2,2019-10-06 10:26
@原来是Curry丶,,禁播火箭,6,2019-10-06 13:01
@kjames,,今天刚好我生日 我就当老詹送我的生日礼物了,3,2019-10-06 11:07
@未知者-98,,终于等到这一天了！ 小破湖崛起！！！！,3,2019-10-06 09:34
@老周体育,,加油湖人,3,2019-10-06 09:27
@青睐0837,,湖人总冠军 老詹牛逼 爱湖人的都是大好人,2,2019-10-06 09:24
@pana_mera__,,抵制nba,8,2019-10-06 08:30
@老鹿新生,,有直播吗？,2,2019-10-06 08:28
@汇源鲜果饮,,但，这只是个季前赛。,1,2019-10-06 11:53
@柚柚Du,,这颗球传的 反正我叫了 ,1,2019-10-06 11:50
@啰哩吧嗦的小陈,,湖人！,1,2019-10-06 11:49
@_kiko98,,球球周琦看看人家麦基咋打球的吧,1,2019-10-06 10:55
@最爱土豆儿,,老汉还是那么猛!,1,2019-10-06 10:04
@folemmmm,,帅起来,1,2019-10-06 09:42
@Edith-Ljw,,拉塞尔什么玩意？？,1,2019-10-06 09:20
@宵夜积极分子,,湖人加油！詹姆斯加油！！,1,2019-10-06 09:02
@鬼矣,,大家好，我叫真香……,1,2019-10-06 09:36
@幻想家cyq,,漂亮！更不想上学了,1,2019-10-06 09:33
@Not丶小唐,,滚,0,2019-10-08 20:42
@瞧你那小蠢样儿,,,0,2019-10-06 23:24
@友信微粒贷二次贷-吴飞鸿,,这水划的好,0,2019-10-06 16:28
@爱峰女孩Wxj,,@李易峰,0,2019-10-06 16:05
@YQJustin,,你们还不为莫雷的言论做出该有的行动吗,1,2019-10-06 16:02
@Jellybean109,,湖人后卫把球往内线一扔就行了,1,2019-10-06 11:26
@一个人也要吃喝玩乐,,湖人总冠军！,0,2019-10-06 11:22
@The_Prisoner,,一到湖人勇士这种球迷多的队，就没人说莫雷的事了，真实,2,2019-10-06 08:59
@感冒两次一次半年,,开局10-0？？？？,2,2019-10-06 08:52
@叮叮的咚咚y,,莫雷呢？还压热搜吗,2,2019-10-06 12:41
@1米阳光1314520,,抵制火箭队和莫雷,3,2019-10-06 09:55
@一只游荡的孤魂野鬼,,莫雷？？？火箭？？？？别轻易忘了,2,2019-10-06 09:39
@偷分刷板混助攻,,冲冲冲,0,2019-10-06 09:39
@Sunshine小王子_,,浓眉3号，韦德？,1,2019-10-06 09:33
@一个有丶理想的青年,,詹姆斯的复仇赛季,1,2019-10-06 09:25
@遗失的五分钱,,,1,2019-10-06 09:21
@迫晓天明,,湖人有多强没看出来，倒是勇士，内些没有的情况下打成这样很不错了，看到这个赛季一丝希望，湖人，还差点火候，篮下很牛逼投篮不苟言笑,1,2019-10-06 09:21
@酷袋没口袋,,还要上班的我，看一半等结果,1,2019-10-06 09:17
@恁揍啥嘞,,腾讯体育的解说是真够了，三句话两句半不离勇士,2,2019-10-06 08:58
@Skyfall-yyc,,滚,0,2019-10-08 17:57
@问一些事一些情,,滚吧你,0,2019-10-08 13:36
@街口deng待,,强烈建议央视，腾讯，新浪，虎扑，直播吧等所有中国媒体全面封杀NBA，李宁，安踏匹克等中国企业解除一切合作，我一个17年的老球迷可以不看NBA,0,2019-10-08 08:20
@George丶Zhang,,转发微博,0,2019-10-08 08:08
@JackD_d,,滚出中国,0,2019-10-08 07:12
@会刷博的猫,,滚出中国！！！,0,2019-10-08 00:58
@瀟瀟哥哥在天上呢,,滚,0,2019-10-08 00:03
@mnhdsvzvaeqtoopjfesjjfbkjfw,,说香港的暴乱是为了自由，那么911是不是也是为了自由，我们是不是也该说一声为了自由，支持再在美国复制一场自由之战！,0,2019-10-07 23:35
@嘉兴市五哥供应链管理有限公司,,抵制NBA，老美能搞的我们也能搞，别忘了八国联军欺负我们的时候，别忘了港独就是美国佬在搞事,0,2019-10-07 22:41
@奥拉大番薯,,能不能直接把这微博关掉，碍眼,0,2019-10-07 18:40
@西门吹不死,,解雇莫雷,0,2019-10-07 16:03
@六月飞雪wzo,,在nba，如果感兴趣，可以公开歧视同性恋和搞种族歧视么？！如果不能，就别来说什么分享的权利！！！,0,2019-10-07 13:21
@吃货一毛钱,,湖尼玛个B,0,2019-10-07 12:48
@肥肉雄南,,抵制,0,2019-10-07 12:18
@牧童与雅歌书,,滚出中国，早日倒闭,0,2019-10-07 10:17
@陆劲松666,,有莫雷，不火箭。死胖子，简直就是一坨屎，他必须下课！,0,2019-10-07 10:13
@wjg829731,,全面封杀NBA,0,2019-10-07 06:54
@hy2723,,,0,2019-10-07 04:15
@Radient李中华,,老汉推球,1,2019-10-06 19:05
@Seyoagin,,看了前两节，湖人这配置，西决。勇士想进季后赛，得汤普森尽快复出。,0,2019-10-06 12:31
@孤狼1392010,,我就想知道詹皇多少岁了,0,2019-10-06 12:25
@Enq1ng,,@Chosen1丶J,0,2019-10-06 12:07
@奇的everyday,,看来勇士时代已经过去了,0,2019-10-06 11:18
@醉卧红尘笑看花,,老汉的传球出神入化了,0,2019-10-06 11:09
@看来我嘚改个ID了,,为了联盟,0,2019-10-06 11:09
@亦叶落尘,,我觉得勇士就这阵容，打湖人这阵容，真的没输，湖人要想夺冠，还得磨合。,0,2019-10-06 11:05
@Allen丨Bryant,,莫雷哟，还装死？？,0,2019-10-06 10:00
@不择手段地前进,,火箭滚出中国！,0,2019-10-06 09:58
@wjg829731,,Nba滚出中国，港独,0,2019-10-06 09:56
@KKK王俊凯快来找我LL,,湖人总冠军,0,2019-10-06 09:55
@月光下的蔷薇玫瑰,,老詹强啊,0,2019-10-06 09:52
@翰堡堡哟,,不是说不可以发带吗詹詹怎么,0,2019-10-06 09:51
@Dizzy2018,,招牌打法,0,2019-10-06 09:49
@视觉客,,莫雷必须下课，抵制NBA中国赛,0,2019-10-06 09:46
@HaiFeikiddy,,别看nba了。吃我们还骂我们。能忍吗,0,2019-10-06 09:45
@葫芦娃hsw,,开除莫雷！！！,0,2019-10-06 09:44
@AreYouWithHom,,湖人总冠军！,0,2019-10-06 09:41
@一只活蹦乱跳的小松鼠,,传球那个太厉害了！,0,2019-10-06 09:25
@Mr_JaneV,,腾讯总冠军,0,2019-10-06 09:22
@闲暇小盗,,滚吧，莫雷下台再来发,0,2019-10-06 09:21
@硕树宝贝,,加油,0,2019-10-06 09:20
@黄玥5678,,我的紫金王朝又要回来了,0,2019-10-06 09:19
@我还是普通用户,,打开视频就在找杜兰特，愣了愣，杜兰特离队了,0,2019-10-06 09:13
@or明明敏敏,,是认真打的吗,0,2019-10-06 09:13
@高桥靓仔ED,,湖人是真的抱团够,0,2019-10-06 09:13
@Lefay_xxt,,看完我只说了一句OMG,0,2019-10-06 09:12
@超级超级垃圾,,刚才以为库里要扣篮呢,1,2019-10-06 09:09
@正经的徐大大,,我想知道莫雷那个憨憨咋了  怎么一觉醒了全在骂他,0,2019-10-06 09:08
@绿豆糕与大红枣,,加油湖人,0,2019-10-06 09:05
@是老刘没错没错,,发带詹又回来了！,0,2019-10-06 09:03
@荣誉53560,,让人绝望！莫雷热搜始终上不去，是什么人在帮他？,0,2019-10-06 09:03
@周三Zzz,,湖人总冠军湖人总冠军[加油],0,2019-10-06 09:02
@清晨七时有我,,James,0,2019-10-06 08:59
@丶Timmmm,,浓眉真香。,0,2019-10-06 08:58
@山前相见山后别相逢,,勇士内线不行啊,0,2019-10-06 08:58
@Mr·Z·J·T,,勇士是不是要变鱼腩了,0,2019-10-06 08:55
@doyin9718,,湖人回来了,0,2019-10-06 08:55
@水涟源,,腾讯真的没底线，屁都不放一个，国家主权跟前，请你站起来，不要做奴隶,2,2019-10-06 08:55
@蛋挞小王子耶,,发带詹？？？,0,2019-10-06 08:53
@rlffleve,,我忍了多长时间了，说一句湖人总冠军没什么问题吧,0,2019-10-06 08:53
@今天也有开心馬,,好久不见啊,0,2019-10-06 08:51
@正能量辐射导体,,猩猩又有大腿啦，终于可以进季后赛,0,2019-10-06 08:47
@小笨猪是俺,,爱了,0,2019-10-06 08:42
@觉-Zq,,不把莫雷的事搞清楚。给我们中国给个交代，我估计你们nba从此在中国市场凉凉了,0,2019-10-06 18:34
@细语暖耳,,都很差劲，，只有我认为吗，打的是啥玩意，丢脸,0,2019-10-06 14:32
@我是甄的X,,时间静止一样 太帅了,0,2019-10-06 12:50
@xiuuu可以吗,,看了一整场,0,2019-10-06 10:37
@WANGYUANXI-,,我詹哥回来啦,0,2019-10-06 10:12
@那样的雪,,这是什么防守强度啊。玩呢？第一球,0,2019-10-06 10:08
@W万保全,,新赛季的勇士，岌岌可危,0,2019-10-06 09:52
@LuWch1_,,啥都不说，直接上图！ 评论配图,0,2019-10-06 09:51
@廿一再也不想努力了,,老詹老詹,0,2019-10-06 09:46
@十年才一觉,,勇士冲呀！,0,2019-10-06 09:45
@特別凤靡,,湖人总冠军,0,2019-10-06 09:36
@慵懒的狮子999,,解雇莫雷,0,2019-10-06 09:32
@李可今天瘦了吗,,@Mhy25666,0,2019-10-06 09:30
@暴躁十一号,,我的湖人 我太爱了,0,2019-10-06 09:00
@Elvdudu,,为啥浓眉没有微博！！,0,2019-10-06 08:52
@养只叫胖头的香猪,,说实话感觉霍华德不敢打呢,0,2019-10-06 08:52
@未来集市jacky许,,封号,1,2019-10-09 08:27
@柠檬红茶冰冰,,你们是不是脑子进水了？,1,2019-10-08 16:31
@霉林小苏,,詹姆斯如愿报到大腿,1,2019-10-06 12:22
@kaelzhan,,开除莫雷，开除火箭队，只要莫雷还在，绝不再关注任何NBA 相关内容！,1,2019-10-06 12:00
@一叶知秋-glory,,ad钙奶真tm好喝,1,2019-10-06 11:15
@Baek的可爱·,,喷莫雷   居然还有人酸？？？？？？我真是没懂,1,2019-10-06 10:40
@感叹号在这,,屁大点事都能上热搜，莫雷港独的大事竟然只有杨毅一条上过！,1,2019-10-06 10:22
@沧澜L,,魔术师约翰逊？,1,2019-10-06 09:58
@可爱酥酥在线卑微,,勇士加油！,1,2019-10-06 09:53
@水晶唐Q-蒋阿旺,,莫雷不辞，火箭比赛不看,0,2019-10-06 09:35
@别叫我酷盖,,噢耶冲,1,2019-10-06 09:33
@我好颓__,,詹姆斯！！！！,1,2019-10-06 09:33
@antares8,,ABC！,1,2019-10-06 09:31
@撕悴的经典,,抵制NBA,1,2019-10-06 09:27
@阿华要一路向前,,NBA真的这么香嘛,1,2019-10-06 09:25
@吃鸡算什么男人,,#莫雷港独#,1,2019-10-06 09:24
@小刺猬不吃肉,,詹姆斯还是那么壮,1,2019-10-06 09:20
@NathanAcc666,,抵制NBA打赢贸易战,1,2019-10-06 09:19
@前所未有_小渣男,,NBA道歉,1,2019-10-06 09:18
@今非46945,,我是湖人球迷，也喜欢勇士，但是这件事没解决前我一场都不会看,1,2019-10-06 09:18
@布拉德欠登,,抵制火箭队,1,2019-10-06 09:18
@酒肆52HZT,,结束。。。湖人还是牛逼,1,2019-10-06 09:16
@GLAYWINQ,,有了戴维斯，老詹踏实了,1,2019-10-06 09:15
@GLAYWINQ,,我湖必胜,1,2019-10-06 09:15
@HUNG崽,,湖人总冠军我说累了,1,2019-10-06 09:13
@高高ZG,,心疼魔兽,1,2019-10-06 09:11
@滴酒不沾的X先生,,湖人牛逼,1,2019-10-06 08:51
@付出的付先生JewelleryDesigner,,fuck NBA.Get out.,0,2019-10-09 23:47
@小人参果T,,滚,0,2019-10-09 19:56
@李李李思泉,,滚,0,2019-10-09 17:53
@归来仍是少年-K,,滚吧，注销了吧，从此以后再无nab了,0,2019-10-09 14:57
@云上凌羽,,滚,0,2019-10-09 13:21
@尺寸装饰设计机构,,滚,0,2019-10-09 13:02
@小可爱了拉,,不是要言论自由么  分裂美国  支持美国各个州独立  希望美国  自由美利坚 枪击每一天  欧耶,0,2019-10-09 11:01
@萝卜Robby,,滚,0,2019-10-09 10:50
