User,Reter,Comment,Votes,Time
@渣女,,真心话：前任让你哭过吗？,384,2019-10-06 22:00
@渣女,,作为女生， 哪些没说出来的话， 一直想跟男生讲 _______________________,237,2019-10-06 20:12
@渣女,,作为男生， 哪些没说出来的话， 一直想跟女生讲 _______________________,158,2019-10-06 20:11
@渣女,,你和前任分手多久了？,108,2019-10-06 22:01
@渣男,,我说的话你们觉得能信吗？,711,2019-10-06 22:03
@青天划过绿叶的口子,,我这人不看脸,336,2019-10-06 20:28
@今日宝藏,,“宝贝，你放心吧，我会一直陪你很久”,221,2019-10-06 22:23
@嘿你踩我尾巴了,,你自己开个话题自己占了前五楼有意思吗,258,2019-10-06 22:05
@拐走苗苗Oo,,好久没做了 有点快,210,2019-10-06 20:47
@小耳heart,,你听起来会不自觉心喜的话 万万不能相信 这个时候你的直觉才最准,88,2019-10-06 20:22
@狗甜,,等会儿爽死你 评论配图,81,2019-10-06 23:03
@宇宙级戏精双鱼男,,上你的时候我都不敢用力，背地里却把你日的披头散发。,61,2019-10-06 21:24
@老头小棉袄,,除了不喜欢你，都不能信,67,2019-10-06 22:08
@雨后勿忘,,再原谅我一次,72,2019-10-06 20:09
@萌梦朦懵,,什么事情让你不开心了，我改,53,2019-10-06 21:10
@扎丸子头的小丸子耶,,只要开口就不能信,56,2019-10-06 20:14
@北有清水,,我从来不跟别的女生聊天,51,2019-10-06 22:53
@177-68-16,,我寻思着一群大男人回答个屁啊，什么时候微博能出个回答限制性别的功能，我看你们回答的有用吗,39,2019-10-06 21:20
@我是柴犬呀哈哈,,我养你,29,2019-10-06 22:14
@iBingo,,男人靠得住，母猪会上树！！ 评论配图,29,2019-10-06 22:27
@cuuuuc,,每一句话都不可信,31,2019-10-06 22:04
@農糖少女心,,我会一直爱你的,16,2019-10-06 22:33
@情初丶倾城,,男生:我就蹭蹭不进去   女生：我就看看不买,18,2019-10-06 22:20
@小小小小小小晰,,床上说的话,15,2019-10-06 23:06
@喜欢小颖吖,,所有,10,2019-10-06 22:39
@银河漫游的猫猫,,全都不能信,17,2019-10-06 22:07
@贝贝0769,,别害怕，我会轻/温柔一点的→_→,14,2019-10-06 22:07
@矢泽爱抽风,,你不胖,16,2019-10-06 20:17
@我的情感来的比较慢,,我养你啊,13,2019-10-06 20:15
@SHINEMOONE,,我爸给我说宁愿相信这世界上有鬼，也别相信男人的嘴,10,2019-10-07 02:31
@努力变强叭小杨,,在等我一年        我等不到了,11,2019-10-06 22:15
@爱安静的干净,,我18cm,11,2019-10-06 22:08
@xylannn,,没做到的承诺都先别信,6,2019-10-07 00:34
@依畅恋晨,,说你不胖 没事的 胖胖的才可爱呀 然后等你真的胖起来了 然后吐槽你大象腿 别说了 这就是我亲身经历 还好我已经消灭掉了大象腿 不然真是对不起当年受的委屈 评论配图,3,2019-10-07 00:30
@踩到我的小尾巴了,,平时我都好几个小时的...,7,2019-10-06 22:21
@小熊维怡ouo,,我只蹭蹭不进去,7,2019-10-06 22:09
@灌饼啊,,一会儿爽死你,5,2019-10-06 22:05
@阿云妹妹吖,,不能信的话:   下次......下次.....,6,2019-10-07 01:30
@赵健康喔,,易烊千玺说什么我都信,6,2019-10-07 00:09
@小果小粒赵大喜,,“我对感情从不将就。”,4,2019-10-06 23:09
@我也不想太圆,,所有话,2,2019-10-06 22:56
@君子唐当当,,我就蹭蹭,2,2019-10-06 22:13
@ArtistDIANACHEN,,这评论一个个的都够负能量的啊,5,2019-10-06 23:34
@尼可深蓝i,,他说“以后”的时候,8,2019-10-06 22:05
@就喜欢子望,,我一定会娶你的,3,2019-10-07 01:43
@洛洛佩服,,我会一直爱你的,3,2019-10-06 22:04
@仝朮,,下次不会了,3,2019-10-06 22:46
@-Blast_,,每一句,4,2019-10-06 20:16
@回来了吗_,,还有能信的？ 评论配图,3,2019-10-06 23:43
@青子木南,,这个秘密我只告诉你一个人了，你可别告诉别人,1,2019-10-06 22:44
@Jokerzgx,,我就蹭蹭，不进去,2,2019-10-06 22:30
@吃大饼的瓜子脸呀,,我只蹭蹭，不进去,2,2019-10-06 22:17
@牛不只会喝奶,,我会娶你的,3,2019-10-06 22:08
@F汉疯子,,蹭蹭，不动,3,2019-10-06 22:05
@一只没有感情的小熊,,什么都不能信,2,2019-10-07 16:23
@周安乐,,我对人说都没对象,1,2019-10-07 02:40
@9102最红小锦鲤兼世界级超模,,我养你啊,1,2019-10-07 01:55
@ElliotDarren-,,我 要 she了,1,2019-10-07 01:32
@MINEHAZE,,：我这里涨得好疼,2,2019-10-07 01:11
@MercY_who,,每一句话 （不夸张 全部打脸）,1,2019-10-07 00:45
@雪里拖枪,,什么鬼 前排营销号排着队问问题,1,2019-10-07 00:13
@TsIeeny,,追你的时候 热恋的时候都不可以信嗷,2,2019-10-06 23:28
@是吴冫水雁,,都不能信好吧，臭妹妹,3,2019-10-06 22:41
@各位大佬请喊我快去背单词,,我爱你。,1,2019-10-06 22:05
@吾劳欢喜侬厄,,他说他忙，恩，忙几天一个字都不回，音讯全无，好啊，你去忙啊,3,2019-10-06 22:06
@阿君royroy,,我会好好对你 你在我心里是我第一个女朋友 我会改的 我爱你能说出来的都不能信,2,2019-10-07 02:14
@珠珠是个单眼皮-,,也就是现在了 认识你以后我脾气性格好很多了要是以前我早就怎么怎么了(意思认识我们以后知道忍让迁就了脾气好了可能以前的话早都爆发了) 我猜八成男人都跟自己女朋友或者老婆这样说,2,2019-10-07 02:06
@Cv1M1n,,所有,1,2019-10-07 02:04
@K_Caesar,,你再等我两年,5,2019-10-06 22:18
@热短句bot,,男人的话只有我要射了才是真的,4,2019-10-06 21:57
@今晚夜色真美w,,我以后再也不会了,1,2019-10-07 02:37
@小建人--娴蛋_,,约出来聊聊呗,1,2019-10-07 02:33
@zz珍珠奶茶o,,都,1,2019-10-07 02:22
@黄桃烤鸭子,,不会离开你的，我会一直陪着你,2,2019-10-07 02:20
@w範文佳佳w,,我走了又回来找你,1,2019-10-07 02:12
@是我的小美味呀,,我一直陪着你不会离开你,1,2019-10-07 02:11
@笑星一枚,,游戏哪有你重要啊,1,2019-10-07 02:00
@小花裙zx,,男人的嘴，骗人的鬼。哪句都不能信,1,2019-10-07 01:54
@何方小桃妖,,他说什么都不能信，唯独说要离开，最为可信。,1,2019-10-07 01:49
@是美琪呀q,,都她妈不能信,1,2019-10-07 01:47
@小木子-珂,,每一句话……,1,2019-10-07 01:45
@怂怂日记-,,我们永远不会分手,1,2019-10-07 01:42
@这颗唐有点咸,,一个字都不能信,1,2019-10-07 01:36
@有只小鹿耶,,是我配不上你,1,2019-10-07 01:25
@半边天里扌莫鱼,,哇，男生和女生的差别...女生：“你很好，哪都好，我超喜欢你”  男生：“你在主动一点啊，我不是不喜欢你，只是她也很可爱”,3,2019-10-07 00:35
@一颗青菜萝卜,,蹭蹭而已，不进去,3,2019-10-06 22:08
@胥瀚然,,没事,2,2019-10-06 20:31
@果然一生孤独iii,,真的，你不信你问谁谁谁去,3,2019-10-06 20:14
@我心亦然,,一起睡，什么也不做。,1,2019-10-07 02:59
@_喜欢的人他姓郭啊,,有一次暑假给他买了个小东西，他十分欣喜地说让我给他拍照，他要发朋友圈夸一下我， 我说 你经常删朋友圈，那跟不发有什么区别。 他说 不会不会，我不会删的。 结果也就不用说了。,2,2019-10-07 00:40
@达尔文h,,我给你捏脚,2,2019-10-07 00:31
@孤独独孤嘟咕噜嘟噜x,,她只是我的妹妹,2,2019-10-06 23:48
@屠大大yu,,标间分床睡,1,2019-10-06 23:36
@APR尔东燕,,“我会娶你”,3,2019-10-06 23:34
@我顶住你去喊人,,我这一辈子只爱你一个,4,2019-10-06 22:19
@制杖美男子,,男生只能信一句话：我要射了,1,2019-10-06 22:19
@O进击的大萝卜O,,我爱你,1,2019-10-06 20:29
@苏漾儿啊,,其实啊，只是感情错付，喜欢自己的自己不喜欢，也就是百般拒绝。而自己喜欢的呢，又没那么喜欢自己，也只能告诉自己别那么卑微。,1,2019-10-07 06:24
@认真是我们参与这个社会的方式z,,我就蹭蹭不进去,1,2019-10-07 03:17
@多肉小姐-,,她只是妹妹,1,2019-10-07 03:01
@姚哥哥YGG,,只要是男生说的都不能信,1,2019-10-07 02:51
@酒禾狸猫,,真的改,1,2019-10-07 02:40
@凯霸天下King,,所有话,1,2019-10-07 01:18
@七家小凶许,,我就蹭蹭不进去。,1,2019-10-07 01:16
@秋名山交警201706,,打完这把,2,2019-10-07 00:48
@_喜欢的人他姓郭啊,,之前还玩QQ空间留言的时候，他经常删留言，我问他你会删我的嘛？他说不会。,1,2019-10-07 00:38
@不凉笑花,,从前有个单身狗赞了我,2,2019-10-07 00:35
@我多次拒绝吴亦凡,,哪些话都不能信,1,2019-10-07 00:22
@鸡涌啊有没有看见GD啊,,我点进来前面除了博主自己的其它几个评论莫名其妙？我以为点错微博了,1,2019-10-07 00:15
@帆帆是番茄_,,我从多早多早就开始喜欢你了。姐妹们千万别信！,1,2019-10-06 23:36
@经典影视剧经典片段集锦,,放人前说的那一套真的不能信,1,2019-10-06 23:31
@还想吃酸菜鱼,,别人是宾馆而你是家,1,2019-10-06 23:08
@凯哥·源哥·玺子哥·,,我以后再也不会这样了,1,2019-10-06 22:45
@Suki_cat,,大概北京时间两点吧,5,2019-10-06 21:47
@烬釧,,我就蹭蹭不进来,3,2019-10-06 21:47
@Suhsi-,,对不起，没有注意看信息,2,2019-10-07 00:39
@起风了ASL,,这个可以吗 评论配图,1,2019-10-06 22:57
@雪雪不困,,只要你不说分手我们就不会分手的,2,2019-10-06 22:47
@汪汪播音生,,猪嘴里的话都不能信,1,2019-10-06 22:20
@我可是炫神,,我养你啊,1,2019-10-06 22:12
@牛不只会喝奶,,我改,2,2019-10-06 22:09
@Cici小cici小,,我绝对不碰你,2,2019-10-06 22:08
@国标新秀诸葛长青,,,1,2019-10-06 22:07
@是阿龙呀Lxh,,床上说的听听就行,1,2019-10-06 22:07
@睡醒没_,,男生就没有能信的东西,1,2019-10-06 22:04
@面带笑容_c,,我就蹭蹭不进去,5,2019-10-06 21:55
@生活不易琳琳叹气,,我爱你,1,2019-10-06 21:00
@张大仙儿啊呀,,听你的,1,2019-10-06 20:44
@甜丧姐姐-,,你真的很渣，希望你不要找我了，我也不想回头了。各自安好,1,2019-10-07 15:54
@甜心鹿鹿,,我想你了,0,2019-10-07 08:39
@是Leejoy吖,,哪句话能信？？,0,2019-10-07 08:34
@如果觉得委屈就成为你想要的光丶,,下次我保证不这样,0,2019-10-07 07:48
@小于要温温柔柔,,都不能信 我再也不信了,0,2019-10-07 07:14
@wy王小美,,所有的话,0,2019-10-07 06:57
@南风挽歌lbl,,我就蹭蹭不进去,1,2019-10-07 06:54
@至少可以KY,,我就抱抱，不做别的。我就亲亲，不做别的。我就蹭蹭，不进去,0,2019-10-07 06:10
@微整形科普君,,你尝试过医美吗,0,2019-10-07 05:16
@猴子小姐不开心,,男人說的話連標點符號都不能相信,0,2019-10-07 04:39
@老刘要珍惜要快乐要成长,,不爱你的男生说出来的甜言蜜语都不要信,0,2019-10-07 03:48
@大鹏仔zzz,,我就抱一下,0,2019-10-07 03:41
@CallMeXiaoZan,,所有话！所有话！,0,2019-10-07 03:34
@Ym米米米,,是男的都不能信,0,2019-10-07 03:29
@春雨里洗过的阳小光,,其实我不介意外表的,0,2019-10-07 03:15
@那年冬天是风在吹,,我就蹭蹭不进去,1,2019-10-07 03:07
@嘿_lihansheng,,我睡了,0,2019-10-07 02:58
@有热爱有恨有未知的前程7,,那还不是我们都会的那句话？我就蹭蹭不进去,0,2019-10-07 02:28
@小刘同学是个宝藏女孩啊,,啥话都不能信 秉持一个原则   左耳朵进右耳朵出,0,2019-10-07 00:55
@嘻嘻嘻琪琪嘿嘿哈哈哈嘎嘎,,我不睡，我等你睡着我再睡。没一会电话那头呼噜震天响,0,2019-10-07 00:49
@魔法少女厄加特呀,,哪些话都不能信,0,2019-10-07 00:48
@给你白衬衫,,我从来不骗人的,0,2019-10-07 00:40
@一颗心-只属一人,,以后你就是我的了。后来还不是丢掉了,0,2019-10-07 00:40
@Y很正常吖,,所有,0,2019-10-07 00:39
@你如天shi一般美,,就蹭蹭不进去？！,2,2019-10-07 00:39
@白景川fhh,,誓言呗，明摆了打了“折”的话（言），你说你还信他干嘛,1,2019-10-07 00:35
@fake_face-,,你跟我遇见的女孩都不一样,0,2019-10-07 00:35
@溺水小锤,,我会娶你,0,2019-10-07 00:33
@杨泽毅你特么太迷人,,我就蹭蹭不进去,1,2019-10-07 00:30
@闲来无事改名字,,你不说分手，我们就不会分手,0,2019-10-07 00:28
@o可樂少冰o,,只要你别不要我我就不会不要你,0,2019-10-07 00:24
@今年还是24岁,,“一辈子”“永远”“一生一世”谨慎相信,0,2019-10-07 00:23
@考拉想啥呢,,最后一把！,0,2019-10-07 00:23
@Ssuper菜菜,,蹭蹭不进去,1,2019-10-07 00:23
@你说梦归梦,,呵呵，骗人的嘴，男人的鬼,0,2019-10-07 00:22
@锕黎不臭臭,,我就蹭蹭不进去 评论配图,1,2019-10-07 00:20
@Hello叶之一,,就蹭蹭，不进去。,1,2019-10-07 00:19
@杰伦和你,,@leton 您觉得呢,0,2019-10-07 00:15
@栗川绫乃,,我爱你 我错了 没有下次了,0,2019-10-07 00:14
@苜葵--,,什么话都不能信 评论配图,0,2019-10-07 00:12
@我公主殿下,,我等你,0,2019-10-07 00:09
@马西西要阳光,,以后……,0,2019-10-07 00:09
@是Leejoy吖,,今晚亲身经历，真的  都别信   谎言一个接着一个，迫不得已才会说实话，实话也是毁灭性的打击,0,2019-10-07 00:04
@思奘戈官方微博,,男生只有一句话是真的，就是:我要she了……,0,2019-10-07 00:02
@我自己买玫瑰,,都不能信,0,2019-10-06 23:56
@一天天的都是什么鬼,,你爱听的都是假的，你不爱听的都是真心话,0,2019-10-06 23:55
@白龙白的树-_-,,我会永远爱你并且只爱你对你好并且只对你好，我想一直和你在一起。,0,2019-10-06 23:55
@--低调-低调--,,我只蹭蹭不进去。,0,2019-10-06 23:41
@三岁小孩啦啦啦,,每一句。,0,2019-10-06 23:40
@大香香香香香芋,,素颜好看,0,2019-10-06 23:39
@MOON-微微,,我和她只是朋友,0,2019-10-06 23:36
@嚯唔啊呵,,多吃多睡就瘦了… 多吃点把肥肉吃成瘦肉…,0,2019-10-06 23:34
@陶金鱼不是陶鲸鱼,,都不能信,0,2019-10-06 23:33
@请叫我钱芊儿,,完事儿之后当他开启圣贤模式时说的话……………全是真理,0,2019-10-06 23:32
@_陳小陳呀,,感觉啥都不能信,0,2019-10-06 23:31
@-JunC-,,我就蹭蹭不进去,0,2019-10-06 23:29
@喜欢小颖吖,,回复@哥特式萝莉控 的表态:你肯定翻了很久,0,2019-10-06 23:28
@永不放弃三井寿-,,我就蹭蹭不进去,0,2019-10-06 23:27
@一个超级可爱的小boy,,我以前对感情都是敷衍的，直到遇到你,0,2019-10-06 23:26
@心动说给影子听sxx,,我只蹭蹭,0,2019-10-06 23:26
@猪猪乖·,,真心的疑问，一段男生主动告诉爸爸妈妈的恋爱会有多靠谱,0,2019-10-06 23:23
@肖兔子的糕点师傅,,来！你告诉我哪些话能信？！,0,2019-10-06 23:21
@赠一余香,,每句话,0,2019-10-06 23:20
@我就是有人爱,,我爱你,0,2019-10-06 23:17
@四囍喜喜-,,除了给你说分手吧不爱你了是真的其他都是假的。,0,2019-10-06 23:15
@狂吃不胖哈哈o,,我18cm,0,2019-10-06 23:13
@柚久啊,,床上的话,0,2019-10-06 23:08
@壹贰5,,什么话都不能信。,0,2019-10-06 23:06
@可以叫susu,,说要娶你,0,2019-10-06 23:04
@有饭姐soso,,我是真心喜欢你，内心我只想跟你约个炮,0,2019-10-06 23:04
@浔柒6146,,我相信你，是你不相信我,0,2019-10-06 23:03
@阿琰今天脱单了嘛,,我在,0,2019-10-06 23:02
@浔柒6146,,我会一直等你,0,2019-10-06 23:02
@小皮卡蛋,,你说啥就是啥,0,2019-10-06 23:01
@你吃奥利奥吗-,,男生的嘴里，没一句能信的好叭？,0,2019-10-06 23:00
@一颗青菜萝卜,,我身边真没什么其他女生，真的没，然后第二天他就朋友圈官宣了,0,2019-10-06 22:59
@一天只吃一顿饭ye,,他说他戒烟？刚刚还抽了！,0,2019-10-06 22:59
@-ShiWen,,我是个老实人,0,2019-10-06 22:59
@碘伏遇上V_C,,@要打鸡血的少女,0,2019-10-06 22:57
@我不會再吃炸雞了,,图片评论 评论配图,0,2019-10-06 22:57
@keainan,,哪句话都不能信,0,2019-10-06 22:44
@闪闪发光的天空,,我爱你,0,2019-10-06 22:30
@你怎么穿着林品如的衣服,,身为男孩子，我告诉你们哪句都不能信,0,2019-10-06 22:30
@终是难捱,,所有的话,0,2019-10-06 22:28
@PParoxetine,,@_QingQin_ 看这条微博里面的前两条评论“ 作为女生…作为男生…” 看看评论的回复你就会看到男女的本质差别 看得我更自闭了,0,2019-10-06 22:27
@欧欧的猪猪女孩,,我爱你,0,2019-10-06 22:26
@Azzzzz-,,都不能信！,0,2019-10-06 22:24
@Bnosc,,我先出来挨打了,0,2019-10-06 22:23
@嘟嘟小仙女丶,,,0,2019-10-06 22:20
@是古古啊,,那有哪些话能信呢,0,2019-10-06 22:20
@欧气满满的凯源玺的小可乐,,不知道,0,2019-10-06 22:19
@凉拌的屁屁屁君,,等我以后怎么样怎么样，,0,2019-10-06 22:17
@hui姑娘不穿水晶鞋,,哪句话都不能信,0,2019-10-06 22:14
@极其正直的人,,,1,2019-10-06 22:13
@慈姑娘123,,啥话都不能信,0,2019-10-06 22:13
@在岸上等U,,一个能考985的男孩子告诉我说，陪我去复读,0,2019-10-06 22:12
@Melissaza,,等我，我会回来找你,0,2019-10-06 22:10
@暴躁小张yep,,哪些话都不能信,0,2019-10-06 22:09
