User,Reter,Comment,Votes,Time
@LeGoat_23,,林加德，格林伍德，拉什福德，号称“曼联三德子” 马夏尔，马塔，马蒂奇，马奎尔号称“曼联四马” 组成了本赛季令英超闻风丧胆的“三德子四马”青春家暴组合,251,2019-10-07 01:24
@MU丶王,,1 ：拉屎赶紧从前锋滚边吧 抢点不抢前点 跑防守身后去 真是傻到没边儿！  2: 佩雷拉和弗雷德 这两个巴西人真特么让人大开眼界 我都怀疑这两B是不是巴西本土的- 真是菜的无语. 3: 杨教授是把大瓦伦的衣钵接了过来 那么好的机会 你特么倒是射啊 4: 就一个中游水平 认了吧  这帮球员大部分都是高薪低能,124,2019-10-07 01:24
@最帅的幸运鹅zz,,曼联球迷太难了 国庆头堵到国庆尾,121,2019-10-07 01:25
@谁能来救救我抬7号,,我就知道我抬现在在丢人这件事上是不会让我们失望的,104,2019-10-07 01:24
@想逃逸的水星,,下课吧,34,2019-10-07 01:24
@东张稀望,,就曼联这进攻，很担心10月份队内5佳进球不够数啊,68,2019-10-07 01:25
@中年红魔,,以为走了鸟就可以自由的踢球了 不必受位置约束 当时我也这样想 为什么不让费雷德上场 当时我也这么想 为什么不让拉屎打打中锋 为什么费雷拉就要年年都租出去 现在全明白了⊙ω⊙,76,2019-10-07 01:39
@影评老大爷暗夜骑士,,索帅是怎么把这份750万美金的大合同骗到手的啊,30,2019-10-07 01:25
@星星之子,,穆帅是复兴曼联的第一人选，可惜了，哎……,51,2019-10-07 01:33
@丨李逍遥丨,,这场因为雨太大的原因，发挥不好,47,2019-10-07 01:24
@vxJenny870408,,爱过…,28,2019-10-07 01:25
@童宇-鋒,,不管球队表现好与不好，还是始终会保持微笑。要这种主帅有何用！希望索帅有点血性！在场边能活跃点。球员有失误就该骂该暴跳如雷。看看克洛普跟瓜屌。球队需要的是一个主教练！！不是要一个护犊子的父亲！！！,21,2019-10-07 01:24
@永遠追隨曼聯,,任何队，见到我魔，就像见到送分童子，我魔这下真是成了扶贫大礼包了。唉！,31,2019-10-07 01:26
@夏午茶xm,,说真的，波霸和马少回来会不会好一点？,12,2019-10-07 01:26
@修佩隆格,,现在除了热血什么都没有，当初球员做掉穆里尼奥的时候不是很开心吗，现在可以接着开心了，用实力证明了我们不行就是不行，跟教练没关系,24,2019-10-07 01:28
@瑞恩泽宇,,看看别人的10号，再看看我们的10号，我说这个是曼联历史最差10号，各位，没意见吧。30万，呵呵，我笑了，我们就喜欢把钱花在刀把上，不不不，是把钱花在刀背上。马奎尔踢中锋都比他强。现在的曼联，该拿什么来拯救你呢？,18,2019-10-07 01:25
@小陶师兄丶,,这帮人，去到英冠的话永远回不来英超，真的,24,2019-10-07 01:26
@L-李涛,,索帅真是给老队长面子呀 知道老队长带队没赢过曼联 这场就让你赢,19,2019-10-07 01:24
@吻血-雪吻,,算了吧，下课吧，不是不给时间，实在是索尔斯克亚真的毫无办法。现在希望我们一直耻笑的四爷温格来，冲四都很高兴了。,13,2019-10-07 01:27
@你好你的包裹给你放门卫上了,,支持索帅 他有最纯正的血统！这个赛季发挥不好 都怪莫耶斯 都怪范加尔 主要怪穆尼里奥,26,2019-10-07 01:29
@灰蓝丶潘同学,,菜鸟教练,12,2019-10-07 01:25
@Joe要不要要不要,,曼联换了多少教练了，改过伐啦？人家小索也有理由说的，你这批人是什么人叫我带？曼联现在什么水平，就这么几个人，弗雷德什么的都在踢中场，能踢吗？踢不了，没这个能力知道吗？务实一点，我劝你们，把自己的战术打清楚，穆里尼奥带的蛮好的，你去把他换了干什么呢？你倒告诉我怎么解释呢？脸都不要了,18,2019-10-07 01:29
