User,Reter,Comment,Votes,Time,Count
@一无epimerw_JLN,,你妈，你坑爹呢，第二个选项,559,2019-10-08 20:24,1
@尚尚巴巴,,你第三个选项为什么不是特别支持,263,2019-10-08 21:19,1
@一九九九年九月八日,,虎你妈呢，收入80亿，中国占10亿，就算没了中国市场，也不至于毁了联盟吧！,100,2019-10-09 15:53,1
@李嘉诚Likashing,,我支持美国各州独立,251,2019-10-08 21:25,1
@伐弄勒,,不要过分夸大中国市场的影响，如果影响大的，人家早就道歉了。,70,2019-10-09 16:46,1
@愿你早日圆梦,,点一下取消投票，再投第二个选项,127,2019-10-08 20:32,1
@加油阿阿阿尔法,,我就奇了怪了，这么简单的数学题萧华不会算？连火箭队老板，这个事件最直接的受害者都不批评莫雷，你在这抖什么机灵？莫雷不是东西，但关詹姆斯、库里、哈登什么事？我想把莫雷关监狱，但也想看NBA！,16,2019-10-09 20:00,1
@平顶山利马快跑,,NBA现在成了中国资本留向海外的大平台，国家要拿回这些钱，中国企业养了了个狼崽子，到头来反咬了中国一口！,6,2019-10-09 18:11,1
@凉小沫_,,为什么没有不支持选项,14,2019-10-09 17:44,1
@尼桑轩逸NO离丧轩伊,,莫雷对局势一知半解就随便发表言论  很愚蠢,1,2019-10-09 17:49,1
@乐下上弦,,亚历山大命好！！！,9,2019-10-09 16:21,1
@芝加哥摄影,,莫雷破嘴到底说啥了？,2,2019-10-09 21:18,1
@二十日辰,,萧华如果接着“装好人”，就会跟着火箭一起完蛋。因为球员永远不会为资本家的失败买单。        这么说吧，想要留住中国市场，“除名火箭、裁掉莫雷”只是前提，……,4,2019-10-09 16:02,1
@eugeneeeeeeee,,把这十亿美元给到cba会怎么样,2,2019-10-09 20:06,1
@XYFranky,,我投支持是因为没看见非常支持,9,2019-10-09 16:41,1
@灵岚草,,中肯的说，中国在NBA其实也是有收益的，不然当年不会送姚明出去，和NBA签各种合约，商人不做亏本买卖。只是这样一闹，看谁伤的比较多而已。,2,2019-10-09 20:02,1
@JR小凌峰,,我看花了吗，我以为第三个是必须支持呢,1,2019-10-09 22:54,1
@徐大荣一12,,@毛小超超小毛 @我叫陈赤赤赤赤,0,2019-10-09 20:32,1
@我的名字叫吴艺华,,关我什么事？,0,2019-10-19 21:32,3
@魏_喂喂喂喂喂,,莫雷这货现在跟sl了一下,0,2019-10-09 22:33,1
@奶钙飞行家,,等你妈呢？,0,2019-10-09 21:26,1
@小小小旺先生,,整件事受益最大的是莫雷，美国是民主选总统的，现在通过这件事，美国很多人赞同莫雷的做法，并称其为“民族战神”，还是有政治头脑啊，献祭nba喽,2,2019-10-09 20:30,1
