User,Reter,Comment,Votes,Time,Count
@边白绾,,那库里这个ID可以让给我吗,1899,2019-10-10 18:09,1
@亚历山德丽娜,,他全名叫什么 有微博吗,616,2019-10-10 18:57,1
@JUGHEADEVIL,@博弈论者,人家只是穿一件衣服而已，并不能代表什么，只能证明中国元素和中国文化真的很有魅力,860,2019-10-10 18:10,1
@淇殿宝宝,,威少太帅了吧，我以前不喜欢威少真的是瞎了眼了,1008,2019-10-10 18:05,1
@博弈论者,,我向威少道歉，曾经我以为他没有球商；现在我发现他情商最高；圈粉了,834,2019-10-10 18:08,1
@不爱鱼骨头的jinx,,你有事吗？天天发我威,189,2019-10-10 18:06,1
@Mrs_Genie,,瑞思拜,143,2019-10-10 18:08,1
@里畅,,打球届最时尚的！时尚界打篮球最好的,79,2019-10-10 18:43,1
@六肆_,,哈哈哈 他到底做了多少件中国衣服,104,2019-10-10 18:15,3
@米兰的小铁匠w_,,真的很不理解，为什么穿个中国元素的衣服，就这么多人转变态度，这很明显是在作秀。翻墙出去看外网评论真的很气愤。我理解球迷追星，但这时候应该保持克制或是说在心里默默支持他们。今天一些球迷的尖叫，狂欢和拿国旗签名的行为让我感觉很悲哀。   我个人一些感谢，B粉勿喷。,112,2019-10-11 01:34,1
@年轻且积极8,,尼玛，真的帅！,66,2019-10-10 18:05,1
@白昼已经消逝,,从这家伙一出道，我就看着不顺眼，一直就不喜欢。-------,70,2019-10-10 18:15,1
@Poi丶伊卡洛斯,,世界第一控卫他lei了,47,2019-10-10 18:14,1
@NARUTO--SC,,你是真他妈牛逼卧槽,40,2019-10-10 18:08,1
@書JairoT,,从此再也不黑大威少了,35,2019-10-10 18:09,1
@水花-追梦,,听说有人喷我，so what ,30,2019-10-10 18:16,1
@梅小团库小呆蒂小宝,,圈粉了，我都,31,2019-10-10 18:05,1
@Curry的咖喱女孩,,真的好可爱啊，那种给人安慰的可爱,23,2019-10-10 18:22,3
@我的朋友很少很少,,帅啊,19,2019-10-10 18:06,1
@库BABI,,太刚了！！不行了！！路转粉！,28,2019-10-10 18:28,1
@Jasper-bznvh,,这衣服挺好看的，是威少品牌的吗,15,2019-10-10 18:41,1
@不倒翁家的鱼儿,,我怀疑威少偷偷学了中国历史,16,2019-10-10 18:41,1
@BecoId,,历史第一PG实锤了,5,2019-10-10 21:18,1
@桠恩子,,太帅了！,10,2019-10-10 18:29,1
@见趣,,我被威少圈粉了，此处无声胜有声。,8,2019-10-10 19:27,1
@静态解析,,耿直男孩,8,2019-10-10 18:13,1
@傅副主任,,真刚,12,2019-10-10 18:13,1
@Leslie_Curry,,这个真的得顶了,3,2019-10-10 18:08,1
@hyh要努力啊,,必须粉,5,2019-10-10 18:05,1
@黄昱凯,,大兄弟，你这是强行让我粉你呀。,4,2019-10-10 18:22,1
@我才不是乔乔哥哥,,品行端正，根正苗红，作风优良，建议入党。,7,2019-10-10 19:25,1
@汽水女孩_,,帅气！,3,2019-10-10 20:14,1
@予兮予昔奈若,,我再也不喷他是刷子了,4,2019-10-10 19:34,1
