User,Reter,Comment,Votes,Time
@岩川飞龙改二,,噗。啪啪打脸，你暴爹刚减了处罚时间还还了奖金,19,2019-10-12 09:22
@老刀99,,暴雪发出声明之后在推上依旧被狂喷，那些人就是来搞事的，强硬就完事了，退缩只会让对方得寸进尺。看看港府就知道了 妥协了，暂停修例又如何？暴徒更猖狂了,15,2019-10-12 11:08
@HiWebGL,,已经把禁赛改成6个月了，还把奖金退回了，不过总体可以接受,17,2019-10-12 09:22
@小徐Bridge,,暴雪态度已经可以了，迫于官方的压力减少了处罚也可以理解,11,2019-10-12 09:36
@c老师的小迷弟1,,你们能理解哈登的感受了吗？,4,2019-10-12 10:49
@冰菓吧,,挺不容易了，之前一个打篮球的就说了两句不了解china ，不想去评论自己不了解的东西已经被骂成狗了,5,2019-10-12 10:20
@黑鹿零,,逼近舆论压力山大,1,2019-10-12 09:53
@我又不是-怪兽,,暴雪背后是腾讯收购的啊…,0,2019-10-12 10:30
@想骑车带你看世界,,封一千年有点帅,3,2019-10-12 09:49
@暗黑剩糖,,暴雪爸爸牛逼（破音）,0,2019-10-12 10:47
@炼钢厨,,一年不嘲屁股的更新速度了,0,2019-10-12 10:14
@喝口水都如此之远,,回去就买嘉年华礼包,1,2019-10-12 09:25
@辞浅浅浅浅,,,0,2019-10-12 09:23
@hayleyw,,暴雪真的尽力了,1,2019-10-12 09:42
@小嗯嗯er,,暴雪应该强调任何涉政言论都会处罚，不论立场，不论内容。,0,2019-10-12 17:31
@随性逐流,,美国式自由,0,2019-10-12 12:14
@Maotai_,,happy 911,0,2019-10-12 09:38
@奔跑的王鹏,,暴雪打脸了,0,2019-10-12 09:24
@yumizzzz,,暴雪也很难,0,2019-10-13 08:24
@云吞江树白,,人家的国家意志也挺强啊…,0,2019-10-12 11:35
@六面加菲爱米兰爱魔兽,,太不容易了！点赞暴雪！,0,2019-10-12 10:20
@花近高楼,,@日懒云烟,1,2019-10-12 10:23
@花近高楼,,转发微博,0,2019-10-12 10:23
@wind-follow,,去买月卡去。,0,2019-10-12 09:52
@Ag探星星,,？？？,0,2019-10-12 09:25
@烧你妹的,,可是……暴雪减少了炉石那位选手的禁赛时间并把没收的奖金又退了回去……,0,2019-10-12 09:21
@Golden40,,还是美国公司膝盖骨硬一点，起码还敢和人刚,1,2019-10-15 17:18
@Jerry-叔叔,,很不错了，键盘侠把嘴闭上,0,2019-10-12 20:27
@吃橘子就吐橘子皮,,暴雪真的惨,0,2019-10-12 09:51
@逛吃逛吃2007,,一家美国公司面对用户和政府的重压，依旧有处罚已经尽力了，买份嘉年华门票支持下暴雪，你是好样的,1,2019-10-12 09:44
@葵酥就是大杰本,,加摩尔又要上门找麻烦了,0,2019-10-12 09:49
@面包超人YC,,什么叫西方的自由和价值观，懂了吧？西方老美的就是正确的，其他选择，不好意思都是错的，错的都不能够在自由的范围内,0,2019-10-12 09:45
@三哥92,,继续魔兽,0,2019-10-12 09:43
@程序员穿格子衫怎么了,,行为是被逼的，公开的立场没有任何改变，都这一步了已经刚的一比了好吗？//@烧你妹的:可是……暴雪减少了炉石那位选手的禁赛时间并把没收的奖金又退了回去……,4,2019-10-12 09:38
@程序员穿格子衫怎么了,,,1,2019-10-12 09:37
@Golden40,,还是美国公司膝盖骨硬一点，起码还敢和人刚,1,2019-10-15 17:18
@Golden40,,还是美国公司膝盖骨硬一点，起码还敢和人刚,1,2019-10-15 17:18
@yumizzzz,,暴雪也很难,0,2019-10-13 08:24
@Jerry-叔叔,,很不错了，键盘侠把嘴闭上,0,2019-10-12 20:27
@小嗯嗯er,,暴雪应该强调任何涉政言论都会处罚，不论立场，不论内容。,0,2019-10-12 17:31
@随性逐流,,美国式自由,0,2019-10-12 12:14
@云吞江树白,,人家的国家意志也挺强啊…,0,2019-10-12 11:35
@老刀99,,暴雪发出声明之后在推上依旧被狂喷，那些人就是来搞事的，强硬就完事了，退缩只会让对方得寸进尺。看看港府就知道了 妥协了，暂停修例又如何？暴徒更猖狂了,15,2019-10-12 11:08
@c老师的小迷弟1,,你们能理解哈登的感受了吗？,4,2019-10-12 10:49
@暗黑剩糖,,暴雪爸爸牛逼（破音）,0,2019-10-12 10:47
@我又不是-怪兽,,暴雪背后是腾讯收购的啊…,0,2019-10-12 10:30
