User,Reter,Comment,Votes,Time
@团子啦啦啦啦,,周老师真的好好看啊,53,2019-10-09 18:24
@碎片馆,,好看！,42,2019-10-09 18:14
@runaway微安,,#周笔畅超话[超话]# 莫名开心。要看见电视上的仙女小姐姐。,32,2019-10-09 18:37
@硕仔是硕仔,,#周笔畅[超话]# 仙女宝宝,30,2019-10-09 18:32
@cici梓艺,,#周笔畅[超话]# 太美了！是我的花仙子美畅畅,28,2019-10-09 18:16
@晓君,,美女姐姐你好。。,13,2019-10-09 18:27
@HaiJing_Li,,#周笔畅印花霓裳裙# 期待仙女姐姐,13,2019-10-09 18:30
@求rp爆发的秋秋,,#周笔畅印花霓裳裙# 期待今晚北京世园会闭幕式,3,2019-10-09 19:36
@Yogort-liu,,#周笔畅[超话]#期待仙女姐姐今晚演出,2,2019-10-09 18:30
@不太好笑么,,啊啊啊啊啊笔笔真的越来越好看了 越来越女人啦,4,2019-10-09 20:03
@西西呀Z,,好看呐,1,2019-10-09 21:50
@begins_单行道,,#周笔畅[超话]# 太美了[舔屏]#周笔畅印花霓裳裙#,0,2019-10-09 21:50
@saintlaura,,好看的,0,2019-10-09 21:44
@没心没肺只爱肝,,好适合！ 评论配图,0,2019-10-09 21:15
@问L下一次我又是谁,,美,0,2019-10-09 20:53
@十二井梧,,好看哇,0,2019-10-09 20:42
@懒虫短路中,,周老師真好看,0,2019-10-09 20:36
@思思思思__,,#周笔畅印花霓裳裙#,0,2019-10-09 20:31
@丹丘跬步329,,啊！好看！,0,2019-10-09 19:56
@拉普_-,,,0,2019-10-09 19:53
@易夕尧在这儿吖,,好好看啊！,0,2019-10-09 19:15
@tts抢奶瓶,,小姐姐超级仙女[愛你],0,2019-10-09 18:53
@我就是K姐姐,,期待啊，晚上,0,2019-10-09 18:24
@整个人变得傻里傻气,,晚上等着看#周笔畅印花霓裳裙#,0,2019-10-09 18:18
@JSJ爱小南,,笔笔,0,2019-10-09 18:17
@苦味怪兽君,,#周笔畅[超话]#  仙子,1,2019-10-10 09:13
@绿狼随笔,,#周笔畅印花霓裳裙#灵动，飘逸的小仙子,1,2019-10-10 08:40
@BLOSSOM_济,,太大气了,1,2019-10-10 08:26
@初见很爱周崽崽,,#周笔畅印花霓裳裙#,1,2019-10-10 06:06
